configuration_id,alpha,chi_squared_threshold,bartlett_scale,bartlett_threshold,empirical_threshold,development_valid_count
LR_C1_N0_n1000_scale0.5,0.01,6.634896601021215,1.0160311214517812,6.741261434252197,6.799161988875767,5000
LR_C1_N0_n1000_scale0.5,0.05,3.8414588206941205,1.0160311214517812,3.9030417136006843,3.8709471671868414,5000
LR_C1_N0_n1000_scale0.5,0.1,2.705543454095418,1.0160311214517812,2.7489163498010933,2.7571100157260844,5000
LR_C1_N0_n1000_scale1,0.01,6.634896601021215,0.9634153776297031,6.392161414406887,6.254556175306789,5000
LR_C1_N0_n1000_scale1,0.05,3.8414588206941205,0.9634153776297031,3.70092050038798,3.678596739491695,5000
LR_C1_N0_n1000_scale1,0.1,2.705543454095418,0.9634153776297031,2.6065621685209086,2.5537628053989465,5000
LR_C1_N0_n1000_scale2,0.01,6.634896601021215,1.002134915375285,6.649061543788162,6.7603992680124065,5000
LR_C1_N0_n1000_scale2,0.05,3.8414588206941205,1.002134915375285,3.8496600101939444,3.8842589566338575,5000
LR_C1_N0_n1000_scale2,0.1,2.705543454095418,1.002134915375285,2.711319560414068,2.6402601388726907,5000
LR_C1_N0_n10_scale0.5,0.01,6.634896601021215,0.9274814186979325,6.153743312429247,4.236613620598577,5000
LR_C1_N0_n10_scale0.5,0.05,3.8414588206941205,0.9274814186979325,3.56288167688707,3.268599402018957,5000
LR_C1_N0_n10_scale0.5,0.1,2.705543454095418,0.9274814186979325,2.5093412811533233,2.345309753265397,5000
LR_C1_N0_n10_scale1,0.01,6.634896601021215,1.1403405707099281,7.566041776609895,6.537198800042866,4995
LR_C1_N0_n10_scale1,0.05,3.8414588206941205,1.1403405707099281,4.380571343949021,4.119108289390482,4995
LR_C1_N0_n10_scale1,0.1,2.705543454095418,1.1403405707099281,3.0852409665236795,3.0953085263047058,4995
LR_C1_N0_n10_scale2,0.01,6.634896601021215,1.118657160911427,7.42217459463927,6.866488041983629,5000
LR_C1_N0_n10_scale2,0.05,3.8414588206941205,1.118657160911427,4.297275418115843,4.162687820590179,5000
LR_C1_N0_n10_scale2,0.1,2.705543454095418,1.118657160911427,3.0265755590808765,3.0730140381056685,5000
LR_C1_N0_n50_scale0.5,0.01,6.634896601021215,1.1459464097820202,7.603235939215191,7.630816428864961,5000
LR_C1_N0_n50_scale0.5,0.05,3.8414588206941205,1.1459464097820202,4.402105943899901,4.476925085379264,5000
LR_C1_N0_n50_scale0.5,0.1,2.705543454095418,1.1459464097820202,3.1004078077298907,3.0945065311410076,5000
LR_C1_N0_n50_scale1,0.01,6.634896601021215,1.067776956282,7.084589697884221,7.089411881272383,5000
LR_C1_N0_n50_scale1,0.05,3.8414588206941205,1.067776956282,4.101821207243409,4.161586926590161,5000
LR_C1_N0_n50_scale1,0.1,2.705543454095418,1.067776956282,2.8889169545026947,2.938559672878938,5000
LR_C1_N0_n50_scale2,0.01,6.634896601021215,1.0124080466238008,6.717222707390784,6.72442098703317,5000
LR_C1_N0_n50_scale2,0.05,3.8414588206941205,1.0124080466238008,3.889123820844704,3.901391117117555,5000
LR_C1_N0_n50_scale2,0.1,2.705543454095418,1.0124080466238008,2.7391139634165533,2.6905301218074555,5000
LR_C1_N3_n50_scale0.5,0.01,6.634896601021215,0.8742442672580378,5.800520317292638,5.158480811035332,5000
LR_C1_N3_n50_scale0.5,0.05,3.8414588206941205,0.8742442672580378,3.3583733518996577,3.316189465811874,5000
LR_C1_N3_n50_scale0.5,0.1,2.705543454095418,0.8742442672580378,2.3653058545604297,2.3897532046432275,5000
LR_C1_N3_n50_scale1,0.01,6.634896601021215,1.0110963446563797,6.7085197004655885,6.248607149241309,5000
LR_C1_N3_n50_scale1,0.05,3.8414588206941205,1.0110963446563797,3.884084971751832,3.7835340293862316,5000
LR_C1_N3_n50_scale1,0.1,2.705543454095418,1.0110963446563797,2.735565096744873,2.7651485993796996,5000
LR_C1_N3_n50_scale2,0.01,6.634896601021215,1.0407860841298,6.905508051982991,6.683106902681061,5000
LR_C1_N3_n50_scale2,0.05,3.8414588206941205,1.0407860841298,3.9981368833361133,3.894315869116042,5000
LR_C1_N3_n50_scale2,0.1,2.705543454095418,1.0407860841298,2.815891977030984,2.802650649944269,5000
LR_C1_N6_n100_scale0.5,0.01,6.634896601021215,0.5511773255548471,3.657004563883819,4.194450884205409,5000
LR_C1_N6_n100_scale0.5,0.05,3.8414588206941205,0.5511773255548471,2.1173249990192624,2.222947834501582,5000
LR_C1_N6_n100_scale0.5,0.1,2.705543454095418,0.5511773255548471,1.491234205200736,1.4252260532319951,5000
LR_C1_N6_n100_scale1,0.01,6.634896601021215,0.6191505061618738,4.107999588853982,4.150178460708844,5000
LR_C1_N6_n100_scale1,0.05,3.8414588206941205,0.6191505061618738,2.3784411732327597,2.0590799442272782,5000
LR_C1_N6_n100_scale1,0.1,2.705543454095418,0.6191505061618738,1.6751385990461227,1.5274547291353429,5000
LR_C1_N6_n100_scale2,0.01,6.634896601021215,0.8519571971898713,5.6526479118506385,4.486473075750325,5000
LR_C1_N6_n100_scale2,0.05,3.8414588206941205,0.8519571971898713,3.2727584899988713,2.8808510482081147,5000
LR_C1_N6_n100_scale2,0.1,2.705543454095418,0.8519571971898713,2.3050072180265357,2.2126440852699716,5000
LR_C1_N6_n200_scale0.5,0.01,6.634896601021215,0.6235239395908954,4.137016867446989,4.125457923010259,5000
LR_C1_N6_n200_scale0.5,0.05,3.8414588206941205,0.6235239395908954,2.395241537655393,2.0987427929102864,5000
LR_C1_N6_n200_scale0.5,0.1,2.705543454095418,0.6235239395908954,1.6869711132319338,1.5264919434405897,5000
LR_C1_N6_n200_scale1,0.01,6.634896601021215,0.8535791686638969,5.6634095248706045,4.687222840426784,5000
LR_C1_N6_n200_scale1,0.05,3.8414588206941205,0.8535791686638969,3.2789892266246814,2.859455233774156,5000
LR_C1_N6_n200_scale1,0.1,2.705543454095418,0.8535791686638969,2.3093955323308153,2.2065696568806743,5000
LR_C1_N6_n200_scale2,0.01,6.634896601021215,1.0294370109372057,6.830208124832706,5.99161035250836,5000
LR_C1_N6_n200_scale2,0.05,3.8414588206941205,1.0294370109372057,3.954539886013719,3.8999623592053467,5000
LR_C1_N6_n200_scale2,0.1,2.705543454095418,1.0294370109372057,2.7851865663447106,2.7653030431788466,5000
LR_C1_N7_n1000_scale0.5,0.01,6.634896601021215,0.36357911918310987,2.412309862070303,2.6232478080658126,5000
LR_C1_N7_n1000_scale0.5,0.05,3.8414588206941205,0.36357911918310987,1.3966742144061564,1.8630537685453987,5000
LR_C1_N7_n1000_scale0.5,0.1,2.705543454095418,0.36357911918310987,0.9836791059516408,1.500957193966741,5000
LR_C1_N7_n1000_scale1,0.01,6.634896601021215,0.6436833760408522,4.2707726438273115,3.2918107166197217,5000
LR_C1_N7_n1000_scale1,0.05,3.8414588206941205,0.6436833760408522,2.4726831826263025,2.2839439433116127,5000
LR_C1_N7_n1000_scale1,0.1,2.705543454095418,0.6436833760408522,1.7415133445573674,1.7972979531064084,5000
LR_C1_N7_n1000_scale2,0.01,6.634896601021215,0.9264717131868576,6.147044020765784,4.224209879140062,5000
LR_C1_N7_n1000_scale2,0.05,3.8414588206941205,0.9264717131868576,3.5590029347452474,2.997541000368301,5000
LR_C1_N7_n1000_scale2,0.1,2.705543454095418,0.9264717131868576,2.5066094790172704,2.457166521008162,5000
LR_C2_N0_np20_nq200_scale0.5,0.01,6.634896601021215,1.1014466588682397,7.307984693131058,6.394420330208504,5000
LR_C2_N0_np20_nq200_scale0.5,0.05,3.8414588206941205,1.1014466588682397,4.231161983233467,3.70890936689608,5000
LR_C2_N0_np20_nq200_scale0.5,0.1,2.705543454095418,1.1014466588682397,2.980011797936235,2.736089195831312,5000
LR_C2_N0_np20_nq200_scale1,0.01,6.634896601021215,1.1037114674094275,7.323011463622948,6.671148012246931,5000
LR_C2_N0_np20_nq200_scale1,0.05,3.8414588206941205,1.1037114674094275,4.239862151981196,4.32547994292247,5000
LR_C2_N0_np20_nq200_scale1,0.1,2.705543454095418,1.1037114674094275,2.986139335859625,3.1204356980101693,5000
LR_C2_N0_np20_nq200_scale2,0.01,6.634896601021215,1.0734059277930272,7.12193734182998,7.245584058941176,5000
LR_C2_N0_np20_nq200_scale2,0.05,3.8414588206941205,1.0734059277930272,4.123444669505881,4.053077479678905,5000
LR_C2_N0_np20_nq200_scale2,0.1,2.705543454095418,1.0734059277930272,2.904146381527644,2.9279290617052993,5000
LR_C2_N3_np500_nq50_scale0.5,0.01,6.634896601021215,0.9055712400578374,6.008371542642313,5.367654888121024,5000
LR_C2_N3_np500_nq50_scale0.5,0.05,3.8414588206941205,0.9055712400578374,3.478714627887092,3.0375881431292555,5000
LR_C2_N3_np500_nq50_scale0.5,0.1,2.705543454095418,0.9055712400578374,2.4500623407555526,2.2981492636810117,5000
LR_C2_N3_np500_nq50_scale1,0.01,6.634896601021215,1.011639846109865,6.712125776411969,5.888030305280154,5000
LR_C2_N3_np500_nq50_scale1,0.05,3.8414588206941205,1.011639846109865,3.8861728102043838,3.5677373936509866,5000
LR_C2_N3_np500_nq50_scale1,0.1,2.705543454095418,1.011639846109865,2.7370355635446413,2.637265509509234,5000
LR_C2_N3_np500_nq50_scale2,0.01,6.634896601021215,1.0509356340964118,6.972849266558359,6.488177755652032,5000
LR_C2_N3_np500_nq50_scale2,0.05,3.8414588206941205,1.0509356340964118,4.03712596158143,4.063925819076758,5000
LR_C2_N3_np500_nq50_scale2,0.1,2.705543454095418,1.0509356340964118,2.8433520255051645,2.892743447729572,5000
LR_C2_N5_np200_nq2000_scale0.5,0.01,6.634896601021215,0.9039743359473079,5.997776248987203,6.016481319894183,5000
LR_C2_N5_np200_nq2000_scale0.5,0.05,3.8414588206941205,0.9039743359473079,3.4725801865058963,2.904018484682979,5000
LR_C2_N5_np200_nq2000_scale0.5,0.1,2.705543454095418,0.9039743359473079,2.4457418472924912,1.9114361000425788,5000
LR_C2_N5_np200_nq2000_scale1,0.01,6.634896601021215,1.113989380080713,7.391204351471254,5.690687223201621,5000
LR_C2_N5_np200_nq2000_scale1,0.05,3.8414588206941205,1.113989380080713,4.27934433027063,2.9089760342739055,5000
LR_C2_N5_np200_nq2000_scale1,0.1,2.705543454095418,1.113989380080713,3.013946675209186,2.2241139840239157,5000
LR_C2_N5_np200_nq2000_scale2,0.01,6.634896601021215,1.1501292578594153,7.630988703706488,5.648841385803053,5000
LR_C2_N5_np200_nq2000_scale2,0.05,3.8414588206941205,1.1501292578594153,4.418174182542433,3.7631026550766364,5000
LR_C2_N5_np200_nq2000_scale2,0.1,2.705543454095418,1.1501292578594153,3.1117246849651625,3.1037636261730768,5000
LR_C3_C3_same_balanced_i0p005_n1000_scale0.5,0.01,6.634896601021215,0.9628273893895964,6.3882601732311635,6.135105051993833,5000
LR_C3_C3_same_balanced_i0p005_n1000_scale0.5,0.05,3.8414588206941205,0.9628273893895964,3.698661767776558,3.5854844063869677,5000
LR_C3_C3_same_balanced_i0p005_n1000_scale0.5,0.1,2.705543454095418,0.9628273893895964,2.604971340786803,2.674483948854686,5000
LR_C3_C3_same_balanced_i0p005_n1000_scale1,0.01,6.634896601021215,1.0180334035447294,6.754546368904984,6.828795561608786,5000
LR_C3_C3_same_balanced_i0p005_n1000_scale1,0.05,3.8414588206941205,1.0180334035447294,3.9107333978081575,3.895260653202058,5000
LR_C3_C3_same_balanced_i0p005_n1000_scale1,0.1,2.705543454095418,1.0180334035447294,2.754333611010922,2.7754335796807936,5000
LR_C3_C3_same_balanced_i0p005_n1000_scale2,0.01,6.634896601021215,1.044077331211755,6.927345136060175,7.166962847901232,5000
