configuration_id,configuration_label,n_p,n_q,wall_seconds,development_lr_valid_count,development_lr_valid_rate,development_lr_retry_count,development_lr_median_elapsed_ms,development_lr_p99_elapsed_ms,development_lr_max_constraint_residual,development_lr_median_iterations,development_lr_full_start_audit_count,development_lr_full_start_max_statistic_difference,validation_lr_valid_count,validation_lr_valid_rate,validation_lr_retry_count,validation_lr_median_elapsed_ms,validation_lr_p99_elapsed_ms,validation_lr_max_constraint_residual,validation_lr_median_iterations,validation_lr_full_start_audit_count,validation_lr_full_start_max_statistic_difference
LR_C1_N0_n1000_scale0.5,"Balanced, large sample",500,500,51.47072945907712,5000,1.0,0,5.069687496870756,5.65468194661662,9.004741466367427e-09,10.0,25,0.0,5000,1.0,0,5.036312621086836,5.633388890419155,9.572389977896556e-09,10.0,25,0.0
LR_C1_N0_n1000_scale1,"Balanced, large sample",1000,1000,53.57622633315623,5000,1.0,0,5.248395609669387,5.843701728153977,9.961509672695712e-09,10.0,25,0.0,5000,1.0,0,5.238750018179417,5.860299319028856,9.226606617618316e-09,10.0,25,0.0
LR_C1_N0_n1000_scale2,"Balanced, large sample",2000,2000,54.59970216616057,5000,1.0,0,5.3445210214704275,6.170168458484114,9.894339125793294e-09,9.0,25,0.0,5000,1.0,0,5.343270604498684,6.0008048196323225,9.896113845053733e-09,9.0,25,0.0
LR_C1_N0_n10_scale0.5,"Balanced, very small sample",5,5,88.8696755419951,5000,1.0,0,9.152124519459903,22.341780695132915,9.769619224719861e-09,32.0,25,0.0,5000,1.0,0,9.616521070711315,24.246960624586794,9.769619224719861e-09,32.0,25,0.0
LR_C1_N0_n10_scale1,"Balanced, very small sample",10,10,51.33249225001782,4995,0.999,5,3.681834088638425,15.088300635106885,9.740896880772176e-09,11.0,25,0.0,4995,0.999,5,3.893457818776369,16.085472176782805,9.653901747452842e-09,11.0,25,0.0
LR_C1_N0_n10_scale2,"Balanced, very small sample",20,20,48.340623082825914,5000,1.0,0,3.743520937860012,15.716063294094061,9.992535229819133e-09,10.0,25,0.0,5000,1.0,0,4.017208586446941,16.347908729221682,9.998939232147563e-09,10.0,25,0.0
LR_C1_N0_n50_scale0.5,"Balanced, moderate sample",25,25,50.313853583997115,5000,1.0,0,3.899479052051902,18.36166055873037,9.996971944703503e-09,10.0,25,0.0,5000,1.0,0,4.2078959522768855,19.91990415845067,9.998786867915221e-09,10.0,25,0.0
LR_C1_N0_n50_scale1,"Balanced, moderate sample",50,50,48.28315949998796,5000,1.0,0,4.555625026114285,11.157006139401417,9.992479912956931e-09,10.0,25,0.0,5000,1.0,0,4.54154156614095,11.624407954514032,9.982964316312959e-09,10.0,25,0.0
LR_C1_N0_n50_scale2,"Balanced, moderate sample",100,100,48.084936833009124,5000,1.0,0,4.724083002656698,5.334757131058723,9.585375840281962e-09,11.0,25,0.0,5000,1.0,0,4.692791379056871,5.273053022101522,9.41258754966201e-09,11.0,25,0.0
LR_C1_N3_n50_scale0.5,One skewed population,25,25,64.08739400003105,5000,1.0,0,5.231437040492892,15.348206914495691,9.923163089842202e-09,14.0,25,0.0,5000,1.0,0,5.225271102972329,16.161240511573858,9.976553756729789e-09,14.0,25,0.0
LR_C1_N3_n50_scale1,One skewed population,50,50,59.35738025000319,5000,1.0,0,4.632458556443453,17.412589211016893,9.954636691344998e-09,11.0,25,0.0,5000,1.0,0,4.600166925229132,14.940510469023152,9.993271623404132e-09,11.0,25,0.0
LR_C1_N3_n50_scale2,One skewed population,100,100,54.701422583078966,5000,1.0,0,4.736374947242439,13.431487025227403,9.994325013418237e-09,11.0,25,0.0,5000,1.0,0,4.728125059045851,14.268945301882928,9.984386241390641e-09,11.0,25,0.0
LR_C1_N6_n100_scale0.5,"Sparse, smaller sample",50,50,86.47039979184046,5000,1.0,0,7.937541464343667,24.91903571411971,2.859349181039139e-09,32.0,25,0.0,5000,1.0,0,7.892958470620215,25.037195547483872,7.585849115532284e-09,32.0,25,0.0
LR_C1_N6_n100_scale1,"Sparse, smaller sample",100,100,77.4505418331828,5000,1.0,0,7.2639790596440434,14.343836777843546,8.008660986116856e-09,25.0,25,0.0,5000,1.0,0,7.240062463097274,14.300199565477673,9.823860863678036e-09,26.0,25,0.0
LR_C1_N6_n100_scale2,"Sparse, smaller sample",200,200,78.88277991581708,5000,1.0,0,7.394041516818106,13.869954098481685,9.406601059712416e-09,19.0,25,0.0,5000,1.0,0,7.483687484636903,14.448876995593313,9.79338761995796e-09,19.0,25,0.0
LR_C1_N6_n200_scale0.5,"Sparse, larger sample",100,100,77.01842266693711,5000,1.0,0,7.236707955598831,13.901260052807642,8.925509461729653e-09,25.0,25,0.0,5000,1.0,0,7.250145426951349,14.45738328387962,8.667651499316698e-09,26.0,25,0.0
LR_C1_N6_n200_scale1,"Sparse, larger sample",200,200,79.3275126661174,5000,1.0,0,7.570437504909933,14.306171247735621,9.737960741593166e-09,19.0,25,0.0,5000,1.0,0,7.436563028022647,14.23111443640665,9.892751662993193e-09,19.0,25,0.0
LR_C1_N6_n200_scale2,"Sparse, larger sample",400,400,82.9660038750153,5000,1.0,0,7.096458342857659,18.211970019619923,9.935355474964547e-09,18.0,25,0.0,5000,1.0,0,7.250083377584815,18.79232378210873,9.912668592210183e-09,19.0,25,0.0
LR_C1_N7_n1000_scale0.5,Ultra-rare categories,500,500,150.78394545894116,5000,1.0,0,10.578333516605198,32.632268220186276,2.5190388174031026e-09,33.5,25,0.0,5000,1.0,0,10.591458063572645,32.31689470587298,2.5190388174031026e-09,34.0,25,0.0
LR_C1_N7_n1000_scale1,Ultra-rare categories,1000,1000,102.05449945782311,5000,1.0,0,9.878083597868681,30.662985984236006,1.3540540581141736e-09,30.0,25,0.0,5000,1.0,0,9.916666545905173,30.43276914628223,2.5115693604721434e-09,30.0,25,0.0
LR_C1_N7_n1000_scale2,Ultra-rare categories,2000,2000,72.88503491692245,5000,1.0,0,5.204520537517965,17.0422536204572,1.5524431219715584e-10,13.0,25,0.0,5000,1.0,0,5.2288544829934835,20.625695816706934,3.1067728251121807e-10,13.0,25,0.0
