anchor_configuration_id,configuration_label,candidate,baseline,feasible_nonzero_effects,mean_power_difference,median_power_difference,candidate_higher_count,candidate_lower_count,candidate_null_rejection_rate,baseline_null_rejection_rate
C1_N0_n10,"Balanced, very small sample",constrained_lr,normal_wald,10,-0.1063268321510901,-0.08319039482430327,0,10,0.05745745745745746,0.13829787234042554
C1_N0_n10,"Balanced, very small sample",constrained_lr,expanded_welch,10,0.04552354408807705,0.0110079482338938,10,0,0.05745745745745746,0.05289052890528905
C1_N0_n10,"Balanced, very small sample",empirical_lr,normal_wald,10,-0.11651134465170201,-0.09049646014517747,0,10,0.04844844844844845,0.13829787234042554
C1_N0_n10,"Balanced, very small sample",empirical_lr,expanded_welch,10,0.03533903158746515,0.0037018829130195906,9,1,0.04844844844844845,0.05289052890528905
C1_N0_n1000,"Balanced, large sample",constrained_lr,normal_wald,10,0.00030000000000000165,9.99999999999994e-05,5,0,0.0502,0.0498
C1_N0_n1000,"Balanced, large sample",constrained_lr,expanded_welch,10,0.001519999999999997,0.0013999999999999985,8,0,0.0502,0.049
C1_N0_n1000,"Balanced, large sample",empirical_lr,normal_wald,10,0.005320000000000002,0.0058,8,0,0.054,0.0498
C1_N0_n1000,"Balanced, large sample",empirical_lr,expanded_welch,10,0.006539999999999997,0.007100000000000002,8,0,0.054,0.049
C1_N0_n50,"Balanced, moderate sample",constrained_lr,normal_wald,10,0.004019999999999989,0.005400000000000002,8,2,0.0582,0.0478
C1_N0_n50,"Balanced, moderate sample",constrained_lr,expanded_welch,10,0.016494788746761253,0.01769631926385277,10,0,0.0582,0.0404
C1_N0_n50,"Balanced, moderate sample",empirical_lr,normal_wald,10,-0.0095,-0.004199999999999992,0,10,0.05,0.0478
C1_N0_n50,"Balanced, moderate sample",empirical_lr,expanded_welch,10,0.002974788746761261,0.006091338267653533,9,1,0.05,0.0404
C1_N3_n50,One skewed population,constrained_lr,normal_wald,8,0.006325000000000006,0.011300000000000001,7,1,0.0454,0.0302
