anchor_configuration_id,mi_difference,method,rejection_rate_current_5000,rejection_rate_existing_50000,absolute_difference
C1_N0_n10,0.0,expanded_welch,0.05289052890528905,0.0473456790123456,0.005544849892943453
C1_N0_n10,0.0,normal_wald,0.13829787234042554,0.1309808012518306,0.007317071088594945
C1_N0_n10,0.0,simple_welch,0.09995985547972702,0.0971974241178004,0.0027624313619266233
C1_N0_n10,1e-05,expanded_welch,0.045715457154571544,0.0462199560005756,0.0005044988460040575
C1_N0_n10,1e-05,normal_wald,0.12685370741482965,0.1289733870806008,0.002119679665771146
C1_N0_n10,1e-05,simple_welch,0.09559118236472947,0.0962437077592603,0.0006525253945308396
C1_N0_n10,0.0001,expanded_welch,0.05219893136046034,0.0485454882342041,0.003653443126256241
C1_N0_n10,0.0001,normal_wald,0.13758523866827116,0.1340059370988446,0.0035793015694265684
C1_N0_n10,0.0001,simple_welch,0.10208584035298837,0.099446405648267,0.0026394347047213745
C1_N0_n10,0.001,expanded_welch,0.04736408566721582,0.0481669788600481,0.0008028931928322838
C1_N0_n10,0.001,normal_wald,0.12738214643931794,0.1335753831340768,0.006193236694758852
C1_N0_n10,0.001,simple_welch,0.09307923771313942,0.0993942068522827,0.006314969139143284
C1_N0_n10,0.005,expanded_welch,0.05239367166632423,0.0490559052202887,0.003337766446035527
C1_N0_n10,0.005,normal_wald,0.12998197476467055,0.1363262522316503,0.006344277466979742
C1_N0_n10,0.005,simple_welch,0.09653514920889245,0.1018234338328218,0.005288284623929357
C1_N0_n10,0.01,expanded_welch,0.044481054365733116,0.0480901742188946,0.003609119853161487
C1_N0_n10,0.01,normal_wald,0.13723916532905298,0.13768144999599,0.0004422846669370206
C1_N0_n10,0.01,simple_welch,0.10272873194221509,0.102153340283904,0.0005753916583110807
C1_N0_n10,0.02,expanded_welch,0.05009276437847866,0.0501164300286438,2.366565016513611e-05
C1_N0_n10,0.02,normal_wald,0.1448345035105316,0.1397942196995527,0.005040283810978902
C1_N0_n10,0.02,simple_welch,0.10852557673019057,0.1059989169457871,0.0025266597844034733
C1_N0_n10,0.05,expanded_welch,0.0519453642384106,0.0532954969137081,0.0013501326752975024
C1_N0_n10,0.05,normal_wald,0.16265543521861212,0.157815631262525,0.004839803956087102
C1_N0_n10,0.05,simple_welch,0.12234255916566386,0.1224649298597194,0.0001223706940555458
C1_N0_n10,0.1,expanded_welch,0.05820770519262981,0.0592708988057825,0.0010631936131526853
C1_N0_n10,0.1,normal_wald,0.18969320232604772,0.1889561695472591,0.0007370327787886155
C1_N0_n10,0.1,simple_welch,0.1525967515540405,0.1522637045354292,0.0003330470186113099
C1_N0_n10,0.2,expanded_welch,0.08138286450504617,0.073630507155519,0.0077523573495271725
C1_N0_n10,0.2,normal_wald,0.275737507525587,0.2801734521801975,0.004435944654610502
C1_N0_n10,0.2,simple_welch,0.23820991370660244,0.2385168232554404,0.00030690954883796917
C1_N0_n10,0.5,expanded_welch,0.07812895069532237,0.0775593566504978,0.0005695940448245673
C1_N0_n10,0.5,normal_wald,0.6484517304189436,0.6494905916428673,0.001038861223923715
C1_N0_n10,0.5,simple_welch,0.6106051406597854,0.6106823843956979,7.724373591244671e-05
C1_N0_n1000,0.0,expanded_welch,0.049,0.04898,1.9999999999999185e-05
C1_N0_n1000,0.0,normal_wald,0.0498,0.05016,0.00036000000000000615
C1_N0_n1000,0.0,simple_welch,0.0498,0.04998,0.0001799999999999996
C1_N0_n1000,1e-05,expanded_welch,0.0482,0.0494,0.0011999999999999997
C1_N0_n1000,1e-05,normal_wald,0.0484,0.05028,0.0018799999999999997
C1_N0_n1000,1e-05,simple_welch,0.0484,0.05012,0.0017199999999999993
C1_N0_n1000,0.0001,expanded_welch,0.051,0.04974,0.0012599999999999972
C1_N0_n1000,0.0001,normal_wald,0.0516,0.05058,0.00102
C1_N0_n1000,0.0001,simple_welch,0.0512,0.05052,0.00068
C1_N0_n1000,0.001,expanded_welch,0.0496,0.04942,0.0001799999999999996
C1_N0_n1000,0.001,normal_wald,0.0516,0.05024,0.00136
C1_N0_n1000,0.001,simple_welch,0.0512,0.05004,0.0011600000000000013
C1_N0_n1000,0.005,expanded_welch,0.0582,0.05554,0.0026600000000000026
C1_N0_n1000,0.005,normal_wald,0.0596,0.05662,0.0029800000000000035
C1_N0_n1000,0.005,simple_welch,0.0596,0.05644,0.003160000000000003
C1_N0_n1000,0.01,expanded_welch,0.0784,0.07842,2.0000000000006124e-05
C1_N0_n1000,0.01,normal_wald,0.0802,0.07988,0.00031999999999998696
C1_N0_n1000,0.01,simple_welch,0.0798,0.07966,0.00014000000000000123
C1_N0_n1000,0.02,expanded_welch,0.1548,0.1687,0.013899999999999996
C1_N0_n1000,0.02,normal_wald,0.1574,0.17076,0.013359999999999983
C1_N0_n1000,0.02,simple_welch,0.157,0.17044,0.013440000000000007
C1_N0_n1000,0.05,expanded_welch,0.667,0.6727,0.005699999999999927
C1_N0_n1000,0.05,normal_wald,0.6702,0.67486,0.0046599999999999975
C1_N0_n1000,0.05,simple_welch,0.6696,0.6743,0.0047000000000000375
C1_N0_n1000,0.1,expanded_welch,0.9938,0.99448,0.0006800000000000139
C1_N0_n1000,0.1,normal_wald,0.9942,0.9945,0.000300000000000078
C1_N0_n1000,0.1,simple_welch,0.994,0.9945,0.000500000000000056
C1_N0_n1000,0.2,expanded_welch,1.0,1.0,0.0
C1_N0_n1000,0.2,normal_wald,1.0,1.0,0.0
C1_N0_n1000,0.2,simple_welch,1.0,1.0,0.0
C1_N0_n1000,0.5,expanded_welch,1.0,1.0,0.0
C1_N0_n1000,0.5,normal_wald,1.0,1.0,0.0
C1_N0_n1000,0.5,simple_welch,1.0,1.0,0.0
C1_N0_n50,0.0,expanded_welch,0.0404,0.0379645557466896,0.0024354442533103954
C1_N0_n50,0.0,normal_wald,0.0478,0.04708,0.0007200000000000054
C1_N0_n50,0.0,simple_welch,0.0442,0.0431,0.0011000000000000038
C1_N0_n50,1e-05,expanded_welch,0.0386,0.0383215328613144,0.0002784671386856022
C1_N0_n50,1e-05,normal_wald,0.05,0.04858,0.0014200000000000046
C1_N0_n50,1e-05,simple_welch,0.0464,0.04446,0.0019399999999999973
C1_N0_n50,0.0001,expanded_welch,0.04,0.0381022861371682,0.0018977138628318013
C1_N0_n50,0.0001,normal_wald,0.0538,0.04832,0.005479999999999999
C1_N0_n50,0.0001,simple_welch,0.0474,0.0442,0.0031999999999999945
C1_N0_n50,0.001,expanded_welch,0.03680736147229446,0.0382815312612504,0.0014741697889559396
C1_N0_n50,0.001,normal_wald,0.0456,0.04792,0.0023199999999999957
C1_N0_n50,0.001,simple_welch,0.0412,0.04416,0.0029599999999999974
C1_N0_n50,0.005,expanded_welch,0.0412,0.0387607752155043,0.0024392247844957013
C1_N0_n50,0.005,normal_wald,0.0524,0.04864,0.0037599999999999995
C1_N0_n50,0.005,simple_welch,0.0488,0.04438,0.00442
C1_N0_n50,0.01,expanded_welch,0.040208041608321664,0.0404808096161923,0.0002727680078706343
C1_N0_n50,0.01,normal_wald,0.049,0.05082,0.0018199999999999952
C1_N0_n50,0.01,simple_welch,0.0468,0.04662,0.0001799999999999996
C1_N0_n50,0.02,expanded_welch,0.04980996199239848,0.0460627637658259,0.0037471982265725803
C1_N0_n50,0.02,normal_wald,0.0608,0.05606,0.004740000000000001
C1_N0_n50,0.02,simple_welch,0.0564,0.0517,0.004699999999999996
C1_N0_n50,0.05,expanded_welch,0.0764,0.0748229929197168,0.001577007080283202
C1_N0_n50,0.05,normal_wald,0.0902,0.08684,0.003360000000000002
C1_N0_n50,0.05,simple_welch,0.0846,0.08134,0.003259999999999999
C1_N0_n50,0.1,expanded_welch,0.15943188637727546,0.16202,0.0025881136227245416
C1_N0_n50,0.1,normal_wald,0.1806,0.17898,0.0016200000000000103
C1_N0_n50,0.1,simple_welch,0.17,0.17058,0.0005799999999999972
C1_N0_n50,0.2,expanded_welch,0.4494,0.455923829336107,0.006523829336106957
C1_N0_n50,0.2,normal_wald,0.4684,0.47296,0.0045600000000000085
C1_N0_n50,0.2,simple_welch,0.4574,0.46304,0.005640000000000034
C1_N0_n50,0.5,expanded_welch,0.9857948610820974,0.988789190771998,0.0029943296899006544
C1_N0_n50,0.5,normal_wald,0.9916,0.9932,0.0015999999999999348
C1_N0_n50,0.5,simple_welch,0.9914,0.99276,0.0013600000000000279
C1_N3_n50,0.0,expanded_welch,0.016508959130259713,0.017271191893196,0.0007622327629362886
C1_N3_n50,0.0,normal_wald,0.0302,0.0309618577114626,0.0007618577114625984
C1_N3_n50,0.0,simple_welch,0.0268,0.027981678900734,0.0011816789007339998
C1_N3_n50,1e-05,expanded_welch,0.018663455749548464,0.0156677393403057,0.0029957164092427636
C1_N3_n50,1e-05,normal_wald,0.031,0.0292811712468498,0.0017188287531502006
C1_N3_n50,1e-05,simple_welch,0.0276,0.0264010560422416,0.0011989439577583978
C1_N3_n50,0.0001,expanded_welch,0.018119589289309443,0.0164762211314074,0.0016433681579020414
C1_N3_n50,0.0001,normal_wald,0.0338,0.02992,0.003879999999999998
C1_N3_n50,0.0001,simple_welch,0.0304,0.0268,0.003599999999999999
C1_N3_n50,0.001,expanded_welch,0.015706806282722512,0.0179950136721891,0.002288207389466588
C1_N3_n50,0.001,normal_wald,0.03,0.03172,0.0017199999999999993
C1_N3_n50,0.001,simple_welch,0.0272,0.02862,0.0014200000000000011
C1_N3_n50,0.005,expanded_welch,0.0213365539452496,0.0201431328401415,0.0011934211051080994
C1_N3_n50,0.005,normal_wald,0.035,0.0353814152566102,0.00038141525661019443
C1_N3_n50,0.005,simple_welch,0.0328,0.032321292851714,0.00047870714828600336
C1_N3_n50,0.01,expanded_welch,0.026141162276291978,0.0250060303931816,0.0011351318831103775
C1_N3_n50,0.01,normal_wald,0.0446,0.0425017000680027,0.0020982999319973036
C1_N3_n50,0.01,simple_welch,0.0404,0.0387815512620504,0.0016184487379495988
C1_N3_n50,0.02,expanded_welch,0.03503826016915022,0.0361717100633356,0.0011334498941853802
C1_N3_n50,0.02,normal_wald,0.0558,0.0567611352227044,0.0009611352227043984
C1_N3_n50,0.02,simple_welch,0.0522,0.0528610572211444,0.0006610572211443941
C1_N3_n50,0.05,expanded_welch,0.0927938808373591,0.0894724143477561,0.003321466489602992
C1_N3_n50,0.05,normal_wald,0.1344,0.13056,0.0038399999999999823
C1_N3_n50,0.05,simple_welch,0.1264,0.12308,0.0033200000000000174
C1_N3_n50,0.1,expanded_welch,0.23576745121705894,0.2265425521220772,0.009224899094981753
C1_N3_n50,0.1,normal_wald,0.308,0.30288,0.005120000000000013
C1_N3_n50,0.1,simple_welch,0.2976,0.29022,0.007379999999999998
C1_N6_n100,0.0,expanded_welch,0.008251157174481787,0.0068172220322963,0.0014339351421854872
C1_N6_n100,0.0,normal_wald,0.0708,0.0665026601064042,0.004297339893595806
C1_N6_n100,0.0,simple_welch,0.0698,0.06396255850234,0.005837441497659995
C1_N6_n100,1e-05,expanded_welch,0.006238679814852083,0.0065596201054368,0.00032094029058471734
C1_N6_n100,1e-05,normal_wald,0.06802721088435375,0.0659839590375422,0.0020432518468115474
C1_N6_n100,1e-05,simple_welch,0.0666266506602641,0.0636038162289737,0.003022834431290408
C1_N6_n100,0.0001,expanded_welch,0.005035246727089627,0.0064757461185745,0.0014404993914848728
C1_N6_n100,0.0001,normal_wald,0.0572,0.0669426777071082,0.009742677707108197
C1_N6_n100,0.0001,simple_welch,0.0562,0.0648625945037801,0.008662594503780097
