configuration_id,lr_valid_count,lr_valid_rate,lr_retry_count,lr_median_elapsed_ms,lr_p99_elapsed_ms,lr_max_constraint_residual,lr_median_iterations,lr_full_start_audit_count,lr_full_start_max_statistic_difference
CURVE_CURVE_C1_N0_n1000_di0_scale1,5000,1.0,0,9.240354062058032,10.513644488528373,9.695868843917488e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n1000_di0p0001_scale1,5000,1.0,0,5.77631255146116,10.150174186564984,9.76915912054288e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n1000_di0p001_scale1,5000,1.0,0,5.65881235525012,6.567284597549588,9.835162143034815e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n1000_di0p005_scale1,5000,1.0,0,5.6941668735817075,6.569775738753378,9.971134640185397e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n1000_di0p01_scale1,5000,1.0,0,5.78089605551213,6.724478786345572,9.500416980889881e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n1000_di0p02_scale1,5000,1.0,0,5.6343956384807825,6.327340849675238,9.429136180183484e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n1000_di0p05_scale1,5000,1.0,0,5.6586876744404435,6.335855699144305,9.814789814210911e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n1000_di0p1_scale1,5000,1.0,0,5.620833020657301,6.353065515868366,9.166963521600735e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n1000_di0p2_scale1,5000,1.0,0,5.824479623697698,6.427052132785322,8.810160934125122e-09,11.0,25,0.0
CURVE_CURVE_C1_N0_n1000_di0p5_scale1,5000,1.0,0,6.791875581257045,11.146033129189169,8.503655835045976e-09,15.0,25,0.0
CURVE_CURVE_C1_N0_n1000_di1em05_scale1,5000,1.0,0,9.173542028293014,10.471815520431848,9.698192457441301e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n10_di0_scale1,4995,0.999,5,6.471707951277494,26.331523992121245,9.525368160900882e-09,11.0,25,0.0
CURVE_CURVE_C1_N0_n10_di0p0001_scale1,4995,0.999,5,6.441500037908554,25.413586236536553,9.982637803190864e-09,11.0,25,0.0
CURVE_CURVE_C1_N0_n10_di0p001_scale1,4992,0.9984,8,6.519103888422251,26.525710392743363,9.740896880772176e-09,11.0,25,0.0
CURVE_CURVE_C1_N0_n10_di0p005_scale1,4998,0.9996,2,6.6921040415763855,26.71139678917824,9.740896769749874e-09,11.0,25,0.0
CURVE_CURVE_C1_N0_n10_di0p01_scale1,4997,0.9994,3,6.705332780256867,27.505865618586537,9.740896769749874e-09,11.0,24,0.0
CURVE_CURVE_C1_N0_n10_di0p02_scale1,4995,0.999,5,6.69308309443295,27.61961946729571,9.525368604990092e-09,11.0,25,0.0
CURVE_CURVE_C1_N0_n10_di0p05_scale1,4997,0.9994,3,6.808499805629253,28.644095202907916,9.740896880772176e-09,11.0,25,0.0
CURVE_CURVE_C1_N0_n10_di0p1_scale1,4999,0.9998,1,7.0454999804496765,28.767219143919544,9.740896880772176e-09,11.0,25,0.0
CURVE_CURVE_C1_N0_n10_di0p2_scale1,5000,1.0,0,7.165229064412415,29.34833849547432,9.740896880772176e-09,12.0,25,0.0
CURVE_CURVE_C1_N0_n10_di0p5_scale1,5000,1.0,0,7.351458538323641,27.81868374673651,9.525368604990092e-09,13.0,25,0.0
CURVE_CURVE_C1_N0_n10_di1em05_scale1,4998,0.9996,2,6.504374905489385,27.086927529890026,9.740896880772176e-09,11.0,25,0.0
CURVE_CURVE_C1_N0_n50_di0_scale1,5000,1.0,0,7.7553545124828815,21.90821032272654,9.994055694129145e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n50_di0p0001_scale1,5000,1.0,0,7.826979039236903,19.22755969222643,9.983566834348423e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n50_di0p001_scale1,5000,1.0,0,7.758416468277574,19.042071320582185,9.974452375161036e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n50_di0p005_scale1,5000,1.0,0,7.759541505947709,20.87601175764576,9.967745732974986e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n50_di0p01_scale1,5000,1.0,0,7.856645388528705,17.833597445860573,9.974451709027221e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n50_di0p02_scale1,5000,1.0,0,7.927853963337839,17.827642024494818,9.93211500543989e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n50_di0p05_scale1,5000,1.0,0,7.890562992542982,18.48647118080408,9.930285288506369e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n50_di0p1_scale1,5000,1.0,0,7.9153545666486025,18.48577727098019,9.975178676124852e-09,11.0,25,0.0
CURVE_CURVE_C1_N0_n50_di0p2_scale1,5000,1.0,0,8.092500385828316,21.141048662830144,9.978032344815091e-09,11.0,25,0.0
CURVE_CURVE_C1_N0_n50_di0p5_scale1,5000,1.0,0,9.88345849327743,28.887159256264574,9.979334913978732e-09,16.0,25,0.0
CURVE_CURVE_C1_N0_n50_di1em05_scale1,5000,1.0,0,7.841374492272735,17.934599269647205,9.985174763416094e-09,10.0,25,0.0
CURVE_CURVE_C1_N3_n50_di0_scale1,5000,1.0,0,4.888499970547855,17.489970605820467,9.997760064273109e-09,11.0,25,0.0
CURVE_CURVE_C1_N3_n50_di0p0001_scale1,5000,1.0,0,4.836708423681557,17.325980707537393,9.999084643608214e-09,11.0,25,0.0
CURVE_CURVE_C1_N3_n50_di0p001_scale1,5000,1.0,0,4.821708193048835,16.086744079366362,9.981087727151117e-09,11.0,25,0.0
CURVE_CURVE_C1_N3_n50_di0p005_scale1,5000,1.0,0,4.847645992413163,16.65839844616136,9.999582089442738e-09,11.0,25,0.0
CURVE_CURVE_C1_N3_n50_di0p01_scale1,5000,1.0,0,4.870125092566013,16.42537926789374,9.973403745228149e-09,11.0,25,0.0
CURVE_CURVE_C1_N3_n50_di0p02_scale1,5000,1.0,0,4.936250043101609,17.019749283790603,9.981472478409747e-09,11.0,25,0.0
CURVE_CURVE_C1_N3_n50_di0p05_scale1,5000,1.0,0,5.880104494281113,17.73671963484965,9.981111055712422e-09,14.0,25,0.0
CURVE_CURVE_C1_N3_n50_di0p1_scale1,5000,1.0,0,6.259082932956517,14.799888280686057,9.985248197730279e-09,16.0,25,0.0
CURVE_CURVE_C1_N3_n50_di1em05_scale1,5000,1.0,0,4.867332871071994,17.688410887494697,9.973928447037927e-09,11.0,25,0.0
CURVE_CURVE_C1_N6_n100_di0_scale1,5000,1.0,0,7.619249983690679,15.587749702390287,9.650071703531937e-09,25.0,25,0.0
CURVE_CURVE_C1_N6_n100_di0p0001_scale1,5000,1.0,0,7.67952052410692,15.40287699084729,9.65246466089198e-09,26.0,25,0.0
CURVE_CURVE_C1_N6_n100_di0p001_scale1,5000,1.0,0,7.832125062122941,15.141237159259619,8.947557429347941e-09,28.0,25,0.0
CURVE_CURVE_C1_N6_n100_di0p005_scale1,5000,1.0,0,8.238958427682519,15.08494454901666,5.98270812925128e-09,31.0,25,0.0
CURVE_CURVE_C1_N6_n100_di1em05_scale1,5000,1.0,0,7.594020455144346,15.73179657338188,9.211647600954054e-09,25.0,25,0.0
CURVE_CURVE_C1_N6_n200_di0_scale1,5000,1.0,0,7.874978939071298,15.398673182353381,9.284618707541825e-09,19.0,25,0.0
CURVE_CURVE_C1_N6_n200_di0p0001_scale1,5000,1.0,0,7.792166899889708,14.65070499572903,9.54091669124607e-09,20.0,25,0.0
CURVE_CURVE_C1_N6_n200_di0p001_scale1,5000,1.0,0,8.13387508969754,15.016878978349272,9.658696610743978e-09,22.0,25,0.0
CURVE_CURVE_C1_N6_n200_di0p005_scale1,5000,1.0,0,8.844791096635163,15.303890297655018,9.901777594037431e-09,30.0,25,0.0
CURVE_CURVE_C1_N6_n200_di1em05_scale1,5000,1.0,0,7.746500079520047,14.883115557022395,9.742768296121251e-09,19.0,25,0.0
CURVE_CURVE_C1_N7_n1000_di0_scale1,5000,1.0,0,10.392895550467074,32.22368341870607,5.76532754696657e-10,30.0,25,0.0
CURVE_CURVE_C1_N7_n1000_di0p0001_scale1,5000,1.0,0,10.273916530422866,32.190706920810044,2.5115693604721434e-09,30.0,25,0.0
CURVE_CURVE_C1_N7_n1000_di0p001_scale1,5000,1.0,0,7.612562505528331,31.825146493501975,5.234275890324269e-10,21.0,25,0.0
CURVE_CURVE_C1_N7_n1000_di0p005_scale1,5000,1.0,0,7.19154195394367,31.538101218175157,7.098292630763892e-10,20.0,25,0.0
CURVE_CURVE_C1_N7_n1000_di1em05_scale1,5000,1.0,0,10.320166940800846,31.786488103680323,9.407438179148686e-10,30.0,25,0.0
CURVE_CURVE_C2_N0_np20_nq200_di0_scale1,5000,1.0,0,4.666812485083938,16.28604252357039,9.994427174753184e-09,10.0,25,0.0
CURVE_CURVE_C2_N0_np20_nq200_di0p0001_scale1,5000,1.0,0,4.690499976277351,15.707076175604017,9.999956418482725e-09,10.0,25,0.0
CURVE_CURVE_C2_N0_np20_nq200_di0p001_scale1,5000,1.0,0,4.625999950803816,16.294335767161154,9.95825975846909e-09,10.0,25,0.0
CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale1,5000,1.0,0,4.657666548155248,15.723565164953472,9.989114702069202e-09,10.0,25,0.0
CURVE_CURVE_C2_N0_np20_nq200_di0p01_scale1,5000,1.0,0,4.654541495256126,15.046441415324823,9.964965130837555e-09,10.0,25,0.0
CURVE_CURVE_C2_N0_np20_nq200_di0p02_scale1,5000,1.0,0,4.711520508863032,15.578351730946483,9.941919121292386e-09,10.0,25,0.0
CURVE_CURVE_C2_N0_np20_nq200_di0p05_scale1,5000,1.0,0,4.663041443563998,12.929152750875812,9.982309173706128e-09,10.0,25,0.0
CURVE_CURVE_C2_N0_np20_nq200_di0p1_scale1,5000,1.0,0,4.71281202044338,10.80681995954365,9.78158445907873e-09,10.0,25,0.0
CURVE_CURVE_C2_N0_np20_nq200_di0p2_scale1,5000,1.0,0,4.788979422301054,10.732332975603642,9.579686321981029e-09,11.0,25,0.0
CURVE_CURVE_C2_N0_np20_nq200_di0p5_scale1,5000,1.0,0,5.687874974682927,19.521040925756097,9.995845040577933e-09,14.0,25,0.0
CURVE_CURVE_C2_N0_np20_nq200_di1em05_scale1,5000,1.0,0,4.664937499910593,16.928072681184872,9.99600877071849e-09,10.0,25,0.0
CURVE_CURVE_C2_N3_np500_nq50_di0_scale1,5000,1.0,0,5.3461045026779175,12.849405347369613,9.993794840290615e-09,11.0,25,0.0
CURVE_CURVE_C2_N3_np500_nq50_di0p0001_scale1,5000,1.0,0,5.348999984562397,13.095792068634186,9.977077618933405e-09,11.0,25,0.0
CURVE_CURVE_C2_N3_np500_nq50_di0p001_scale1,5000,1.0,0,5.374478991143405,12.429316991474483,9.920625133885697e-09,11.0,25,0.0
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale1,5000,1.0,0,5.340707954019308,12.933624847792094,9.913925201610052e-09,11.0,25,0.0
CURVE_CURVE_C2_N3_np500_nq50_di0p01_scale1,5000,1.0,0,5.348833394236863,12.307077113073325,9.998555931117759e-09,11.0,25,0.0
CURVE_CURVE_C2_N3_np500_nq50_di0p02_scale1,5000,1.0,0,5.341749871149659,11.742338014300916,9.891432915798415e-09,11.0,25,0.0
CURVE_CURVE_C2_N3_np500_nq50_di0p05_scale1,5000,1.0,0,5.609812564216554,11.665194132365288,9.130035769078226e-09,12.0,25,0.0
CURVE_CURVE_C2_N3_np500_nq50_di0p1_scale1,5000,1.0,0,5.788937560282648,11.391362501308324,5.88025014097715e-09,13.0,25,0.0
CURVE_CURVE_C2_N3_np500_nq50_di1em05_scale1,5000,1.0,0,5.3508124547079206,13.15137999830768,9.9879624501642e-09,11.0,25,0.0
CURVE_CURVE_C2_N5_np200_nq2000_di0_scale1,5000,1.0,0,4.93952096439898,11.310093882493675,2.95915441282657e-09,11.0,25,0.0
CURVE_CURVE_C2_N5_np200_nq2000_di0p0001_scale1,5000,1.0,0,4.98462503310293,11.418380364775658,3.014123848080197e-09,11.0,25,0.0
CURVE_CURVE_C2_N5_np200_nq2000_di0p001_scale1,5000,1.0,0,4.964833497069776,11.368730519898238,5.174773801738114e-09,11.0,25,0.0
CURVE_CURVE_C2_N5_np200_nq2000_di0p005_scale1,5000,1.0,0,5.071145948022604,11.479408282320948,9.54050034460141e-09,11.0,25,0.0
CURVE_CURVE_C2_N5_np200_nq2000_di0p01_scale1,5000,1.0,0,5.170125048607588,11.524686531629413,3.964864591157746e-09,12.0,25,0.0
CURVE_CURVE_C2_N5_np200_nq2000_di0p02_scale1,5000,1.0,0,5.513833020813763,12.590271669905633,9.469480789781048e-09,13.0,25,0.0
CURVE_CURVE_C2_N5_np200_nq2000_di1em05_scale1,5000,1.0,0,4.937208606861532,11.360223458614202,2.810291084912042e-09,11.0,25,0.0
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0_scale1,5000,1.0,0,5.382312461733818,7.31619865866378,9.973030182935938e-09,9.0,25,0.0
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p0001_scale1,5000,1.0,0,5.370624945499003,7.251772291492674,9.917804508208228e-09,9.0,25,0.0
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p001_scale1,5000,1.0,0,5.376020446419716,7.048804862424735,9.889680652533372e-09,9.0,25,0.0
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p005_scale1,5000,1.0,0,5.463604466058314,7.168572896625848,9.488685993180868e-09,9.0,25,0.0
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p01_scale1,5000,1.0,0,5.490750074386597,7.503835456445815,9.98937099358499e-09,9.0,25,0.0
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p02_scale1,5000,1.0,0,5.5543334456160665,7.92710636742413,9.729407828007464e-09,9.0,25,0.0
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p05_scale1,5000,1.0,0,5.6674794759601355,9.087019183207307,9.956447055703421e-09,10.0,25,0.0
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p1_scale1,5000,1.0,0,5.828874884173274,10.784796082880348,9.951554101605975e-09,10.0,25,0.0
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p2_scale1,5000,1.0,0,5.998416454531252,9.892513607628644,9.997907612913082e-09,11.0,25,0.0
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p5_scale1,5000,1.0,0,9.022562531754375,15.534181876573713,9.998220695806026e-09,14.0,25,0.0
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di1em05_scale1,5000,1.0,0,5.391749902628362,7.575150937773296,9.986272583167866e-09,9.0,25,0.0
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0_scale1,5000,1.0,0,5.769833107478917,13.836573332082482,3.975116514166183e-09,13.0,25,0.0
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p0001_scale1,5000,1.0,0,5.679271067492664,13.452481271233413,4.055985439871401e-09,12.0,25,0.0
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p001_scale1,5000,1.0,0,5.37264603190124,12.695081240963194,7.834323976010915e-09,12.0,25,0.0
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p005_scale1,5000,1.0,0,5.400583613663912,12.160111288540078,9.405959365549332e-09,12.0,25,0.0
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p01_scale1,5000,1.0,0,5.601062439382076,12.848632421810187,9.919844480565931e-09,12.0,25,0.0
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p02_scale1,5000,1.0,0,5.830791546031833,14.641803414560856,9.98553343657671e-09,13.0,25,0.0
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0p05_scale1,5000,1.0,0,6.958666606806219,17.596385488286643,9.990298494716443e-09,17.0,25,0.0
CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di1em05_scale1,5000,1.0,0,5.781771149486303,13.484290835913278,4.2806217099601584e-09,13.0,25,0.0
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0_scale1,5000,1.0,0,6.02106295991689,14.92578118573875,9.970121846170077e-09,14.0,25,0.0
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0p0001_scale1,5000,1.0,0,5.96941658295691,14.854060360230507,8.947557429347941e-09,14.0,25,0.0
CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0p001_scale1,5000,1.0,0,5.762895569205284,14.784174913074823,9.976046403889494e-09,14.0,25,0.0
