anchor_configuration_id,mi_difference,method,rejection_rate_current_5000,rejection_rate_existing_50000,absolute_difference
C1_N0_n10,0.0,expanded_welch,0.1,0.0473456790123456,0.05265432098765441
C1_N0_n10,0.0,normal_wald,0.3,0.1309808012518306,0.1690191987481694
C1_N0_n10,0.0,simple_welch,0.2,0.0971974241178004,0.10280257588219961
C1_N0_n10,1e-05,expanded_welch,0.0,0.0462199560005756,0.0462199560005756
C1_N0_n10,1e-05,normal_wald,0.0,0.1289733870806008,0.1289733870806008
C1_N0_n10,1e-05,simple_welch,0.0,0.0962437077592603,0.0962437077592603
C1_N0_n10,0.0001,expanded_welch,0.0,0.0485454882342041,0.0485454882342041
C1_N0_n10,0.0001,normal_wald,0.2,0.1340059370988446,0.06599406290115542
C1_N0_n10,0.0001,simple_welch,0.2,0.099446405648267,0.10055359435173301
C1_N0_n10,0.001,expanded_welch,0.0,0.0481669788600481,0.0481669788600481
C1_N0_n10,0.001,normal_wald,0.0,0.1335753831340768,0.1335753831340768
C1_N0_n10,0.001,simple_welch,0.0,0.0993942068522827,0.0993942068522827
C1_N0_n10,0.005,expanded_welch,0.0,0.0490559052202887,0.0490559052202887
C1_N0_n10,0.005,normal_wald,0.0,0.1363262522316503,0.1363262522316503
C1_N0_n10,0.005,simple_welch,0.0,0.1018234338328218,0.1018234338328218
C1_N0_n10,0.01,expanded_welch,0.0,0.0480901742188946,0.0480901742188946
C1_N0_n10,0.01,normal_wald,0.0,0.13768144999599,0.13768144999599
C1_N0_n10,0.01,simple_welch,0.0,0.102153340283904,0.102153340283904
C1_N0_n10,0.02,expanded_welch,0.0,0.0501164300286438,0.0501164300286438
C1_N0_n10,0.02,normal_wald,0.1,0.1397942196995527,0.039794219699552685
C1_N0_n10,0.02,simple_welch,0.0,0.1059989169457871,0.1059989169457871
C1_N0_n10,0.05,expanded_welch,0.0,0.0532954969137081,0.0532954969137081
C1_N0_n10,0.05,normal_wald,0.1,0.157815631262525,0.05781563126252501
C1_N0_n10,0.05,simple_welch,0.0,0.1224649298597194,0.1224649298597194
C1_N0_n10,0.1,expanded_welch,0.0,0.0592708988057825,0.0592708988057825
C1_N0_n10,0.1,normal_wald,0.1,0.1889561695472591,0.0889561695472591
C1_N0_n10,0.1,simple_welch,0.0,0.1522637045354292,0.1522637045354292
C1_N0_n10,0.2,expanded_welch,0.0,0.073630507155519,0.073630507155519
C1_N0_n10,0.2,normal_wald,0.2,0.2801734521801975,0.0801734521801975
C1_N0_n10,0.2,simple_welch,0.2,0.2385168232554404,0.0385168232554404
C1_N0_n10,0.5,expanded_welch,0.1111111111111111,0.0775593566504978,0.0335517544606133
C1_N0_n10,0.5,normal_wald,0.6,0.6494905916428673,0.04949059164286729
C1_N0_n10,0.5,simple_welch,0.6,0.6106823843956979,0.010682384395697908
C1_N0_n1000,0.0,expanded_welch,0.0,0.04898,0.04898
C1_N0_n1000,0.0,normal_wald,0.0,0.05016,0.05016
C1_N0_n1000,0.0,simple_welch,0.0,0.04998,0.04998
C1_N0_n1000,1e-05,expanded_welch,0.0,0.0494,0.0494
C1_N0_n1000,1e-05,normal_wald,0.0,0.05028,0.05028
C1_N0_n1000,1e-05,simple_welch,0.0,0.05012,0.05012
C1_N0_n1000,0.0001,expanded_welch,0.0,0.04974,0.04974
C1_N0_n1000,0.0001,normal_wald,0.0,0.05058,0.05058
C1_N0_n1000,0.0001,simple_welch,0.0,0.05052,0.05052
C1_N0_n1000,0.001,expanded_welch,0.0,0.04942,0.04942
C1_N0_n1000,0.001,normal_wald,0.0,0.05024,0.05024
C1_N0_n1000,0.001,simple_welch,0.0,0.05004,0.05004
C1_N0_n1000,0.005,expanded_welch,0.1,0.05554,0.044460000000000006
C1_N0_n1000,0.005,normal_wald,0.1,0.05662,0.04338000000000001
C1_N0_n1000,0.005,simple_welch,0.1,0.05644,0.04356000000000001
C1_N0_n1000,0.01,expanded_welch,0.1,0.07842,0.021580000000000002
C1_N0_n1000,0.01,normal_wald,0.1,0.07988,0.02012
C1_N0_n1000,0.01,simple_welch,0.1,0.07966,0.02034000000000001
C1_N0_n1000,0.02,expanded_welch,0.2,0.1687,0.03130000000000002
C1_N0_n1000,0.02,normal_wald,0.2,0.17076,0.029240000000000016
C1_N0_n1000,0.02,simple_welch,0.2,0.17044,0.029560000000000003
C1_N0_n1000,0.05,expanded_welch,0.6,0.6727,0.07269999999999999
C1_N0_n1000,0.05,normal_wald,0.6,0.67486,0.07486000000000004
C1_N0_n1000,0.05,simple_welch,0.6,0.6743,0.07430000000000003
C1_N0_n1000,0.1,expanded_welch,1.0,0.99448,0.005519999999999969
C1_N0_n1000,0.1,normal_wald,1.0,0.9945,0.005499999999999949
C1_N0_n1000,0.1,simple_welch,1.0,0.9945,0.005499999999999949
C1_N0_n1000,0.2,expanded_welch,1.0,1.0,0.0
C1_N0_n1000,0.2,normal_wald,1.0,1.0,0.0
C1_N0_n1000,0.2,simple_welch,1.0,1.0,0.0
C1_N0_n1000,0.5,expanded_welch,1.0,1.0,0.0
C1_N0_n1000,0.5,normal_wald,1.0,1.0,0.0
C1_N0_n1000,0.5,simple_welch,1.0,1.0,0.0
C1_N0_n50,0.0,expanded_welch,0.1,0.0379645557466896,0.0620354442533104
C1_N0_n50,0.0,normal_wald,0.1,0.04708,0.05292000000000001
C1_N0_n50,0.0,simple_welch,0.1,0.0431,0.056900000000000006
C1_N0_n50,1e-05,expanded_welch,0.0,0.0383215328613144,0.0383215328613144
C1_N0_n50,1e-05,normal_wald,0.1,0.04858,0.05142000000000001
C1_N0_n50,1e-05,simple_welch,0.1,0.04446,0.055540000000000006
C1_N0_n50,0.0001,expanded_welch,0.0,0.0381022861371682,0.0381022861371682
C1_N0_n50,0.0001,normal_wald,0.0,0.04832,0.04832
C1_N0_n50,0.0001,simple_welch,0.0,0.0442,0.0442
C1_N0_n50,0.001,expanded_welch,0.0,0.0382815312612504,0.0382815312612504
C1_N0_n50,0.001,normal_wald,0.0,0.04792,0.04792
C1_N0_n50,0.001,simple_welch,0.0,0.04416,0.04416
C1_N0_n50,0.005,expanded_welch,0.0,0.0387607752155043,0.0387607752155043
C1_N0_n50,0.005,normal_wald,0.1,0.04864,0.05136
C1_N0_n50,0.005,simple_welch,0.1,0.04438,0.05562
C1_N0_n50,0.01,expanded_welch,0.0,0.0404808096161923,0.0404808096161923
C1_N0_n50,0.01,normal_wald,0.0,0.05082,0.05082
C1_N0_n50,0.01,simple_welch,0.0,0.04662,0.04662
C1_N0_n50,0.02,expanded_welch,0.0,0.0460627637658259,0.0460627637658259
C1_N0_n50,0.02,normal_wald,0.0,0.05606,0.05606
C1_N0_n50,0.02,simple_welch,0.0,0.0517,0.0517
C1_N0_n50,0.05,expanded_welch,0.0,0.0748229929197168,0.0748229929197168
C1_N0_n50,0.05,normal_wald,0.0,0.08684,0.08684
C1_N0_n50,0.05,simple_welch,0.0,0.08134,0.08134
C1_N0_n50,0.1,expanded_welch,0.1,0.16202,0.06201999999999999
C1_N0_n50,0.1,normal_wald,0.1,0.17898,0.07898
C1_N0_n50,0.1,simple_welch,0.1,0.17058,0.07058
C1_N0_n50,0.2,expanded_welch,0.7,0.455923829336107,0.24407617066389298
C1_N0_n50,0.2,normal_wald,0.7,0.47296,0.22703999999999996
C1_N0_n50,0.2,simple_welch,0.7,0.46304,0.23695999999999995
C1_N0_n50,0.5,expanded_welch,1.0,0.988789190771998,0.011210809228001994
C1_N0_n50,0.5,normal_wald,1.0,0.9932,0.006800000000000028
C1_N0_n50,0.5,simple_welch,1.0,0.99276,0.007240000000000024
C1_N3_n50,0.0,expanded_welch,0.0,0.017271191893196,0.017271191893196
C1_N3_n50,0.0,normal_wald,0.0,0.0309618577114626,0.0309618577114626
C1_N3_n50,0.0,simple_welch,0.0,0.027981678900734,0.027981678900734
C1_N3_n50,1e-05,expanded_welch,0.1,0.0156677393403057,0.0843322606596943
C1_N3_n50,1e-05,normal_wald,0.1,0.0292811712468498,0.0707188287531502
C1_N3_n50,1e-05,simple_welch,0.1,0.0264010560422416,0.0735989439577584
C1_N3_n50,0.0001,expanded_welch,0.0,0.0164762211314074,0.0164762211314074
C1_N3_n50,0.0001,normal_wald,0.0,0.02992,0.02992
C1_N3_n50,0.0001,simple_welch,0.0,0.0268,0.0268
C1_N3_n50,0.001,expanded_welch,0.0,0.0179950136721891,0.0179950136721891
C1_N3_n50,0.001,normal_wald,0.0,0.03172,0.03172
C1_N3_n50,0.001,simple_welch,0.0,0.02862,0.02862
C1_N3_n50,0.005,expanded_welch,0.0,0.0201431328401415,0.0201431328401415
C1_N3_n50,0.005,normal_wald,0.1,0.0353814152566102,0.0646185847433898
C1_N3_n50,0.005,simple_welch,0.1,0.032321292851714,0.067678707148286
C1_N3_n50,0.01,expanded_welch,0.0,0.0250060303931816,0.0250060303931816
C1_N3_n50,0.01,normal_wald,0.0,0.0425017000680027,0.0425017000680027
C1_N3_n50,0.01,simple_welch,0.0,0.0387815512620504,0.0387815512620504
C1_N3_n50,0.02,expanded_welch,0.0,0.0361717100633356,0.0361717100633356
C1_N3_n50,0.02,normal_wald,0.0,0.0567611352227044,0.0567611352227044
C1_N3_n50,0.02,simple_welch,0.0,0.0528610572211444,0.0528610572211444
C1_N3_n50,0.05,expanded_welch,0.0,0.0894724143477561,0.0894724143477561
C1_N3_n50,0.05,normal_wald,0.0,0.13056,0.13056
C1_N3_n50,0.05,simple_welch,0.0,0.12308,0.12308
C1_N3_n50,0.1,expanded_welch,0.2,0.2265425521220772,0.02654255212207718
C1_N3_n50,0.1,normal_wald,0.2,0.30288,0.10287999999999997
C1_N3_n50,0.1,simple_welch,0.2,0.29022,0.09021999999999997
C1_N6_n100,0.0,expanded_welch,0.0,0.0068172220322963,0.0068172220322963
C1_N6_n100,0.0,normal_wald,0.1,0.0665026601064042,0.03349733989359581
C1_N6_n100,0.0,simple_welch,0.1,0.06396255850234,0.03603744149766
C1_N6_n100,1e-05,expanded_welch,0.0,0.0065596201054368,0.0065596201054368
C1_N6_n100,1e-05,normal_wald,0.1,0.0659839590375422,0.034016040962457805
C1_N6_n100,1e-05,simple_welch,0.1,0.0636038162289737,0.03639618377102631
C1_N6_n100,0.0001,expanded_welch,0.0,0.0064757461185745,0.0064757461185745
C1_N6_n100,0.0001,normal_wald,0.0,0.0669426777071082,0.0669426777071082
C1_N6_n100,0.0001,simple_welch,0.0,0.0648625945037801,0.0648625945037801
C1_N6_n100,0.001,expanded_welch,0.0,0.0069225041756384,0.0069225041756384
C1_N6_n100,0.001,normal_wald,0.1,0.0701028041121644,0.029897195887835612
C1_N6_n100,0.001,simple_welch,0.1,0.0673626945077803,0.0326373054922197
C1_N6_n100,0.005,expanded_welch,0.0,0.0092976454014892,0.0092976454014892
C1_N6_n100,0.005,normal_wald,0.1,0.0850217004340086,0.014978299565991407
C1_N6_n100,0.005,simple_welch,0.1,0.0824816496329926,0.0175183503670074
C1_N6_n200,0.0,expanded_welch,0.1,0.0344420665239914,0.0655579334760086
C1_N6_n200,0.0,normal_wald,0.2,0.13076,0.06924000000000002
C1_N6_n200,0.0,simple_welch,0.2,0.13002,0.06998000000000001
C1_N6_n200,1e-05,expanded_welch,0.0,0.0373214928597143,0.0373214928597143
C1_N6_n200,1e-05,normal_wald,0.1,0.13438,0.034379999999999994
C1_N6_n200,1e-05,simple_welch,0.1,0.13346,0.03345999999999999
C1_N6_n200,0.0001,expanded_welch,0.0,0.037102226133568,0.037102226133568
C1_N6_n200,0.0001,normal_wald,0.3,0.135222704454089,0.164777295545911
C1_N6_n200,0.0001,simple_welch,0.3,0.134282685653713,0.16571731434628698
C1_N6_n200,0.001,expanded_welch,0.1,0.0447,0.05530000000000001
C1_N6_n200,0.001,normal_wald,0.1,0.15378,0.053779999999999994
C1_N6_n200,0.001,simple_welch,0.1,0.1529,0.0529
C1_N6_n200,0.005,expanded_welch,0.0,0.0651813036260725,0.0651813036260725
C1_N6_n200,0.005,normal_wald,0.2,0.21882,0.018819999999999976
C1_N6_n200,0.005,simple_welch,0.2,0.21754,0.01754
C1_N7_n1000,0.0,expanded_welch,0.0,0.0,0.0
C1_N7_n1000,0.0,normal_wald,0.0,0.0025647190831129,0.0025647190831129
C1_N7_n1000,0.0,simple_welch,0.0,0.0025647190831129,0.0025647190831129
C1_N7_n1000,1e-05,expanded_welch,0.0,2.330133283623823e-05,2.330133283623823e-05
C1_N7_n1000,1e-05,normal_wald,0.0,0.0027048145699344,0.0027048145699344
C1_N7_n1000,1e-05,simple_welch,0.0,0.0027048145699344,0.0027048145699344
