configuration_id,lr_valid_count,lr_valid_rate,lr_retry_count,lr_median_elapsed_ms,lr_p99_elapsed_ms,lr_max_constraint_residual,lr_median_iterations,lr_full_start_audit_count,lr_full_start_max_statistic_difference
CURVE_CURVE_C1_N0_n1000_di0_scale1,10,1.0,0,4.752020468004048,4.978317390196025,4.92256166384486e-10,10.5,1,0.0
CURVE_CURVE_C1_N0_n1000_di0p0001_scale1,10,1.0,0,4.747687606140971,4.819660938810557,1.0066492361904267e-09,11.0,1,0.0
CURVE_CURVE_C1_N0_n1000_di0p001_scale1,10,1.0,0,4.611854557879269,4.901663206983358,1.4764606204309416e-11,11.0,1,0.0
CURVE_CURVE_C1_N0_n1000_di0p005_scale1,10,1.0,0,4.622520413249731,5.181748436298221,2.3845445062953274e-10,9.0,1,0.0
CURVE_CURVE_C1_N0_n1000_di0p01_scale1,10,1.0,0,4.888958646915853,5.096902514342219,8.768182013785264e-11,11.0,1,0.0
CURVE_CURVE_C1_N0_n1000_di0p02_scale1,10,1.0,0,4.800771013833582,5.072090125177056,7.585388983599728e-10,10.0,1,0.0
CURVE_CURVE_C1_N0_n1000_di0p05_scale1,10,1.0,0,4.773562541231513,5.0544310989789665,8.910522319993675e-11,10.0,1,0.0
CURVE_CURVE_C1_N0_n1000_di0p1_scale1,10,1.0,0,4.729271051473916,5.021651294082404,2.0872359396406637e-11,9.5,1,0.0
CURVE_CURVE_C1_N0_n1000_di0p2_scale1,10,1.0,0,4.906583460979164,5.028573195450008,2.616129535226719e-12,11.5,1,0.0
CURVE_CURVE_C1_N0_n1000_di0p5_scale1,10,1.0,0,5.8497084537521005,7.320378855802119,1.0856010534965321e-10,14.0,1,0.0
CURVE_CURVE_C1_N0_n1000_di1em05_scale1,10,1.0,0,4.704937571659684,5.125961962621659,2.9905110332517637e-10,11.5,1,0.0
CURVE_CURVE_C1_N0_n10_di0_scale1,10,1.0,0,3.2503753900527954,9.977660081349313,3.3885172168179878e-09,10.5,1,0.0
CURVE_CURVE_C1_N0_n10_di0p0001_scale1,10,1.0,0,3.807520493865013,8.000399451702833,6.478031416845553e-09,13.5,1,0.0
CURVE_CURVE_C1_N0_n10_di0p001_scale1,10,1.0,0,2.8866875218227506,6.717836298048497,3.4354950551040986e-09,9.5,1,0.0
CURVE_CURVE_C1_N0_n10_di0p005_scale1,10,1.0,0,2.973687369376421,7.351488948334009,3.3885174666181683e-09,10.0,1,0.0
CURVE_CURVE_C1_N0_n10_di0p01_scale1,10,1.0,0,3.280979348346591,16.172504830174148,3.3885168837510804e-09,12.5,1,0.0
CURVE_CURVE_C1_N0_n10_di0p02_scale1,10,1.0,0,3.068270510993898,8.4816755191423,1.1064910654390303e-09,11.0,1,0.0
CURVE_CURVE_C1_N0_n10_di0p05_scale1,10,1.0,0,2.9783539939671755,7.482057884335518,3.424231231896613e-09,10.0,1,0.0
CURVE_CURVE_C1_N0_n10_di0p1_scale1,10,1.0,0,2.9720210004597902,7.784285731613636,5.68552856183846e-09,10.0,1,0.0
CURVE_CURVE_C1_N0_n10_di0p2_scale1,10,1.0,0,5.768791539594531,9.471603778656572,5.106091494067044e-09,21.5,1,0.0
CURVE_CURVE_C1_N0_n10_di0p5_scale1,10,1.0,0,4.008395480923355,9.638715537730604,6.47270154141566e-09,18.0,1,0.0
CURVE_CURVE_C1_N0_n10_di1em05_scale1,9,0.9,1,3.0248749535530806,3.7183236330747604,3.6663982960760677e-10,10.0,1,0.0
CURVE_CURVE_C1_N0_n50_di0_scale1,10,1.0,0,3.7747080205008388,11.249569882638752,7.3997785537960326e-09,10.0,1,0.0
CURVE_CURVE_C1_N0_n50_di0p0001_scale1,10,1.0,0,3.754166536964476,4.047668024431914,5.173275696712665e-10,10.5,1,0.0
CURVE_CURVE_C1_N0_n50_di0p001_scale1,10,1.0,0,3.73941648285836,3.902675504796207,3.2425832852123193e-10,10.5,1,0.0
CURVE_CURVE_C1_N0_n50_di0p005_scale1,10,1.0,0,3.651145496405661,18.379329277668152,7.918049681199246e-09,10.0,1,0.0
CURVE_CURVE_C1_N0_n50_di0p01_scale1,10,1.0,0,3.8925415137782693,11.088546731043609,9.786678148437922e-09,11.0,1,0.0
CURVE_CURVE_C1_N0_n50_di0p02_scale1,10,1.0,0,3.8202499272301793,10.147084454074502,1.965424989425202e-09,11.0,1,0.0
CURVE_CURVE_C1_N0_n50_di0p05_scale1,10,1.0,0,3.936874447390437,4.212052379734814,5.045779349899249e-10,11.5,1,0.0
CURVE_CURVE_C1_N0_n50_di0p1_scale1,10,1.0,0,3.931020968593657,4.129592452663928,3.8405351121539866e-10,10.5,1,0.0
CURVE_CURVE_C1_N0_n50_di0p2_scale1,10,1.0,0,3.9906874299049377,8.172169527970254,3.7055708501654294e-09,11.5,1,0.0
CURVE_CURVE_C1_N0_n50_di0p5_scale1,10,1.0,0,8.060499909333885,14.665164516773075,4.119361407539657e-09,28.5,1,0.0
CURVE_CURVE_C1_N0_n50_di1em05_scale1,10,1.0,0,3.714999998919666,6.074523709248751,3.5539174381149508e-09,10.0,1,0.0
CURVE_CURVE_C1_N3_n50_di0_scale1,10,1.0,0,4.074541502632201,7.6054056896828115,3.503673878801905e-10,10.0,1,0.0
CURVE_CURVE_C1_N3_n50_di0p0001_scale1,10,1.0,0,4.21568751335144,10.166795628610998,8.598861407638214e-09,12.5,1,0.0
CURVE_CURVE_C1_N3_n50_di0p001_scale1,10,1.0,0,3.851541900075972,4.93968500290066,2.0712797865751753e-09,10.0,1,0.0
CURVE_CURVE_C1_N3_n50_di0p005_scale1,10,1.0,0,4.601688124239445,7.889125472865999,6.275194412708185e-09,14.5,1,0.0
CURVE_CURVE_C1_N3_n50_di0p01_scale1,10,1.0,0,4.012624965980649,8.679339387454093,9.99112334532093e-10,11.0,1,0.0
CURVE_CURVE_C1_N3_n50_di0p02_scale1,10,1.0,0,5.734645528718829,10.903272470459342,3.7245625437998253e-09,23.0,1,0.0
CURVE_CURVE_C1_N3_n50_di0p05_scale1,10,1.0,0,4.256082931533456,8.695086003281176,4.360528181590606e-09,11.5,1,0.0
CURVE_CURVE_C1_N3_n50_di0p1_scale1,10,1.0,0,5.463771056383848,8.17616485292092,5.212709014434935e-10,17.5,1,0.0
CURVE_CURVE_C1_N3_n50_di1em05_scale1,10,1.0,0,5.009832908399403,7.305749203078449,9.733703978248576e-09,13.0,1,0.0
CURVE_CURVE_C1_N6_n100_di0_scale1,10,1.0,0,5.174353951588273,9.378614048473537,3.9049811995095496e-10,17.5,1,0.0
CURVE_CURVE_C1_N6_n100_di0p0001_scale1,10,1.0,0,7.191041484475136,11.504366155713797,3.7810068270749397e-10,29.0,1,0.0
CURVE_CURVE_C1_N6_n100_di0p001_scale1,10,1.0,0,7.029792061075568,10.807145161088556,6.406680238407736e-10,26.5,1,0.0
CURVE_CURVE_C1_N6_n100_di0p005_scale1,10,1.0,0,7.660478935576975,11.762295358348638,6.166123271700297e-10,26.5,1,0.0
CURVE_CURVE_C1_N6_n100_di1em05_scale1,10,1.0,0,7.292041555047035,10.581442378461361,3.9239548025801763e-10,32.0,1,0.0
