configuration_id,anchor_configuration_id,configuration_label,n_p,n_q,mi_p,mi_q,mi_difference,minimum_expected_count,method,method_label,replicates,valid_count,valid_rate,reject_count,rejection_rate,wilson_low,wilson_high
CURVE_CURVE_C1_N0_n10_di0_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.09999999999999987,0.0,1.4010268691929522,bartlett_lr,Oracle Bartlett LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.09999999999999987,0.0,1.4010268691929522,constrained_lr,Constrained LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.09999999999999987,0.0,1.4010268691929522,empirical_lr,Oracle-calibrated LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.09999999999999987,0.0,1.4010268691929522,expanded_welch,Expanded Welch,10,10,1.0,1,0.1,0.017876213095072896,0.4041500267952385
CURVE_CURVE_C1_N0_n10_di0_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.09999999999999987,0.0,1.4010268691929522,normal_wald,Normal Wald,10,10,1.0,3,0.3,0.10779126740630099,0.6032218525388546
CURVE_CURVE_C1_N0_n10_di0_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.09999999999999987,0.0,1.4010268691929522,simple_welch,Simple Welch,10,10,1.0,2,0.2,0.05668215145437519,0.5098375284633583
CURVE_CURVE_C1_N0_n10_di1em05_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.10000999999999949,1e-05,1.4009738733031696,bartlett_lr,Oracle Bartlett LR,10,9,0.9,0,0.0,0.0,0.2991450484195441
CURVE_CURVE_C1_N0_n10_di1em05_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.10000999999999949,1e-05,1.4009738733031696,constrained_lr,Constrained LR,10,9,0.9,0,0.0,0.0,0.2991450484195441
CURVE_CURVE_C1_N0_n10_di1em05_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.10000999999999949,1e-05,1.4009738733031696,empirical_lr,Oracle-calibrated LR,10,9,0.9,0,0.0,0.0,0.2991450484195441
CURVE_CURVE_C1_N0_n10_di1em05_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.10000999999999949,1e-05,1.4009738733031696,expanded_welch,Expanded Welch,10,9,0.9,0,0.0,0.0,0.2991450484195441
CURVE_CURVE_C1_N0_n10_di1em05_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.10000999999999949,1e-05,1.4009738733031696,normal_wald,Normal Wald,10,9,0.9,0,0.0,0.0,0.2991450484195441
CURVE_CURVE_C1_N0_n10_di1em05_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.10000999999999949,1e-05,1.4009738733031696,simple_welch,Simple Welch,10,9,0.9,0,0.0,0.0,0.2991450484195441
CURVE_CURVE_C1_N0_n10_di0p0001_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.10009999999999986,0.0001,1.400497043071569,bartlett_lr,Oracle Bartlett LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p0001_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.10009999999999986,0.0001,1.400497043071569,constrained_lr,Constrained LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p0001_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.10009999999999986,0.0001,1.400497043071569,empirical_lr,Oracle-calibrated LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p0001_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.10009999999999986,0.0001,1.400497043071569,expanded_welch,Expanded Welch,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p0001_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.10009999999999986,0.0001,1.400497043071569,normal_wald,Normal Wald,10,10,1.0,2,0.2,0.05668215145437519,0.5098375284633583
CURVE_CURVE_C1_N0_n10_di0p0001_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.10009999999999986,0.0001,1.400497043071569,simple_welch,Simple Welch,10,10,1.0,2,0.2,0.05668215145437519,0.5098375284633583
CURVE_CURVE_C1_N0_n10_di0p001_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.1010000000000002,0.001,1.395741822924768,bartlett_lr,Oracle Bartlett LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p001_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.1010000000000002,0.001,1.395741822924768,constrained_lr,Constrained LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p001_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.1010000000000002,0.001,1.395741822924768,empirical_lr,Oracle-calibrated LR,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p001_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.1010000000000002,0.001,1.395741822924768,expanded_welch,Expanded Welch,10,10,1.0,0,0.0,0.0,0.2775327998628892
CURVE_CURVE_C1_N0_n10_di0p001_scale1,C1_N0_n10,"Balanced, very small sample",10,10,0.09999999999999987,0.1010000000000002,0.001,1.395741822924768,normal_wald,Normal Wald,10,10,1.0,0,0.0,0.0,0.2775327998628892
