configuration_id,anchor_configuration_id,configuration_label,sample_scale,n_p,n_q,mi_p,mi_q,mi_difference,minimum_expected_count,method,method_label,replicates,valid_count,valid_rate,reject_count,power,wilson_low,wilson_high
CURVE_CURVE_C1_N0_n10_di0p005_scale0p5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.09999999999999987,0.10499999999999998,0.005,0.6874443069495659,bartlett_lr,Constrained LR (oracle Bartlett),5000,5000,1.0,70,0.014,0.011096433554600585,0.017649772735994947
CURVE_CURVE_C1_N0_n10_di0p005_scale0p5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.09999999999999987,0.10499999999999998,0.005,0.6874443069495659,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,70,0.014,0.011096433554600585,0.017649772735994947
CURVE_CURVE_C1_N0_n10_di0p005_scale0p5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.09999999999999987,0.10499999999999998,0.005,0.6874443069495659,empirical_lr,Constrained LR (split empirical),5000,5000,1.0,270,0.054,0.048070671178201296,0.06061411895678967
CURVE_CURVE_C1_N0_n10_di0p005_scale0p5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.09999999999999987,0.10499999999999998,0.005,0.6874443069495659,expanded_welch,Expanded Welch,5000,3870,0.774,0,0.0,0.0,0.0009916406909082885
CURVE_CURVE_C1_N0_n10_di0p005_scale0p5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.09999999999999987,0.10499999999999998,0.005,0.6874443069495659,normal_wald,Normal Wald,5000,4928,0.9856,855,0.1734983766233766,0.16318113857332145,0.18432424519270685
CURVE_CURVE_C1_N0_n10_di0p005_scale0p5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.09999999999999987,0.10499999999999998,0.005,0.6874443069495659,simple_welch,Simple Welch,5000,4928,0.9856,559,0.11343344155844155,0.10487888174581053,0.12259020220340258
CURVE_CURVE_C1_N0_n1000_di0p005_scale0p5,C1_N0_n1000,"Balanced, large sample",0.5,500,500,0.09999999999999987,0.10499999999999998,0.005,68.74443069495659,bartlett_lr,Constrained LR (oracle Bartlett),5000,5000,1.0,247,0.0494,0.04373172063796704,0.055760132354918446
CURVE_CURVE_C1_N0_n1000_di0p005_scale0p5,C1_N0_n1000,"Balanced, large sample",0.5,500,500,0.09999999999999987,0.10499999999999998,0.005,68.74443069495659,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,257,0.0514,0.04561656542843631,0.057872216756668954
CURVE_CURVE_C1_N0_n1000_di0p005_scale0p5,C1_N0_n1000,"Balanced, large sample",0.5,500,500,0.09999999999999987,0.10499999999999998,0.005,68.74443069495659,empirical_lr,Constrained LR (split empirical),5000,5000,1.0,251,0.0502,0.04448534215006972,0.05660528251970369
CURVE_CURVE_C1_N0_n1000_di0p005_scale0p5,C1_N0_n1000,"Balanced, large sample",0.5,500,500,0.09999999999999987,0.10499999999999998,0.005,68.74443069495659,expanded_welch,Expanded Welch,5000,5000,1.0,244,0.0488,0.043166788231898734,0.05512598600332083
CURVE_CURVE_C1_N0_n1000_di0p005_scale0p5,C1_N0_n1000,"Balanced, large sample",0.5,500,500,0.09999999999999987,0.10499999999999998,0.005,68.74443069495659,normal_wald,Normal Wald,5000,5000,1.0,250,0.05,0.044296896700570555,0.05639403504998087
CURVE_CURVE_C1_N0_n1000_di0p005_scale0p5,C1_N0_n1000,"Balanced, large sample",0.5,500,500,0.09999999999999987,0.10499999999999998,0.005,68.74443069495659,simple_welch,Simple Welch,5000,5000,1.0,250,0.05,0.044296896700570555,0.05639403504998087
CURVE_CURVE_C1_N0_n50_di0p005_scale0p5,C1_N0_n50,"Balanced, moderate sample",0.5,25,25,0.09999999999999987,0.10499999999999998,0.005,3.437221534747829,bartlett_lr,Constrained LR (oracle Bartlett),5000,5000,1.0,232,0.0464,0.040909582282313894,0.052586876922241926
CURVE_CURVE_C1_N0_n50_di0p005_scale0p5,C1_N0_n50,"Balanced, moderate sample",0.5,25,25,0.09999999999999987,0.10499999999999998,0.005,3.437221534747829,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,317,0.0634,0.0569750881353032,0.07049526920312069
CURVE_CURVE_C1_N0_n50_di0p005_scale0p5,C1_N0_n50,"Balanced, moderate sample",0.5,25,25,0.09999999999999987,0.10499999999999998,0.005,3.437221534747829,empirical_lr,Constrained LR (split empirical),5000,5000,1.0,227,0.0454,0.039970320043562504,0.051527674564883455
CURVE_CURVE_C1_N0_n50_di0p005_scale0p5,C1_N0_n50,"Balanced, moderate sample",0.5,25,25,0.09999999999999987,0.10499999999999998,0.005,3.437221534747829,expanded_welch,Expanded Welch,5000,5000,1.0,264,0.0528,0.04693748851677059,0.05934914410288852
CURVE_CURVE_C1_N0_n50_di0p005_scale0p5,C1_N0_n50,"Balanced, moderate sample",0.5,25,25,0.09999999999999987,0.10499999999999998,0.005,3.437221534747829,normal_wald,Normal Wald,5000,5000,1.0,316,0.0632,0.05678516000428789,0.07028550441491403
CURVE_CURVE_C1_N0_n50_di0p005_scale0p5,C1_N0_n50,"Balanced, moderate sample",0.5,25,25,0.09999999999999987,0.10499999999999998,0.005,3.437221534747829,simple_welch,Simple Welch,5000,5000,1.0,279,0.0558,0.049772048527119625,0.06250997788086914
CURVE_CURVE_C1_N3_n50_di0p005_scale0p5,C1_N3_n50,One skewed population,0.5,25,25,0.03000000000000036,0.034999999999659415,0.005,0.7935319932386035,bartlett_lr,Constrained LR (oracle Bartlett),5000,5000,1.0,246,0.0492,0.04354338255549715,0.05554877751816637
CURVE_CURVE_C1_N3_n50_di0p005_scale0p5,C1_N3_n50,One skewed population,0.5,25,25,0.03000000000000036,0.034999999999659415,0.005,0.7935319932386035,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,177,0.0354,0.030624246822118124,0.04088910182522896
CURVE_CURVE_C1_N3_n50_di0p005_scale0p5,C1_N3_n50,One skewed population,0.5,25,25,0.03000000000000036,0.034999999999659415,0.005,0.7935319932386035,empirical_lr,Constrained LR (split empirical),5000,5000,1.0,266,0.0532,0.04731511889160377,0.05977089956649927
CURVE_CURVE_C1_N3_n50_di0p005_scale0p5,C1_N3_n50,One skewed population,0.5,25,25,0.03000000000000036,0.034999999999659415,0.005,0.7935319932386035,expanded_welch,Expanded Welch,5000,4629,0.9258,88,0.01901058543961979,0.015456869987658673,0.02336195436003946
CURVE_CURVE_C1_N3_n50_di0p005_scale0p5,C1_N3_n50,One skewed population,0.5,25,25,0.03000000000000036,0.034999999999659415,0.005,0.7935319932386035,normal_wald,Normal Wald,5000,4997,0.9994,172,0.03442065239143486,0.029712875305457246,0.0398437106581223
CURVE_CURVE_C1_N3_n50_di0p005_scale0p5,C1_N3_n50,One skewed population,0.5,25,25,0.03000000000000036,0.034999999999659415,0.005,0.7935319932386035,simple_welch,Simple Welch,5000,4997,0.9994,148,0.029617770662397437,0.025266566490899214,0.034691634801769476
CURVE_CURVE_C1_N6_n100_di0p005_scale0p5,C1_N6_n100,"Sparse, smaller sample",0.5,50,50,0.00499999999999956,0.010000000000196296,0.005,0.015595118913314977,bartlett_lr,Constrained LR (oracle Bartlett),5000,5000,1.0,260,0.052,0.04618252452365877,0.058505336419112416
CURVE_CURVE_C1_N6_n100_di0p005_scale0p5,C1_N6_n100,"Sparse, smaller sample",0.5,50,50,0.00499999999999956,0.010000000000196296,0.005,0.015595118913314977,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,73,0.0146,0.01162844344183671,0.018316841606424748
CURVE_CURVE_C1_N6_n100_di0p005_scale0p5,C1_N6_n100,"Sparse, smaller sample",0.5,50,50,0.00499999999999956,0.010000000000196296,0.005,0.015595118913314977,empirical_lr,Constrained LR (split empirical),5000,5000,1.0,239,0.0478,0.042225787297577644,0.05406852234153203
CURVE_CURVE_C1_N6_n100_di0p005_scale0p5,C1_N6_n100,"Sparse, smaller sample",0.5,50,50,0.00499999999999956,0.010000000000196296,0.005,0.015595118913314977,expanded_welch,Expanded Welch,5000,4585,0.917,3,0.0006543075245365322,0.00022254799444527062,0.0019221020025113307
CURVE_CURVE_C1_N6_n100_di0p005_scale0p5,C1_N6_n100,"Sparse, smaller sample",0.5,50,50,0.00499999999999956,0.010000000000196296,0.005,0.015595118913314977,normal_wald,Normal Wald,5000,4997,0.9994,30,0.006003602161296778,0.004208663234557702,0.008557480092799313
CURVE_CURVE_C1_N6_n100_di0p005_scale0p5,C1_N6_n100,"Sparse, smaller sample",0.5,50,50,0.00499999999999956,0.010000000000196296,0.005,0.015595118913314977,simple_welch,Simple Welch,5000,4997,0.9994,25,0.005003001801080648,0.003391137465094451,0.007375342389156136
CURVE_CURVE_C1_N6_n200_di0p005_scale0p5,C1_N6_n200,"Sparse, larger sample",0.5,100,100,0.00499999999999956,0.010000000000196296,0.005,0.031190237826629955,bartlett_lr,Constrained LR (oracle Bartlett),5000,5000,1.0,177,0.0354,0.030624246822118124,0.04088910182522896
CURVE_CURVE_C1_N6_n200_di0p005_scale0p5,C1_N6_n200,"Sparse, larger sample",0.5,100,100,0.00499999999999956,0.010000000000196296,0.005,0.031190237826629955,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,45,0.009,0.00673322861097761,0.01202065469906849
CURVE_CURVE_C1_N6_n200_di0p005_scale0p5,C1_N6_n200,"Sparse, larger sample",0.5,100,100,0.00499999999999956,0.010000000000196296,0.005,0.031190237826629955,empirical_lr,Constrained LR (split empirical),5000,5000,1.0,228,0.0456,0.04015811220817567,0.05173957531949226
CURVE_CURVE_C1_N6_n200_di0p005_scale0p5,C1_N6_n200,"Sparse, larger sample",0.5,100,100,0.00499999999999956,0.010000000000196296,0.005,0.031190237826629955,expanded_welch,Expanded Welch,5000,4968,0.9936,69,0.013888888888888888,0.010989852875874156,0.017539105659006096
CURVE_CURVE_C1_N6_n200_di0p005_scale0p5,C1_N6_n200,"Sparse, larger sample",0.5,100,100,0.00499999999999956,0.010000000000196296,0.005,0.031190237826629955,normal_wald,Normal Wald,5000,5000,1.0,418,0.0836,0.07624395392299979,0.09159538825684377
CURVE_CURVE_C1_N6_n200_di0p005_scale0p5,C1_N6_n200,"Sparse, larger sample",0.5,100,100,0.00499999999999956,0.010000000000196296,0.005,0.031190237826629955,simple_welch,Simple Welch,5000,5000,1.0,406,0.0812,0.07394662267077708,0.08909640447840277
CURVE_CURVE_C1_N7_n1000_di0p005_scale0p5,C1_N7_n1000,Ultra-rare categories,0.5,500,500,0.0005000000000022972,0.005499999999998187,0.005,0.15268321301194732,bartlett_lr,Constrained LR (oracle Bartlett),5000,5000,1.0,1853,0.3706,0.35731723776686947,0.38408144349651135
CURVE_CURVE_C1_N7_n1000_di0p005_scale0p5,C1_N7_n1000,Ultra-rare categories,0.5,500,500,0.0005000000000022972,0.005499999999998187,0.005,0.15268321301194732,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,231,0.0462,0.0407216699236964,0.05237509636163745
CURVE_CURVE_C1_N7_n1000_di0p005_scale0p5,C1_N7_n1000,Ultra-rare categories,0.5,500,500,0.0005000000000022972,0.005499999999998187,0.005,0.15268321301194732,empirical_lr,Constrained LR (split empirical),5000,5000,1.0,1270,0.254,0.24212639632842997,0.26625131302853816
CURVE_CURVE_C1_N7_n1000_di0p005_scale0p5,C1_N7_n1000,Ultra-rare categories,0.5,500,500,0.0005000000000022972,0.005499999999998187,0.005,0.15268321301194732,expanded_welch,Expanded Welch,5000,2653,0.5306,3,0.0011307953260459858,0.00038464531580343795,0.0033195496740859864
CURVE_CURVE_C1_N7_n1000_di0p005_scale0p5,C1_N7_n1000,Ultra-rare categories,0.5,500,500,0.0005000000000022972,0.005499999999998187,0.005,0.15268321301194732,normal_wald,Normal Wald,5000,4689,0.9378,14,0.002985711239070164,0.001779402785869822,0.005005710050372434
CURVE_CURVE_C1_N7_n1000_di0p005_scale0p5,C1_N7_n1000,Ultra-rare categories,0.5,500,500,0.0005000000000022972,0.005499999999998187,0.005,0.15268321301194732,simple_welch,Simple Welch,5000,4689,0.9378,14,0.002985711239070164,0.001779402785869822,0.005005710050372434
CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale0p5,C2_N0_np20_nq200,"Balanced, unequal samples",0.5,10,100,0.09999999999999987,0.10499999999999998,0.005,1.4010268691929522,bartlett_lr,Constrained LR (oracle Bartlett),5000,5000,1.0,169,0.0338,0.02913800557240294,0.03917779972116832
CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale0p5,C2_N0_np20_nq200,"Balanced, unequal samples",0.5,10,100,0.09999999999999987,0.10499999999999998,0.005,1.4010268691929522,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,204,0.0408,0.035659936585538905,0.046645120880801576
CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale0p5,C2_N0_np20_nq200,"Balanced, unequal samples",0.5,10,100,0.09999999999999987,0.10499999999999998,0.005,1.4010268691929522,empirical_lr,Constrained LR (split empirical),5000,5000,1.0,220,0.044,0.038656640337733486,0.05004350383615862
CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale0p5,C2_N0_np20_nq200,"Balanced, unequal samples",0.5,10,100,0.09999999999999987,0.10499999999999998,0.005,1.4010268691929522,expanded_welch,Expanded Welch,5000,4925,0.985,251,0.05096446700507614,0.045164722340517396,0.057464153643196
CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale0p5,C2_N0_np20_nq200,"Balanced, unequal samples",0.5,10,100,0.09999999999999987,0.10499999999999998,0.005,1.4010268691929522,normal_wald,Normal Wald,5000,5000,1.0,1061,0.2122,0.20109017054144362,0.22375171869813132
CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale0p5,C2_N0_np20_nq200,"Balanced, unequal samples",0.5,10,100,0.09999999999999987,0.10499999999999998,0.005,1.4010268691929522,simple_welch,Simple Welch,5000,5000,1.0,963,0.1926,0.18190725115463127,0.2037647320011899
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale0p5,C2_N3_np500_nq50,"Skewed, unequal samples",0.5,250,25,0.03000000000000036,0.034999999999659415,0.005,0.7935319932386035,bartlett_lr,Constrained LR (oracle Bartlett),5000,5000,1.0,220,0.044,0.038656640337733486,0.05004350383615862
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale0p5,C2_N3_np500_nq50,"Skewed, unequal samples",0.5,250,25,0.03000000000000036,0.034999999999659415,0.005,0.7935319932386035,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,166,0.0332,0.028581422740299713,0.03853530379560562
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale0p5,C2_N3_np500_nq50,"Skewed, unequal samples",0.5,250,25,0.03000000000000036,0.034999999999659415,0.005,0.7935319932386035,empirical_lr,Constrained LR (split empirical),5000,5000,1.0,334,0.0668,0.06020671680947418,0.0740584201557233
