configuration_id,lr_valid_count,lr_valid_rate,lr_retry_count,lr_median_elapsed_ms,lr_p99_elapsed_ms,lr_max_constraint_residual,lr_median_iterations,lr_full_start_audit_count,lr_full_start_max_statistic_difference
CURVE_CURVE_C1_N0_n1000_di0p005_scale0p5,5000,1.0,0,3.7477295845746994,4.26242176676169,7.522179434893417e-09,10.0,25,9.380528354085982e-09
CURVE_CURVE_C1_N0_n1000_di0p005_scale1,5000,1.0,0,3.9216874865815043,4.526682891882956,9.787396684779459e-09,10.0,25,5.360561772249639e-09
CURVE_CURVE_C1_N0_n1000_di0p005_scale2,5000,1.0,0,4.011499579064548,4.59475068608299,8.526972933298183e-09,9.0,25,3.25944711221382e-07
CURVE_CURVE_C1_N0_n1000_di0p05_scale0p5,5000,1.0,0,3.8280413718894124,4.261714138556272,8.197624565275952e-09,10.0,25,4.8798938223626465e-09
CURVE_CURVE_C1_N0_n1000_di0p05_scale1,5000,1.0,0,3.9757915074005723,4.597465787082915,7.901069978832886e-09,10.0,25,1.8107130017597228e-08
CURVE_CURVE_C1_N0_n1000_di0p05_scale2,5000,1.0,0,4.170624422840774,4.779432057403029,9.396815367490596e-09,9.0,25,1.0193980415351689e-06
CURVE_CURVE_C1_N0_n10_di0p005_scale0p5,5000,1.0,0,6.630791467614472,17.014547907747332,9.856490110204952e-09,32.0,25,5.406292302723159e-09
CURVE_CURVE_C1_N0_n10_di0p005_scale1,4998,0.9996,2,2.6298335287719965,11.130752349272369,9.740896880772176e-09,11.0,25,2.750901728632016e-09
CURVE_CURVE_C1_N0_n10_di0p005_scale2,5000,1.0,0,2.8608953580260277,12.543188768904663,9.967904113228343e-09,10.0,25,1.2073257948941318e-09
CURVE_CURVE_C1_N0_n10_di0p05_scale0p5,5000,1.0,0,6.696354015730321,17.28787580039353,9.856490110204952e-09,32.0,25,3.4378189184280927e-10
CURVE_CURVE_C1_N0_n10_di0p05_scale1,4997,0.9994,3,2.6823331136256456,11.27643690444529,9.740896880772176e-09,11.0,25,8.583953103880049e-09
