configuration_id,bartlett_lr,constrained_lr,empirical_lr,expanded_welch,normal_wald,simple_welch,configuration_label,sample_scale,mi_difference
CURVE_CURVE_C1_N0_n1000_di0p005_scale0p5,0.0494,0.0514,0.0502,0.0488,0.05,0.05,"Balanced, large sample",0.5,0.005
CURVE_CURVE_C1_N0_n1000_di0p005_scale1,0.0582,0.0542,0.059,0.0526,0.0534,0.0532,"Balanced, large sample",1.0,0.005
CURVE_CURVE_C1_N0_n1000_di0p005_scale2,0.0634,0.0638,0.0626,0.0634,0.0634,0.0634,"Balanced, large sample",2.0,0.005
CURVE_CURVE_C1_N0_n1000_di0p05_scale0p5,0.4016,0.4068,0.4038,0.4016,0.4062,0.405,"Balanced, large sample",0.5,0.05
CURVE_CURVE_C1_N0_n1000_di0p05_scale1,0.6774,0.6652,0.6806,0.6626,0.6642,0.664,"Balanced, large sample",1.0,0.05
CURVE_CURVE_C1_N0_n1000_di0p05_scale2,0.9318,0.932,0.9306,0.9316,0.932,0.932,"Balanced, large sample",2.0,0.05
CURVE_CURVE_C1_N0_n10_di0p005_scale0p5,0.014,0.014,0.054,0.0,0.1734983766233766,0.11343344155844155,"Balanced, very small sample",0.5,0.005
CURVE_CURVE_C1_N0_n10_di0p005_scale1,0.03741496598639456,0.05222088835534214,0.04421768707482993,0.04249640730856087,0.1332932451393065,0.09480857887352175,"Balanced, very small sample",1.0,0.005
CURVE_CURVE_C1_N0_n10_di0p005_scale2,0.0494,0.064,0.0528,0.05786618444846293,0.0748,0.0664,"Balanced, very small sample",2.0,0.005
CURVE_CURVE_C1_N0_n10_di0p05_scale0p5,0.0108,0.0108,0.0502,0.0,0.20198541329011346,0.12418962722852513,"Balanced, very small sample",0.5,0.05
CURVE_CURVE_C1_N0_n10_di0p05_scale1,0.04982989793876326,0.07064238543125875,0.06203722233340004,0.048102840555670746,0.1538307260328921,0.11813076614520658,"Balanced, very small sample",1.0,0.05
CURVE_CURVE_C1_N0_n10_di0p05_scale2,0.07261452290458091,0.09321864372874575,0.07721544308861772,0.08870158539032712,0.10882176435287057,0.09721944388877776,"Balanced, very small sample",2.0,0.05
CURVE_CURVE_C1_N0_n50_di0p005_scale0p5,0.0464,0.0634,0.0454,0.0528,0.0632,0.0558,"Balanced, moderate sample",0.5,0.005
CURVE_CURVE_C1_N0_n50_di0p005_scale1,0.0478,0.0544,0.046,0.04061624649859944,0.0484,0.0444,"Balanced, moderate sample",1.0,0.005
CURVE_CURVE_C1_N0_n50_di0p005_scale2,0.049,0.051,0.0488,0.0392,0.0458,0.0446,"Balanced, moderate sample",2.0,0.005
CURVE_CURVE_C1_N0_n50_di0p05_scale0p5,0.0646,0.0848,0.0626,0.0734,0.089,0.0794,"Balanced, moderate sample",0.5,0.05
CURVE_CURVE_C1_N0_n50_di0p05_scale1,0.085,0.095,0.0824,0.0762,0.09,0.0838,"Balanced, moderate sample",1.0,0.05
CURVE_CURVE_C1_N0_n50_di0p05_scale2,0.1136,0.116,0.113,0.1056,0.1132,0.1116,"Balanced, moderate sample",2.0,0.05
CURVE_CURVE_C1_N3_n50_di0p005_scale0p5,0.0492,0.0354,0.0532,0.01901058543961979,0.03442065239143486,0.029617770662397437,One skewed population,0.5,0.005
CURVE_CURVE_C1_N3_n50_di0p005_scale1,0.0452,0.047,0.0484,0.015678391959798994,0.0322,0.0308,One skewed population,1.0,0.005
CURVE_CURVE_C1_N3_n50_di0p005_scale2,0.05,0.0558,0.0544,0.0196,0.0304,0.028,One skewed population,2.0,0.005
CURVE_CURVE_C1_N3_n50_di0p05_scale0p5,0.089,0.0664,0.0928,0.041110632802410674,0.0712,0.0604,One skewed population,0.5,0.05
CURVE_CURVE_C1_N3_n50_di0p05_scale1,0.1252,0.1284,0.1306,0.08794526061581807,0.1278,0.1212,One skewed population,1.0,0.05
CURVE_CURVE_C1_N3_n50_di0p05_scale2,0.203,0.2164,0.211,0.1636,0.1994,0.1958,One skewed population,2.0,0.05
CURVE_CURVE_C1_N6_n100_di0p005_scale0p5,0.052,0.0146,0.0478,0.0006543075245365322,0.006003602161296778,0.005003001801080648,"Sparse, smaller sample",0.5,0.005
CURVE_CURVE_C1_N6_n100_di0p005_scale1,0.0352,0.0086,0.0518,0.010475423045930701,0.0846,0.0824,"Sparse, smaller sample",1.0,0.005
CURVE_CURVE_C1_N6_n100_di0p005_scale2,0.0288,0.0126,0.0496,0.068,0.2188,0.217,"Sparse, smaller sample",2.0,0.005
