configuration_id,anchor_configuration_id,configuration_label,sample_scale,n_p,n_q,mi_p,mi_q,mi_difference,minimum_expected_count,method,method_label,replicates,valid_count,valid_rate,reject_count,power,wilson_low,wilson_high
CURVE_CURVE_C1_N0_n10_di0p005_scale0p5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.0999999999999998,0.1049999999999999,0.005,0.6874443069495659,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,70,0.014,0.0110964335546005,0.0176497727359949
CURVE_CURVE_C1_N0_n10_di0p005_scale0p5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.0999999999999998,0.1049999999999999,0.005,0.6874443069495659,expanded_welch,Expanded Welch,5000,3870,0.774,0,0.0,0.0,0.0009916406909082
CURVE_CURVE_C1_N0_n10_di0p005_scale0p5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.0999999999999998,0.1049999999999999,0.005,0.6874443069495659,normal_wald,Normal Wald,5000,4928,0.9856,855,0.1734983766233766,0.1631811385733214,0.1843242451927068
CURVE_CURVE_C1_N0_n10_di0p005_scale0p5,C1_N0_n10,"Balanced, very small sample",0.5,5,5,0.0999999999999998,0.1049999999999999,0.005,0.6874443069495659,simple_welch,Simple Welch,5000,4928,0.9856,559,0.1134334415584415,0.1048788817458105,0.1225902022034025
CURVE_CURVE_C1_N0_n1000_di0p005_scale0p5,C1_N0_n1000,"Balanced, large sample",0.5,500,500,0.0999999999999998,0.1049999999999999,0.005,68.74443069495659,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,257,0.0514,0.0456165654284363,0.0578722167566689
CURVE_CURVE_C1_N0_n1000_di0p005_scale0p5,C1_N0_n1000,"Balanced, large sample",0.5,500,500,0.0999999999999998,0.1049999999999999,0.005,68.74443069495659,expanded_welch,Expanded Welch,5000,5000,1.0,244,0.0488,0.0431667882318987,0.0551259860033208
CURVE_CURVE_C1_N0_n1000_di0p005_scale0p5,C1_N0_n1000,"Balanced, large sample",0.5,500,500,0.0999999999999998,0.1049999999999999,0.005,68.74443069495659,normal_wald,Normal Wald,5000,5000,1.0,250,0.05,0.0442968967005705,0.0563940350499808
CURVE_CURVE_C1_N0_n1000_di0p005_scale0p5,C1_N0_n1000,"Balanced, large sample",0.5,500,500,0.0999999999999998,0.1049999999999999,0.005,68.74443069495659,simple_welch,Simple Welch,5000,5000,1.0,250,0.05,0.0442968967005705,0.0563940350499808
CURVE_CURVE_C1_N0_n50_di0p005_scale0p5,C1_N0_n50,"Balanced, moderate sample",0.5,25,25,0.0999999999999998,0.1049999999999999,0.005,3.437221534747829,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,317,0.0634,0.0569750881353032,0.0704952692031206
CURVE_CURVE_C1_N0_n50_di0p005_scale0p5,C1_N0_n50,"Balanced, moderate sample",0.5,25,25,0.0999999999999998,0.1049999999999999,0.005,3.437221534747829,expanded_welch,Expanded Welch,5000,5000,1.0,264,0.0528,0.0469374885167705,0.0593491441028885
CURVE_CURVE_C1_N0_n50_di0p005_scale0p5,C1_N0_n50,"Balanced, moderate sample",0.5,25,25,0.0999999999999998,0.1049999999999999,0.005,3.437221534747829,normal_wald,Normal Wald,5000,5000,1.0,316,0.0632,0.0567851600042878,0.070285504414914
CURVE_CURVE_C1_N0_n50_di0p005_scale0p5,C1_N0_n50,"Balanced, moderate sample",0.5,25,25,0.0999999999999998,0.1049999999999999,0.005,3.437221534747829,simple_welch,Simple Welch,5000,5000,1.0,279,0.0558,0.0497720485271196,0.0625099778808691
CURVE_CURVE_C1_N3_n50_di0p005_scale0p5,C1_N3_n50,One skewed population,0.5,25,25,0.0300000000000003,0.0349999999996594,0.005,0.7935319932386035,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,176,0.0352,0.0304383103860638,0.0406753453420613
CURVE_CURVE_C1_N3_n50_di0p005_scale0p5,C1_N3_n50,One skewed population,0.5,25,25,0.0300000000000003,0.0349999999996594,0.005,0.7935319932386035,expanded_welch,Expanded Welch,5000,4629,0.9258,88,0.0190105854396197,0.0154568699876586,0.0233619543600394
CURVE_CURVE_C1_N3_n50_di0p005_scale0p5,C1_N3_n50,One skewed population,0.5,25,25,0.0300000000000003,0.0349999999996594,0.005,0.7935319932386035,normal_wald,Normal Wald,5000,4997,0.9994,172,0.0344206523914348,0.0297128753054572,0.0398437106581223
CURVE_CURVE_C1_N3_n50_di0p005_scale0p5,C1_N3_n50,One skewed population,0.5,25,25,0.0300000000000003,0.0349999999996594,0.005,0.7935319932386035,simple_welch,Simple Welch,5000,4997,0.9994,148,0.0296177706623974,0.0252665664908992,0.0346916348017694
CURVE_CURVE_C1_N6_n100_di0p005_scale0p5,C1_N6_n100,"Sparse, smaller sample",0.5,50,50,0.0049999999999995,0.0100000000001962,0.005,0.0155951189133149,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,73,0.0146,0.0116284434418367,0.0183168416064247
CURVE_CURVE_C1_N6_n100_di0p005_scale0p5,C1_N6_n100,"Sparse, smaller sample",0.5,50,50,0.0049999999999995,0.0100000000001962,0.005,0.0155951189133149,expanded_welch,Expanded Welch,5000,4585,0.917,3,0.0006543075245365,0.0002225479944452,0.0019221020025113
CURVE_CURVE_C1_N6_n100_di0p005_scale0p5,C1_N6_n100,"Sparse, smaller sample",0.5,50,50,0.0049999999999995,0.0100000000001962,0.005,0.0155951189133149,normal_wald,Normal Wald,5000,4997,0.9994,30,0.0060036021612967,0.0042086632345577,0.0085574800927993
CURVE_CURVE_C1_N6_n100_di0p005_scale0p5,C1_N6_n100,"Sparse, smaller sample",0.5,50,50,0.0049999999999995,0.0100000000001962,0.005,0.0155951189133149,simple_welch,Simple Welch,5000,4997,0.9994,25,0.0050030018010806,0.0033911374650944,0.0073753423891561
CURVE_CURVE_C1_N6_n200_di0p005_scale0p5,C1_N6_n200,"Sparse, larger sample",0.5,100,100,0.0049999999999995,0.0100000000001962,0.005,0.0311902378266299,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,45,0.009,0.0067332286109776,0.0120206546990684
CURVE_CURVE_C1_N6_n200_di0p005_scale0p5,C1_N6_n200,"Sparse, larger sample",0.5,100,100,0.0049999999999995,0.0100000000001962,0.005,0.0311902378266299,expanded_welch,Expanded Welch,5000,4968,0.9936,69,0.0138888888888888,0.0109898528758741,0.017539105659006
CURVE_CURVE_C1_N6_n200_di0p005_scale0p5,C1_N6_n200,"Sparse, larger sample",0.5,100,100,0.0049999999999995,0.0100000000001962,0.005,0.0311902378266299,normal_wald,Normal Wald,5000,5000,1.0,418,0.0836,0.0762439539229997,0.0915953882568437
CURVE_CURVE_C1_N6_n200_di0p005_scale0p5,C1_N6_n200,"Sparse, larger sample",0.5,100,100,0.0049999999999995,0.0100000000001962,0.005,0.0311902378266299,simple_welch,Simple Welch,5000,5000,1.0,406,0.0812,0.073946622670777,0.0890964044784027
CURVE_CURVE_C1_N7_n1000_di0p005_scale0p5,C1_N7_n1000,Ultra-rare categories,0.5,500,500,0.0005000000000022,0.0054999999999981,0.005,0.1526832130119473,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,231,0.0462,0.0407216699236964,0.0523750963616374
CURVE_CURVE_C1_N7_n1000_di0p005_scale0p5,C1_N7_n1000,Ultra-rare categories,0.5,500,500,0.0005000000000022,0.0054999999999981,0.005,0.1526832130119473,expanded_welch,Expanded Welch,5000,2653,0.5306,3,0.0011307953260459,0.0003846453158034,0.0033195496740859
CURVE_CURVE_C1_N7_n1000_di0p005_scale0p5,C1_N7_n1000,Ultra-rare categories,0.5,500,500,0.0005000000000022,0.0054999999999981,0.005,0.1526832130119473,normal_wald,Normal Wald,5000,4689,0.9378,14,0.0029857112390701,0.0017794027858698,0.0050057100503724
CURVE_CURVE_C1_N7_n1000_di0p005_scale0p5,C1_N7_n1000,Ultra-rare categories,0.5,500,500,0.0005000000000022,0.0054999999999981,0.005,0.1526832130119473,simple_welch,Simple Welch,5000,4689,0.9378,14,0.0029857112390701,0.0017794027858698,0.0050057100503724
CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale0p5,C2_N0_np20_nq200,"Balanced, unequal samples",0.5,10,100,0.0999999999999998,0.1049999999999999,0.005,1.4010268691929522,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,204,0.0408,0.0356599365855389,0.0466451208808015
CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale0p5,C2_N0_np20_nq200,"Balanced, unequal samples",0.5,10,100,0.0999999999999998,0.1049999999999999,0.005,1.4010268691929522,expanded_welch,Expanded Welch,5000,4925,0.985,251,0.0509644670050761,0.0451647223405173,0.057464153643196
CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale0p5,C2_N0_np20_nq200,"Balanced, unequal samples",0.5,10,100,0.0999999999999998,0.1049999999999999,0.005,1.4010268691929522,normal_wald,Normal Wald,5000,5000,1.0,1061,0.2122,0.2010901705414436,0.2237517186981313
CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale0p5,C2_N0_np20_nq200,"Balanced, unequal samples",0.5,10,100,0.0999999999999998,0.1049999999999999,0.005,1.4010268691929522,simple_welch,Simple Welch,5000,5000,1.0,963,0.1926,0.1819072511546312,0.2037647320011899
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale0p5,C2_N3_np500_nq50,"Skewed, unequal samples",0.5,250,25,0.0300000000000003,0.0349999999996594,0.005,0.7935319932386035,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,166,0.0332,0.0285814227402997,0.0385353037956056
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale0p5,C2_N3_np500_nq50,"Skewed, unequal samples",0.5,250,25,0.0300000000000003,0.0349999999996594,0.005,0.7935319932386035,expanded_welch,Expanded Welch,5000,4628,0.9256,168,0.0363007778738115,0.0312852227921016,0.0420854790857689
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale0p5,C2_N3_np500_nq50,"Skewed, unequal samples",0.5,250,25,0.0300000000000003,0.0349999999996594,0.005,0.7935319932386035,normal_wald,Normal Wald,5000,5000,1.0,962,0.1924,0.1817117223696034,0.2035605678669957
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale0p5,C2_N3_np500_nq50,"Skewed, unequal samples",0.5,250,25,0.0300000000000003,0.0349999999996594,0.005,0.7935319932386035,simple_welch,Simple Welch,5000,5000,1.0,936,0.1872,0.1766295753955883,0.1982506989412394
CURVE_CURVE_C2_N5_np200_nq2000_di0p005_scale0p5,C2_N5_np200_nq2000,Rare and highly unequal,0.5,100,1000,0.0050000000002087,0.0100000000000003,0.005,0.3493995926134408,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,62,0.0124,0.0096853856424235,0.0158632772943961
CURVE_CURVE_C2_N5_np200_nq2000_di0p005_scale0p5,C2_N5_np200_nq2000,Rare and highly unequal,0.5,100,1000,0.0050000000002087,0.0100000000000003,0.005,0.3493995926134408,expanded_welch,Expanded Welch,5000,3807,0.7614,1087,0.2855266614131862,0.2714010682419621,0.3000846475386808
CURVE_CURVE_C2_N5_np200_nq2000_di0p005_scale0p5,C2_N5_np200_nq2000,Rare and highly unequal,0.5,100,1000,0.0050000000002087,0.0100000000000003,0.005,0.3493995926134408,normal_wald,Normal Wald,5000,5000,1.0,3542,0.7084,0.6956459902149374,0.7208340316143629
CURVE_CURVE_C2_N5_np200_nq2000_di0p005_scale0p5,C2_N5_np200_nq2000,Rare and highly unequal,0.5,100,1000,0.0050000000002087,0.0100000000000003,0.005,0.3493995926134408,simple_welch,Simple Welch,5000,5000,1.0,3542,0.7084,0.6956459902149374,0.7208340316143629
CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0p005_scale0p5,C3_C3_same_balanced_i0p005_n1000,Near independence,0.5,500,500,0.0050000000000047,0.0100000000000022,0.005,107.3518574316245,constrained_lr,Constrained LR (chi-squared),5000,5000,1.0,482,0.0964,0.0885264315462734,0.1048932574637766
