configuration_id,lr_valid_count,lr_valid_rate,lr_retry_count,lr_median_elapsed_ms,lr_p99_elapsed_ms,lr_max_constraint_residual,lr_median_iterations,lr_full_start_audit_count,lr_full_start_max_statistic_difference
CURVE_CURVE_C1_N0_n1000_di0p005_scale0p5,5000,1.0,0,5.085437442176044,5.672886942047626,8.282855068486583e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n1000_di0p005_scale1,5000,1.0,0,5.294354516081512,5.969752706587316,9.787396684779459e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n1000_di0p005_scale2,5000,1.0,0,5.428583477623761,6.20858593378216,9.953678742347094e-09,9.0,25,0.0
CURVE_CURVE_C1_N0_n1000_di0p05_scale0p5,5000,1.0,0,5.219145445153117,5.820962425787002,8.197624565275952e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n1000_di0p05_scale1,5000,1.0,0,5.438583437353373,6.208211674820632,8.360691541864362e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n1000_di0p05_scale2,5000,1.0,0,5.669728969223797,6.36343947146088,9.396815367490596e-09,9.0,25,0.0
CURVE_CURVE_C1_N0_n10_di0p005_scale0p5,5000,1.0,0,9.314750088378787,22.931768773123633,9.769619224719861e-09,32.0,25,0.0
CURVE_CURVE_C1_N0_n10_di0p005_scale1,4998,0.9996,2,3.7149374838918447,15.374406890477966,9.740896880772176e-09,11.0,25,0.0
CURVE_CURVE_C1_N0_n10_di0p005_scale2,5000,1.0,0,3.991208621300757,15.96519524464391,9.967904113228343e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n10_di0p05_scale0p5,5000,1.0,0,9.244417073205113,23.640258037485193,9.769619224719861e-09,33.0,25,0.0
CURVE_CURVE_C1_N0_n10_di0p05_scale1,4997,0.9994,3,3.8059158250689507,15.805548494681714,9.740896880772176e-09,11.0,25,0.0
CURVE_CURVE_C1_N0_n10_di0p05_scale2,4999,0.9998,1,4.032457945868373,16.07467087917016,9.991713359469578e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n50_di0p005_scale0p5,5000,1.0,0,4.197875037789345,19.003783361986304,9.99577101298832e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n50_di0p005_scale1,5000,1.0,0,4.51997946947813,10.650811588857355,9.99672766788251e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n50_di0p005_scale2,5000,1.0,0,4.6394579112529755,5.215865054633469,9.875787174151718e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n50_di0p05_scale0p5,5000,1.0,0,4.148062434978783,17.27330550784245,9.990859202446689e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n50_di0p05_scale1,5000,1.0,0,4.542396054603159,9.604568753857205,9.998923237997115e-09,10.0,25,0.0
CURVE_CURVE_C1_N0_n50_di0p05_scale2,5000,1.0,0,4.7317915596067905,5.333772541489453,9.11335842901373e-09,11.0,25,0.0
CURVE_CURVE_C1_N3_n50_di0p005_scale0p5,5000,1.0,0,5.2618959452956915,17.134768208488822,9.988004218836055e-09,14.0,25,0.0
CURVE_CURVE_C1_N3_n50_di0p005_scale1,5000,1.0,0,4.714541370049119,16.740966255310926,9.973244511490842e-09,11.0,25,0.0
CURVE_CURVE_C1_N3_n50_di0p005_scale2,5000,1.0,0,4.77877096273005,13.870364488102505,9.94260757752885e-09,11.0,25,0.0
CURVE_CURVE_C1_N3_n50_di0p05_scale0p5,5000,1.0,0,5.561041878536344,17.567059257999066,9.855239062328547e-09,15.0,25,0.0
CURVE_CURVE_C1_N3_n50_di0p05_scale1,5000,1.0,0,5.670437472872436,17.33142941258848,9.988146296158185e-09,14.0,25,0.0
CURVE_CURVE_C1_N3_n50_di0p05_scale2,5000,1.0,0,5.111874896101654,14.46552289417015,9.993814900632891e-09,12.0,25,0.0
CURVE_CURVE_C1_N6_n100_di0p005_scale0p5,5000,1.0,0,8.4856670582667,25.16941532026977,2.6307709274919766e-09,32.0,25,0.0
CURVE_CURVE_C1_N6_n100_di0p005_scale1,5000,1.0,0,8.049791445955634,14.991283633280574,5.3518654508089014e-09,31.0,25,0.0
CURVE_CURVE_C1_N6_n100_di0p005_scale2,5000,1.0,0,8.510832907631993,15.284911813214425,9.705495520109797e-09,31.0,25,0.0
CURVE_CURVE_C1_N6_n200_di0p005_scale0p5,5000,1.0,0,8.014479535631835,15.064726560376586,4.053626552480427e-09,31.0,25,0.0
CURVE_CURVE_C1_N6_n200_di0p005_scale1,5000,1.0,0,8.54522897861898,15.234954750631017,9.876125797378399e-09,31.0,25,0.0
