configuration_id,constrained_lr,expanded_welch,normal_wald,simple_welch,configuration_label,sample_scale,mi_difference
CURVE_CURVE_C1_N0_n1000_di0p005_scale0p5,0.0514,0.0488,0.05,0.05,"Balanced, large sample",0.5,0.005
CURVE_CURVE_C1_N0_n1000_di0p005_scale1,0.0542,0.0526,0.0534,0.0532,"Balanced, large sample",1.0,0.005
CURVE_CURVE_C1_N0_n1000_di0p005_scale2,0.0638,0.0634,0.0634,0.0634,"Balanced, large sample",2.0,0.005
CURVE_CURVE_C1_N0_n1000_di0p05_scale0p5,0.4068,0.4016,0.4062,0.405,"Balanced, large sample",0.5,0.05
CURVE_CURVE_C1_N0_n1000_di0p05_scale1,0.6652,0.6626,0.6642,0.664,"Balanced, large sample",1.0,0.05
CURVE_CURVE_C1_N0_n1000_di0p05_scale2,0.932,0.9316,0.932,0.932,"Balanced, large sample",2.0,0.05
CURVE_CURVE_C1_N0_n10_di0p005_scale0p5,0.014,0.0,0.1734983766233766,0.1134334415584415,"Balanced, very small sample",0.5,0.005
CURVE_CURVE_C1_N0_n10_di0p005_scale1,0.0522208883553421,0.0424964073085608,0.1332932451393065,0.0948085788735217,"Balanced, very small sample",1.0,0.005
CURVE_CURVE_C1_N0_n10_di0p005_scale2,0.064,0.0578661844484629,0.0748,0.0664,"Balanced, very small sample",2.0,0.005
CURVE_CURVE_C1_N0_n10_di0p05_scale0p5,0.0108,0.0,0.2019854132901134,0.1241896272285251,"Balanced, very small sample",0.5,0.05
CURVE_CURVE_C1_N0_n10_di0p05_scale1,0.0706423854312587,0.0481028405556707,0.1538307260328921,0.1181307661452065,"Balanced, very small sample",1.0,0.05
CURVE_CURVE_C1_N0_n10_di0p05_scale2,0.0932186437287457,0.0887015853903271,0.1088217643528705,0.0972194438887777,"Balanced, very small sample",2.0,0.05
CURVE_CURVE_C1_N0_n50_di0p005_scale0p5,0.0634,0.0528,0.0632,0.0558,"Balanced, moderate sample",0.5,0.005
CURVE_CURVE_C1_N0_n50_di0p005_scale1,0.0544,0.0406162464985994,0.0484,0.0444,"Balanced, moderate sample",1.0,0.005
CURVE_CURVE_C1_N0_n50_di0p005_scale2,0.051,0.0392,0.0458,0.0446,"Balanced, moderate sample",2.0,0.005
CURVE_CURVE_C1_N0_n50_di0p05_scale0p5,0.0848,0.0734,0.089,0.0794,"Balanced, moderate sample",0.5,0.05
