mi_difference,method,method_label,configurations,mean_power,median_power,minimum_valid_rate
0.005,bartlett_lr,Constrained LR (oracle Bartlett),39,0.11538461538461539,0.1,1.0
0.005,constrained_lr,Constrained LR (chi-squared),39,0.0794871794871795,0.0,1.0
0.005,empirical_lr,Constrained LR (split empirical),39,0.12051282051282051,0.1,1.0
0.005,expanded_welch,Expanded Welch,39,0.06168091168091168,0.0,0.4
0.005,normal_wald,Normal Wald,39,0.12051282051282051,0.1,1.0
0.005,simple_welch,Simple Welch,39,0.11282051282051284,0.1,1.0
0.05,bartlett_lr,Constrained LR (oracle Bartlett),27,0.4444444444444444,0.3,1.0
0.05,constrained_lr,Constrained LR (chi-squared),27,0.4222222222222222,0.2,1.0
0.05,empirical_lr,Constrained LR (split empirical),27,0.44814814814814813,0.2,1.0
0.05,expanded_welch,Expanded Welch,27,0.3666666666666667,0.2,0.8
0.05,normal_wald,Normal Wald,27,0.4148148148148148,0.3,1.0
0.05,simple_welch,Simple Welch,27,0.4148148148148148,0.3,1.0
