configuration_id,lr_valid_count,lr_valid_rate,lr_retry_count,lr_median_elapsed_ms,lr_p99_elapsed_ms,lr_max_constraint_residual,lr_median_iterations,lr_full_start_audit_count,lr_full_start_max_statistic_difference
CURVE_CURVE_C1_N0_n1000_di0p005_scale0p5,10,1.0,0,3.1479584285989404,3.4446901502087717,1.38933474447267e-09,10.5,1,1.3642420526593924e-11
CURVE_CURVE_C1_N0_n1000_di0p005_scale1,10,1.0,0,3.179082996211946,3.434245348908007,3.533439513203618e-10,9.5,1,0.0
CURVE_CURVE_C1_N0_n1000_di0p005_scale2,10,1.0,0,3.3645835937932134,3.508214943576604,1.167734936524667e-10,8.5,1,0.0
CURVE_CURVE_C1_N0_n1000_di0p05_scale0p5,10,1.0,0,3.231916925869882,3.3584905206225812,2.2947088673674898e-11,10.0,1,0.0
CURVE_CURVE_C1_N0_n1000_di0p05_scale1,10,1.0,0,3.3769585425034165,3.556051782798022,9.749423490745812e-13,10.0,1,0.0
CURVE_CURVE_C1_N0_n1000_di0p05_scale2,10,1.0,0,3.5600209375843406,3.6560851405374706,1.3573231427699284e-10,9.0,1,0.0
CURVE_CURVE_C1_N0_n10_di0p005_scale0p5,10,1.0,0,5.841790931299329,9.824838354252279,3.0258501537705484e-09,30.0,1,0.0
CURVE_CURVE_C1_N0_n10_di0p005_scale1,10,1.0,0,2.430333523079753,9.33953048894182,8.643460391866142e-10,11.0,1,2.5704451900310232e-09
CURVE_CURVE_C1_N0_n10_di0p005_scale2,10,1.0,0,2.6002710219472647,15.5054691224359,9.367707456964247e-09,10.5,1,0.0
CURVE_CURVE_C1_N0_n10_di0p05_scale0p5,10,1.0,0,5.847333464771509,7.809207588434219,2.005895560763804e-09,31.0,1,0.0
CURVE_CURVE_C1_N0_n10_di0p05_scale1,10,1.0,0,2.7196670416742563,6.3895587367005655,5.853217910356534e-09,13.0,1,0.0
CURVE_CURVE_C1_N0_n10_di0p05_scale2,10,1.0,0,2.4017494870349765,2.6405362831428647,3.07256811660217e-09,9.5,1,7.844107585697202e-10
CURVE_CURVE_C1_N0_n50_di0p005_scale0p5,10,1.0,0,2.5832914980128407,5.863305642269552,6.563866949971242e-09,9.5,1,1.3501306739271968e-09
CURVE_CURVE_C1_N0_n50_di0p005_scale1,10,1.0,0,2.8646040009334683,2.895166319794953,1.6362550203652404e-11,11.0,1,0.0
CURVE_CURVE_C1_N0_n50_di0p005_scale2,10,1.0,0,2.860312000848353,2.9739012965001166,7.325137996172515e-10,10.0,1,0.0
CURVE_CURVE_C1_N0_n50_di0p05_scale0p5,10,1.0,0,2.964770537801087,8.20896036690101,5.573376427037147e-09,9.0,1,0.0
CURVE_CURVE_C1_N0_n50_di0p05_scale1,10,1.0,0,2.7491460787132382,3.015591944567859,9.178022231104421e-11,10.5,1,1.3557155398302712e-11
CURVE_CURVE_C1_N0_n50_di0p05_scale2,10,1.0,0,2.9119583778083324,3.166918158531189,1.6401663360809948e-10,10.0,1,0.0
CURVE_CURVE_C1_N3_n50_di0p005_scale0p5,10,1.0,0,3.920332994312048,6.097941547632217,1.297052285020861e-09,17.5,1,0.0
CURVE_CURVE_C1_N3_n50_di0p005_scale1,10,1.0,0,2.9861460207030177,9.317916173022242,3.721523294392126e-09,13.0,1,0.0
CURVE_CURVE_C1_N3_n50_di0p005_scale2,10,1.0,0,2.9721874743700027,6.280028247274458,5.312163695037064e-10,12.0,1,9.282530299969949e-11
CURVE_CURVE_C1_N3_n50_di0p05_scale0p5,10,1.0,0,3.6318751517683268,8.809830104000866,6.625593323983381e-09,15.0,1,0.0
CURVE_CURVE_C1_N3_n50_di0p05_scale1,10,1.0,0,3.207936999388039,6.31768950028345,1.0954412099639654e-09,14.5,1,2.568185664131306e-10
CURVE_CURVE_C1_N3_n50_di0p05_scale2,10,1.0,0,2.9260620940476656,10.64106611767784,9.8792650397167e-09,10.5,1,0.0
CURVE_CURVE_C1_N6_n100_di0p005_scale0p5,10,1.0,0,4.528667079284787,7.093603662215174,3.3652118851951185e-10,31.0,1,0.0
CURVE_CURVE_C1_N6_n100_di0p005_scale1,10,1.0,0,4.685458028689027,7.667961893603207,7.125070325408878e-10,25.0,1,0.0
CURVE_CURVE_C1_N6_n100_di0p005_scale2,10,1.0,0,4.481790936551988,8.03923933999613,6.481009583170216e-10,24.5,1,0.0
CURVE_CURVE_C1_N6_n200_di0p005_scale0p5,10,1.0,0,4.142729565501213,6.481372225098312,7.477012203827016e-10,25.0,1,0.0
CURVE_CURVE_C1_N6_n200_di0p005_scale1,10,1.0,0,6.78929197601974,11.251677139662206,4.023015641105299e-09,39.5,1,0.0
CURVE_CURVE_C1_N6_n200_di0p005_scale2,10,1.0,0,5.756334052421153,7.907284277025609,8.909551482000344e-10,25.0,1,0.0
CURVE_CURVE_C1_N7_n1000_di0p005_scale0p5,10,1.0,0,13.519978965632617,16.5238129417412,9.711290278879847e-11,63.5,1,0.0
CURVE_CURVE_C1_N7_n1000_di0p005_scale1,10,1.0,0,4.652792005799711,16.587346026208255,1.3218901234041125e-11,22.0,1,0.0
CURVE_CURVE_C1_N7_n1000_di0p005_scale2,10,1.0,0,3.177979029715061,6.738411330152304,1.590625027525494e-11,13.0,1,7.186713446571957e-10
CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale0p5,10,1.0,0,2.5996874319389462,3.0392956850118935,1.913079264448392e-09,10.0,1,0.0
CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale1,10,1.0,0,2.6702500181272626,3.270308629143983,5.649227058368567e-10,10.5,1,0.0
CURVE_CURVE_C2_N0_np20_nq200_di0p005_scale2,10,1.0,0,3.016792004927993,7.827125892508774,3.221220096216726e-10,10.0,1,4.972662281943485e-10
CURVE_CURVE_C2_N0_np20_nq200_di0p05_scale0p5,10,1.0,0,2.9157708631828427,6.358490586280823,1.5780506901208469e-09,11.0,1,3.2010802897275425e-09
CURVE_CURVE_C2_N0_np20_nq200_di0p05_scale1,10,1.0,0,2.7763955295085907,4.279650328680873,2.383766045666036e-09,10.0,1,0.0
CURVE_CURVE_C2_N0_np20_nq200_di0p05_scale2,10,1.0,0,3.003624966368079,9.308370493818074,3.6660605107208255e-10,11.0,1,0.0
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale0p5,10,1.0,0,3.1608333811163902,3.556794940959662,6.701042290502279e-10,11.5,1,0.0
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale1,10,1.0,0,3.135104081593454,3.7529012374579906,7.62665416931263e-10,11.0,1,0.0
CURVE_CURVE_C2_N3_np500_nq50_di0p005_scale2,10,1.0,0,3.234541625715792,6.630181355867536,7.25731696959997e-10,11.0,1,0.0
CURVE_CURVE_C2_N3_np500_nq50_di0p05_scale0p5,10,1.0,0,3.2685210462659597,6.780210032593459,2.357236014022268e-09,11.5,1,0.0
CURVE_CURVE_C2_N3_np500_nq50_di0p05_scale1,10,1.0,0,3.2739373855292797,3.564168803859502,6.808388505752383e-10,11.5,1,0.0
