configuration_id,bartlett_lr,constrained_lr,empirical_lr,expanded_welch,normal_wald,simple_welch,configuration_label,sample_scale,mi_difference
CURVE_CURVE_C1_N0_n1000_di0p005_scale0p5,0.1,0.1,0.1,0.1,0.1,0.1,"Balanced, large sample",0.5,0.005
CURVE_CURVE_C1_N0_n1000_di0p005_scale1,0.0,0.0,0.0,0.0,0.0,0.0,"Balanced, large sample",1.0,0.005
CURVE_CURVE_C1_N0_n1000_di0p005_scale2,0.0,0.0,0.0,0.0,0.0,0.0,"Balanced, large sample",2.0,0.005
CURVE_CURVE_C1_N0_n1000_di0p05_scale0p5,0.5,0.5,0.5,0.5,0.5,0.5,"Balanced, large sample",0.5,0.05
CURVE_CURVE_C1_N0_n1000_di0p05_scale1,0.9,0.9,0.9,0.9,0.9,0.9,"Balanced, large sample",1.0,0.05
CURVE_CURVE_C1_N0_n1000_di0p05_scale2,1.0,1.0,1.0,1.0,1.0,1.0,"Balanced, large sample",2.0,0.05
CURVE_CURVE_C1_N0_n10_di0p005_scale0p5,0.0,0.0,0.0,0.0,0.1,0.1,"Balanced, very small sample",0.5,0.005
CURVE_CURVE_C1_N0_n10_di0p005_scale1,0.0,0.0,0.0,0.0,0.0,0.0,"Balanced, very small sample",1.0,0.005
CURVE_CURVE_C1_N0_n10_di0p005_scale2,0.1,0.1,0.1,0.1,0.1,0.1,"Balanced, very small sample",2.0,0.005
CURVE_CURVE_C1_N0_n10_di0p05_scale0p5,0.0,0.0,0.2,0.0,0.3,0.3,"Balanced, very small sample",0.5,0.05
CURVE_CURVE_C1_N0_n10_di0p05_scale1,0.0,0.0,0.0,0.0,0.1,0.1,"Balanced, very small sample",1.0,0.05
CURVE_CURVE_C1_N0_n10_di0p05_scale2,0.0,0.0,0.0,0.0,0.0,0.0,"Balanced, very small sample",2.0,0.05
CURVE_CURVE_C1_N0_n50_di0p005_scale0p5,0.0,0.0,0.0,0.0,0.0,0.0,"Balanced, moderate sample",0.5,0.005
CURVE_CURVE_C1_N0_n50_di0p005_scale1,0.0,0.0,0.0,0.0,0.0,0.0,"Balanced, moderate sample",1.0,0.005
CURVE_CURVE_C1_N0_n50_di0p005_scale2,0.1,0.1,0.1,0.1,0.1,0.1,"Balanced, moderate sample",2.0,0.005
CURVE_CURVE_C1_N0_n50_di0p05_scale0p5,0.4,0.4,0.4,0.4,0.4,0.4,"Balanced, moderate sample",0.5,0.05
CURVE_CURVE_C1_N0_n50_di0p05_scale1,0.1,0.1,0.1,0.2,0.2,0.2,"Balanced, moderate sample",1.0,0.05
CURVE_CURVE_C1_N0_n50_di0p05_scale2,0.1,0.1,0.1,0.1,0.1,0.1,"Balanced, moderate sample",2.0,0.05
