configuration_id,anchor_configuration_id,configuration_label,sample_scale,n_p,n_q,mi_p,mi_q,minimum_expected_count,method,method_label,alpha,replicates,valid_count,valid_rate,reject_count,false_positive_rate,absolute_fpr_error,wilson_low,wilson_high
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,bartlett_lr,Constrained LR (oracle Bartlett),0.01,2000,1996,0.998,14,0.0070140280561122245,0.0029859719438877757,0.004182720373394606,0.011739271182611552
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,constrained_lr,Constrained LR (chi-squared),0.01,2000,1996,0.998,15,0.00751503006012024,0.00248496993987976,0.004559506663929236,0.012362564168950901
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,empirical_lr,Constrained LR (split empirical),0.01,2000,1996,0.998,40,0.02004008016032064,0.01004008016032064,0.01475129595810355,0.02717275679662602
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,expanded_welch,Expanded Welch,0.01,2000,1935,0.9675,0,0.0,0.01,0.0,0.0019813166276270488
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,normal_wald,Normal Wald,0.01,2000,1991,0.9955,130,0.06529382219989954,0.05529382219989954,0.05525770845263133,0.07700416010542004
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,simple_welch,Simple Welch,0.01,2000,1991,0.9955,90,0.045203415369161226,0.035203415369161224,0.036920601684127724,0.05523782925673368
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,bartlett_lr,Constrained LR (oracle Bartlett),0.05,2000,1996,0.998,105,0.05260521042084168,0.0026052104208416776,0.04364262401221733,0.06328658173932078
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,constrained_lr,Constrained LR (chi-squared),0.05,2000,1996,0.998,125,0.062625250501002,0.012625250501001994,0.05281326007830994,0.07411753121070769
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,empirical_lr,Constrained LR (split empirical),0.05,2000,1996,0.998,132,0.06613226452905811,0.01613226452905811,0.05604203386063951,0.07788931236649597
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,expanded_welch,Expanded Welch,0.05,2000,1935,0.9675,89,0.04599483204134367,0.004005167958656332,0.03752697234179583,0.0562617477175017
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,normal_wald,Normal Wald,0.05,2000,1991,0.9955,281,0.1411351079859367,0.0911351079859367,0.12653229319278747,0.15712005237015614
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,simple_welch,Simple Welch,0.05,2000,1991,0.9955,220,0.11049723756906077,0.060497237569060766,0.09746925165723824,0.12502535153949063
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,bartlett_lr,Constrained LR (oracle Bartlett),0.1,2000,1996,0.998,244,0.12224448897795591,0.022244488977955904,0.10859518234170638,0.1373450428953146
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,constrained_lr,Constrained LR (chi-squared),0.1,2000,1996,0.998,272,0.13627254509018036,0.03627254509018035,0.12191863414946325,0.15202381084002908
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,empirical_lr,Constrained LR (split empirical),0.1,2000,1996,0.998,234,0.11723446893787576,0.017234468937875752,0.10385115799639989,0.13208827447188135
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,expanded_welch,Expanded Welch,0.1,2000,1935,0.9675,220,0.11369509043927649,0.013695090439276483,0.10030985864492759,0.12861110691491864
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,normal_wald,Normal Wald,0.1,2000,1991,0.9955,405,0.20341536916122552,0.10341536916122551,0.18631275458301053,0.22166024759322214
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,simple_welch,Simple Welch,0.1,2000,1991,0.9955,340,0.17076845806127575,0.07076845806127574,0.1548769248668533,0.18792799118144557
LR_C1_N0_n1000_scale1,C1_N0_n1000,"Balanced, large sample",1.0,1000,1000,0.09999999999999987,0.09999999999999987,140.1026869192951,bartlett_lr,Constrained LR (oracle Bartlett),0.01,2000,2000,1.0,29,0.0145,0.0045000000000000005,0.01011467734679028,0.020746775563306317
LR_C1_N0_n1000_scale1,C1_N0_n1000,"Balanced, large sample",1.0,1000,1000,0.09999999999999987,0.09999999999999987,140.1026869192951,constrained_lr,Constrained LR (chi-squared),0.01,2000,2000,1.0,26,0.013,0.002999999999999999,0.008886895534737305,0.01898030851720305
LR_C1_N0_n1000_scale1,C1_N0_n1000,"Balanced, large sample",1.0,1000,1000,0.09999999999999987,0.09999999999999987,140.1026869192951,empirical_lr,Constrained LR (split empirical),0.01,2000,2000,1.0,24,0.012,0.002,0.008077154276022635,0.017793883870480226
LR_C1_N0_n1000_scale1,C1_N0_n1000,"Balanced, large sample",1.0,1000,1000,0.09999999999999987,0.09999999999999987,140.1026869192951,expanded_welch,Expanded Welch,0.01,2000,2000,1.0,23,0.0115,0.0014999999999999996,0.007675227286212753,0.01719772790757136
LR_C1_N0_n1000_scale1,C1_N0_n1000,"Balanced, large sample",1.0,1000,1000,0.09999999999999987,0.09999999999999987,140.1026869192951,normal_wald,Normal Wald,0.01,2000,2000,1.0,25,0.0125,0.0025000000000000005,0.008481081388571086,0.018388039710650523
LR_C1_N0_n1000_scale1,C1_N0_n1000,"Balanced, large sample",1.0,1000,1000,0.09999999999999987,0.09999999999999987,140.1026869192951,simple_welch,Simple Welch,0.01,2000,2000,1.0,25,0.0125,0.0025000000000000005,0.008481081388571086,0.018388039710650523
LR_C1_N0_n1000_scale1,C1_N0_n1000,"Balanced, large sample",1.0,1000,1000,0.09999999999999987,0.09999999999999987,140.1026869192951,bartlett_lr,Constrained LR (oracle Bartlett),0.05,2000,2000,1.0,126,0.063,0.012999999999999998,0.053166899529154835,0.07450859979466022
LR_C1_N0_n1000_scale1,C1_N0_n1000,"Balanced, large sample",1.0,1000,1000,0.09999999999999987,0.09999999999999987,140.1026869192951,constrained_lr,Constrained LR (chi-squared),0.05,2000,2000,1.0,112,0.056,0.005999999999999998,0.04674833393876454,0.06695400404698805
LR_C1_N0_n1000_scale1,C1_N0_n1000,"Balanced, large sample",1.0,1000,1000,0.09999999999999987,0.09999999999999987,140.1026869192951,empirical_lr,Constrained LR (split empirical),0.05,2000,2000,1.0,112,0.056,0.005999999999999998,0.04674833393876454,0.06695400404698805
LR_C1_N0_n1000_scale1,C1_N0_n1000,"Balanced, large sample",1.0,1000,1000,0.09999999999999987,0.09999999999999987,140.1026869192951,expanded_welch,Expanded Welch,0.05,2000,2000,1.0,110,0.055,0.0049999999999999975,0.04583478836864504,0.06587138371167006
LR_C1_N0_n1000_scale1,C1_N0_n1000,"Balanced, large sample",1.0,1000,1000,0.09999999999999987,0.09999999999999987,140.1026869192951,normal_wald,Normal Wald,0.05,2000,2000,1.0,112,0.056,0.005999999999999998,0.04674833393876454,0.06695400404698805
LR_C1_N0_n1000_scale1,C1_N0_n1000,"Balanced, large sample",1.0,1000,1000,0.09999999999999987,0.09999999999999987,140.1026869192951,simple_welch,Simple Welch,0.05,2000,2000,1.0,112,0.056,0.005999999999999998,0.04674833393876454,0.06695400404698805
LR_C1_N0_n1000_scale1,C1_N0_n1000,"Balanced, large sample",1.0,1000,1000,0.09999999999999987,0.09999999999999987,140.1026869192951,bartlett_lr,Constrained LR (oracle Bartlett),0.1,2000,2000,1.0,225,0.1125,0.012499999999999997,0.09938800020119438,0.12709771144177662
