method,method_label,alpha,configurations,mean_absolute_fpr_error,median_absolute_fpr_error,maximum_absolute_fpr_error,mean_fpr,minimum_valid_rate
bartlett_lr,Constrained LR (oracle Bartlett),0.01,13,0.004652767072606752,0.0055000000000000005,0.0085,0.00603954061970094,0.998
constrained_lr,Constrained LR (chi-squared),0.01,13,0.005037305379990751,0.004,0.01,0.00542423308154771,0.998
empirical_lr,Constrained LR (split empirical),0.01,13,0.0027723138584862038,0.0014999999999999996,0.01004008016032064,0.00931077539694774,0.998
expanded_welch,Expanded Welch,0.01,13,0.008210922418863295,0.008995479658463083,0.020530530530530527,0.006750079394484359,0.8685
normal_wald,Normal Wald,0.01,13,0.04229183247691534,0.01,0.1545,0.04698414016922303,0.9955
simple_welch,Simple Welch,0.01,13,0.0400925704130124,0.01,0.1535,0.04370795502839701,0.9955
bartlett_lr,Constrained LR (oracle Bartlett),0.05,13,0.01366193926314167,0.013000000000000005,0.028500000000000004,0.03935424695544936,0.998
constrained_lr,Constrained LR (chi-squared),0.05,13,0.022125019269307843,0.012625250501001994,0.049,0.03250963465392323,0.998
empirical_lr,Constrained LR (split empirical),0.05,13,0.006510174194542934,0.005999999999999998,0.01613226452905811,0.047587097271466004,0.998
expanded_welch,Expanded Welch,0.05,13,0.03456418820764394,0.028402812656956305,0.15612668743509867,0.041310234021918475,0.8685
normal_wald,Normal Wald,0.05,13,0.08012546953707174,0.045995995995996,0.4455,0.11720300861461082,0.9955
simple_welch,Simple Welch,0.05,13,0.07630717181269667,0.045995995995996,0.4455,0.11230778781331267,0.9955
bartlett_lr,Constrained LR (oracle Bartlett),0.1,13,0.015095729921381225,0.012499999999999997,0.051000000000000004,0.0921726529983043,0.998
constrained_lr,Constrained LR (chi-squared),0.1,13,0.03852096500693695,0.035,0.0925,0.0742901957761677,0.998
empirical_lr,Constrained LR (split empirical),0.1,13,0.009248805302913523,0.009500000000000008,0.017999999999999988,0.09917188222599044,0.998
expanded_welch,Expanded Welch,0.1,13,0.06275338046950109,0.05278754394776495,0.27071651090342674,0.08154071204476096,0.8685
normal_wald,Normal Wald,0.1,13,0.079106526048515,0.038500000000000006,0.40149999999999997,0.15880353074551967,0.9955
simple_welch,Simple Welch,0.1,13,0.07513368673313424,0.038500000000000006,0.40149999999999997,0.15429222989167743,0.9955
