configuration_id,configuration_label,n_p,n_q,wall_seconds,development_lr_valid_count,development_lr_valid_rate,development_lr_retry_count,development_lr_median_elapsed_ms,development_lr_p99_elapsed_ms,development_lr_max_constraint_residual,development_lr_median_iterations,development_lr_full_start_audit_count,development_lr_full_start_max_statistic_difference,validation_lr_valid_count,validation_lr_valid_rate,validation_lr_retry_count,validation_lr_median_elapsed_ms,validation_lr_p99_elapsed_ms,validation_lr_max_constraint_residual,validation_lr_median_iterations,validation_lr_full_start_audit_count,validation_lr_full_start_max_statistic_difference
LR_C1_N0_n1000_scale1,"Balanced, large sample",1000,1000,11.1075906669721,1000,1.0,0,3.5358755849301815,4.870906902942805,7.593487727497461e-09,10.0,5,6.983100320212543e-09,2000,1.0,0,3.5330414539203048,3.949335073120892,9.614602558549734e-09,10.0,10,8.29277269076556e-09
LR_C1_N0_n10_scale1,"Balanced, very small sample",10,10,10.82263954100199,998,0.998,2,2.6523545384407043,11.03865915443748,9.525368382945487e-09,11.0,5,3.6617819887396763e-09,1996,0.998,4,2.5711250491440296,10.63305209390819,9.525368382945487e-09,11.0,10,4.512642703957681e-09
LR_C1_N0_n50_scale1,"Balanced, moderate sample",50,50,9.777448541950434,1000,1.0,0,2.9453749302774668,5.9522950695827594,9.812446667700758e-09,10.0,5,1.3481553651217837e-09,2000,1.0,0,2.9643329326063395,9.103129750583317,9.867817021835812e-09,10.0,10,1.3177441360312514e-09
LR_C1_N3_n50_scale1,One skewed population,50,50,11.867941417032853,1000,1.0,0,2.9735416173934937,10.424085652921347,9.985875064344452e-09,11.0,5,1.4508714230032638e-09,2000,1.0,0,3.0286461114883423,10.199740398675203,9.959626748323736e-09,11.0,10,2.1463222310558194e-09
LR_C1_N6_n100_scale1,"Sparse, smaller sample",100,100,16.08640337502584,1000,1.0,0,4.626958165317774,10.079634245485067,6.52049405615307e-09,23.0,5,0.0,2000,1.0,0,4.829896031878889,10.154046658426523,7.848817852595946e-09,25.0,10,1.2892087397631258e-09
LR_C1_N6_n200_scale1,"Sparse, larger sample",200,200,16.770939582958817,1000,1.0,0,4.946291563101113,10.492867559660226,8.291631761834367e-09,17.0,5,0.0,2000,1.0,0,4.991333466023207,11.342674151528627,9.318901013702363e-09,17.0,10,7.522999112552498e-09
LR_C1_N7_n1000_scale1,Ultra-rare categories,1000,1000,21.80027374997735,1000,1.0,0,6.833313032984734,21.955942444037646,3.198698935932831e-10,30.0,5,2.835349732777104e-10,2000,1.0,0,7.101958501152694,21.880635018460453,1.3540541608965395e-09,30.0,10,2.0884272089460865e-10
LR_C2_N0_np20_nq200_scale1,"Balanced, unequal samples",20,200,11.546349791111425,1000,1.0,0,3.0463329749181867,11.904309799429026,9.987199567351723e-09,10.0,5,0.0,2000,1.0,0,3.1352080404758453,14.890782774891699,9.964102168358302e-09,10.0,10,9.772520570550114e-10
LR_C2_N3_np500_nq50_scale1,"Skewed, unequal samples",500,50,12.571906415978447,1000,1.0,0,3.6358749493956566,9.249487828928975,9.601475923354252e-09,11.0,5,4.990852175978944e-10,2000,1.0,0,3.6447710590437055,8.540819941554217,9.939417160848008e-09,11.0,10,1.6552803572267294e-10
LR_C2_N5_np200_nq2000_scale1,Rare and highly unequal,200,2000,11.45375212514773,1000,1.0,0,3.3959790598601103,7.84077325137332,2.066497870392703e-09,11.0,5,6.663981366727967e-09,2000,1.0,0,3.437208477407694,7.9870896972715855,4.611102333296202e-10,11.0,10,1.9031176634598523e-10
LR_C3_C3_same_balanced_i0p005_n1000_scale1,Near independence,1000,1000,11.962366457795724,1000,1.0,0,3.824041341431439,4.294373579323292,8.68051088301347e-09,9.0,5,1.57160684466362e-09,2000,1.0,0,3.8122704718261957,4.352030756417662,9.192707674937628e-09,9.0,10,0.0
LR_C4_C4_s0p05_i0p0001_n500_scale1,Rare-cell case B,500,500,12.849914541933686,1000,1.0,0,3.697625012136996,8.753434943500904,6.734419994314927e-10,12.0,5,1.439275365555659e-10,2000,1.0,0,3.455937490798533,9.160092689562589,5.562677078511935e-09,13.0,10,0.0
LR_C4_C4_s0p1_i0p0001_n100_scale1,Rare-cell case A,100,100,13.938572249840945,1000,1.0,0,4.061333602294326,9.922268944792448,1.1916920401866538e-09,14.0,5,8.365077519556507e-10,2000,1.0,0,3.647916135378182,9.583758760709316,5.653630882895833e-09,14.0,10,8.266169970738702e-10
