configuration_id,anchor_configuration_id,configuration_label,sample_scale,n_p,n_q,mi_p,mi_q,minimum_expected_count,method,method_label,alpha,replicates,valid_count,valid_rate,reject_count,false_positive_rate,absolute_fpr_error,wilson_low,wilson_high
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,bartlett_lr,Constrained LR (oracle Bartlett),0.01,100,100,1.0,1,0.01,0.0,0.0017674320641406505,0.054486196178705315
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,constrained_lr,Constrained LR (chi-squared),0.01,100,100,1.0,1,0.01,0.0,0.0017674320641406505,0.054486196178705315
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,empirical_lr,Constrained LR (split empirical),0.01,100,100,1.0,0,0.0,0.01,3.469446951953614e-18,0.03699349820698568
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,expanded_welch,Expanded Welch,0.01,100,97,0.97,0,0.0,0.01,0.0,0.03809404252594769
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,normal_wald,Normal Wald,0.01,100,99,0.99,4,0.04040404040404041,0.030404040404040406,0.015822638994147556,0.09932021250254229
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,simple_welch,Simple Welch,0.01,100,99,0.99,2,0.020202020202020204,0.010202020202020204,0.005557720110757801,0.07069031167150083
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,bartlett_lr,Constrained LR (oracle Bartlett),0.05,100,100,1.0,3,0.03,0.020000000000000004,0.010254524024038925,0.0845193642905276
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,constrained_lr,Constrained LR (chi-squared),0.05,100,100,1.0,3,0.03,0.020000000000000004,0.010254524024038925,0.0845193642905276
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,empirical_lr,Constrained LR (split empirical),0.05,100,100,1.0,5,0.05,0.0,0.02154367915436796,0.11175046923191913
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,expanded_welch,Expanded Welch,0.05,100,97,0.97,7,0.07216494845360824,0.022164948453608238,0.03539415830866491,0.1415316718939501
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,normal_wald,Normal Wald,0.05,100,99,0.99,17,0.1717171717171717,0.12171717171717171,0.11006660978136851,0.2578925698591243
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,simple_welch,Simple Welch,0.05,100,99,0.99,10,0.10101010101010101,0.051010101010101006,0.055796675028805004,0.1760306356111785
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,bartlett_lr,Constrained LR (oracle Bartlett),0.1,100,100,1.0,15,0.15,0.04999999999999999,0.0930598528365663,0.23283559590832364
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,constrained_lr,Constrained LR (chi-squared),0.1,100,100,1.0,17,0.17,0.07,0.10893566114059931,0.25548004767601123
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,empirical_lr,Constrained LR (split empirical),0.1,100,100,1.0,17,0.17,0.07,0.10893566114059931,0.25548004767601123
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,expanded_welch,Expanded Welch,0.1,100,97,0.97,17,0.17525773195876287,0.07525773195876287,0.1124005444575961,0.26285641099740076
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,normal_wald,Normal Wald,0.1,100,99,0.99,21,0.21212121212121213,0.11212121212121212,0.14313535489794357,0.30261346417141166
LR_C1_N0_n10_scale1,C1_N0_n10,"Balanced, very small sample",1.0,10,10,0.09999999999999987,0.09999999999999987,1.4010268691929513,simple_welch,Simple Welch,0.1,100,99,0.99,18,0.18181818181818182,0.08181818181818182,0.11821864674176526,0.26918794275594315
LR_C1_N0_n1000_scale1,C1_N0_n1000,"Balanced, large sample",1.0,1000,1000,0.09999999999999987,0.09999999999999987,140.1026869192951,bartlett_lr,Constrained LR (oracle Bartlett),0.01,100,100,1.0,1,0.01,0.0,0.0017674320641406505,0.054486196178705315
LR_C1_N0_n1000_scale1,C1_N0_n1000,"Balanced, large sample",1.0,1000,1000,0.09999999999999987,0.09999999999999987,140.1026869192951,constrained_lr,Constrained LR (chi-squared),0.01,100,100,1.0,1,0.01,0.0,0.0017674320641406505,0.054486196178705315
