method,method_label,alpha,configurations,mean_absolute_fpr_error,median_absolute_fpr_error,maximum_absolute_fpr_error,mean_fpr,minimum_valid_rate
bartlett_lr,Constrained LR (oracle Bartlett),0.01,13,0.005384615384615385,0.01,0.01,0.004615384615384616,1.0
constrained_lr,Constrained LR (chi-squared),0.01,13,0.005384615384615385,0.01,0.01,0.004615384615384616,1.0
empirical_lr,Constrained LR (split empirical),0.01,13,0.007692307692307692,0.01,0.01,0.0038461538461538464,1.0
expanded_welch,Expanded Welch,0.01,13,0.005408406026962728,0.01,0.01,0.004639175257731959,0.88
normal_wald,Normal Wald,0.01,13,0.05003108003108003,0.01,0.25,0.05387723387723388,0.99
simple_welch,Simple Welch,0.01,13,0.04847707847707848,0.01,0.25,0.05232323232323233,0.99
bartlett_lr,Constrained LR (oracle Bartlett),0.05,13,0.019230769230769232,0.020000000000000004,0.05,0.04,1.0
constrained_lr,Constrained LR (chi-squared),0.05,13,0.02692307692307692,0.020000000000000004,0.05,0.03076923076923077,1.0
empirical_lr,Constrained LR (split empirical),0.05,13,0.019230769230769235,0.020000000000000004,0.05,0.03846153846153845,1.0
expanded_welch,Expanded Welch,0.05,13,0.04314861541665666,0.022164948453608238,0.24896907216494846,0.05010277237081361,0.88
normal_wald,Normal Wald,0.05,13,0.09013209013209014,0.05,0.5499999999999999,0.1185936285936286,0.99
simple_welch,Simple Welch,0.05,13,0.08315462315462316,0.05,0.5499999999999999,0.11161616161616163,0.99
bartlett_lr,Constrained LR (oracle Bartlett),0.1,13,0.038461538461538464,0.03,0.1,0.09692307692307692,1.0
constrained_lr,Constrained LR (chi-squared),0.1,13,0.05615384615384615,0.05,0.1,0.07,1.0
empirical_lr,Constrained LR (split empirical),0.1,13,0.04076923076923077,0.04000000000000001,0.10999999999999999,0.09923076923076923,1.0
expanded_welch,Expanded Welch,0.1,13,0.07370453143649021,0.060000000000000005,0.3536082474226804,0.09227485000680877,0.88
normal_wald,Normal Wald,0.1,13,0.08631701631701631,0.060000000000000005,0.5,0.15862470862470862,0.99
simple_welch,Simple Welch,0.1,13,0.08321678321678322,0.060000000000000005,0.5,0.15244755244755245,0.99
