configuration_id,alpha,chi_squared_threshold,bartlett_scale,bartlett_threshold,empirical_threshold,development_valid_count
LR_C1_N0_n1000_scale1,0.01,6.634896601021215,0.9969994944192968,6.614988556742462,9.018227756444503,100
LR_C1_N0_n1000_scale1,0.05,3.8414588206941205,0.9969994944192968,3.8299325020645862,3.230980077978529,100
LR_C1_N0_n1000_scale1,0.1,2.705543454095418,0.9969994944192968,2.69742545586257,2.7081893631529965,100
LR_C1_N0_n10_scale1,0.01,6.634896601021215,1.030830565785629,6.839454217159846,7.572496972976964,100
LR_C1_N0_n10_scale1,0.05,3.8414588206941205,1.030830565785629,3.959893169578315,3.5323694333824847,100
LR_C1_N0_n10_scale1,0.1,2.705543454095418,1.030830565785629,2.7889568895427845,2.667905525475561,100
LR_C1_N0_n50_scale1,0.01,6.634896601021215,1.0947900413202363,7.263818723987511,10.912073316833187,100
LR_C1_N0_n50_scale1,0.05,3.8414588206941205,1.0947900413202363,4.205590861037702,5.416134778391211,100
LR_C1_N0_n50_scale1,0.1,2.705543454095418,1.0947900413202363,2.9620020299028176,3.34718666594938,100
LR_C1_N3_n50_scale1,0.01,6.634896601021215,0.9165601654399512,6.081281926308975,5.942114638449141,100
LR_C1_N3_n50_scale1,0.05,3.8414588206941205,0.9165601654399512,3.520928132226163,3.432059145679915,100
LR_C1_N3_n50_scale1,0.1,2.705543454095418,0.9165601654399512,2.4797933558906737,2.3753518474917428,100
LR_C1_N6_n100_scale1,0.01,6.634896601021215,0.6853259286519318,4.54706667460441,6.056734689497489,100
LR_C1_N6_n100_scale1,0.05,3.8414588206941205,0.6853259286519318,2.6326513336703528,2.304791721443337,100
LR_C1_N6_n100_scale1,0.1,2.705543454095418,0.6853259286519318,1.8541790801860976,1.856511668673818,100
LR_C1_N6_n200_scale1,0.01,6.634896601021215,0.9730181909812637,6.455875088073398,9.594286840988275,100
LR_C1_N6_n200_scale1,0.05,3.8414588206941205,0.9730181909812637,3.737809312440812,4.293545502289987,100
LR_C1_N6_n200_scale1,0.1,2.705543454095418,0.9730181909812637,2.6325429973251238,2.137129462497228,100
LR_C1_N7_n1000_scale1,0.01,6.634896601021215,0.5637740982673956,3.7405828483381436,3.3479952143294156,100
LR_C1_N7_n1000_scale1,0.05,3.8414588206941205,0.5637740982673956,2.1657149826681605,2.3140681524730837,100
LR_C1_N7_n1000_scale1,0.1,2.705543454095418,0.5637740982673956,1.5253153211558992,1.7917444146393962,100
LR_C2_N0_np20_nq200_scale1,0.01,6.634896601021215,1.003939269504,6.661033246863811,7.270856697451791,100
LR_C2_N0_np20_nq200_scale1,0.05,3.8414588206941205,1.003939269504,3.8565913622773524,3.703492086703136,100
LR_C2_N0_np20_nq200_scale1,0.1,2.705543454095418,1.003939269504,2.716201318915883,2.887959635934635,100
LR_C2_N3_np500_nq50_scale1,0.01,6.634896601021215,1.016698713191622,6.745690836417737,6.4889178024996,100
LR_C2_N3_np500_nq50_scale1,0.05,3.8414588206941205,1.016698713191622,3.9056062397783182,4.2081354306344565,100
LR_C2_N3_np500_nq50_scale1,0.1,2.705543454095418,1.016698713191622,2.750722548262828,2.4542147273093633,100
LR_C2_N5_np200_nq2000_scale1,0.01,6.634896601021215,1.2021486957685306,7.97613229547671,6.600007825114744,100
LR_C2_N5_np200_nq2000_scale1,0.05,3.8414588206941205,1.2021486957685306,4.618004711145955,4.083317083704287,100
LR_C2_N5_np200_nq2000_scale1,0.1,2.705543454095418,1.2021486957685306,3.2524655346858924,2.681029076018376,100
LR_C3_C3_same_balanced_i0p005_n1000_scale1,0.01,6.634896601021215,0.9625000858670409,6.386088548201858,5.7059714013121265,100
LR_C3_C3_same_balanced_i0p005_n1000_scale1,0.05,3.8414588206941205,0.9625000858670409,3.697404444772793,3.5166898828265403,100
LR_C3_C3_same_balanced_i0p005_n1000_scale1,0.1,2.705543454095418,0.9625000858670409,2.6040858068838504,2.756880338241899,100
LR_C4_C4_s0p05_i0p0001_n500_scale1,0.01,6.634896601021215,0.4672162413327169,3.099931451560351,3.6069669083558438,100
LR_C4_C4_s0p05_i0p0001_n500_scale1,0.05,3.8414588206941205,0.4672162413327169,1.7947919514391182,2.0765894386945547,100
LR_C4_C4_s0p05_i0p0001_n500_scale1,0.1,2.705543454095418,0.4672162413327169,1.2640738433847973,1.1682965469628925,100
LR_C4_C4_s0p1_i0p0001_n100_scale1,0.01,6.634896601021215,0.513903755967251,3.40969828371915,3.239002608321357,100
LR_C4_C4_s0p1_i0p0001_n100_scale1,0.05,3.8414588206941205,0.513903755967251,1.9741401163482353,1.7622102177565466,100
LR_C4_C4_s0p1_i0p0001_n100_scale1,0.1,2.705543454095418,0.513903755967251,1.3903889429922451,1.5789858292954477,100
