configuration_id,configuration_label,n_p,n_q,wall_seconds,development_lr_valid_count,development_lr_valid_rate,development_lr_retry_count,development_lr_median_elapsed_ms,development_lr_p99_elapsed_ms,development_lr_max_constraint_residual,development_lr_median_iterations,development_lr_full_start_audit_count,development_lr_full_start_max_statistic_difference,validation_lr_valid_count,validation_lr_valid_rate,validation_lr_retry_count,validation_lr_median_elapsed_ms,validation_lr_p99_elapsed_ms,validation_lr_max_constraint_residual,validation_lr_median_iterations,validation_lr_full_start_audit_count,validation_lr_full_start_max_statistic_difference
LR_C1_N0_n1000_scale1,"Balanced, large sample",1000,1000,0.9410129580646753,100,1.0,0,3.2177079701796174,3.4993832581676543,7.46905939874587e-10,10.0,1,0.0,100,1.0,0,3.243333427235484,3.5269827907904983,5.1066656320264414e-09,10.0,1,1.646185410209e-10
LR_C1_N0_n10_scale1,"Balanced, very small sample",10,10,0.9047104590572417,100,1.0,0,2.4076459230855107,6.715828238520772,7.924650990975834e-09,11.5,1,0.0,100,1.0,0,2.3266664939001203,10.526718324981639,1.709857699871975e-09,11.0,1,0.0
LR_C1_N0_n50_scale1,"Balanced, moderate sample",50,50,0.8440654999576509,100,1.0,0,2.733708475716412,6.9495936902239945,7.52101370071756e-09,10.0,1,1.049329512170516e-10,100,1.0,0,2.726916456595063,7.268708024639649,8.514562013783866e-09,10.0,1,4.035882739117369e-12
LR_C1_N3_n50_scale1,One skewed population,50,50,0.9983578328974545,100,1.0,0,2.7275000466033816,9.2102815420367,8.12860019572259e-09,11.0,1,0.0,100,1.0,0,2.717833500355482,8.720322696026416,9.981788562374305e-09,11.0,1,3.70180799791342e-07
LR_C1_N6_n100_scale1,"Sparse, smaller sample",100,100,1.1686758329160511,100,1.0,0,4.087937530130148,8.802569690160459,1.127189867486389e-09,24.5,1,0.0,100,1.0,0,4.154270980507135,7.847058693878363,2.8079502247674304e-09,27.5,1,0.0
LR_C1_N6_n200_scale1,"Sparse, larger sample",200,200,1.237866499926895,100,1.0,0,4.511812119744718,8.548762926366186,5.3570138403361e-09,26.5,1,0.0,100,1.0,0,4.179375013336539,9.62783136405051,3.2330310876377277e-09,15.5,1,0.0
LR_C1_N7_n1000_scale1,Ultra-rare categories,1000,1000,1.5271252079401165,100,1.0,0,6.1806244775652885,16.570768901146952,2.5858821377580665e-11,30.0,1,0.0,100,1.0,0,6.0568335466086864,20.54213119670749,1.0068882273089885e-10,29.5,1,0.0
LR_C2_N0_np20_nq200_scale1,"Balanced, unequal samples",20,200,0.93834412493743,100,1.0,0,2.7662909124046564,9.086861493997326,9.031671965864518e-09,11.0,1,2.340811988688074e-10,100,1.0,0,2.786312601529062,13.082085477653917,9.022939645442207e-09,11.0,1,0.0
LR_C2_N3_np500_nq50_scale1,"Skewed, unequal samples",500,50,0.986202749889344,100,1.0,0,3.068812540732324,7.321040441747803,8.830239095480863e-09,11.0,1,0.0,100,1.0,0,3.0956040136516094,7.181069578509795,5.740468381892905e-09,11.0,1,0.0
LR_C2_N5_np200_nq2000_scale1,Rare and highly unequal,200,2000,0.9134993751067668,100,1.0,0,2.9679584549739957,6.862662064377221,3.513122999974916e-10,11.0,1,0.0,100,1.0,0,2.930041984654963,6.485755641479046,6.48667421859761e-11,11.0,1,0.0
LR_C3_C3_same_balanced_i0p005_n1000_scale1,Near independence,1000,1000,0.9341944998595864,100,1.0,0,3.2539580715820193,3.497819395270199,4.152609159313592e-09,9.0,1,0.0,100,1.0,0,3.254688112065196,3.4591181483119726,3.2343295403025607e-10,9.0,1,0.0
LR_C4_C4_s0p05_i0p0001_n500_scale1,Rare-cell case B,500,500,1.036850000033155,100,1.0,0,3.2284375047311187,6.8490752368234125,1.612317059376811e-10,12.0,1,0.0,100,1.0,0,3.4013125114142895,7.900612631347033,3.538731495333902e-10,12.0,1,0.0
LR_C4_C4_s0p1_i0p0001_n100_scale1,Rare-cell case A,100,100,1.1194895000662655,100,1.0,0,3.6009791074320674,10.805626388173561,5.247323547896698e-10,14.0,1,1.978150976356119e-11,100,1.0,0,3.284291480667889,8.910287157632425,4.520746112526841e-10,13.0,1,0.0
