anchor_configuration_id,configuration_label,configuration_id,sample_scale,n_p,n_q,replicates,base_valid_rate,expanded_valid_rate,normal_critical_value,empirical_critical_value,implied_constant_t_df,calibration_requirement,normal_rejection_rate,normal_rejection_wilson_low,normal_rejection_wilson_high,simple_welch_rejection_rate,expanded_welch_rejection_rate,expanded_df_median,expanded_critical_median,mean_delta_corrected,sd_delta_corrected,bias_in_sd_units,mean_standard_error,rms_standard_error,sd_to_rms_se_ratio,mean_statistic,sd_statistic,statistic_skewness,statistic_excess_kurtosis,centered_studentized_critical_value,oracle_shape_critical_value,location_scale_corrected_statistic_critical_value,statistic_lower_025_quantile,statistic_upper_975_quantile,delta_se_correlation,absolute_delta_se_correlation
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0_scale1,1.0,10,10,200000,0.996935,0.972215,1.959963984540054,2.5993704203445454,4.822096383928038,larger_than_normal_critical_value,0.13374492820494815,0.1322579456255579,0.13524602330591542,0.09926424491065114,0.0487186476242395,4.411009956294533,2.677333826880723,-0.0001752985266886514,0.22637998026560172,-0.0007743552520986233,0.16471210237301437,0.17106509760543603,1.3233557483932241,0.00026144376709019717,1.9715633354069975,-0.03733010429598037,101.10456654670716,2.600448127386452,1.868476855906519,1.3185637090248397,-2.5993704203445454,2.5993704203445454,-0.001942352227034996,0.08102220283990663
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0_scale1,1.0,50,50,200000,1.0,0.9999,1.959963984540054,1.9393992863346967,,smaller_than_normal_critical_value,0.047665,0.04673991264168666,0.04860746328732535,0.043865,0.03828882888288829,16.846224537150352,2.1112835935939795,0.00034579728081394833,0.08868183407634604,0.003899302313890487,0.08488743862919414,0.08617736205927225,1.0290618319849618,0.0034683803677482685,1.004952479364468,-0.0053200223798062565,0.021831815197328464,1.9394008962994853,1.9907637635389337,1.9300457421237425,-1.934160569866336,1.9440767779544537,0.0034504529590991847,0.2897423411976566
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0_scale1,1.0,1000,1000,200000,1.0,1.0,1.959963984540054,1.9617447440372513,1333.3577653196753,normal_critical_value_adequate,0.05023,0.04928136214981437,0.05119591524767141,0.05009,0.049205,287.78692726267343,1.9682413228402713,1.3606538059038737e-05,0.01901487087587386,0.0007155735186349735,0.018947497224138268,0.018963985538423316,1.0026832617725554,0.0007465206624747812,1.0014544775543224,-0.007299833591980577,-0.012743386306917515,1.9618406931028145,1.963258363982002,1.9590087197655544,-1.965944464378957,1.9579436346425323,-0.00047910834205020815,0.0736929316884916
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0_scale1,1.0,50,50,200000,0.99998,0.994455,1.959963984540054,1.7580986707003137,,smaller_than_normal_critical_value,0.03018060361207224,0.029439778072426415,0.030939477084668644,0.027135542710854218,0.017074679095585018,4.3022582248234436,2.7011831591265416,-0.0014594569007794502,0.054309163104513454,-0.02687312448492066,0.05118530829593255,0.05394898604723506,1.0066762525798547,-0.04324690868701406,0.9111148876854244,-0.15038394779274786,-0.0927807321514642,1.7487261636848745,2.0728422662494532,1.9202923600159785,-1.890846568342845,1.616573091811696,0.05310026288208383,0.5299546897527342
C1_N6_n100,"Sparse, smaller sample",CURVE_CURVE_C1_N6_n100_di0_scale1,1.0,100,100,200000,0.999965,0.99393,1.959963984540054,2.059340171431952,25.04758610461425,larger_than_normal_critical_value,0.06507727770471966,0.06400456595659972,0.06616669709397728,0.06265719300175507,0.006202650086022154,1.0373703039744606,11.673982921068424,0.001872005257352198,0.014452199764011854,0.1295308180014071,0.01401034527441915,0.016606009699030602,0.8702993690805516,-0.24126703339417402,0.976790670225665,-0.36542768070384674,-0.4392725138142306,2.3497248666377546,1.985569735997202,1.9282832032143133,-2.2390657873953654,1.377271315599603,0.7899366394561838,0.6704614144885718
C1_N6_n200,"Sparse, larger sample",CURVE_CURVE_C1_N6_n200_di0_scale1,1.0,200,200,200000,1.0,0.999975,1.959963984540054,2.7085613363640673,4.269992685348973,larger_than_normal_critical_value,0.13522,0.1337283330622849,0.13672567954205703,0.134455,0.037865946648666216,1.5619638179366917,5.693500575970134,0.00016183787395317818,0.009981191411192431,0.016214284175704807,0.00926105076277632,0.010406991044133044,0.9590852311551995,-0.38124411724198615,1.1632176775353653,-0.6887972457091288,-0.19665268691691962,2.7449224618366004,1.9393907219945812,2.0166321203183437,-2.977032018857932,1.3164808147983873,0.7716695677580362,0.49883374331869096
C1_N7_n1000,Ultra-rare categories,CURVE_CURVE_C1_N7_n1000_di0_scale1,1.0,1000,1000,200000,0.99811,0.85349,1.959963984540054,1.5529326911911931,,smaller_than_normal_critical_value,0.0026449990482011,0.0024290582275067495,0.0028800813662232584,0.0026399895803067798,0.0,2.6747671684723167,3.412963971215451,1.2918197981889535e-05,0.002527240354228815,0.0051115826637832835,0.0018958827398696495,0.0029295642398301995,0.8626676690917338,0.1736502256674521,0.8690269080255023,-0.060521740414060374,-1.1409220990938405,1.7061319318086612,2.160092734439821,1.7057335468392267,-1.277403145680677,1.6559785757926102,0.001992888155124133,0.8569544390709408
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0_scale1,1.0,20,200,200000,1.0,0.99844,1.959963984540054,3.319049631874992,2.794468192402691,larger_than_normal_critical_value,0.169545,0.16790685147471673,0.1711958425742109,0.158425,0.055897199631425025,4.186276473492022,2.728394245502692,0.004321092591666996,0.11200263259330794,0.03858027701328493,0.09446491039648075,0.09931102173573798,1.1277965993678096,-0.3425840050277647,1.5220451480672605,0.835897902060607,15.334956749814388,3.4189257825304438,1.9809952335573813,2.061455620320142,-3.7954042743496306,2.334444353486221,0.7385000827286657,0.05084316331938116
C2_N3_np500_nq50,"Skewed, unequal samples",CURVE_CURVE_C2_N3_np500_nq50_di0_scale1,1.0,500,50,200000,1.0,0.99459,1.959963984540054,3.241179770234852,2.9064613895347176,larger_than_normal_critical_value,0.171095,0.16945086432579964,0.17275177018165988,0.167375,0.045561487648176635,2.5347187875818813,3.5398658857689558,-0.0018695744677439746,0.04027972381308448,-0.04641477872141371,0.03593238382488686,0.039111344096762694,1.0298731670645522,0.46883582180126554,1.3725955825803802,0.6315569717572578,-0.06167024107644847,3.403806975620694,1.9636385190054344,2.052040687894261,-1.7367173396302844,3.574633271875462,-0.8407608232483739,0.30803775864918337
C2_N5_np200_nq2000,Rare and highly unequal,CURVE_CURVE_C2_N5_np200_nq2000_di0_scale1,1.0,200,2000,200000,1.0,0.96562,1.959963984540054,2.869249097550014,3.694874887469541,larger_than_normal_critical_value,0.49127,0.48907921639670443,0.4934611189562093,0.491185,0.20972017978086618,2.7194795573702475,3.376465637746217,0.00030625661453732546,0.01098042837230687,0.027891135405037414,0.00955056101427959,0.012251514952713179,0.8962506608111498,-1.0855160254699985,1.5564895187711116,-3.2399361688284922,219.11385437796838,2.962833078696554,2.012404314313525,1.358496439386208,-3.0149915186937855,1.1548989024568286,0.8960368324249267,0.5380873522007317
