anchor_configuration_id,configuration_label,configuration_id,sample_scale,n_p,n_q,replicates,base_valid_rate,expanded_valid_rate,normal_critical_value,empirical_critical_value,implied_constant_t_df,calibration_requirement,normal_rejection_rate,normal_rejection_wilson_low,normal_rejection_wilson_high,simple_welch_rejection_rate,expanded_welch_rejection_rate,expanded_df_median,expanded_critical_median,mean_delta_corrected,sd_delta_corrected,bias_in_sd_units,mean_standard_error,rms_standard_error,sd_to_rms_se_ratio,mean_statistic,sd_statistic,statistic_skewness,statistic_excess_kurtosis,centered_studentized_critical_value,oracle_shape_critical_value,location_scale_corrected_statistic_critical_value,statistic_lower_025_quantile,statistic_upper_975_quantile,delta_se_correlation,absolute_delta_se_correlation
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0_scale0p5,0.5,5,5,200000,0.98708,0.787735,1.959963984540054,5.696030496516237,1.5614414388075193,larger_than_normal_critical_value,0.17934209993110994,0.17765603747993594,0.1810406413115501,0.11656603314827572,0.0,2.4481776184557096,3.629377687082191,7.819023087160265e-05,0.3040620571515974,0.0002571522129530915,0.19706829769930428,0.20786613474548798,1.462778232365229,-0.0017724543951018455,2.180726294996929,-0.019133264243744157,3.912462685797081,5.6967061579001,2.167614036240602,2.6128005903278027,-5.696030496516237,5.696030496516237,0.001937334095300244,-0.13166783264517448
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0_scale1,1.0,10,10,200000,0.996935,0.972215,1.959963984540054,2.5993704203445454,4.822096383928038,larger_than_normal_critical_value,0.13374492820494815,0.1322579456255579,0.13524602330591542,0.09926424491065114,0.0487186476242395,4.411009956294533,2.677333826880723,-0.0001752985266886514,0.22637998026560172,-0.0007743552520986233,0.16471210237301437,0.17106509760543603,1.3233557483932241,0.00026144376709019717,1.9715633354069975,-0.03733010429598037,101.10456654670716,2.600448127386452,1.868476855906519,1.3185637090248397,-2.5993704203445454,2.5993704203445454,-0.001942352227034996,0.08102220283990663
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0_scale2,2.0,20,20,200000,0.99994,0.997005,1.959963984540054,2.332652277850591,7.50665445857995,larger_than_normal_critical_value,0.07815968958137488,0.07699134763499248,0.07934423701063663,0.06939916394983699,0.06117822879524175,8.416703508735718,2.286281950719928,0.0003886506321296622,0.15180354934027918,0.002560220981780026,0.1301777505689378,0.13399678315327668,1.1328895050162036,0.002996921687658489,1.1891113757548972,0.8219221902232904,96.55770430254066,2.332338951222971,2.0866533615286085,1.9616766788004332,-2.3305823902238396,2.334672476446981,1.1087286134892968e-05,0.2526450556190592
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0_scale0p5,0.5,25,25,200000,1.0,1.0,1.959963984540054,2.1135440701271766,16.615179901718736,larger_than_normal_critical_value,0.063935,0.06287120334293965,0.06501554759272667,0.056875,0.05332,10.083185567673283,2.2256497129411907,0.00032680922142488717,0.132817753132394,0.002460583873144734,0.11830282507407539,0.12135027349885534,1.0944990011386075,0.0027386962895574116,1.0909943375104236,0.10856339066562253,4.173101198504397,2.1123677095727165,2.035303216978095,1.9364597791864067,-2.1080434885663992,2.1166098813735803,0.0005822188580856516,0.28150106726722884
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0_scale1,1.0,50,50,200000,1.0,0.9999,1.959963984540054,1.9393992863346967,,smaller_than_normal_critical_value,0.047665,0.04673991264168666,0.04860746328732535,0.043865,0.03828882888288829,16.846224537150352,2.1112835935939795,0.00034579728081394833,0.08868183407634604,0.003899302313890487,0.08488743862919414,0.08617736205927225,1.0290618319849618,0.0034683803677482685,1.004952479364468,-0.0053200223798062565,0.021831815197328464,1.9394008962994853,1.9907637635389337,1.9300457421237425,-1.934160569866336,1.9440767779544537,0.0034504529590991847,0.2897423411976566
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0_scale2,2.0,100,100,200000,1.0,1.0,1.959963984540054,1.9496305012727515,,smaller_than_normal_critical_value,0.04879,0.04785449497932034,0.04974283773411,0.047175,0.041375,31.021916665145667,2.039455047182738,-0.00017946629572835465,0.06130051323043505,-0.002927647523173616,0.060033837989340755,0.060524319412163935,1.0128244947784595,-0.002391043179179565,1.0005787895818457,-0.005209220542514856,-0.08829722055982003,1.9497264474131426,1.9790910384462193,1.9484037318435097,-1.9519217684170764,1.947139257284681,-0.0049156725561473194,0.2198823531155323
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0_scale0p5,0.5,500,500,200000,1.0,1.0,1.959963984540054,1.962807580565125,835.4398206754834,normal_critical_value_adequate,0.050295,0.04934577455861806,0.05126150034196745,0.050055,0.048535,145.00674615292954,1.9764587888849818,6.116242181039414e-05,0.026902170943145908,0.00227351249606036,0.026803425017035906,0.026849719837357608,1.0019535066326957,0.0020892519729362844,0.9994784544611164,0.002026086053849922,-0.01740973817884095,1.9622097765807776,1.9682039324479312,1.9633463081057505,-1.9650745335062678,1.9613481232568344,0.003578003804127719,0.10497745226668136
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0_scale1,1.0,1000,1000,200000,1.0,1.0,1.959963984540054,1.9617447440372513,1333.3577653196753,normal_critical_value_adequate,0.05023,0.04928136214981437,0.05119591524767141,0.05009,0.049205,287.78692726267343,1.9682413228402713,1.3606538059038737e-05,0.01901487087587386,0.0007155735186349735,0.018947497224138268,0.018963985538423316,1.0026832617725554,0.0007465206624747812,1.0014544775543224,-0.007299833591980577,-0.012743386306917515,1.9618406931028145,1.963258363982002,1.9590087197655544,-1.965944464378957,1.9579436346425323,-0.00047910834205020815,0.0736929316884916
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0_scale2,2.0,2000,2000,200000,1.0,1.0,1.959963984540054,1.957039313213992,,normal_critical_value_adequate,0.04968,0.048736351937635224,0.05064094658746828,0.049595,0.04918,573.5556885909541,1.9641086562947443,4.922442721218915e-05,0.013411895448406255,0.0036702066014120713,0.013398453625002622,0.013404303967402043,1.0005663465274044,0.0037353211396170967,1.0000263744493325,-0.0046472412525571565,-0.004709012324321193,1.957146433920191,1.9585591051773061,1.9570383083693978,-1.9560834673192224,1.9575198095709823,-0.001972015592798882,0.0523944638527235
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0_scale0p5,0.5,25,25,200000,0.999455,0.928805,1.959963984540054,1.78936937900622,,smaller_than_normal_critical_value,0.03146214687004417,0.030705854258442935,0.032236447638890484,0.02580906594093781,0.017678630067667594,2.883900525663961,3.256167643923294,-0.0014587505649870198,0.08247439340510127,-0.017687314871439746,0.07457486580452916,0.08028644334113588,1.027251799592975,-0.05282345916545845,0.906280787895126,0.10231951497543589,0.33162437057028704,1.7835269688333524,2.1097344227704395,1.9518095282438954,-1.825167926591084,1.7114641523889265,0.0735997194001445,0.5730328316145638
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0_scale1,1.0,50,50,200000,0.99998,0.994455,1.959963984540054,1.7580986707003137,,smaller_than_normal_critical_value,0.03018060361207224,0.029439778072426415,0.030939477084668644,0.027135542710854218,0.017074679095585018,4.3022582248234436,2.7011831591265416,-0.0014594569007794502,0.054309163104513454,-0.02687312448492066,0.05118530829593255,0.05394898604723506,1.0066762525798547,-0.04324690868701406,0.9111148876854244,-0.15038394779274786,-0.0927807321514642,1.7487261636848745,2.0728422662494532,1.9202923600159785,-1.890846568342845,1.616573091811696,0.05310026288208383,0.5299546897527342
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0_scale2,2.0,100,100,200000,1.0,0.999945,1.959963984540054,1.7774500562101458,,smaller_than_normal_critical_value,0.02846,0.027740253668565612,0.02919785999844296,0.02676,0.017845981528984093,7.433011276283289,2.3369840078929873,-0.0004145868012326656,0.036732314325914034,-0.011286705148882534,0.03564939884438879,0.03681407329538991,0.9977791381893588,-0.008238819802692565,0.937736730185266,-0.0757228097723825,-0.26209656746654897,1.7771576309008126,2.027784702648033,1.8954929106050717,-1.8138445841851105,1.7446789518547925,-0.00046024540809580023,0.43864945734922167
C1_N6_n100,"Sparse, smaller sample",CURVE_CURVE_C1_N6_n100_di0_scale0p5,0.5,50,50,200000,0.99902,0.913805,1.959963984540054,1.537777112286081,,smaller_than_normal_critical_value,0.004999899901903866,0.004700002938765785,0.005318830377309367,0.0037386638906128007,0.0005964073297913668,1.3471940789692458,7.071872070295096,0.006537940601318778,0.02334252053874031,0.28008717355386337,0.022829944023324045,0.02825082011240041,0.8262599261142989,-0.004254822398396659,0.7876733702028391,-0.21812721737585009,-0.3552764549754759,2.154119638116749,2.0155426592808077,1.9517320259609683,-1.6030484809738734,1.4591654236014862,0.7792299136382482,0.7754470141382954
C1_N6_n100,"Sparse, smaller sample",CURVE_CURVE_C1_N6_n100_di0_scale1,1.0,100,100,200000,0.999965,0.99393,1.959963984540054,2.059340171431952,25.04758610461425,larger_than_normal_critical_value,0.06507727770471966,0.06400456595659972,0.06616669709397728,0.06265719300175507,0.006202650086022154,1.0373703039744606,11.673982921068424,0.001872005257352198,0.014452199764011854,0.1295308180014071,0.01401034527441915,0.016606009699030602,0.8702993690805516,-0.24126703339417402,0.976790670225665,-0.36542768070384674,-0.4392725138142306,2.3497248666377546,1.985569735997202,1.9282832032143133,-2.2390657873953654,1.377271315599603,0.7899366394561838,0.6704614144885718
C1_N6_n100,"Sparse, smaller sample",CURVE_CURVE_C1_N6_n100_di0_scale2,2.0,200,200,200000,1.0,0.99995,1.959963984540054,2.713000858909281,4.2508772836131365,larger_than_normal_critical_value,0.135545,0.13405180891869892,0.13705219120114162,0.13473,0.03791189559477974,1.5590159702653166,5.707817752935595,0.00014544071506100064,0.009988477393117928,0.014560849400451109,0.009253730295383816,0.010399091197760573,0.9605144529619021,-0.3828633660923227,1.1636647946440952,-0.6848375482088016,-0.19921777442656063,2.7460457554088418,1.9450138264700452,2.0189852488948974,-2.9765430535317714,1.3163289458157106,0.7722466748150197,0.4988864411182803
C1_N6_n200,"Sparse, larger sample",CURVE_CURVE_C1_N6_n200_di0_scale0p5,0.5,100,100,200000,0.99989,0.994225,1.959963984540054,2.057788179803844,25.426522819685268,larger_than_normal_critical_value,0.06488713758513437,0.06381586020681856,0.06597513116259235,0.06245186970566762,0.006502552239181272,1.0368304494298324,11.687706716945655,0.0019215419283809573,0.01450230310055688,0.13249908756266246,0.01405112195638971,0.016645981237749186,0.871219478949613,-0.23917152874284525,0.9761624868384368,-0.36460758615357064,-0.43527650257003003,2.3516566498916536,1.9812601526760272,1.9281966971537774,-2.2373026074756335,1.3820703719411849,0.7907771327717967,0.6712986627728956
C1_N6_n200,"Sparse, larger sample",CURVE_CURVE_C1_N6_n200_di0_scale1,1.0,200,200,200000,1.0,0.999975,1.959963984540054,2.7085613363640673,4.269992685348973,larger_than_normal_critical_value,0.13522,0.1337283330622849,0.13672567954205703,0.134455,0.037865946648666216,1.5619638179366917,5.693500575970134,0.00016183787395317818,0.009981191411192431,0.016214284175704807,0.00926105076277632,0.010406991044133044,0.9590852311551995,-0.38124411724198615,1.1632176775353653,-0.6887972457091288,-0.19665268691691962,2.7449224618366004,1.9393907219945812,2.0166321203183437,-2.977032018857932,1.3164808147983873,0.7716695677580362,0.49883374331869096
C1_N6_n200,"Sparse, larger sample",CURVE_CURVE_C1_N6_n200_di0_scale2,2.0,400,400,200000,1.0,1.0,1.959963984540054,3.0683816227917347,3.208921094328965,larger_than_normal_critical_value,0.108575,0.10721905666745588,0.10994597947392945,0.10835,0.038335,3.2355368787313745,3.055315566098119,-0.00016395655825812366,0.007084806849156098,-0.023141994093692653,0.006523287662047407,0.006980453967890175,1.0149492972442684,-0.35005590753316357,1.2442309612080502,-1.062670008037358,1.1102434194354025,3.0191165950062113,1.940258481237434,2.1869610591247666,-3.7021745815341616,1.42245671398191,0.749649317626449,0.33150375179707503
C1_N7_n1000,Ultra-rare categories,CURVE_CURVE_C1_N7_n1000_di0_scale0p5,0.5,500,500,200000,0.942155,0.531115,1.959963984540054,1.313832956511963,,smaller_than_normal_critical_value,5.30698239673939e-05,2.8827700637321645e-05,9.769592225597582e-05,5.30698239673939e-05,0.0,1.8564449093129543,4.6377597882448,8.02082053733135e-05,0.004263557401124969,0.018812507450269116,0.0023632442021008556,0.004617068485243339,0.9234338660454722,0.18959714559616853,0.8492406170411078,-0.27179054443607786,-1.4063988148250262,7.354972265328448,2.228983437553816,1.5399760162729823,-1.2284450594390066,1.3744878408599566,0.04205939903826206,0.9249068118656433
C1_N7_n1000,Ultra-rare categories,CURVE_CURVE_C1_N7_n1000_di0_scale1,1.0,1000,1000,200000,0.99811,0.85349,1.959963984540054,1.5529326911911931,,smaller_than_normal_critical_value,0.0026449990482011,0.0024290582275067495,0.0028800813662232584,0.0026399895803067798,0.0,2.6747671684723167,3.412963971215451,1.2918197981889535e-05,0.002527240354228815,0.0051115826637832835,0.0018958827398696495,0.0029295642398301995,0.8626676690917338,0.1736502256674521,0.8690269080255023,-0.060521740414060374,-1.1409220990938405,1.7061319318086612,2.160092734439821,1.7057335468392267,-1.277403145680677,1.6559785757926102,0.001992888155124133,0.8569544390709408
C1_N7_n1000,Ultra-rare categories,CURVE_CURVE_C1_N7_n1000_di0_scale2,2.0,2000,2000,200000,1.0,0.98158,1.959963984540054,1.506686404204591,,smaller_than_normal_critical_value,0.01473,0.014211269885703471,0.015267371203470832,0.014655,0.0006469161963365186,2.032123241561395,4.238127142259163,-1.6760111226039807e-06,0.001562782635140679,-0.0010724531261848255,0.001463069601557098,0.0018523896843723193,0.843657599869558,0.12919096413664716,0.8390393062913625,0.08354328578971945,-0.7874725120799626,1.5788257031756663,2.1142331736399393,1.7882078985014005,-1.237862429597878,1.7326242179683977,-0.018374807341210733,0.7631366323496244
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0_scale0p5,0.5,10,100,200000,1.0,0.98721,1.959963984540054,3.6029510109132934,2.472793797142606,larger_than_normal_critical_value,0.198275,0.1965334528576041,0.2000281375614021,0.178885,0.049579116905217734,3.2504622406872006,3.0481183684158433,0.016284523279499776,0.1662697748984548,0.09794037003685818,0.12027233389446436,0.1280561232416108,1.2984133104259614,-0.17290410835022413,2.216437513210254,3.254497179558205,24.89379671061193,3.8925037833456946,1.7850137921611626,1.5661671322461108,-3.5308628516683123,4.142415068897163,0.4993504047148881,-0.07813116527772579
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0_scale1,1.0,20,200,200000,1.0,0.99844,1.959963984540054,3.319049631874992,2.794468192402691,larger_than_normal_critical_value,0.169545,0.16790685147471673,0.1711958425742109,0.158425,0.055897199631425025,4.186276473492022,2.728394245502692,0.004321092591666996,0.11200263259330794,0.03858027701328493,0.09446491039648075,0.09931102173573798,1.1277965993678096,-0.3425840050277647,1.5220451480672605,0.835897902060607,15.334956749814388,3.4189257825304438,1.9809952335573813,2.061455620320142,-3.7954042743496306,2.334444353486221,0.7385000827286657,0.05084316331938116
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0_scale2,2.0,40,400,200000,1.0,0.99991,1.959963984540054,2.664555941407206,4.472251089612449,larger_than_normal_critical_value,0.10611,0.10476780731960994,0.10746732351191654,0.10096,0.02463721734956146,7.3429328224576205,2.3424204531642285,0.0010288210393843325,0.07407268110034775,0.0138893452228436,0.06926272916831706,0.07149535962715282,1.0360487937487917,-0.28179159614730354,1.2517974022681653,-0.8340515672639649,1.7579491445456616,2.6852283752539767,1.8922946330606962,2.0060561744862255,-3.3240856573947375,1.7715496074529644,0.8816507182701049,0.117541584565536
C2_N3_np500_nq50,"Skewed, unequal samples",CURVE_CURVE_C2_N3_np500_nq50_di0_scale0p5,0.5,250,25,200000,1.0,0.92703,1.959963984540054,3.1550262578005994,3.0467016524339323,larger_than_normal_critical_value,0.201505,0.199752768083598,0.20326869825867144,0.19602,0.03862334552279861,2.615860604802115,3.463884606950687,-0.003925133127724907,0.0586421354647854,-0.06693366632396852,0.05010957702161884,0.056619609634400964,1.0357212959157456,0.5627376654630658,1.4122172275220741,0.5409779523838878,0.10406606259128459,3.4144378460551383,1.9864928900984138,1.8605506722936573,-1.635749019301978,3.3338110236961485,-0.8312665897592083,0.41781531519298093
C2_N3_np500_nq50,"Skewed, unequal samples",CURVE_CURVE_C2_N3_np500_nq50_di0_scale1,1.0,500,50,200000,1.0,0.99459,1.959963984540054,3.241179770234852,2.9064613895347176,larger_than_normal_critical_value,0.171095,0.16945086432579964,0.17275177018165988,0.167375,0.045561487648176635,2.5347187875818813,3.5398658857689558,-0.0018695744677439746,0.04027972381308448,-0.04641477872141371,0.03593238382488686,0.039111344096762694,1.0298731670645522,0.46883582180126554,1.3725955825803802,0.6315569717572578,-0.06167024107644847,3.403806975620694,1.9636385190054344,2.052040687894261,-1.7367173396302844,3.574633271875462,-0.8407608232483739,0.30803775864918337
C2_N3_np500_nq50,"Skewed, unequal samples",CURVE_CURVE_C2_N3_np500_nq50_di0_scale2,2.0,1000,100,200000,1.0,0.99998,1.959963984540054,3.1559337854530325,3.0451228875557064,larger_than_normal_critical_value,0.13107,0.12959805271042565,0.13255611931139535,0.129325,0.03110562211244225,4.0186529101036115,2.7713700669942476,-0.00041108099933674863,0.02757077256472324,-0.0149100283052179,0.02579005666863297,0.0272461080384211,1.011915996436787,0.39679505929680525,1.3323421436365774,0.9481401969915413,1.116983136678785,3.194384170073066,1.9109964148346195,2.1303769051168446,-1.6439990541664389,3.9162449326035373,-0.8845805978745174,0.20878449993737547
C2_N5_np200_nq2000,Rare and highly unequal,CURVE_CURVE_C2_N5_np200_nq2000_di0_scale0p5,0.5,100,1000,200000,0.999985,0.75987,1.959963984540054,3.854031535991542,2.2653313757515496,larger_than_normal_critical_value,0.6979904698570478,0.6959744814637541,0.6999988525599725,0.6978104671570073,0.08117177938331557,2.426400522815155,3.653438403247093,-0.0004900002549223193,0.01777402485583181,-0.02756833406596402,0.012255670021348093,0.018398741148026553,0.9660457045855146,-1.9881212307219875,3.8345672013785963,-11.790958837535422,341.7110428809469,3.454849784394207,2.019326000818376,0.810185028978616,-5.512329963801846,1.0785017201937679,0.9069621636594315,0.7286048865394169
C2_N5_np200_nq2000,Rare and highly unequal,CURVE_CURVE_C2_N5_np200_nq2000_di0_scale1,1.0,200,2000,200000,1.0,0.96562,1.959963984540054,2.869249097550014,3.694874887469541,larger_than_normal_critical_value,0.49127,0.48907921639670443,0.4934611189562093,0.491185,0.20972017978086618,2.7194795573702475,3.376465637746217,0.00030625661453732546,0.01098042837230687,0.027891135405037414,0.00955056101427959,0.012251514952713179,0.8962506608111498,-1.0855160254699985,1.5564895187711116,-3.2399361688284922,219.11385437796838,2.962833078696554,2.012404314313525,1.358496439386208,-3.0149915186937855,1.1548989024568286,0.8960368324249267,0.5380873522007317
C2_N5_np200_nq2000,Rare and highly unequal,CURVE_CURVE_C2_N5_np200_nq2000_di0_scale2,2.0,400,4000,200000,1.0,0.99922,1.959963984540054,3.204242166622129,2.964295012150161,larger_than_normal_critical_value,0.25029,0.2483963481464058,0.2521932441761728,0.250215,0.21884569964572367,2.0588793692442273,4.186863077641915,0.00020656491975266813,0.007142322266833588,0.02892125446535539,0.006848291424986022,0.00793105788117504,0.9005510202852541,-0.7037808415096289,1.4139036988627474,-0.6264598001529333,-0.8743627203335134,3.292240540130328,1.979540637656461,1.7745108979412803,-3.3886695041012005,1.2216626860646924,0.9034981817564541,0.47928352253283557
C3_C3_same_balanced_i0p005_n1000,Near independence,CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0_scale0p5,0.5,500,500,200000,1.0,0.999855,1.959963984540054,1.64151040820057,,smaller_than_normal_critical_value,0.01418,0.013671084751689804,0.014707577465102206,0.013875,0.004965720029404264,5.626702127422435,2.4868069862239066,-2.6563295096671294e-05,0.00664203758519702,-0.003999269012851176,0.006624212318625456,0.006896135210501722,0.9631536190128999,-0.0035950584477001542,0.8775123706922172,-0.00044842167185856694,-0.5405048820259486,1.6412501989101678,2.034456788214534,1.8705465399558523,-1.6475575998700018,1.6350242088449,-0.003229394939507369,0.5268669192380854
C3_C3_same_balanced_i0p005_n1000,Near independence,CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0_scale1,1.0,1000,1000,200000,1.0,0.999995,1.959963984540054,1.7831709279621268,,smaller_than_normal_critical_value,0.02795,0.027236632365688962,0.028681500892383305,0.027785,0.014420072100360502,10.705084719695833,2.2084056787846915,-7.428536760185242e-06,0.004579638802580527,-0.0016220791814409957,0.004570697807596653,0.004673639897376268,0.9798869624404498,-0.0017343211136137192,0.9338833152979119,-0.002311427278055964,-0.3961999210075793,1.7832522994493378,2.0018304308343904,1.9095153961249585,-1.7862585363866532,1.780033679940669,-0.0002505193098348437,0.40154035952651485
C3_C3_same_balanced_i0p005_n1000,Near independence,CURVE_CURVE_C3_C3_same_balanced_i0p005_n1000_di0_scale2,2.0,2000,2000,200000,1.0,1.0,1.959963984540054,1.8635723684075025,,smaller_than_normal_critical_value,0.03848,0.03764582157889896,0.039331907181328805,0.038415,0.02758,20.878382644906296,2.0803517006105734,6.212067173622896e-06,0.0031895188049491908,0.0019476502737602935,0.003192621892827782,0.0032302843233153545,0.987380207348335,0.0021203918473782567,0.9636442285595582,-0.0005122165918690578,-0.2483292581111476,1.8637012722831992,1.9820537498679642,1.9338176983096973,-1.8627620758899197,1.8645584459609756,-0.0005382612154322247,0.29783237010463015
C4_C4_s0p1_i0p0001_n100,Rare-cell case A,CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0_scale0p5,0.5,50,50,200000,0.99887,0.91223,1.959963984540054,1.5381511935789376,,smaller_than_normal_critical_value,0.004409983281107652,0.0041287983571398415,0.004710227262148769,0.0030384334297756466,8.221610777983623e-05,1.045884081774873,11.461750147761974,-0.00012005778608887935,0.017871728457040804,-0.006717749006620621,0.019386202043135348,0.023870156924391914,0.7487059474995924,0.03618173236293387,0.7664937592654695,0.11475115175396432,-0.21547626753978655,1.5424145041301969,2.0963188004728224,1.994505783583676,-1.4237583641661593,1.6247695916189602,0.033791152921583474,0.7087096277784706
C4_C4_s0p1_i0p0001_n100,Rare-cell case A,CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0_scale1,1.0,100,100,200000,0.99986,0.993835,1.959963984540054,2.0288022710127422,35.641645380347285,larger_than_normal_critical_value,0.060248434780869324,0.059213957463634316,0.061299807014178205,0.05730802312323725,0.003682703869354571,0.6332951142875031,53.9671875092016,-3.916721093859562e-05,0.00983328686146388,-0.0039831250212062665,0.010559266950940185,0.012632620889090505,0.7784043349195952,0.023302664936357794,0.9360364096327985,0.15956807223148753,0.3994636311233646,2.0296738237452594,1.979154185796208,2.1641460268791364,-1.9022547161787615,2.1213284166837574,0.005363570579665557,0.6124767387717575
C4_C4_s0p1_i0p0001_n100,Rare-cell case A,CURVE_CURVE_C4_C4_s0p1_i0p0001_n100_di0_scale2,2.0,200,200,200000,0.99998,0.99995,1.959963984540054,2.399648069448553,6.528999315805789,larger_than_normal_critical_value,0.07731154623092462,0.07614910560040535,0.07849022427720674,0.07690653813076262,0.01800090004500225,0.7125661052169803,34.332103254824304,-2.2386420488550905e-05,0.00555168005168521,-0.004032368630781509,0.005928827411360325,0.00682971826795843,0.8128710195456924,0.013481263471737146,0.9278632086831755,0.3348414592838678,3.165613648765186,2.4015381848902795,2.116085787791202,2.5868875105601186,-2.248946288830955,2.5894098599040634,-0.008528428419388216,0.5861739183041382
C4_C4_s0p05_i0p0001_n500,Rare-cell case B,CURVE_CURVE_C4_C4_s0p05_i0p0001_n500_di0_scale0p5,0.5,250,250,200000,1.0,0.998175,1.959963984540054,1.9386012369205112,,smaller_than_normal_critical_value,0.047935,0.04700739950735963,0.04887996604991278,0.047425,0.0033010243694742906,0.554795954179125,97.07371296192693,-1.0415609117379763e-05,0.003678290022646455,-0.0028316443383346766,0.004281403419715645,0.005419258533637219,0.6787441491885632,0.02438810151365423,0.8687458743523362,0.17066303103026245,0.9190526240865227,1.9391119511883692,2.1246249129141153,2.2274459405870797,-1.8254103207808001,2.052343881943568,-0.0032994527152359603,0.7226053825419507
