anchor_configuration_id,configuration_label,configuration_id,sample_scale,n_p,n_q,development_replicates,validation_replicates,normal_wald_rejection_rate,normal_wald_valid_rate,normal_wald_wilson_low,normal_wald_wilson_high,normal_wald_absolute_error,simple_welch_rejection_rate,simple_welch_valid_rate,simple_welch_wilson_low,simple_welch_wilson_high,simple_welch_absolute_error,expanded_welch_rejection_rate,expanded_welch_valid_rate,expanded_welch_wilson_low,expanded_welch_wilson_high,expanded_welch_absolute_error,plugin_joint_cf_rejection_rate,plugin_joint_cf_valid_rate,plugin_joint_cf_wilson_low,plugin_joint_cf_wilson_high,plugin_joint_cf_absolute_error,population_joint_cf_rejection_rate,population_joint_cf_valid_rate,population_joint_cf_wilson_low,population_joint_cf_wilson_high,population_joint_cf_absolute_error,split_location_scale_rejection_rate,split_location_scale_valid_rate,split_location_scale_wilson_low,split_location_scale_wilson_high,split_location_scale_absolute_error,split_cf_skew_rejection_rate,split_cf_skew_valid_rate,split_cf_skew_wilson_low,split_cf_skew_wilson_high,split_cf_skew_absolute_error,split_cf_four_moment_rejection_rate,split_cf_four_moment_valid_rate,split_cf_four_moment_wilson_low,split_cf_four_moment_wilson_high,split_cf_four_moment_absolute_error,split_empirical_rejection_rate,split_empirical_valid_rate,split_empirical_wilson_low,split_empirical_wilson_high,split_empirical_absolute_error,development_mean,development_sd,development_skewness,development_excess_kurtosis,plugin_joint_mean_shift_median,plugin_joint_skewness_median,population_joint_mean_shift,population_joint_skewness,population_joint_lower_critical,population_joint_upper_critical,split_location_scale_lower_critical,split_location_scale_upper_critical,split_cf_skew_lower_critical,split_cf_skew_upper_critical,split_cf_four_moment_lower_critical,split_cf_four_moment_upper_critical,split_empirical_lower_critical,split_empirical_upper_critical
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0_scale1,1.0,10,10,100000,100000,0.13589332263886103,0.9974,0.13378068966057724,0.13803400147515402,0.08589332263886103,0.10130338881090836,0.9974,0.09944617337204435,0.10319131444884698,0.05130338881090836,0.04943235572374645,0.97244,0.04808763567490748,0.05081267218327094,0.0005676442762535538,0.3300681772608783,0.9974,0.32715646667745507,0.33299297709552406,0.2800681772608783,0.13589332263886103,0.9974,0.13378068966057724,0.13803400147515402,0.08589332263886103,0.032464407459394426,0.9974,0.0313823940964588,0.033582433446261224,0.017535592540605577,0.031010627631842792,0.9974,0.02995276731479245,0.03210461255237634,0.01898937236815721,0.00131341487868458,0.9974,0.001107040995119251,0.0015582008376855035,0.04868658512131542,0.05046119911770604,0.9974,0.04911996284878741,0.05183706178092904,0.00046119911770603483,-0.013193373515099202,2.023642635181893,-0.8588822477222373,118.29143328417045,0.0,0.0,-0.0,0.0,-1.9599639845400545,1.959963984540054,-3.979460056051338,3.9530733090211387,-4.802569459587386,3.1299639054850923,-21.034176927699022,19.36157137359668,-2.5993704203445454,2.5993704203445445
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0_scale1,1.0,50,50,100000,100000,0.0479,1.0,0.04659367692905488,0.04924105620734271,0.0021000000000000046,0.04358,1.0,0.042332069742953136,0.04486299528273718,0.006420000000000002,0.03779302344187535,0.99992,0.03662870151377,0.038992857828122604,0.012206976558124652,0.11196,1.0,0.11002056596016606,0.1139292456882474,0.06196,0.0479,1.0,0.04659367692905488,0.04924105620734271,0.0021000000000000046,0.04734,1.0,0.04604107033459523,0.04867370582448846,0.0026600000000000026,0.04731,1.0,0.04601146783367688,0.04864331063019356,0.002690000000000005,0.04713,1.0,0.04583385589231341,0.04846093640027756,0.0028700000000000045,0.04979,1.0,0.04845908769361853,0.05115550024121351,0.00021000000000000185,-0.008040863187623502,1.002761352942383,0.0018734298175329953,0.026838151804962074,0.0,0.0,-0.0,0.0,-1.9599639845400545,1.959963984540054,-1.9734170000433526,1.9573352736681053,-1.9725273378571158,1.958224935854342,-1.9743761771802468,1.9600737751774728,-1.950728979018048,1.9389714400682265
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0_scale1,1.0,1000,1000,100000,100000,0.04901,1.0,0.04768916876889842,0.05036547909038923,0.0009900000000000048,0.04894,1.0,0.04762007802947004,0.05029457520765337,0.0010600000000000054,0.04826,1.0,0.04694895041660425,0.049605755062352284,0.0017400000000000054,0.05142,1.0,0.05006831416555467,0.05280614854253034,0.0014199999999999977,0.04901,1.0,0.04768916876889842,0.05036547909038923,0.0009900000000000048,0.049,1.0,0.04767929861704681,0.050355350010503105,0.0010000000000000009,0.04902,1.0,0.047699038936144446,0.050375608154880964,0.0009800000000000017,0.04911,1.0,0.047787871133370595,0.05046676904329455,0.0008900000000000019,0.04863,1.0,0.047314113861832985,0.04998056319142023,0.0013700000000000032,-0.002232293637485923,0.9999759734333468,0.005841324058140261,-0.023179465979588976,-1.314851156230911e-06,-1.9149317674981876e-05,-0.0,0.0,-1.9599639845400545,1.959963984540054,-1.9621491869722278,1.9576845996972556,-1.9593829398089908,1.9604508468604926,-1.9577851505986474,1.9588530576501493,-1.9663457224329681,1.9613587000610389
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0_scale1,1.0,50,50,100000,100000,0.03060122404896196,0.99996,0.0295516006453018,0.03168691103116375,0.019398775951038044,0.02785111404456178,0.99996,0.02684924065001639,0.028889262306670466,0.02214888595543822,0.01754474211039908,0.99403,0.01674702337277808,0.01837974866400563,0.03245525788960092,0.34521380855234207,0.99996,0.34227300553982015,0.34816650367932706,0.2952138085523421,0.03147125885035401,0.99996,0.03040702161620243,0.03257149281888401,0.01852874114964599,0.0454018160726429,0.99996,0.044128847310766335,0.04670971129396268,0.0045981839273571,0.04583183327333094,0.99996,0.04455304465702163,0.047145515311163705,0.004168166726669066,0.04633185327413097,0.99996,0.04504633674212017,0.04765222481147947,0.0036681467258690356,0.05067202688107524,0.99996,0.04932979858897105,0.05204877672602476,0.0006720268810752397,-0.04094736873163684,0.9101747871382544,-0.14466438210989344,-0.05146060424490839,-0.018145892191770416,-0.19686475233429337,0.018910537460745044,0.05985461749117102,-1.912707708607716,2.0072202604723923,-1.8248571711590258,1.7429624336957519,-1.887212924926517,1.6806066799282606,-1.8812120263588339,1.6746057813605773,-1.8927162309759087,1.6094038013943355
C1_N6_n100,"Sparse, smaller sample",CURVE_CURVE_C1_N6_n100_di0_scale1,1.0,100,100,100000,100000,0.06354190625718771,0.99997,0.06204668824868193,0.06507065669941331,0.013541906257187708,0.06110183305499165,0.99997,0.059634088970771874,0.06260329704016827,0.011101833054991649,0.005802377265139478,0.99442,0.005349024953885905,0.00629390995254899,0.044197622734860526,0.6759602788083643,0.99997,0.6730527904287344,0.6788542484184465,0.6259602788083642,0.27852835585067554,0.99997,0.27575847714297635,0.2813152498992167,0.22852835585067555,0.04515135454063622,0.99997,0.0438817963902035,0.04645585804384179,0.004848645459363782,0.03559106773203196,0.99997,0.03446049018605474,0.03675732513356328,0.014408932267968043,0.04191125733772013,0.99997,0.04068675017984007,0.04317095878027799,0.008088742662279873,0.049071472144164324,0.99997,0.04774982347900596,0.0504277649852229,0.0009285278558356785,-0.23601543435682854,0.9775396490118381,-0.3710903474394895,-0.42575715312402274,-0.5092612617004235,-2.7942852036007366,-0.4680065267322177,-2.2937595716113375,-3.5142410724900417,0.4056868965900675,-2.151957939879957,1.6799270711662995,-2.323750422339315,1.5081345887069415,-2.275487563786055,1.4598717301536823,-2.23809190496189,1.3927740594644489
C1_N6_n200,"Sparse, larger sample",CURVE_CURVE_C1_N6_n200_di0_scale1,1.0,200,200,100000,100000,0.13422,1.0,0.13212123441731352,0.13634686707932772,0.08422,0.13336,1.0,0.13126700094693608,0.1354811666202588,0.08336,0.03857192859642982,0.99995,0.03739596158004062,0.03978334716224001,0.011428071403570182,0.46464,1.0,0.46155020139435804,0.467732515180964,0.41464,0.12934,1.0,0.12727434684592942,0.13143412956269063,0.07934000000000001,0.05806,1.0,0.056627471442157115,0.059526481139792795,0.008059999999999998,0.03139,1.0,0.030327139094482203,0.03248886244289288,0.01861,0.04422,1.0,0.04296321555895319,0.045511800297953015,0.00578,0.05003,1.0,0.048696004344472264,0.05139856515206572,2.9999999999995308e-05,-0.38345700042241954,1.1617891922278178,-0.6773809990913887,-0.208386418391167,-0.414294877668289,-2.2790005335602164,-0.3309305886919144,-1.621932947497927,-3.0590038532723702,0.8609241158077388,-2.6605219748168247,1.8936079739719849,-3.0332143077064777,1.520915641082332,-2.938711919061574,1.4264132524374282,-2.9615262624978276,1.323190253426432
C1_N7_n1000,Ultra-rare categories,CURVE_CURVE_C1_N7_n1000_di0_scale1,1.0,1000,1000,100000,100000,0.0026545658532676204,0.99828,0.0023539520259764518,0.0029934546833438077,0.04734543414673238,0.0026545658532676204,0.99828,0.0023539520259764518,0.0029934546833438077,0.04734543414673238,0.0,0.85405,0.0,4.497729690603823e-05,0.05,0.6001923308089915,0.99828,0.5971497974846801,0.6032271534729098,0.5501923308089914,0.0017329807268501823,0.99828,0.001493433926202295,0.0020108734541739257,0.048267019273149823,0.012711864406779662,0.99828,0.012035433475228863,0.013425796345611115,0.03728813559322034,0.013112553592178547,0.99828,0.012425387324692583,0.013837190030470887,0.036887446407821455,0.021116320070521298,0.99828,0.02024271423017699,0.02202678012309829,0.028883679929478705,0.04856352927034499,0.99828,0.047247392861930984,0.04991440759250368,0.0014364707296550122,0.17120174554936918,0.8699886497281234,-0.06585835074260528,-1.1334381880123106,-0.04381280044803844,-0.2650893927708413,0.022105312460624894,0.08736828325633908,-1.8964831088948249,2.0234448601852835,-1.5339446748763854,1.876348165975123,-1.5610787206600718,1.8492141201914372,-1.4927663385999472,1.780901738131313,-1.2868188778668412,1.6559785757926102
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0_scale1,1.0,20,200,100000,100000,0.16932,1.0,0.1670082683297289,0.171657136566409,0.11932,0.15847,1.0,0.15621975016591932,0.16074648829476162,0.10847,0.0562421134856891,0.99854,0.054830128996079586,0.057688240064142124,0.006242113485689101,0.14408,1.0,0.1419171314835921,0.14627021250646902,0.09408000000000001,0.30026,1.0,0.29742675643100175,0.30310858883921304,0.25026000000000004,0.06198,1.0,0.06050231473240636,0.0634913366907409,0.011979999999999998,0.07618,1.0,0.07455200241077987,0.07784055807997002,0.026179999999999995,0.0141,1.0,0.01338768178784158,0.014849648074966621,0.0359,0.05066,1.0,0.04931795137407654,0.05203656972193959,0.0006599999999999939,-0.33958936463074185,1.5172234352807652,0.6842962823268011,13.859956782826202,-0.3099085278354301,-2.0732718052882344,-0.35896066496553924,-2.3415813381024173,-3.4278424740929054,0.4920854949872038,-3.3132926542811796,2.6341139250196957,-2.821611187014742,3.1257953922861335,-4.162880855418849,4.467065060690237,-3.7948363305017625,2.339689059903455
C2_N3_np500_nq50,"Skewed, unequal samples",CURVE_CURVE_C2_N3_np500_nq50_di0_scale1,1.0,500,50,100000,100000,0.17094,1.0,0.16861939194360615,0.17328588849404702,0.12094,0.16695,1.0,0.1646513932783609,0.16927419369593064,0.11694999999999998,0.04517082290504478,0.99489,0.043897806138439875,0.04647896194836109,0.004829177094955221,0.25392,1.0,0.25123181532647904,0.25662709007100987,0.20392,0.38754,1.0,0.3845248039992805,0.39056383587800175,0.33754,0.06335,1.0,0.061856941422534624,0.06487660474868417,0.01335,0.04765,1.0,0.04634697134359187,0.04898778099936201,0.002350000000000005,0.05782,1.0,0.05639029487713164,0.05928367614311232,0.00782,0.05026,1.0,0.048923057549586764,0.05163149427691944,0.00025999999999999635,0.46274939243779417,1.3696092390963228,0.6302847694052481,-0.047129691969062026,0.39429338524886604,2.286114999877319,0.48707602228151187,2.822537939239189,-0.13620040822603974,3.783727560854068,-2.2216353890843066,3.147134173959895,-1.8128234168593076,3.555946146184894,-1.7289140652023767,3.4720367945279635,-1.7475259292538994,3.5694277583378735
C2_N5_np200_nq2000,Rare and highly unequal,CURVE_CURVE_C2_N5_np200_nq2000_di0_scale1,1.0,200,2000,100000,100000,0.49195,1.0,0.48885179523080785,0.4950488232203048,0.44195,0.49188,1.0,0.4887818049356988,0.4949788188932497,0.44188,0.2115076037558102,0.96597,0.20894380055253747,0.21409435151408934,0.1615076037558102,0.91435,1.0,0.9125995689520676,0.9160685981015348,0.86435,0.50159,1.0,0.4984910389510156,0.5046888388952863,0.45159,0.00218,1.0,0.0019094269181940326,0.0024888187132181454,0.04782,0.99997,1.0,0.9999117919507483,0.9999897972414555,0.94997,0.0,1.0,0.0,3.841311258303963e-05,0.05,0.04969,1.0,0.048360374977986634,0.05105422063946791,0.0003100000000000047,-1.0905293154027254,1.73394170057612,-32.932447220741984,4831.870598091499,-0.21878685252994146,-0.8303072315981742,-0.876227507694815,-4.316846090040836,-4.880548225589118,-0.9606202565090078,-4.488992599824055,2.3079339690186043,-31.5316030337971,-24.734676464954422,-332.5771467561155,276.3108672573629,-3.0235725957960486,1.1559525662219117
