anchor_configuration_id,configuration_label,configuration_id,sample_scale,n_p,n_q,development_replicates,validation_replicates,normal_wald_rejection_rate,normal_wald_valid_rate,normal_wald_wilson_low,normal_wald_wilson_high,normal_wald_absolute_error,simple_welch_rejection_rate,simple_welch_valid_rate,simple_welch_wilson_low,simple_welch_wilson_high,simple_welch_absolute_error,expanded_welch_rejection_rate,expanded_welch_valid_rate,expanded_welch_wilson_low,expanded_welch_wilson_high,expanded_welch_absolute_error,plugin_joint_cf_rejection_rate,plugin_joint_cf_valid_rate,plugin_joint_cf_wilson_low,plugin_joint_cf_wilson_high,plugin_joint_cf_absolute_error,population_joint_cf_rejection_rate,population_joint_cf_valid_rate,population_joint_cf_wilson_low,population_joint_cf_wilson_high,population_joint_cf_absolute_error,split_location_scale_rejection_rate,split_location_scale_valid_rate,split_location_scale_wilson_low,split_location_scale_wilson_high,split_location_scale_absolute_error,split_cf_skew_rejection_rate,split_cf_skew_valid_rate,split_cf_skew_wilson_low,split_cf_skew_wilson_high,split_cf_skew_absolute_error,split_cf_four_moment_rejection_rate,split_cf_four_moment_valid_rate,split_cf_four_moment_wilson_low,split_cf_four_moment_wilson_high,split_cf_four_moment_absolute_error,split_empirical_rejection_rate,split_empirical_valid_rate,split_empirical_wilson_low,split_empirical_wilson_high,split_empirical_absolute_error,development_mean,development_sd,development_skewness,development_excess_kurtosis,plugin_joint_mean_shift_median,plugin_joint_skewness_median,population_joint_mean_shift,population_joint_skewness,population_joint_lower_critical,population_joint_upper_critical,split_location_scale_lower_critical,split_location_scale_upper_critical,split_cf_skew_lower_critical,split_cf_skew_upper_critical,split_cf_four_moment_lower_critical,split_cf_four_moment_upper_critical,split_empirical_lower_critical,split_empirical_upper_critical
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0_scale1,1.0,10,10,20000,20000,0.1315604616156548,0.9965,0.12693863406242667,0.1363242934401161,0.08156046161565479,0.09809332664325138,0.9965,0.09404097356431723,0.10230058292422528,0.048093326643251375,0.04678724171690627,0.97035,0.04390470395487811,0.04984916357741889,0.003212758283093732,0.32373306573005517,0.9965,0.3172715559002491,0.33026251250727273,0.2737330657300552,0.1315604616156548,0.9965,0.12693863406242667,0.1363242934401161,0.08156046161565479,0.03191169091821375,0.9965,0.02956025672299683,0.034443536096180845,0.018088309081786255,0.03191169091821375,0.9965,0.02956025672299683,0.034443536096180845,0.018088309081786255,0.0012042147516307074,0.9965,0.000809394999814234,0.0017912807870273616,0.0487957852483693,0.048820873055694936,0.9965,0.04591507383879727,0.05190056610439554,0.0011791269443050673,0.002688368187018197,1.9169841680251072,0.022182923641733163,91.20262718176109,0.0,0.0,-0.0,0.0,-1.9599639845400545,1.959963984540054,-3.754531560075672,3.7599082964497077,-3.7343930458313244,3.7800468106940555,-15.748475569779117,15.794129334641813,-2.5993704203445445,2.5993704203445454
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0_scale1,1.0,50,50,20000,20000,0.04715,1.0,0.044298402141307855,0.0501755249147061,0.0028500000000000053,0.04255,1.0,0.039839424212362855,0.04543626957536726,0.007450000000000005,0.03730746149229846,0.9998,0.03476833546680557,0.040024330360101314,0.012692538507701544,0.11025,1.0,0.1059839513463622,0.11466574075937135,0.06025,0.04715,1.0,0.044298402141307855,0.0501755249147061,0.0028500000000000053,0.04735,1.0,0.04449245333886584,0.05038139690272568,0.0026499999999999996,0.0471,1.0,0.04424989160887549,0.050124054650744085,0.0029,0.0473,1.0,0.044443939182034535,0.05032993026316259,0.002700000000000001,0.05015,1.0,0.047210648502146166,0.05326212633753116,0.00014999999999999736,-0.004376555688310716,0.9991060403071632,-0.028308246579858573,-0.028951829184210354,-2.1131127353085066e-05,-9.459586857658058e-17,-0.0,0.0,-1.9599639845400545,1.959963984540054,-1.9625884114267744,1.9538353000501527,-1.9759825463867666,1.9404411650901607,-1.973877869399438,1.938336488102832,-1.942537274970396,1.9198692333329086
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0_scale1,1.0,1000,1000,20000,20000,0.0513,1.0,0.04832781816968915,0.054444514987059135,0.0012999999999999956,0.05125,1.0,0.04827923661489607,0.054393115745457826,0.0012499999999999942,0.0505,1.0,0.047550610725174164,0.0536220296892639,0.0005000000000000004,0.05395,1.0,0.05090376658630194,0.05716754877934899,0.003949999999999995,0.0513,1.0,0.04832781816968915,0.054444514987059135,0.0012999999999999956,0.05095,1.0,0.047987764265624094,0.054084703316363475,0.0009499999999999995,0.05115,1.0,0.04818207592646934,0.05429031484109578,0.0011499999999999982,0.0513,1.0,0.04832781816968915,0.054444514987059135,0.0012999999999999956,0.0507,1.0,0.04774489300018943,0.0538276705998262,0.0006999999999999992,0.0037762305839616284,1.0021881406592699,0.020126297179570204,-0.012716866335791277,-3.151774974276026e-07,3.815328755248296e-06,-0.0,0.0,-1.9599639845400545,1.959963984540054,-1.9604764308413694,1.9680288920092923,-1.9509242341522826,1.9775810886983791,-1.9499891493444232,1.9766460038905198,-1.9588593514754242,1.974862784865693
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0_scale1,1.0,50,50,20000,20000,0.029251462573128658,0.99995,0.027004889834144126,0.031678845735987234,0.020748537426871345,0.026851342567128355,0.99995,0.024700228228335227,0.029184189195040195,0.023148657432871648,0.017348888665392737,0.9943,0.015625167685357266,0.01925904495440669,0.03265111133460727,0.3368668433421671,0.99995,0.3303482414661904,0.3434481032464925,0.2868668433421671,0.03080154007700385,0.99995,0.028495563101080736,0.03328773210549715,0.019198459922996153,0.0416020801040052,0.99995,0.03892156347264133,0.044458663394338245,0.008397919895994803,0.04185209260463023,0.99995,0.039163593219096134,0.04471656262150384,0.008147907395369774,0.04205210260513026,0.99995,0.039357236411147196,0.04492286260834912,0.007947897394869743,0.04735236761838092,0.99995,0.044494681300756865,0.05038391195949212,0.0026476323816190805,-0.04030259181507959,0.9197451079563286,-0.14842754680838902,-0.011218546509804028,-0.018269041034575703,-0.1976647415435654,0.018910537460745044,0.05985461749117102,-1.912707708607716,2.0072202604723923,-1.842969878366388,1.7623646947362284,-1.907620411738054,1.697714161364562,-1.9039516548537223,1.6940454044802304,-1.9164733940501073,1.6109793555329386
C1_N6_n100,"Sparse, smaller sample",CURVE_CURVE_C1_N6_n100_di0_scale1,1.0,100,100,20000,20000,0.066,1.0,0.0626417136847662,0.0695249736119326,0.016,0.06335,1.0,0.06005719265842312,0.06681051242937307,0.01335,0.00553375591105745,0.9939,0.0045937204882934716,0.006664867368586634,0.04446624408894255,0.6783,1.0,0.6717923382121828,0.6847391817302103,0.6283,0.28015,1.0,0.2739689626301908,0.28641547562367836,0.23015000000000002,0.0448,1.0,0.042019413310485185,0.04775541631499247,0.005200000000000003,0.034,1.0,0.031576474581649853,0.03660250302263967,0.016,0.0403,1.0,0.037661566228829185,0.04311499172115342,0.0097,0.0497,1.0,0.04677361416941829,0.052799333502709545,0.00030000000000000165,-0.23650869528733662,0.9781132217444353,-0.37489110582985097,-0.41716694994989023,-0.5078490447141103,-2.7853963159210755,-0.4680065267322177,-2.2937595716113375,-3.5142410724900417,0.4056868965900675,-2.15357538270887,1.6805579921341962,-2.327229219284814,1.5069041555582525,-2.279110343575885,1.4587852798493237,-2.2414046395809533,1.3789675343686474
C1_N6_n200,"Sparse, larger sample",CURVE_CURVE_C1_N6_n200_di0_scale1,1.0,200,200,20000,20000,0.1334,1.0,0.12875816348177965,0.13818263735455621,0.08339999999999999,0.1328,1.0,0.12816725681782945,0.13757377446177374,0.0828,0.038201910095504776,0.99995,0.03563275754673052,0.040948435279011486,0.011798089904495226,0.46115,1.0,0.4542495502549203,0.468065370946639,0.41115,0.12705,1.0,0.1225060460535769,0.1317371936406715,0.07705,0.0566,1.0,0.05348182362994387,0.05988847394460971,0.006599999999999995,0.0312,1.0,0.028879073549751128,0.033700979456452576,0.018800000000000004,0.04245,1.0,0.039742584076003895,0.04533314811893745,0.007550000000000001,0.04815,1.0,0.04526880170100473,0.051204741282897016,0.0018500000000000044,-0.3764033582531833,1.1599958476951162,-0.6792303930116165,-0.17364850043917057,-0.41311091383483256,-2.2705303324867065,-0.3309305886919144,-1.621932947497927,-3.0590038532723702,0.8609241158077388,-2.6499534419516215,1.8971467254452543,-3.023086443314528,1.5240137240823484,-2.9310738705324835,1.4320011513003044,-2.9729290789525527,1.3164939796057311
C1_N7_n1000,Ultra-rare categories,CURVE_CURVE_C1_N7_n1000_di0_scale1,1.0,1000,1000,20000,20000,0.002504131817498873,0.99835,0.0019000914755716463,0.003299562181226554,0.04749586818250113,0.002504131817498873,0.99835,0.0019000914755716463,0.003299562181226554,0.04749586818250113,0.0,0.85655,0.0,0.00022418992495063997,0.05,0.5986878349276306,0.99835,0.5918706669509397,0.6054670370274444,0.5486878349276305,0.001853057544949166,0.99835,0.0013447562056709355,0.0025529993786994575,0.048146942455050835,0.011318675815094907,0.99835,0.00994251254551816,0.012882838091841124,0.038681324184905094,0.01186958481494466,0.99835,0.010458529634469707,0.013468427064174646,0.03813041518505535,0.020383632994440827,0.99835,0.01851388718677872,0.022437890458998497,0.029616367005559176,0.050282966895377375,0.99835,0.04733743590192604,0.05340150706995896,0.000282966895377372,0.16810488837658338,0.8668179212106499,-0.04892430756902081,-1.1454924924235685,-0.04868461384359024,-0.2922327703801903,0.022105312460624894,0.08736828325633908,-1.8964831088948249,2.0234448601852835,-1.530827018350169,1.8670367951033355,-1.5509106702578728,1.8469531431956319,-1.4823753351537359,1.778417808091495,-1.277461785187875,1.6559785757925187
C2_N0_np20_nq200,"Balanced, unequal samples",CURVE_CURVE_C2_N0_np20_nq200_di0_scale1,1.0,20,200,20000,20000,0.17005,1.0,0.1649069586428669,0.1753197659505565,0.12005,0.15905,1.0,0.154046973507461,0.1641839758791967,0.10905,0.05533577044418849,0.99845,0.052249333842488484,0.05859325524956007,0.005335770444188488,0.14365,1.0,0.13885757446424038,0.14857928963294534,0.09365,0.3009,1.0,0.2945822914054042,0.30729417735213665,0.2509,0.0649,1.0,0.061568695641742326,0.06839841413427993,0.014899999999999997,0.072,1.0,0.06849919875044294,0.07566518411358261,0.021999999999999992,0.0193,1.0,0.01748357240261792,0.021301051061721067,0.0307,0.05045,1.0,0.04750204221284436,0.053570617405199306,0.000449999999999999,-0.3417386147859786,1.487777037260743,0.37409009410463856,10.311918487697337,-0.309313394901395,-2.069884642721492,-0.35896066496553924,-2.3415813381024173,-3.4278424740929054,0.4920854949872038,-3.2577280248427414,2.574250795270784,-2.9941530487692725,2.8378257713442534,-4.017999499385728,3.8616722219607067,-3.7989297416238252,2.3166529183084057
C2_N3_np500_nq50,"Skewed, unequal samples",CURVE_CURVE_C2_N3_np500_nq50_di0_scale1,1.0,500,50,20000,20000,0.17185,1.0,0.16668481642587474,0.1771412168377467,0.12185,0.16785,1.0,0.16273430901455746,0.1730932605375128,0.11785,0.04695425099181439,0.99565,0.04410246553774671,0.049980798753681104,0.0030457490081856123,0.2549,1.0,0.24890762655063195,0.2609865095240706,0.20490000000000003,0.3893,1.0,0.38256432402616874,0.39607819275665274,0.3393,0.0649,1.0,0.061568695641742326,0.06839841413427993,0.014899999999999997,0.0456,1.0,0.04279500487108835,0.04857951749669953,0.004400000000000001,0.0556,1.0,0.05250873332583738,0.05886194832082841,0.005599999999999994,0.04775,1.0,0.04488059897704676,0.05079309763569988,0.002250000000000002,0.454777955372567,1.3756630971775772,0.6276529845262393,-0.038343328397320686,0.3923557697143307,2.271066675834682,0.48707602228151187,2.822537939239189,-0.13620040822603974,3.783727560854068,-2.2414721699563094,3.1510280807014426,-1.8325677531384341,3.559932497519318,-1.749783343159329,3.477148087540213,-1.7616943890211596,3.586570519183514
C2_N5_np200_nq2000,Rare and highly unequal,CURVE_CURVE_C2_N5_np200_nq2000_di0_scale1,1.0,200,2000,20000,20000,0.49195,1.0,0.48502359005902645,0.4988795017214768,0.44195,0.49175,1.0,0.4848236736396898,0.498679494955236,0.44175000000000003,0.20948432236330655,0.96475,0.20380051585509779,0.21528378389824726,0.15948432236330656,0.9127,1.0,0.9087082709936696,0.9165332224456215,0.8626999999999999,0.50075,1.0,0.4938210100353852,0.5076787019105308,0.45075000000000004,0.00325,1.0,0.0025509199970575078,0.004139867824682438,0.04675,0.01375,1.0,0.012226928238886187,0.015459826825675562,0.036250000000000004,0.0016,1.0,0.0011336372618005737,0.002257784278924517,0.048400000000000006,0.0475,1.0,0.0446380012200997,0.05053579141067499,0.0025000000000000022,-1.1036626038720765,1.5487460137006275,-0.8299588767777586,10.035829236897268,-0.22314416054503727,-0.8383489875665513,-0.876227507694815,-4.316846090040836,-4.880548225589118,-0.9606202565090078,-4.1391490119252845,1.9318238041811304,-4.747882076438982,1.323090739667433,-5.660132315145173,2.235340978373621,-3.034349415166532,1.1554456460212437
