anchor_configuration_id,configuration_label,configuration_id,sample_scale,n_p,n_q,development_replicates,validation_replicates,normal_wald_rejection_rate,normal_wald_valid_rate,normal_wald_wilson_low,normal_wald_wilson_high,normal_wald_absolute_error,simple_welch_rejection_rate,simple_welch_valid_rate,simple_welch_wilson_low,simple_welch_wilson_high,simple_welch_absolute_error,expanded_welch_rejection_rate,expanded_welch_valid_rate,expanded_welch_wilson_low,expanded_welch_wilson_high,expanded_welch_absolute_error,plugin_joint_cf_rejection_rate,plugin_joint_cf_valid_rate,plugin_joint_cf_wilson_low,plugin_joint_cf_wilson_high,plugin_joint_cf_absolute_error,population_joint_cf_rejection_rate,population_joint_cf_valid_rate,population_joint_cf_wilson_low,population_joint_cf_wilson_high,population_joint_cf_absolute_error,split_location_scale_rejection_rate,split_location_scale_valid_rate,split_location_scale_wilson_low,split_location_scale_wilson_high,split_location_scale_absolute_error,split_cf_skew_rejection_rate,split_cf_skew_valid_rate,split_cf_skew_wilson_low,split_cf_skew_wilson_high,split_cf_skew_absolute_error,split_cf_four_moment_rejection_rate,split_cf_four_moment_valid_rate,split_cf_four_moment_wilson_low,split_cf_four_moment_wilson_high,split_cf_four_moment_absolute_error,split_empirical_rejection_rate,split_empirical_valid_rate,split_empirical_wilson_low,split_empirical_wilson_high,split_empirical_absolute_error,development_mean,development_sd,development_skewness,development_excess_kurtosis,plugin_joint_mean_shift_median,plugin_joint_skewness_median,population_joint_mean_shift,population_joint_skewness,population_joint_lower_critical,population_joint_upper_critical,split_location_scale_lower_critical,split_location_scale_upper_critical,split_cf_skew_lower_critical,split_cf_skew_upper_critical,split_cf_four_moment_lower_critical,split_cf_four_moment_upper_critical,split_empirical_lower_critical,split_empirical_upper_critical
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0_scale0p5,0.5,5,5,20000,20000,0.17913166683534054,0.9881,0.17384785516958923,0.18454019896809393,0.12913166683534055,0.11633437911142597,0.9881,0.11193851825352208,0.12087936953577202,0.06633437911142596,0.0,0.7943,0.0,0.00024175564184510307,0.05,0.2697601457342374,0.9881,0.26361727505396415,0.2759925098894924,0.2197601457342374,0.17913166683534054,0.9881,0.17384785516958923,0.18454019896809393,0.12913166683534055,0.07757312012954154,0.9881,0.07392514571132713,0.08138529048822801,0.027573120129541537,0.07757312012954154,0.9881,0.07392514571132713,0.08138529048822801,0.027573120129541537,0.07757312012954154,0.9881,0.07392514571132713,0.08138529048822801,0.027573120129541537,0.03830583948993017,0.9881,0.0357183402441298,0.041072797739188524,0.011694160510069836,0.022221179926560662,2.157577039563227,0.02160649540294925,3.9900968555159038,0.0,0.0,-0.0,0.0,-1.9599639845400545,1.959963984540054,-4.206552111487917,4.250994471341038,-4.184475075912492,4.2730715069164615,-4.7759161006774775,4.864512531681445,-5.696030496516237,5.696030496516237
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0_scale1,1.0,10,10,20000,20000,0.1315604616156548,0.9965,0.12693863406242667,0.1363242934401161,0.08156046161565479,0.09809332664325138,0.9965,0.09404097356431723,0.10230058292422528,0.048093326643251375,0.04678724171690627,0.97035,0.04390470395487811,0.04984916357741889,0.003212758283093732,0.32373306573005517,0.9965,0.3172715559002491,0.33026251250727273,0.2737330657300552,0.1315604616156548,0.9965,0.12693863406242667,0.1363242934401161,0.08156046161565479,0.03191169091821375,0.9965,0.02956025672299683,0.034443536096180845,0.018088309081786255,0.03191169091821375,0.9965,0.02956025672299683,0.034443536096180845,0.018088309081786255,0.0012042147516307074,0.9965,0.000809394999814234,0.0017912807870273616,0.0487957852483693,0.048820873055694936,0.9965,0.04591507383879727,0.05190056610439554,0.0011791269443050673,0.002688368187018197,1.9169841680251072,0.022182923641733163,91.20262718176109,0.0,0.0,-0.0,0.0,-1.9599639845400545,1.959963984540054,-3.754531560075672,3.7599082964497077,-3.7343930458313244,3.7800468106940555,-15.748475569779117,15.794129334641813,-2.5993704203445445,2.5993704203445454
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0_scale2,2.0,20,20,20000,20000,0.07541508301660332,0.9998,0.07183609517376863,0.07915717469981973,0.02541508301660332,0.06771354270854171,0.9998,0.06431343574870531,0.07127971204720727,0.01771354270854171,0.06031108881083793,0.9965,0.05708995025468939,0.06370169263034159,0.010311088810837928,0.2446489297859572,0.9998,0.23874004320362277,0.25065590920798403,0.19464892978595721,0.07541508301660332,0.9998,0.07183609517376863,0.07915717469981973,0.02541508301660332,0.048159631926385275,0.9998,0.045277870537123385,0.05121496730832664,0.0018403680736147274,0.04725945189037808,0.9998,0.04440431966310463,0.05028850391352615,0.002740548109621925,0.0028005601120224045,0.9998,0.002157459580515408,0.0036346592749869995,0.0471994398879776,0.05026005201040208,0.9998,0.047317254068479635,0.053375617070881974,0.0002600520104020787,-0.0034058902241345234,1.2028144920652564,0.11792398565816842,24.28184502397768,0.0,5.134030503173144e-17,-0.0,0.0,-1.9599639845400545,1.959963984540054,-2.3608789747548764,2.3540671943066065,-2.2937065667170415,2.421239602344441,-4.298275765503295,4.42580880113069,-2.3154870348829393,2.33017889222993
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0_scale0p5,0.5,25,25,20000,20000,0.062,1.0,0.05874119036476991,0.06542703322037774,0.011999999999999997,0.0561,1.0,0.05299524298270851,0.05937524662790117,0.006099999999999994,0.0516,1.0,0.048619324376531964,0.05475289355858266,0.0015999999999999973,0.20425,1.0,0.19871973659137315,0.20989385273581268,0.15425,0.062,1.0,0.05874119036476991,0.06542703322037774,0.011999999999999997,0.0473,1.0,0.044443939182034535,0.05032993026316259,0.002700000000000001,0.04825,1.0,0.04536586122239952,0.05130764335429101,0.0017500000000000016,0.02435,1.0,0.02230345541906599,0.02657922848110634,0.025650000000000003,0.05015,1.0,0.047210648502146166,0.05326212633753116,0.00014999999999999736,0.014806710099116726,1.083937292161269,0.266786668496079,6.253788638354436,-0.0002576535330114496,-3.108288720110823e-16,-0.0,0.0,-1.9599639845400545,1.959963984540054,-2.1096713440368413,2.1392847642350747,-1.9727224913945591,2.276233616877357,-2.427272358639436,2.7307834841222327,-2.0819577508575167,2.1076445283956593
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0_scale1,1.0,50,50,20000,20000,0.04715,1.0,0.044298402141307855,0.0501755249147061,0.0028500000000000053,0.04255,1.0,0.039839424212362855,0.04543626957536726,0.007450000000000005,0.03730746149229846,0.9998,0.03476833546680557,0.040024330360101314,0.012692538507701544,0.11025,1.0,0.1059839513463622,0.11466574075937135,0.06025,0.04715,1.0,0.044298402141307855,0.0501755249147061,0.0028500000000000053,0.04735,1.0,0.04449245333886584,0.05038139690272568,0.0026499999999999996,0.0471,1.0,0.04424989160887549,0.050124054650744085,0.0029,0.0473,1.0,0.044443939182034535,0.05032993026316259,0.002700000000000001,0.05015,1.0,0.047210648502146166,0.05326212633753116,0.00014999999999999736,-0.004376555688310716,0.9991060403071632,-0.028308246579858573,-0.028951829184210354,-2.1131127353085066e-05,-9.459586857658058e-17,-0.0,0.0,-1.9599639845400545,1.959963984540054,-1.9625884114267744,1.9538353000501527,-1.9759825463867666,1.9404411650901607,-1.973877869399438,1.938336488102832,-1.942537274970396,1.9198692333329086
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0_scale2,2.0,100,100,20000,20000,0.04795,1.0,0.04507469324573276,0.05099892655259144,0.002050000000000003,0.04625,1.0,0.04342535284963607,0.04924891987127887,0.0037500000000000033,0.04045,1.0,0.03780668712129441,0.04326981321787135,0.009550000000000003,0.0743,1.0,0.07074652914192882,0.07801697035623868,0.024300000000000002,0.04795,1.0,0.04507469324573276,0.05099892655259144,0.002050000000000003,0.0484,1.0,0.04551145709244874,0.05146198987342495,0.0016000000000000042,0.0487,1.0,0.04580267242176145,0.05177065932247858,0.0013000000000000025,0.0492,1.0,0.04628810055440988,0.052285039153774054,0.0008000000000000021,0.04945,1.0,0.04653084675352752,0.05254219693662836,0.0005500000000000019,0.004589750911744065,0.9980787586578479,0.037797937144649726,-0.0401703285811843,0.0,-5.086836157000629e-05,-0.0,0.0,-1.9599639845400545,1.959963984540054,-1.951608669792083,1.9607881716155706,-1.933742846771964,1.9786539946356896,-1.9307794475583766,1.9756905954221022,-1.9253072585996527,1.975784330794118
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0_scale0p5,0.5,500,500,20000,20000,0.051,1.0,0.048036340963523244,0.054136107414858706,0.000999999999999994,0.05065,1.0,0.047696321199886975,0.053776261603734256,0.0006499999999999978,0.0489,1.0,0.045996833337636024,0.05197642159218157,0.0011000000000000038,0.05595,1.0,0.05284928259101188,0.05922126463041464,0.005949999999999997,0.051,1.0,0.048036340963523244,0.054136107414858706,0.000999999999999994,0.05235,1.0,0.04934821521369006,0.055523714667340414,0.002349999999999998,0.05235,1.0,0.04934821521369006,0.055523714667340414,0.002349999999999998,0.0532,1.0,0.050174504232808705,0.05639709918692639,0.0031999999999999945,0.0525,1.0,0.049494014631385946,0.055677857638827696,0.0024999999999999953,-0.002563383789680852,0.9941509606733206,0.004466589292565987,-0.07217957403948194,2.8508977382570384e-05,0.0002526608354264854,-0.0,0.0,-1.9599639845400545,1.959963984540054,-1.9510634619052853,1.9459366943259233,-1.9489605626213757,1.948039593609833,-1.9440266500595813,1.9431056810480387,-1.9474274192438976,1.9491578047863656
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0_scale1,1.0,1000,1000,20000,20000,0.0513,1.0,0.04832781816968915,0.054444514987059135,0.0012999999999999956,0.05125,1.0,0.04827923661489607,0.054393115745457826,0.0012499999999999942,0.0505,1.0,0.047550610725174164,0.0536220296892639,0.0005000000000000004,0.05395,1.0,0.05090376658630194,0.05716754877934899,0.003949999999999995,0.0513,1.0,0.04832781816968915,0.054444514987059135,0.0012999999999999956,0.05095,1.0,0.047987764265624094,0.054084703316363475,0.0009499999999999995,0.05115,1.0,0.04818207592646934,0.05429031484109578,0.0011499999999999982,0.0513,1.0,0.04832781816968915,0.054444514987059135,0.0012999999999999956,0.0507,1.0,0.04774489300018943,0.0538276705998262,0.0006999999999999992,0.0037762305839616284,1.0021881406592699,0.020126297179570204,-0.012716866335791277,-3.151774974276026e-07,3.815328755248296e-06,-0.0,0.0,-1.9599639845400545,1.959963984540054,-1.9604764308413694,1.9680288920092923,-1.9509242341522826,1.9775810886983791,-1.9499891493444232,1.9766460038905198,-1.9588593514754242,1.974862784865693
C1_N0_n1000,"Balanced, large sample",CURVE_CURVE_C1_N0_n1000_di0_scale2,2.0,2000,2000,20000,20000,0.05035,1.0,0.04740490766399351,0.05346779036126138,0.00034999999999999615,0.05025,1.0,0.047307776423977946,0.05336496000848817,0.0002500000000000002,0.0497,1.0,0.04677361416941829,0.052799333502709545,0.00030000000000000165,0.0518,1.0,0.048813677841243325,0.054958463279448866,0.001799999999999996,0.05035,1.0,0.04740490766399351,0.05346779036126138,0.00034999999999999615,0.04915,1.0,0.04623955387405831,0.05223360503773123,0.0008500000000000035,0.04935,1.0,0.046433745719324244,0.05243933637804286,0.0006500000000000047,0.04895,1.0,0.04604537572539664,0.05202786000081535,0.0010500000000000023,0.0494,1.0,0.04648229581148323,0.052490767082278254,0.0006000000000000033,-0.00830664169743055,1.0057516410346525,-0.015841258445313946,0.05986996988857474,-7.859091000349919e-06,-8.544652178103867e-05,-0.0,0.0,-1.9599639845400545,1.959963984540054,-1.9795436355174065,1.9629303521225452,-1.9870888318569744,1.9553851557829773,-1.991189766214121,1.9594860901401236,-1.9903745157672361,1.9518448192023867
C1_N3_n50,One skewed population,CURVE_CURVE_C1_N3_n50_di0_scale0p5,0.5,25,25,20000,20000,0.032511378982643925,0.99965,0.0301413971918331,0.03506097296775849,0.017488621017356078,0.027609663382183763,0.99965,0.025427592832595866,0.029973229397357873,0.02239033661781624,0.01738379312206446,0.92615,0.015599237520709613,0.01936848540500553,0.03261620687793554,0.4701645575951583,0.99965,0.46325256899066714,0.47708800917230254,0.4201645575951583,0.03561246436252689,0.99965,0.03313153949081926,0.038271809971196266,0.014387535637473116,0.05296853898864603,0.99965,0.04994896400688623,0.056159866389663256,0.002968538988646026,0.054869204221477515,0.99965,0.05179726152311685,0.0581121690910473,0.004869204221477512,0.05341869654379033,0.99965,0.05038662018302062,0.056622352370332335,0.003418696543790324,0.055419396788876106,0.99965,0.05233249492750343,0.05867710943386498,0.005419396788876103,-0.042074477047328245,0.9054002494032144,0.08920566060185402,0.17179005640521705,-0.061199997734334245,-0.5446086437766275,0.02674353854875012,0.08464721182666794,-1.8931335182092959,2.0267944508708124,-1.8166263574712114,1.7324774033765544,-1.7783770884689942,1.7707266723787718,-1.7880129874079134,1.7803625713176907,-1.7961863893324157,1.7112192450115788
