anchor_configuration_id,method,p_value_threshold,development_replicates,development_valid_count,development_valid_rate,development_rejection_rate
C1_N0_n10,normal_wald,0.009242487944506111,50000,49858,0.99716,0.048377391792691245
C1_N0_n10,expanded_welch,0.05035396965128127,50000,48623,0.97246,0.049750118256792056
C1_N0_n50,normal_wald,0.05365201023711407,50000,50000,1.0,0.05
C1_N0_n50,expanded_welch,0.06508741691281503,50000,49994,0.99988,0.04996599591951034
C1_N0_n1000,normal_wald,0.0511474376520148,50000,50000,1.0,0.05
C1_N0_n1000,expanded_welch,0.052083079585666804,50000,50000,1.0,0.05
C1_N3_n50,normal_wald,0.07653962384635235,50000,49999,0.99998,0.0499809996199924
C1_N3_n50,expanded_welch,0.1090668731299738,50000,49706,0.99412,0.0499939645113266
C1_N6_n100,normal_wald,0.0395114033241094,50000,49999,0.99998,0.0499609992199844
C1_N6_n100,expanded_welch,0.14292660463855314,50000,49691,0.99382,0.049988931597271136
C1_N6_n200,normal_wald,0.006293998956328283,50000,50000,1.0,0.05
C1_N6_n200,expanded_welch,0.07112645070134087,50000,49998,0.99996,0.0499819992799712
C1_N7_n1000,normal_wald,0.12159070583881607,50000,49901,0.99802,0.04997895833750827
C1_N7_n1000,expanded_welch,0.26590968461373826,50000,42759,0.85518,0.04997778245515564
C2_N0_np20_nq200,normal_wald,0.000964934926464683,50000,50000,1.0,0.05
C2_N0_np20_nq200,expanded_welch,0.04112513328139783,50000,49937,0.99874,0.04998297855297675
C2_N3_np500_nq50,normal_wald,0.0012286896479108947,50000,50000,1.0,0.05
C2_N3_np500_nq50,expanded_welch,0.05611634235585045,50000,49765,0.9953,0.04999497638902843
C2_N5_np200_nq2000,normal_wald,0.004026500487495147,50000,50000,1.0,0.05
C2_N5_np200_nq2000,expanded_welch,0.017666975520285046,50000,48285,0.9657,0.04999482240861551
C3_C3_same_balanced_i0p005_n1000,normal_wald,0.0752561169088724,50000,50000,1.0,0.05
C3_C3_same_balanced_i0p005_n1000,expanded_welch,0.10039694599749158,50000,49999,0.99998,0.0499809996199924
C4_C4_s0p1_i0p0001_n100,normal_wald,0.04175180509067203,50000,49993,0.99986,0.04996699537935311
C4_C4_s0p1_i0p0001_n100,expanded_welch,0.18070898477431185,50000,49696,0.99392,0.0499637797810689
C4_C4_s0p05_i0p0001_n500,normal_wald,0.003621649391865049,50000,50000,1.0,0.05
C4_C4_s0p05_i0p0001_n500,expanded_welch,0.2507070089541976,50000,50000,1.0,0.05
