configuration_id,anchor_configuration_id,configuration_label,n_p,n_q,mi_p,mi_q,mi_difference,minimum_expected_count,method,method_label,replicates,valid_count,valid_rate,reject_count,rejection_rate,wilson_low,wilson_high,p_value_threshold
CURVE_CURVE_C1_N0_n10_di0_scale1,C1_N0_n10,"Balanced, very small sample",10.0,10.0,0.0999999999999998,0.0999999999999998,0.0,1.4010268691929522,normal_wald,Normal Wald,5000,4982,0.9964,689,0.1382978723404255,0.1289903035081976,0.1481628049958868,
CURVE_CURVE_C1_N0_n10_di1em05_scale1,C1_N0_n10,"Balanced, very small sample",10.0,10.0,0.0999999999999998,0.1000099999999994,1e-05,1.4009738733031696,normal_wald,Normal Wald,5000,4990,0.998,633,0.1268537074148296,0.1179057719859211,0.1363757203865999,
CURVE_CURVE_C1_N0_n10_di0p0001_scale1,C1_N0_n10,"Balanced, very small sample",10.0,10.0,0.0999999999999998,0.1000999999999998,0.0001,1.400497043071569,normal_wald,Normal Wald,5000,4986,0.9972,686,0.1375852386682711,0.1283025769382229,0.1474259146731843,
CURVE_CURVE_C1_N0_n10_di0p001_scale1,C1_N0_n10,"Balanced, very small sample",10.0,10.0,0.0999999999999998,0.1010000000000002,0.001,1.395741822924768,normal_wald,Normal Wald,5000,4985,0.997,635,0.1273821464393179,0.1184130664754583,0.1369250655007411,
CURVE_CURVE_C1_N0_n10_di0p005_scale1,C1_N0_n10,"Balanced, very small sample",10.0,10.0,0.0999999999999998,0.1049999999999999,0.005,1.374888613899132,normal_wald,Normal Wald,5000,4993,0.9986,649,0.1299819747646705,0.120938017941669,0.1395948545837566,
CURVE_CURVE_C1_N0_n10_di0p01_scale1,C1_N0_n10,"Balanced, very small sample",10.0,10.0,0.0999999999999998,0.1100000000000001,0.01,1.3494388443628311,normal_wald,Normal Wald,5000,4984,0.9968,684,0.1372391653290529,0.127965066304777,0.1470720354448538,
CURVE_CURVE_C1_N0_n10_di0p02_scale1,C1_N0_n10,"Balanced, very small sample",10.0,10.0,0.0999999999999998,0.1199999999999998,0.02,1.3004315750608673,normal_wald,Normal Wald,5000,4985,0.997,722,0.1448345035105316,0.1353383219573907,0.1548776471752398,
CURVE_CURVE_C1_N0_n10_di0p05_scale1,C1_N0_n10,"Balanced, very small sample",10.0,10.0,0.0999999999999998,0.149999999999443,0.05,1.1661388787059048,normal_wald,Normal Wald,5000,4986,0.9972,811,0.1626554352186121,0.1526720576222418,0.1731582262130581,
CURVE_CURVE_C1_N0_n10_di0p1_scale1,C1_N0_n10,"Balanced, very small sample",10.0,10.0,0.0999999999999998,0.1999999999999999,0.1,0.9741358138509236,normal_wald,Normal Wald,5000,4987,0.9974,946,0.1896932023260477,0.179052356333351,0.2008117356165202,
CURVE_CURVE_C1_N0_n10_di0p2_scale1,C1_N0_n10,"Balanced, very small sample",10.0,10.0,0.0999999999999998,0.3000000000000111,0.2,0.6679301267662596,normal_wald,Normal Wald,5000,4983,0.9966,1374,0.275737507525587,0.2635059300301424,0.2883145923474547,
