anchor_configuration_id,configuration_label,baseline,nonzero_effects,mean_lr_power_difference,median_lr_power_difference,lr_higher_count,lr_lower_count,lr_null_rate,baseline_null_rate
C1_N0_n10,"Balanced, very small sample",normal_wald_matched,10,-0.023443246542100078,-0.001641124087280281,3,7,0.0484484484484484,0.04536330790847049
C1_N0_n10,"Balanced, very small sample",expanded_welch_matched,10,0.0346061030890244,0.003599129111128852,7,3,0.0484484484484484,0.053095530955309556
C1_N0_n1000,"Balanced, large sample",normal_wald_matched,10,0.004099999999999999,0.004300000000000002,8,0,0.054,0.0502
C1_N0_n1000,"Balanced, large sample",expanded_welch_matched,10,0.004039999999999997,0.004400000000000001,8,0,0.054,0.0504
C1_N0_n50,"Balanced, moderate sample",normal_wald_matched,10,-0.013859999999999989,-0.006700000000000001,0,10,0.05,0.0504
C1_N0_n50,"Balanced, moderate sample",expanded_welch_matched,10,-0.015505331653337135,-0.005600000000000001,0,10,0.05,0.0508
C1_N3_n50,One skewed population,normal_wald_matched,8,-0.0204,-0.004899999999999998,0,8,0.047,0.05
C1_N3_n50,One skewed population,expanded_welch_matched,8,-0.02284263210327733,-0.006063136711874462,0,8,0.047,0.05033219247030401
C1_N6_n100,"Sparse, smaller sample",normal_wald_matched,4,-0.00010536214485794455,0.0027892757102841136,2,2,0.0628,0.0592
C1_N6_n100,"Sparse, smaller sample",expanded_welch_matched,4,0.0014660765877301685,0.004638719438723262,3,1,0.0628,0.05554437512577984
C1_N6_n200,"Sparse, larger sample",normal_wald_matched,4,-0.005999999999999998,0.0016000000000000007,2,2,0.0554,0.0538
C1_N6_n200,"Sparse, larger sample",expanded_welch_matched,4,-0.006452830566113222,0.0003943388677735554,2,2,0.0554,0.0544
C1_N7_n1000,Ultra-rare categories,normal_wald_matched,4,0.06748223519859126,0.0383916319309294,3,1,0.052,0.05303181909145487
C1_N7_n1000,Ultra-rare categories,expanded_welch_matched,4,0.027813133062101772,0.027979471626477778,4,0,0.052,0.04963708733317724
C2_N0_np20_nq200,"Balanced, unequal samples",normal_wald_matched,10,0.009400000000000009,-0.010499999999999999,2,8,0.0432,0.0534
C2_N0_np20_nq200,"Balanced, unequal samples",expanded_welch_matched,10,0.030381990151333194,-0.00230022161403802,4,6,0.0432,0.04946925695974364
C2_N3_np500_nq50,"Skewed, unequal samples",normal_wald_matched,8,0.10924999999999999,0.0308,8,0,0.0594,0.0516
C2_N3_np500_nq50,"Skewed, unequal samples",expanded_welch_matched,8,0.06072404729736266,0.025044994699746723,8,0,0.0594,0.050683829444891394
C2_N5_np200_nq2000,Rare and highly unequal,normal_wald_matched,6,-0.08256666666666668,-0.055400000000000005,1,5,0.0532,0.0488
C2_N5_np200_nq2000,Rare and highly unequal,expanded_welch_matched,6,-0.08474299842555767,-0.0500764025367046,1,5,0.0532,0.04946996466431095
C3_C3_same_balanced_i0p005_n1000,Near independence,normal_wald_matched,10,-0.010420000000000018,-0.0006000000000000033,0,7,0.0518,0.0556
C3_C3_same_balanced_i0p005_n1000,Near independence,expanded_welch_matched,10,-0.01622000000000002,-0.0005000000000000455,0,6,0.0518,0.0554
C4_C4_s0p05_i0p0001_n500,Rare-cell case B,normal_wald_matched,7,0.3205428571428572,0.327,6,1,0.0512,0.0532
C4_C4_s0p05_i0p0001_n500,Rare-cell case B,expanded_welch_matched,7,0.08611314834395449,0.056992038407681536,6,1,0.0512,0.055
C4_C4_s0p1_i0p0001_n100,Rare-cell case A,normal_wald_matched,7,0.1486543305917229,0.0865903961584634,6,1,0.0438,0.0466
C4_C4_s0p1_i0p0001_n100,Rare-cell case A,expanded_welch_matched,7,0.09355325554167318,0.06959497487437186,6,1,0.0438,0.04927594529364441
