configuration_id,anchor_configuration_id,configuration_label,mi_difference,method,method_label,p_value_threshold,replicates,valid_count,valid_rate,reject_count,rejection_rate,wilson_low,wilson_high
CURVE_CURVE_C1_N0_n10_di0_scale1,C1_N0_n10,"Balanced, very small sample",0.0,normal_wald_matched,Normal Wald (size-matched),0.009242487944506111,5000,4982,0.9964,226,0.04536330790847049,0.039926675073203015,0.051500511809011794
CURVE_CURVE_C1_N0_n10_di0_scale1,C1_N0_n10,"Balanced, very small sample",0.0,expanded_welch_matched,Expanded Welch (size-matched),0.05035396965128127,5000,4878,0.9756,259,0.053095530955309556,0.04714754979193641,0.05974683897970456
CURVE_CURVE_C1_N0_n10_di1em05_scale1,C1_N0_n10,"Balanced, very small sample",1e-05,normal_wald_matched,Normal Wald (size-matched),0.009242487944506111,5000,4990,0.998,217,0.043486973947895795,0.03817064802631617,0.04950563533813235
CURVE_CURVE_C1_N0_n10_di1em05_scale1,C1_N0_n10,"Balanced, very small sample",1e-05,expanded_welch_matched,Expanded Welch (size-matched),0.05035396965128127,5000,4878,0.9756,225,0.046125461254612546,0.04058778586081353,0.05237743282744935
CURVE_CURVE_C1_N0_n10_di0p0001_scale1,C1_N0_n10,"Balanced, very small sample",0.0001,normal_wald_matched,Normal Wald (size-matched),0.009242487944506111,5000,4986,0.9972,240,0.048134777376654635,0.04253335161271283,0.05443194534384537
CURVE_CURVE_C1_N0_n10_di0p0001_scale1,C1_N0_n10,"Balanced, very small sample",0.0001,expanded_welch_matched,Expanded Welch (size-matched),0.05035396965128127,5000,4866,0.9732,255,0.05240443896424168,0.046488832813011215,0.059026195379534636
CURVE_CURVE_C1_N0_n10_di0p001_scale1,C1_N0_n10,"Balanced, very small sample",0.001,normal_wald_matched,Normal Wald (size-matched),0.009242487944506111,5000,4985,0.997,226,0.045336008024072214,0.039902583157906506,0.051469624715071265
CURVE_CURVE_C1_N0_n10_di0p001_scale1,C1_N0_n10,"Balanced, very small sample",0.001,expanded_welch_matched,Expanded Welch (size-matched),0.05035396965128127,5000,4856,0.9712,233,0.04798187808896211,0.04231961674195833,0.054358734352792704
CURVE_CURVE_C1_N0_n10_di0p005_scale1,C1_N0_n10,"Balanced, very small sample",0.005,normal_wald_matched,Normal Wald (size-matched),0.009242487944506111,5000,4993,0.9986,229,0.04586420989385139,0.04040264937458989,0.05202402908354422
CURVE_CURVE_C1_N0_n10_di0p005_scale1,C1_N0_n10,"Balanced, very small sample",0.005,expanded_welch_matched,Expanded Welch (size-matched),0.05035396965128127,5000,4867,0.9734,257,0.052804602424491476,0.04686678549726554,0.05944779345149613
CURVE_CURVE_C1_N0_n10_di0p01_scale1,C1_N0_n10,"Balanced, very small sample",0.01,normal_wald_matched,Normal Wald (size-matched),0.009242487944506111,5000,4984,0.9968,259,0.05196629213483146,0.046141924160361156,0.058480779493911825
CURVE_CURVE_C1_N0_n10_di0p01_scale1,C1_N0_n10,"Balanced, very small sample",0.01,expanded_welch_matched,Expanded Welch (size-matched),0.05035396965128127,5000,4856,0.9712,216,0.044481054365733116,0.03903373453253933,0.05064850356385671
CURVE_CURVE_C1_N0_n10_di0p02_scale1,C1_N0_n10,"Balanced, very small sample",0.02,normal_wald_matched,Normal Wald (size-matched),0.009242487944506111,5000,4985,0.997,276,0.055366098294884654,0.04935321432619394,0.0620637275447327
CURVE_CURVE_C1_N0_n10_di0p02_scale1,C1_N0_n10,"Balanced, very small sample",0.02,expanded_welch_matched,Expanded Welch (size-matched),0.05035396965128127,5000,4851,0.9702,244,0.05029890744176459,0.04449645850075112,0.05681302049924263
CURVE_CURVE_C1_N0_n10_di0p05_scale1,C1_N0_n10,"Balanced, very small sample",0.05,normal_wald_matched,Normal Wald (size-matched),0.009242487944506111,5000,4986,0.9972,329,0.0659847573204974,0.059422622831397626,0.07321515018857219
CURVE_CURVE_C1_N0_n10_di0p05_scale1,C1_N0_n10,"Balanced, very small sample",0.05,expanded_welch_matched,Expanded Welch (size-matched),0.05035396965128127,5000,4832,0.9664,253,0.052359271523178805,0.04642666659292855,0.0590030633025234
CURVE_CURVE_C1_N0_n10_di0p1_scale1,C1_N0_n10,"Balanced, very small sample",0.1,normal_wald_matched,Normal Wald (size-matched),0.009242487944506111,5000,4987,0.9974,458,0.09183878083015841,0.08413451343963796,0.10017137293449005
CURVE_CURVE_C1_N0_n10_di0p1_scale1,C1_N0_n10,"Balanced, very small sample",0.1,expanded_welch_matched,Expanded Welch (size-matched),0.05035396965128127,5000,4776,0.9552,281,0.058835845896147404,0.05250992212273076,0.06587087851585387
CURVE_CURVE_C1_N0_n10_di0p2_scale1,C1_N0_n10,"Balanced, very small sample",0.2,normal_wald_matched,Normal Wald (size-matched),0.009242487944506111,5000,4983,0.9966,786,0.15773630343166767,0.14788013952681342,0.16811977180651275
CURVE_CURVE_C1_N0_n10_di0p2_scale1,C1_N0_n10,"Balanced, very small sample",0.2,expanded_welch_matched,Expanded Welch (size-matched),0.05035396965128127,5000,4657,0.9314,382,0.08202705604466394,0.07448613893305957,0.09025695855367123
CURVE_CURVE_C1_N0_n10_di0p5_scale1,C1_N0_n10,"Balanced, very small sample",0.5,normal_wald_matched,Normal Wald (size-matched),0.009242487944506111,5000,4941,0.9882,2688,0.5440194292653309,0.5301031824824683,0.5578672820152436
CURVE_CURVE_C1_N0_n10_di0p5_scale1,C1_N0_n10,"Balanced, very small sample",0.5,expanded_welch_matched,Expanded Welch (size-matched),0.05035396965128127,5000,3955,0.791,324,0.08192161820480405,0.07377481537556675,0.09087978511830404
CURVE_CURVE_C1_N0_n50_di0_scale1,C1_N0_n50,"Balanced, moderate sample",0.0,normal_wald_matched,Normal Wald (size-matched),0.05365201023711407,5000,5000,1.0,252,0.0504,0.0446738140627647,0.056816503526230674
CURVE_CURVE_C1_N0_n50_di0_scale1,C1_N0_n50,"Balanced, moderate sample",0.0,expanded_welch_matched,Expanded Welch (size-matched),0.06508741691281503,5000,5000,1.0,254,0.0508,0.04505083668536068,0.05723886674207865
CURVE_CURVE_C1_N0_n50_di1em05_scale1,C1_N0_n50,"Balanced, moderate sample",1e-05,normal_wald_matched,Normal Wald (size-matched),0.05365201023711407,5000,5000,1.0,267,0.0534,0.047503970713696914,0.05998174066362813
CURVE_CURVE_C1_N0_n50_di1em05_scale1,C1_N0_n50,"Balanced, moderate sample",1e-05,expanded_welch_matched,Expanded Welch (size-matched),0.06508741691281503,5000,5000,1.0,259,0.0518,0.04599384613067904,0.05829432189287018
CURVE_CURVE_C1_N0_n50_di0p0001_scale1,C1_N0_n50,"Balanced, moderate sample",0.0001,normal_wald_matched,Normal Wald (size-matched),0.05365201023711407,5000,5000,1.0,281,0.0562,0.05015038614349224,0.06293102610294048
CURVE_CURVE_C1_N0_n50_di0p0001_scale1,C1_N0_n50,"Balanced, moderate sample",0.0001,expanded_welch_matched,Expanded Welch (size-matched),0.06508741691281503,5000,5000,1.0,274,0.0548,0.04882660544300012,0.061456956368878754
CURVE_CURVE_C1_N0_n50_di0p001_scale1,C1_N0_n50,"Balanced, moderate sample",0.001,normal_wald_matched,Normal Wald (size-matched),0.05365201023711407,5000,5000,1.0,239,0.0478,0.042225787297577644,0.05406852234153203
CURVE_CURVE_C1_N0_n50_di0p001_scale1,C1_N0_n50,"Balanced, moderate sample",0.001,expanded_welch_matched,Expanded Welch (size-matched),0.06508741691281503,5000,4999,0.9998,235,0.04700940188037608,0.04148181501450761,0.053232651298480746
CURVE_CURVE_C1_N0_n50_di0p005_scale1,C1_N0_n50,"Balanced, moderate sample",0.005,normal_wald_matched,Normal Wald (size-matched),0.05365201023711407,5000,5000,1.0,282,0.0564,0.05033958885978194,0.06314151630587275
CURVE_CURVE_C1_N0_n50_di0p005_scale1,C1_N0_n50,"Balanced, moderate sample",0.005,expanded_welch_matched,Expanded Welch (size-matched),0.06508741691281503,5000,5000,1.0,278,0.0556,0.049582913854809285,0.06229941963395749
CURVE_CURVE_C1_N0_n50_di0p01_scale1,C1_N0_n50,"Balanced, moderate sample",0.01,normal_wald_matched,Normal Wald (size-matched),0.05365201023711407,5000,5000,1.0,257,0.0514,0.04561656542843631,0.057872216756668954
CURVE_CURVE_C1_N0_n50_di0p01_scale1,C1_N0_n50,"Balanced, moderate sample",0.01,expanded_welch_matched,Expanded Welch (size-matched),0.06508741691281503,5000,4999,0.9998,261,0.052210442088417686,0.04638053094979088,0.05872802848568027
CURVE_CURVE_C1_N0_n50_di0p02_scale1,C1_N0_n50,"Balanced, moderate sample",0.02,normal_wald_matched,Normal Wald (size-matched),0.05365201023711407,5000,5000,1.0,326,0.0652,0.05868528927131244,0.07238230434010924
CURVE_CURVE_C1_N0_n50_di0p02_scale1,C1_N0_n50,"Balanced, moderate sample",0.02,expanded_welch_matched,Expanded Welch (size-matched),0.06508741691281503,5000,4999,0.9998,335,0.06701340268053611,0.060409098014468206,0.07428264953883862
CURVE_CURVE_C1_N0_n50_di0p05_scale1,C1_N0_n50,"Balanced, moderate sample",0.05,normal_wald_matched,Normal Wald (size-matched),0.05365201023711407,5000,5000,1.0,479,0.0958,0.08794964072133023,0.10427096953105396
CURVE_CURVE_C1_N0_n50_di0p05_scale1,C1_N0_n50,"Balanced, moderate sample",0.05,expanded_welch_matched,Expanded Welch (size-matched),0.06508741691281503,5000,5000,1.0,487,0.0974,0.08948796411595085,0.10593018949020915
CURVE_CURVE_C1_N0_n50_di0p1_scale1,C1_N0_n50,"Balanced, moderate sample",0.1,normal_wald_matched,Normal Wald (size-matched),0.05365201023711407,5000,5000,1.0,940,0.188,0.17741124154600477,0.1990678044677109
CURVE_CURVE_C1_N0_n50_di0p1_scale1,C1_N0_n50,"Balanced, moderate sample",0.1,expanded_welch_matched,Expanded Welch (size-matched),0.06508741691281503,5000,4999,0.9998,958,0.1916383276655331,0.1809660761288737,0.2027841335516171
CURVE_CURVE_C1_N0_n50_di0p2_scale1,C1_N0_n50,"Balanced, moderate sample",0.2,normal_wald_matched,Normal Wald (size-matched),0.05365201023711407,5000,5000,1.0,2397,0.4794,0.4655738511299057,0.49325777819023076
CURVE_CURVE_C1_N0_n50_di0p2_scale1,C1_N0_n50,"Balanced, moderate sample",0.2,expanded_welch_matched,Expanded Welch (size-matched),0.06508741691281503,5000,5000,1.0,2474,0.4948,0.4809510232874213,0.5086569608128075
CURVE_CURVE_C1_N0_n50_di0p5_scale1,C1_N0_n50,"Balanced, moderate sample",0.5,normal_wald_matched,Normal Wald (size-matched),0.05365201023711407,5000,5000,1.0,4962,0.9924,0.9895861903146046,0.9944577768099032
