configuration_id,experiment,population_pair_id,purpose,power_family,calibration_key,n_p,n_q,sample_size_ratio_q_over_p,u_p,v_p,u_q,v_q,association_direction_p,association_direction_q,association_delta_p,association_delta_q,true_mi_p,true_mi_q,true_delta_p_minus_q,effect_delta_i_q_minus_p,minimum_probability_p,minimum_probability_q,minimum_expected_p,minimum_expected_q,minimum_expected_either,probability_p_json,probability_q_json,expected_p_json,expected_q_json,population_variance_p,population_variance_q
C1_N0_n10,C1,N0,Identical-population control,,,10,10,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,1.4010268691929513,1.4010268691929513,1.4010268691929513,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]",0.179521513612991,0.179521513612991
C1_N0_n50,C1,N0,Identical-population control,,,50,50,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,7.0051343459647555,7.0051343459647555,7.0051343459647555,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[17.994865654035245, 7.0051343459647555], [7.0051343459647555, 17.994865654035245]]","[[17.994865654035245, 7.0051343459647555], [7.0051343459647555, 17.994865654035245]]",0.179521513612991,0.179521513612991
C1_N0_n1000,C1,N0,Identical-population control,,,1000,1000,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,140.1026869192951,140.1026869192951,140.1026869192951,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[359.89731308070486, 140.1026869192951], [140.1026869192951, 359.89731308070486]]","[[359.89731308070486, 140.1026869192951], [140.1026869192951, 359.89731308070486]]",0.179521513612991,0.179521513612991
C1_N3_n50,C1,N3,One skewed population,,,50,50,1.0,0.3,0.4,0.1,0.3,1,1,0.05528109983181547,0.03540416313577926,0.03000000000000036,0.029999999999678284,3.220756994437579e-13,0.0,0.12471890016818452,0.034595836864220735,6.235945008409225,1.7297918432110366,1.7297918432110366,"[[0.47528109983181543, 0.2247189001681845], [0.12471890016818452, 0.17528109983181547]]","[[0.6654041631357792, 0.23459583686422075], [0.034595836864220735, 0.06540416313577926]]","[[23.764054991590772, 11.235945008409224], [6.235945008409225, 8.764054991590774]]","[[33.27020815678896, 11.729791843211038], [1.7297918432110366, 3.2702081567889634]]",0.05919008954132586,0.0626368161702698
C1_N6_n100,C1,N6,Sparse margins and opposite association,,,100,100,1.0,0.1,0.1,0.05,0.2,1,-1,0.00991561441710636,-0.007573707638269861,0.004999999999999782,0.00500000000026285,-2.6306734568493084e-13,0.0,0.01991561441710636,0.0024262923617301407,1.9915614417106362,0.24262923617301407,0.24262923617301407,"[[0.8199156144171064, 0.08008438558289366], [0.08008438558289366, 0.01991561441710636]]","[[0.7524262923617302, 0.19757370763826987], [0.04757370763826987, 0.0024262923617301407]]","[[81.99156144171063, 8.008438558289367], [8.008438558289367, 1.9915614417106362]]","[[75.24262923617302, 19.757370763826987], [4.757370763826986, 0.24262923617301407]]",0.011730913984507051,0.006649143852283432
C1_N6_n200,C1,N6,Sparse margins and opposite association,,,200,200,1.0,0.1,0.1,0.05,0.2,1,-1,0.00991561441710636,-0.007573707638269861,0.004999999999999782,0.00500000000026285,-2.6306734568493084e-13,0.0,0.01991561441710636,0.0024262923617301407,3.9831228834212724,0.48525847234602815,0.48525847234602815,"[[0.8199156144171064, 0.08008438558289366], [0.08008438558289366, 0.01991561441710636]]","[[0.7524262923617302, 0.19757370763826987], [0.04757370763826987, 0.0024262923617301407]]","[[163.98312288342126, 16.016877116578733], [16.016877116578733, 3.9831228834212724]]","[[150.48525847234603, 39.514741527653975], [9.514741527653973, 0.48525847234602815]]",0.011730913984507051,0.006649143852283432
C1_N7_n1000,C1,N7,Ultra-rare categories,,,1000,1000,1.0,0.005,0.005,0.002,0.01,1,1,0.00028036642602345983,0.00025990804955251324,0.0005000000000011523,0.0005000000000000629,1.0894063429134349e-15,0.0,0.00030536642602345984,0.00027990804955251323,0.3053664260234598,0.27990804955251325,0.27990804955251325,"[[0.9903053664260235, 0.00469463357397654], [0.00469463357397654, 0.00030536642602345984]]","[[0.9882799080495526, 0.009720091950447488], [0.0017200919504474868, 0.00027990804955251323]]","[[990.3053664260235, 4.69463357397654], [4.69463357397654, 0.3053664260234598]]","[[988.2799080495525, 9.720091950447488], [1.7200919504474868, 0.27990804955251325]]",0.0019439886454058245,0.0019896167517233602
C2_N0_np20_nq200,C2,N0,Identical-population control,,,20,200,10.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,2.8020537383859025,28.020537383859022,2.8020537383859025,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[7.1979462616140975, 2.8020537383859025], [2.8020537383859025, 7.1979462616140975]]","[[71.97946261614098, 28.020537383859022], [28.020537383859022, 71.97946261614098]]",0.179521513612991,0.179521513612991
C2_N3_np500_nq50,C2,N3,One skewed population,,,500,50,0.1,0.3,0.4,0.1,0.3,1,1,0.05528109983181547,0.03540416313577926,0.03000000000000036,0.029999999999678284,3.220756994437579e-13,0.0,0.12471890016818452,0.034595836864220735,62.35945008409226,1.7297918432110366,1.7297918432110366,"[[0.47528109983181543, 0.2247189001681845], [0.12471890016818452, 0.17528109983181547]]","[[0.6654041631357792, 0.23459583686422075], [0.034595836864220735, 0.06540416313577926]]","[[237.6405499159077, 112.35945008409224], [62.35945008409226, 87.64054991590774]]","[[33.27020815678896, 11.729791843211038], [1.7297918432110366, 3.2702081567889634]]",0.05919008954132586,0.0626368161702698
C2_N5_np200_nq2000,C2,N5,Extreme rare categories,,,200,2000,10.0,0.02,0.02,0.01,0.05,1,1,0.0030939959260929376,0.0032285363215047583,0.005000000000104227,0.005000000000000088,1.0413891970983968e-13,0.0,0.0034939959260929378,0.0037285363215047583,0.6987991852185875,7.457072643009517,0.6987991852185875,"[[0.9634939959260929, 0.016506004073907062], [0.016506004073907062, 0.0034939959260929378]]","[[0.9437285363215048, 0.046271463678495245], [0.0062714636784952415, 0.0037285363215047583]]","[[192.69879918521858, 3.3012008147814123], [3.3012008147814123, 0.6987991852185875]]","[[1887.4570726430095, 92.54292735699049], [12.542927356990482, 7.457072643009517]]",0.017371902999954544,0.01632926472619308
C3_C3_same_balanced_i0p005_n1000,C3,C3_same_balanced_i0p005,Near-zero MI with identical balanced margins,,,1000,1000,1.0,0.5,0.5,0.5,0.5,1,1,0.02497914403686528,0.02497914403686528,0.005000000000002336,0.005000000000002336,0.0,0.0,0.22502085596313473,0.22502085596313473,225.02085596313472,225.02085596313472,225.02085596313472,"[[0.2749791440368653, 0.22502085596313473], [0.22502085596313473, 0.2749791440368653]]","[[0.2749791440368653, 0.22502085596313473], [0.22502085596313473, 0.2749791440368653]]","[[274.9791440368653, 225.02085596313472], [225.02085596313472, 274.9791440368653]]","[[274.9791440368653, 225.02085596313472], [225.02085596313472, 274.9791440368653]]",0.009949944249172586,0.009949944249172586
C4_C4_s0p1_i0p0001_n100,C4,C4_s0p1_i0p0001,Rare-cell breakdown ladder,,,100,100,1.0,0.1,0.1,0.05,0.2,1,1,0.0012936370796146652,0.0012503461544171742,0.00010000000000010001,9.999999999998899e-05,1.1102230246251565e-16,0.0,0.011293637079614668,0.011250346154417177,1.1293637079614667,1.1250346154417177,1.1250346154417177,"[[0.8112936370796148, 0.08870636292038535], [0.08870636292038535, 0.011293637079614668]]","[[0.7612503461544172, 0.18874965384558282], [0.038749653845582835, 0.011250346154417177]]","[[81.12936370796147, 8.870636292038535], [8.870636292038535, 1.1293637079614667]]","[[76.12503461544172, 18.87496538455828], [3.8749653845582834, 1.1250346154417177]]",0.0002063876623764067,0.00020551196752134095
C4_C4_s0p05_i0p0001_n500,C4,C4_s0p05_i0p0001,Rare-cell breakdown ladder,,,500,500,1.0,0.05,0.05,0.025,0.1,1,1,0.0006978678790510892,0.0006867832695217929,9.999999999982245e-05,9.999999999987796e-05,-5.551115123125783e-17,0.0,0.00319786787905109,0.0031867832695217932,1.5989339395255449,1.5933916347608965,1.5933916347608965,"[[0.9031978678790511, 0.046802132120948914], [0.046802132120948914, 0.00319786787905109]]","[[0.8781867832695217, 0.09681321673047821], [0.02181321673047821, 0.0031867832695217932]]","[[451.5989339395255, 23.401066060474456], [23.401066060474456, 1.5989339395255449]]","[[439.09339163476085, 48.40660836523911], [10.906608365239105, 1.5933916347608965]]",0.0002148621898396431,0.00021407160297302828
PM_C1_N0_n10_di0p005,PM,C1_N0_n10,Mirrored alternative for Identical-population control,mirrored,mirror_C1_N0_n10,10,10,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070477,0.11251113861008684,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,0.14010268691929523,0.13748886138991318,1.4010268691929522,1.3748886138991319,1.3748886138991319,"[[0.3598973130807048, 0.14010268691929523], [0.14010268691929523, 0.3598973130807048]]","[[0.3625111386100868, 0.13748886138991318], [0.13748886138991318, 0.3625111386100868]]","[[3.598973130807048, 1.4010268691929522], [1.4010268691929522, 3.598973130807048]]","[[3.625111386100868, 1.3748886138991319], [1.3748886138991319, 3.625111386100868]]",0.17952151361299074,0.18739392355925863
PM_C1_N0_n50_di0p005,PM,C1_N0_n50,Mirrored alternative for Identical-population control,mirrored,mirror_C1_N0_n50,50,50,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070477,0.11251113861008684,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,0.14010268691929523,0.13748886138991318,7.005134345964762,6.874443069495658,6.874443069495658,"[[0.3598973130807048, 0.14010268691929523], [0.14010268691929523, 0.3598973130807048]]","[[0.3625111386100868, 0.13748886138991318], [0.13748886138991318, 0.3625111386100868]]","[[17.994865654035237, 7.005134345964762], [7.005134345964762, 17.994865654035237]]","[[18.12555693050434, 6.874443069495658], [6.874443069495658, 18.12555693050434]]",0.17952151361299074,0.18739392355925863
PM_C1_N0_n1000_di0p005,PM,C1_N0_n1000,Mirrored alternative for Identical-population control,mirrored,mirror_C1_N0_n1000,1000,1000,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070477,0.11251113861008684,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,0.14010268691929523,0.13748886138991318,140.10268691929522,137.48886138991318,137.48886138991318,"[[0.3598973130807048, 0.14010268691929523], [0.14010268691929523, 0.3598973130807048]]","[[0.3625111386100868, 0.13748886138991318], [0.13748886138991318, 0.3625111386100868]]","[[359.89731308070475, 140.10268691929522], [140.10268691929522, 359.89731308070475]]","[[362.51113861008685, 137.48886138991318], [137.48886138991318, 362.51113861008685]]",0.17952151361299074,0.18739392355925863
PM_C1_N3_n50_di0p005,PM,C1_N3_n50,Mirrored alternative for One skewed population,mirrored,mirror_C1_N3_n50,50,50,1.0,0.3,0.4,0.1,0.3,1,1,0.05528109983181558,0.038258720270455855,0.03000000000000036,0.034999999999659415,-0.004999999999659055,0.005,0.1247189001681844,0.03174127972954414,6.23594500840922,1.587063986477207,1.587063986477207,"[[0.47528109983181555, 0.22471890016818438], [0.1247189001681844, 0.17528109983181558]]","[[0.6682587202704559, 0.23174127972954417], [0.03174127972954414, 0.06825872027045585]]","[[23.764054991590776, 11.23594500840922], [6.23594500840922, 8.764054991590779]]","[[33.412936013522796, 11.587063986477208], [1.587063986477207, 3.4129360135227924]]",0.05919008954132609,0.07249556775726887
PM_C1_N6_n100_di0p005,PM,C1_N6_n100,Mirrored alternative for Sparse margins and opposite association,mirrored,mirror_C1_N6_n100,100,100,1.0,0.1,0.1,0.05,0.2,1,-1,0.009915614417106516,-0.009688097621733702,0.00499999999999956,0.010000000000196296,-0.005000000000196736,0.005,0.019915614417106518,0.00031190237826629955,1.9915614417106517,0.031190237826629955,0.031190237826629955,"[[0.8199156144171066, 0.08008438558289349], [0.08008438558289349, 0.019915614417106518]]","[[0.7503119023782663, 0.1996880976217337], [0.04968809762173371, 0.00031190237826629955]]","[[81.99156144171066, 8.008438558289349], [8.008438558289349, 1.9915614417106517]]","[[75.03119023782662, 19.968809762173372], [4.968809762173371, 0.031190237826629955]]",0.011730913984507428,0.006605196361153879
PM_C1_N6_n200_di0p005,PM,C1_N6_n200,Mirrored alternative for Sparse margins and opposite association,mirrored,mirror_C1_N6_n200,200,200,1.0,0.1,0.1,0.05,0.2,1,-1,0.009915614417106516,-0.009688097621733702,0.00499999999999956,0.010000000000196296,-0.005000000000196736,0.005,0.019915614417106518,0.00031190237826629955,3.9831228834213035,0.06238047565325991,0.06238047565325991,"[[0.8199156144171066, 0.08008438558289349], [0.08008438558289349, 0.019915614417106518]]","[[0.7503119023782663, 0.1996880976217337], [0.04968809762173371, 0.00031190237826629955]]","[[163.98312288342132, 16.016877116578698], [16.016877116578698, 3.9831228834213035]]","[[150.06238047565324, 39.937619524346744], [9.937619524346742, 0.06238047565325991]]",0.011730913984507428,0.006605196361153879
PM_C1_N7_n1000_di0p005,PM,C1_N7_n1000,Mirrored alternative for Ultra-rare categories,mirrored,mirror_C1_N7_n1000,1000,1000,1.0,0.005,0.005,0.002,0.01,1,1,0.00028036642602389465,0.0014097252479409739,0.0005000000000022972,0.005499999999998187,-0.00499999999999589,0.005,0.00030536642602389466,0.0005702747520590261,0.30536642602389463,0.5702747520590261,0.30536642602389463,"[[0.990305366426024, 0.0046946335739761055], [0.0046946335739761055, 0.00030536642602389466]]","[[0.9894297252479409, 0.008570274752059027], [0.0005702747520590261, 0.001429725247940974]]","[[990.305366426024, 4.694633573976105], [4.694633573976105, 0.30536642602389463]]","[[989.429725247941, 8.570274752059028], [0.5702747520590261, 1.4297252479409739]]",0.0019439886454108233,0.027116067649349603
PM_C2_N0_np20_nq200_di0p005,PM,C2_N0_np20_nq200,Mirrored alternative for Identical-population control,mirrored,mirror_C2_N0_np20_nq200,20,200,10.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070477,0.11251113861008684,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,0.14010268691929523,0.13748886138991318,2.8020537383859043,27.497772277982634,2.8020537383859043,"[[0.3598973130807048, 0.14010268691929523], [0.14010268691929523, 0.3598973130807048]]","[[0.3625111386100868, 0.13748886138991318], [0.13748886138991318, 0.3625111386100868]]","[[7.197946261614096, 2.8020537383859043], [2.8020537383859043, 7.197946261614096]]","[[72.50222772201737, 27.497772277982634], [27.497772277982634, 72.50222772201737]]",0.17952151361299074,0.18739392355925863
PM_C2_N3_np500_nq50_di0p005,PM,C2_N3_np500_nq50,Mirrored alternative for One skewed population,mirrored,mirror_C2_N3_np500_nq50,500,50,0.1,0.3,0.4,0.1,0.3,1,1,0.05528109983181558,0.038258720270455855,0.03000000000000036,0.034999999999659415,-0.004999999999659055,0.005,0.1247189001681844,0.03174127972954414,62.3594500840922,1.587063986477207,1.587063986477207,"[[0.47528109983181555, 0.22471890016818438], [0.1247189001681844, 0.17528109983181558]]","[[0.6682587202704559, 0.23174127972954417], [0.03174127972954414, 0.06825872027045585]]","[[237.64054991590777, 112.35945008409219], [62.3594500840922, 87.6405499159078]]","[[33.412936013522796, 11.587063986477208], [1.587063986477207, 3.4129360135227924]]",0.05919008954132609,0.07249556775726887
PM_C2_N5_np200_nq2000_di0p005,PM,C2_N5_np200_nq2000,Mirrored alternative for Extreme rare categories,mirrored,mirror_C2_N5_np200_nq2000,200,2000,10.0,0.02,0.02,0.01,0.05,1,1,0.0030939959261344083,0.004969014417522128,0.005000000000208782,0.010000000000000314,-0.004999999999791532,0.005,0.0034939959261344085,0.004530985582477872,0.6987991852268817,9.061971164955743,0.6987991852268817,"[[0.9634939959261344, 0.016506004073865592], [0.016506004073865592, 0.0034939959261344085]]","[[0.9454690144175222, 0.044530985582477874], [0.004530985582477872, 0.0054690144175221275]]","[[192.69879918522687, 3.3012008147731184], [3.3012008147731184, 0.6987991852268817]]","[[1890.9380288350444, 89.06197116495575], [9.061971164955743, 10.938028835044255]]",0.017371903000354388,0.03420641830366672
