configuration_id,experiment,population_pair_id,purpose,power_family,calibration_key,n_p,n_q,sample_size_ratio_q_over_p,u_p,v_p,u_q,v_q,association_direction_p,association_direction_q,association_delta_p,association_delta_q,true_mi_p,true_mi_q,true_delta_p_minus_q,effect_delta_i_q_minus_p,minimum_probability_p,minimum_probability_q,minimum_expected_p,minimum_expected_q,minimum_expected_either,probability_p_json,probability_q_json,expected_p_json,expected_q_json,population_variance_p,population_variance_q,replicates,mean_delta_corrected,sd_delta_corrected,mean_standard_error,rms_standard_error,sd_to_rms_se_ratio,mean_influence_variance_p,mean_influence_variance_q,mean_variance_influence_variance_p,mean_variance_influence_variance_q,any_zero_cell_rate_p,any_zero_cell_rate_q,empty_margin_rate_p,empty_margin_rate_q,mean_zero_cell_fraction_p,mean_zero_cell_fraction_q,zero_estimated_variance_rate_p,zero_estimated_variance_rate_q,mean_welch_degrees_of_freedom,median_welch_degrees_of_freedom,mean_expanded_welch_degrees_of_freedom,median_expanded_welch_degrees_of_freedom,mean_expanded_component_degrees_of_freedom_p,median_expanded_component_degrees_of_freedom_p,mean_expanded_component_degrees_of_freedom_q,median_expanded_component_degrees_of_freedom_q
C1_N0_n10,C1,N0,Identical-population control,,,10,10,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,1.4010268691929513,1.4010268691929513,1.4010268691929513,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]",0.179521513612991,0.179521513612991,50000,0.0017316259330688883,0.22703391931588807,0.16437294451996232,0.17102895764855885,1.3274589428441221,0.14711855761905096,0.14539048592447443,0.19833182620738976,0.19717380595928152,0.42584,0.42248,0.00354,0.00388,0.11667,0.116075,0.05218,0.05548,14.26924468422224,15.117697596135592,8.395583825689474,4.417857055867281,11.17064752671388,2.0672389901268327,11.35351844100954,2.0672389901268327
C1_N0_n50,C1,N0,Identical-population control,,,50,50,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,7.0051343459647555,7.0051343459647555,7.0051343459647555,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[17.994865654035245, 7.0051343459647555], [7.0051343459647555, 17.994865654035245]]","[[17.994865654035245, 7.0051343459647555], [7.0051343459647555, 17.994865654035245]]",0.179521513612991,0.179521513612991,50000,-0.0006408634227560082,0.08852337888715318,0.08480655549500653,0.08611077472120132,1.0280174481505142,0.18491053648973124,0.18584273966454296,0.37080154062041115,0.371715810705233,0.00096,0.00112,0.0,0.0,0.00024,0.00028,0.00014,0.0002,88.17197969204811,92.4507472712402,20.68371376468664,16.781396080568534,15.538354899939632,7.285166567776542,14.661299046001462,7.341360331241864
C1_N0_n1000,C1,N0,Identical-population control,,,1000,1000,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,140.1026869192951,140.1026869192951,140.1026869192951,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[359.89731308070486, 140.1026869192951], [140.1026869192951, 359.89731308070486]]","[[359.89731308070486, 140.1026869192951], [140.1026869192951, 359.89731308070486]]",0.179521513612991,0.179521513612991,50000,1.1108466163137077e-06,0.01905164679876462,0.01895445794218744,0.018970893717833583,1.0042566830077764,0.1799469778799858,0.17994783057335192,0.4469925806370491,0.44702024867688545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1984.216816156047,1991.6575929245519,290.5646488049881,288.127537246629,145.69711913599303,143.20864338147976,145.6800981099016,143.29687288265342
C1_N3_n50,C1,N3,One skewed population,,,50,50,1.0,0.3,0.4,0.1,0.3,1,1,0.05528109983181547,0.03540416313577926,0.03000000000000036,0.029999999999678284,3.220756994437579e-13,0.0,0.12471890016818452,0.034595836864220735,6.235945008409225,1.7297918432110366,1.7297918432110366,"[[0.47528109983181543, 0.2247189001681845], [0.12471890016818452, 0.17528109983181547]]","[[0.6654041631357792, 0.23459583686422075], [0.034595836864220735, 0.06540416313577926]]","[[23.764054991590772, 11.235945008409224], [6.235945008409225, 8.764054991590774]]","[[33.27020815678896, 11.729791843211038], [1.7297918432110366, 3.2702081567889634]]",0.05919008954132586,0.0626368161702698,50000,-0.0017871331124618237,0.05447542288588114,0.0512127909485778,0.0539656589096313,1.0094460808326917,0.074920847391146,0.07069376968638742,0.22038305613890727,0.19964549014852145,0.0013,0.20158,0.0,0.00516,0.000325,0.051685,0.00248,0.0066,76.06229874290531,78.44632453460466,5.58388730447977,4.3314469073924196,3.9056645489462585,1.6775773179586748,3.2719328102371033,1.9051250113470526
C1_N6_n100,C1,N6,Sparse margins and opposite association,,,100,100,1.0,0.1,0.1,0.05,0.2,1,-1,0.00991561441710636,-0.007573707638269861,0.004999999999999782,0.00500000000026285,-2.6306734568493084e-13,0.0,0.01991561441710636,0.0024262923617301407,1.9915614417106362,0.24262923617301407,0.24262923617301407,"[[0.8199156144171064, 0.08008438558289366], [0.08008438558289366, 0.01991561441710636]]","[[0.7524262923617302, 0.19757370763826987], [0.04757370763826987, 0.0024262923617301407]]","[[81.99156144171063, 8.008438558289367], [8.008438558289367, 1.9915614417106362]]","[[75.24262923617302, 19.757370763826987], [4.757370763826986, 0.24262923617301407]]",0.011730913984507051,0.006649143852283432,50000,0.0019076821024370013,0.014653739527487743,0.014055179787933511,0.01666993111711378,0.8790521943095396,0.024701994802863454,0.0030866655420683678,0.1564807049073777,0.0033490083966524775,0.13492,0.78596,0.0,0.00546,0.03373,0.197855,0.0047,0.01122,135.76891728657625,124.61503011032337,2.065878561762721,1.0442377948200996,1.3269744831545494,0.653414191284475,3.8648587613153906,4.300880614291897
C1_N6_n200,C1,N6,Sparse margins and opposite association,,,200,200,1.0,0.1,0.1,0.05,0.2,1,-1,0.00991561441710636,-0.007573707638269861,0.004999999999999782,0.00500000000026285,-2.6306734568493084e-13,0.0,0.01991561441710636,0.0024262923617301407,3.9831228834212724,0.48525847234602815,0.48525847234602815,"[[0.8199156144171064, 0.08008438558289366], [0.08008438558289366, 0.01991561441710636]]","[[0.7524262923617302, 0.19757370763826987], [0.04757370763826987, 0.0024262923617301407]]","[[163.98312288342126, 16.016877116578733], [16.016877116578733, 3.9831228834212724]]","[[150.48525847234603, 39.514741527653975], [9.514741527653973, 0.48525847234602815]]",0.011730913984507051,0.006649143852283432,50000,0.00020470441722298397,0.010064237986286795,0.009282995207347678,0.010440538716788801,0.9639577285512194,0.01868842275941203,0.00311254697994116,0.12055930307694594,0.002716433556286057,0.01758,0.61794,0.0,4e-05,0.004395,0.154495,0.00266,0.00138,278.6335344139872,259.91164230619586,2.2076174401816786,1.5728360813253575,1.3182502364416053,0.7906599581546186,6.4437687427727335,8.072018585872131
C1_N7_n1000,C1,N7,Ultra-rare categories,,,1000,1000,1.0,0.005,0.005,0.002,0.01,1,1,0.00028036642602345983,0.00025990804955251324,0.0005000000000011523,0.0005000000000000629,1.0894063429134349e-15,0.0,0.00030536642602345984,0.00027990804955251323,0.3053664260234598,0.27990804955251325,0.27990804955251325,"[[0.9903053664260235, 0.00469463357397654], [0.00469463357397654, 0.00030536642602345984]]","[[0.9882799080495526, 0.009720091950447488], [0.0017200919504474868, 0.00027990804955251323]]","[[990.3053664260235, 4.69463357397654], [4.69463357397654, 0.3053664260234598]]","[[988.2799080495525, 9.720091950447488], [1.7200919504474868, 0.27990804955251325]]",0.0019439886454058245,0.0019896167517233602,50000,9.837814448199641e-06,0.0025068729871087583,0.001874058445648389,0.002906403934219352,0.8625342670347347,0.004315757380657153,0.0041314264481885745,0.10942376989476318,0.09311467883970635,0.7427,0.80094,0.0136,0.13454,0.189095,0.23388,0.0136,0.13454,1343.0262279001959,1093.9998332722898,2.6578110739579066,2.674193923114745,1.8282104868494782,1.7357210535081216,1.7758152115554948,1.5559298717299048
C2_N0_np20_nq200,C2,N0,Identical-population control,,,20,200,10.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,2.8020537383859025,28.020537383859022,2.8020537383859025,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[7.1979462616140975, 2.8020537383859025], [2.8020537383859025, 7.1979462616140975]]","[[71.97946261614098, 28.020537383859022], [28.020537383859022, 71.97946261614098]]",0.179521513612991,0.179521513612991,50000,0.005017379680659314,0.11175965453442017,0.09465931062669261,0.09950288608514445,1.1231800295600234,0.1799019894583034,0.1811449732716129,0.28494170197244956,0.42989503786859556,0.09706,0.0,0.0,0.0,0.02461,0.0,0.00786,0.0,34.699405110111336,23.08114096651363,13.546923649765029,4.3189708512833604,12.607830093000642,3.3484640906839274,31.604392490249175,28.696614767816666
C2_N3_np500_nq50,C2,N3,One skewed population,,,500,50,0.1,0.3,0.4,0.1,0.3,1,1,0.05528109983181547,0.03540416313577926,0.03000000000000036,0.029999999999678284,3.220756994437579e-13,0.0,0.12471890016818452,0.034595836864220735,62.35945008409226,1.7297918432110366,1.7297918432110366,"[[0.47528109983181543, 0.2247189001681845], [0.12471890016818452, 0.17528109983181547]]","[[0.6654041631357792, 0.23459583686422075], [0.034595836864220735, 0.06540416313577926]]","[[237.6405499159077, 112.35945008409224], [62.35945008409226, 87.64054991590774]]","[[33.27020815678896, 11.729791843211038], [1.7297918432110366, 3.2702081567889634]]",0.05919008954132586,0.0626368161702698,50000,-0.0018430211896127008,0.04022997490626113,0.035976019511220196,0.039144795039492364,1.027722200759359,0.060943997364500645,0.07052134919774324,0.21879508849970516,0.20011160442932785,0.0,0.1995,0.0,0.00482,0.0,0.05108,0.0,0.00626,108.56746309327129,59.29661189874195,4.254455367702292,2.55788819696814,17.028820302375603,16.192885394163785,3.240984951084637,1.899960009734541
C2_N5_np200_nq2000,C2,N5,Extreme rare categories,,,200,2000,10.0,0.02,0.02,0.01,0.05,1,1,0.0030939959260929376,0.0032285363215047583,0.005000000000104227,0.005000000000000088,1.0413891970983968e-13,0.0,0.0034939959260929378,0.0037285363215047583,0.6987991852185875,7.457072643009517,0.6987991852185875,"[[0.9634939959260929, 0.016506004073907062], [0.016506004073907062, 0.0034939959260929378]]","[[0.9437285363215048, 0.046271463678495245], [0.0062714636784952415, 0.0037285363215047583]]","[[192.69879918521858, 3.3012008147814123], [3.3012008147814123, 0.6987991852185875]]","[[1887.4570726430095, 92.54292735699049], [12.542927356990482, 7.457072643009517]]",0.017371902999954544,0.01632926472619308,50000,0.0003501811508029607,0.010978000520743285,0.009569378123257564,0.012269610013114945,0.894731006854247,0.028376255556368364,0.017324104184177427,0.3756199756226293,0.20753300799769436,0.53282,0.00048,0.03502,0.0,0.142305,0.00012,0.03502,0.0,1116.1796694923628,307.75753999701885,3.8058419956917793,2.702097854533426,1.6272191235724163,1.2882019028301501,5.811294713047869,5.297091947326735
