method,method_label,valid_count,valid_rate,p_value_threshold_for_five_percent,calibration_key,configuration_id,power_family,n_p,n_q,replicates
normal_wald,Normal Wald,49845,0.9969,0.009339493174238734,mirror_C1_N0_n10,PCAL_PCAL_mirror_C1_N0_n10_mirror_C1_N0_n10,mirrored,10,10,50000
simple_welch,Simple Welch,49845,0.9969,0.025227030910297626,mirror_C1_N0_n10,PCAL_PCAL_mirror_C1_N0_n10_mirror_C1_N0_n10,mirrored,10,10,50000
expanded_welch,Expanded Welch,48581,0.97162,0.05035396965128132,mirror_C1_N0_n10,PCAL_PCAL_mirror_C1_N0_n10_mirror_C1_N0_n10,mirrored,10,10,50000
normal_wald,Normal Wald,50000,1.0,0.05270579631866704,mirror_C1_N0_n50,PCAL_PCAL_mirror_C1_N0_n50_mirror_C1_N0_n50,mirrored,50,50,50000
simple_welch,Simple Welch,50000,1.0,0.05658674947969886,mirror_C1_N0_n50,PCAL_PCAL_mirror_C1_N0_n50_mirror_C1_N0_n50,mirrored,50,50,50000
expanded_welch,Expanded Welch,49994,0.99988,0.064063843177767,mirror_C1_N0_n50,PCAL_PCAL_mirror_C1_N0_n50_mirror_C1_N0_n50,mirrored,50,50,50000
normal_wald,Normal Wald,50000,1.0,0.05093701035855686,mirror_C1_N0_n1000,PCAL_PCAL_mirror_C1_N0_n1000_mirror_C1_N0_n1000,mirrored,1000,1000,50000
simple_welch,Simple Welch,50000,1.0,0.05108004945627977,mirror_C1_N0_n1000,PCAL_PCAL_mirror_C1_N0_n1000_mirror_C1_N0_n1000,mirrored,1000,1000,50000
expanded_welch,Expanded Welch,50000,1.0,0.051902595148942535,mirror_C1_N0_n1000,PCAL_PCAL_mirror_C1_N0_n1000_mirror_C1_N0_n1000,mirrored,1000,1000,50000
normal_wald,Normal Wald,49999,0.99998,0.08012229006541174,mirror_C1_N3_n50,PCAL_PCAL_mirror_C1_N3_n50_mirror_C1_N3_n50,mirrored,50,50,50000
simple_welch,Simple Welch,49999,0.99998,0.08540335232378383,mirror_C1_N3_n50,PCAL_PCAL_mirror_C1_N3_n50_mirror_C1_N3_n50,mirrored,50,50,50000
expanded_welch,Expanded Welch,49722,0.99444,0.11299477716517894,mirror_C1_N3_n50,PCAL_PCAL_mirror_C1_N3_n50_mirror_C1_N3_n50,mirrored,50,50,50000
normal_wald,Normal Wald,49997,0.99994,0.038947424331091385,mirror_C1_N6_n100,PCAL_PCAL_mirror_C1_N6_n100_mirror_C1_N6_n100,mirrored,100,100,50000
simple_welch,Simple Welch,49997,0.99994,0.04125871375308972,mirror_C1_N6_n100,PCAL_PCAL_mirror_C1_N6_n100_mirror_C1_N6_n100,mirrored,100,100,50000
expanded_welch,Expanded Welch,49706,0.99412,0.1441988037744411,mirror_C1_N6_n100,PCAL_PCAL_mirror_C1_N6_n100_mirror_C1_N6_n100,mirrored,100,100,50000
normal_wald,Normal Wald,50000,1.0,0.006848968653273631,mirror_C1_N6_n200,PCAL_PCAL_mirror_C1_N6_n200_mirror_C1_N6_n200,mirrored,200,200,50000
simple_welch,Simple Welch,50000,1.0,0.007315337243498405,mirror_C1_N6_n200,PCAL_PCAL_mirror_C1_N6_n200_mirror_C1_N6_n200,mirrored,200,200,50000
expanded_welch,Expanded Welch,49997,0.99994,0.07476179062692381,mirror_C1_N6_n200,PCAL_PCAL_mirror_C1_N6_n200_mirror_C1_N6_n200,mirrored,200,200,50000
normal_wald,Normal Wald,49916,0.99832,0.12169702390620075,mirror_C1_N7_n1000,PCAL_PCAL_mirror_C1_N7_n1000_mirror_C1_N7_n1000,mirrored,1000,1000,50000
simple_welch,Simple Welch,49916,0.99832,0.12195834729280867,mirror_C1_N7_n1000,PCAL_PCAL_mirror_C1_N7_n1000_mirror_C1_N7_n1000,mirrored,1000,1000,50000
expanded_welch,Expanded Welch,42764,0.85528,0.2644518699163067,mirror_C1_N7_n1000,PCAL_PCAL_mirror_C1_N7_n1000_mirror_C1_N7_n1000,mirrored,1000,1000,50000
