configuration_id,experiment,population_pair_id,purpose,power_family,calibration_key,n_p,n_q,sample_size_ratio_q_over_p,u_p,v_p,u_q,v_q,association_direction_p,association_direction_q,association_delta_p,association_delta_q,true_mi_p,true_mi_q,true_delta_p_minus_q,effect_delta_i_q_minus_p,minimum_probability_p,minimum_probability_q,minimum_expected_p,minimum_expected_q,minimum_expected_either,probability_p_json,probability_q_json,expected_p_json,expected_q_json,population_variance_p,population_variance_q,method,method_label,truth,replicates,valid_count,invalid_count,valid_rate,invalid_shared_statistic_count,invalid_reference_count,invalid_component_p_count,invalid_component_q_count,invalid_combined_df_count,reject_count_05,nonreject_count_05,false_positive_count_05,true_negative_count_05,true_positive_count_05,false_negative_count_05,false_positive_rate_05,true_negative_rate_05,true_positive_rate_05,false_negative_rate_05,nominal_rejection_rate_05,rejection_wilson_low_05,rejection_wilson_high_05,unconditional_rejection_rate_05,size_adjustment_p_threshold,size_adjusted_reject_count,size_adjusted_rejection_rate,size_adjusted_power,size_adjusted_fpr
PM_C1_N0_n10_di0p005,PM,C1_N0_n10,Mirrored alternative for Identical-population control,mirrored,mirror_C1_N0_n10,10,10,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070477,0.11251113861008684,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,0.14010268691929523,0.13748886138991318,1.4010268691929522,1.3748886138991319,1.3748886138991319,"[[0.3598973130807048, 0.14010268691929523], [0.14010268691929523, 0.3598973130807048]]","[[0.3625111386100868, 0.13748886138991318], [0.13748886138991318, 0.3625111386100868]]","[[3.598973130807048, 1.4010268691929522], [1.4010268691929522, 3.598973130807048]]","[[3.625111386100868, 1.3748886138991319], [1.3748886138991319, 3.625111386100868]]",0.17952151361299074,0.18739392355925863,normal_wald,Normal Wald,alternative,50000,49861,139,0.99722,139,0,0,0,0,6799,43062,,,6799,43062,,,0.13635907823750026,0.8636409217624997,0.13635907823750026,0.13337493046063353,0.13939925393245928,0.13598,0.009339493174238734,2559,0.05132267704217725,0.05132267704217725,
PM_C1_N0_n10_di0p005,PM,C1_N0_n10,Mirrored alternative for Identical-population control,mirrored,mirror_C1_N0_n10,10,10,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070477,0.11251113861008684,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,0.14010268691929523,0.13748886138991318,1.4010268691929522,1.3748886138991319,1.3748886138991319,"[[0.3598973130807048, 0.14010268691929523], [0.14010268691929523, 0.3598973130807048]]","[[0.3625111386100868, 0.13748886138991318], [0.13748886138991318, 0.3625111386100868]]","[[3.598973130807048, 1.4010268691929522], [1.4010268691929522, 3.598973130807048]]","[[3.625111386100868, 1.3748886138991319], [1.3748886138991319, 3.625111386100868]]",0.17952151361299074,0.18739392355925863,simple_welch,Simple Welch,alternative,50000,49861,139,0.99722,139,0,0,0,0,5010,44851,,,5010,44851,,,0.10047933254447364,0.8995206674555264,0.10047933254447364,0.09787120195279068,0.10314901922044954,0.1002,0.025227030910297626,2563,0.05140290006217284,0.05140290006217284,
PM_C1_N0_n10_di0p005,PM,C1_N0_n10,Mirrored alternative for Identical-population control,mirrored,mirror_C1_N0_n10,10,10,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070477,0.11251113861008684,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,0.14010268691929523,0.13748886138991318,1.4010268691929522,1.3748886138991319,1.3748886138991319,"[[0.3598973130807048, 0.14010268691929523], [0.14010268691929523, 0.3598973130807048]]","[[0.3625111386100868, 0.13748886138991318], [0.13748886138991318, 0.3625111386100868]]","[[3.598973130807048, 1.4010268691929522], [1.4010268691929522, 3.598973130807048]]","[[3.625111386100868, 1.3748886138991319], [1.3748886138991319, 3.625111386100868]]",0.17952151361299074,0.18739392355925863,expanded_welch,Expanded Welch,alternative,50000,48559,1441,0.97118,139,1302,632,670,1302,2401,46158,,,2401,46158,,,0.04944500504540868,0.9505549949545913,0.04944500504540868,0.047552143376231946,0.051409147076589924,0.04802,0.05035396965128132,2448,0.0504128997714121,0.0504128997714121,
PM_C1_N0_n50_di0p005,PM,C1_N0_n50,Mirrored alternative for Identical-population control,mirrored,mirror_C1_N0_n50,50,50,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070477,0.11251113861008684,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,0.14010268691929523,0.13748886138991318,7.005134345964762,6.874443069495658,6.874443069495658,"[[0.3598973130807048, 0.14010268691929523], [0.14010268691929523, 0.3598973130807048]]","[[0.3625111386100868, 0.13748886138991318], [0.13748886138991318, 0.3625111386100868]]","[[17.994865654035237, 7.005134345964762], [7.005134345964762, 17.994865654035237]]","[[18.12555693050434, 6.874443069495658], [6.874443069495658, 18.12555693050434]]",0.17952151361299074,0.18739392355925863,normal_wald,Normal Wald,alternative,50000,50000,0,1.0,0,0,0,0,0,2502,47498,,,2502,47498,,,0.05004,0.94996,0.05004,0.04816326785771151,0.05198586694315706,0.05004,0.05270579631866704,2619,0.05238,0.05238,
PM_C1_N0_n50_di0p005,PM,C1_N0_n50,Mirrored alternative for Identical-population control,mirrored,mirror_C1_N0_n50,50,50,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070477,0.11251113861008684,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,0.14010268691929523,0.13748886138991318,7.005134345964762,6.874443069495658,6.874443069495658,"[[0.3598973130807048, 0.14010268691929523], [0.14010268691929523, 0.3598973130807048]]","[[0.3625111386100868, 0.13748886138991318], [0.13748886138991318, 0.3625111386100868]]","[[17.994865654035237, 7.005134345964762], [7.005134345964762, 17.994865654035237]]","[[18.12555693050434, 6.874443069495658], [6.874443069495658, 18.12555693050434]]",0.17952151361299074,0.18739392355925863,simple_welch,Simple Welch,alternative,50000,50000,0,1.0,0,0,0,0,0,2302,47698,,,2302,47698,,,0.04604,0.95396,0.04604,0.04423767059348433,0.04791207879357739,0.04604,0.05658674947969886,2610,0.0522,0.0522,
PM_C1_N0_n50_di0p005,PM,C1_N0_n50,Mirrored alternative for Identical-population control,mirrored,mirror_C1_N0_n50,50,50,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070477,0.11251113861008684,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,0.14010268691929523,0.13748886138991318,7.005134345964762,6.874443069495658,6.874443069495658,"[[0.3598973130807048, 0.14010268691929523], [0.14010268691929523, 0.3598973130807048]]","[[0.3625111386100868, 0.13748886138991318], [0.13748886138991318, 0.3625111386100868]]","[[17.994865654035237, 7.005134345964762], [7.005134345964762, 17.994865654035237]]","[[18.12555693050434, 6.874443069495658], [6.874443069495658, 18.12555693050434]]",0.17952151361299074,0.18739392355925863,expanded_welch,Expanded Welch,alternative,50000,49996,4,0.99992,0,4,2,2,4,1992,48004,,,1992,48004,,,0.0398431874549964,0.9601568125450036,0.0398431874549964,0.038163777575975444,0.04159330449607543,0.03984,0.064063843177767,2612,0.05224417953436275,0.05224417953436275,
PM_C1_N0_n1000_di0p005,PM,C1_N0_n1000,Mirrored alternative for Identical-population control,mirrored,mirror_C1_N0_n1000,1000,1000,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070477,0.11251113861008684,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,0.14010268691929523,0.13748886138991318,140.10268691929522,137.48886138991318,137.48886138991318,"[[0.3598973130807048, 0.14010268691929523], [0.14010268691929523, 0.3598973130807048]]","[[0.3625111386100868, 0.13748886138991318], [0.13748886138991318, 0.3625111386100868]]","[[359.89731308070475, 140.10268691929522], [140.10268691929522, 359.89731308070475]]","[[362.51113861008685, 137.48886138991318], [137.48886138991318, 362.51113861008685]]",0.17952151361299074,0.18739392355925863,normal_wald,Normal Wald,alternative,50000,50000,0,1.0,0,0,0,0,0,2959,47041,,,2959,47041,,,0.05918,0.94082,0.05918,0.057145413596105914,0.06128231687531129,0.05918,0.05093701035855686,3008,0.06016,0.06016,
PM_C1_N0_n1000_di0p005,PM,C1_N0_n1000,Mirrored alternative for Identical-population control,mirrored,mirror_C1_N0_n1000,1000,1000,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070477,0.11251113861008684,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,0.14010268691929523,0.13748886138991318,140.10268691929522,137.48886138991318,137.48886138991318,"[[0.3598973130807048, 0.14010268691929523], [0.14010268691929523, 0.3598973130807048]]","[[0.3625111386100868, 0.13748886138991318], [0.13748886138991318, 0.3625111386100868]]","[[359.89731308070475, 140.10268691929522], [140.10268691929522, 359.89731308070475]]","[[362.51113861008685, 137.48886138991318], [137.48886138991318, 362.51113861008685]]",0.17952151361299074,0.18739392355925863,simple_welch,Simple Welch,alternative,50000,50000,0,1.0,0,0,0,0,0,2954,47046,,,2954,47046,,,0.05908,0.94092,0.05908,0.05704705921322678,0.061180686622845246,0.05908,0.05108004945627977,3008,0.06016,0.06016,
PM_C1_N0_n1000_di0p005,PM,C1_N0_n1000,Mirrored alternative for Identical-population control,mirrored,mirror_C1_N0_n1000,1000,1000,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070477,0.11251113861008684,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,0.14010268691929523,0.13748886138991318,140.10268691929522,137.48886138991318,137.48886138991318,"[[0.3598973130807048, 0.14010268691929523], [0.14010268691929523, 0.3598973130807048]]","[[0.3625111386100868, 0.13748886138991318], [0.13748886138991318, 0.3625111386100868]]","[[359.89731308070475, 140.10268691929522], [140.10268691929522, 359.89731308070475]]","[[362.51113861008685, 137.48886138991318], [137.48886138991318, 362.51113861008685]]",0.17952151361299074,0.18739392355925863,expanded_welch,Expanded Welch,alternative,50000,50000,0,1.0,0,0,0,0,0,2915,47085,,,2915,47085,,,0.0583,0.9417,0.0583,0.05627995268886457,0.06038791299151511,0.0583,0.051902595148942535,3011,0.06022,0.06022,
PM_C1_N3_n50_di0p005,PM,C1_N3_n50,Mirrored alternative for One skewed population,mirrored,mirror_C1_N3_n50,50,50,1.0,0.3,0.4,0.1,0.3,1,1,0.05528109983181558,0.038258720270455855,0.03000000000000036,0.034999999999659415,-0.004999999999659055,0.005,0.1247189001681844,0.03174127972954414,6.23594500840922,1.587063986477207,1.587063986477207,"[[0.47528109983181555, 0.22471890016818438], [0.1247189001681844, 0.17528109983181558]]","[[0.6682587202704559, 0.23174127972954417], [0.03174127972954414, 0.06825872027045585]]","[[23.764054991590776, 11.23594500840922], [6.23594500840922, 8.764054991590779]]","[[33.412936013522796, 11.587063986477208], [1.587063986477207, 3.4129360135227924]]",0.05919008954132609,0.07249556775726887,normal_wald,Normal Wald,alternative,50000,50000,0,1.0,0,0,0,0,0,1790,48210,,,1790,48210,,,0.0358,0.9642,0.0358,0.034206831978628324,0.03746449074908789,0.0358,0.08012229006541174,2958,0.05916,0.05916,
