configuration_id,experiment,block,stream,method,method_label,replicates,valid_count,valid_rate,reject_count_05,rejection_rate_valid_05,unconditional_rejection_rate_05
C1_N0_n10,C1,0,null_simulation,normal_wald,Normal Wald,10000,9964,0.9964,1334,0.13388197511039743,0.1334
C1_N0_n10,C1,0,null_simulation,simple_welch,Simple Welch,10000,9964,0.9964,1000,0.10036130068245684,0.1
C1_N0_n10,C1,0,null_simulation,expanded_welch,Expanded Welch,10000,9723,0.9723,484,0.049778874832870516,0.0484
C1_N0_n10,C1,1,null_simulation,normal_wald,Normal Wald,10000,9969,0.9969,1309,0.13130705186076838,0.1309
C1_N0_n10,C1,1,null_simulation,simple_welch,Simple Welch,10000,9969,0.9969,978,0.09810412278061992,0.0978
C1_N0_n10,C1,1,null_simulation,expanded_welch,Expanded Welch,10000,9712,0.9712,455,0.0468492586490939,0.0455
C1_N0_n10,C1,2,null_simulation,normal_wald,Normal Wald,10000,9976,0.9976,1387,0.1390336808340016,0.1387
C1_N0_n10,C1,2,null_simulation,simple_welch,Simple Welch,10000,9976,0.9976,1019,0.10214514835605452,0.1019
C1_N0_n10,C1,2,null_simulation,expanded_welch,Expanded Welch,10000,9706,0.9706,468,0.04821759736245621,0.0468
C1_N0_n10,C1,3,null_simulation,normal_wald,Normal Wald,10000,9965,0.9965,1310,0.13146011038635222,0.131
C1_N0_n10,C1,3,null_simulation,simple_welch,Simple Welch,10000,9965,0.9965,970,0.09734069242348219,0.097
C1_N0_n10,C1,3,null_simulation,expanded_welch,Expanded Welch,10000,9734,0.9734,452,0.046435175672899114,0.0452
C1_N0_n10,C1,4,null_simulation,normal_wald,Normal Wald,10000,9977,0.9977,1290,0.12929738398316126,0.129
C1_N0_n10,C1,4,null_simulation,simple_welch,Simple Welch,10000,9977,0.9977,959,0.09612107848050516,0.0959
C1_N0_n10,C1,4,null_simulation,expanded_welch,Expanded Welch,10000,9737,0.9737,456,0.0468316729998973,0.0456
C1_N0_n50,C1,0,null_simulation,normal_wald,Normal Wald,10000,10000,1.0,445,0.0445,0.0445
C1_N0_n50,C1,0,null_simulation,simple_welch,Simple Welch,10000,10000,1.0,402,0.0402,0.0402
C1_N0_n50,C1,0,null_simulation,expanded_welch,Expanded Welch,10000,10000,1.0,343,0.0343,0.0343
C1_N0_n50,C1,1,null_simulation,normal_wald,Normal Wald,10000,10000,1.0,483,0.0483,0.0483
C1_N0_n50,C1,1,null_simulation,simple_welch,Simple Welch,10000,10000,1.0,449,0.0449,0.0449
C1_N0_n50,C1,1,null_simulation,expanded_welch,Expanded Welch,10000,9997,0.9997,393,0.03931179353806142,0.0393
C1_N0_n50,C1,2,null_simulation,normal_wald,Normal Wald,10000,10000,1.0,493,0.0493,0.0493
C1_N0_n50,C1,2,null_simulation,simple_welch,Simple Welch,10000,10000,1.0,464,0.0464,0.0464
C1_N0_n50,C1,2,null_simulation,expanded_welch,Expanded Welch,10000,9999,0.9999,403,0.04030403040304031,0.0403
C1_N0_n50,C1,3,null_simulation,normal_wald,Normal Wald,10000,10000,1.0,476,0.0476,0.0476
C1_N0_n50,C1,3,null_simulation,simple_welch,Simple Welch,10000,10000,1.0,440,0.044,0.044
C1_N0_n50,C1,3,null_simulation,expanded_welch,Expanded Welch,10000,9998,0.9998,377,0.03770754150830166,0.0377
C1_N0_n50,C1,4,null_simulation,normal_wald,Normal Wald,10000,10000,1.0,462,0.0462,0.0462
C1_N0_n50,C1,4,null_simulation,simple_welch,Simple Welch,10000,10000,1.0,433,0.0433,0.0433
C1_N0_n50,C1,4,null_simulation,expanded_welch,Expanded Welch,10000,9998,0.9998,378,0.03780756151230246,0.0378
C1_N0_n1000,C1,0,null_simulation,normal_wald,Normal Wald,10000,10000,1.0,502,0.0502,0.0502
C1_N0_n1000,C1,0,null_simulation,simple_welch,Simple Welch,10000,10000,1.0,502,0.0502,0.0502
C1_N0_n1000,C1,0,null_simulation,expanded_welch,Expanded Welch,10000,10000,1.0,492,0.0492,0.0492
C1_N0_n1000,C1,1,null_simulation,normal_wald,Normal Wald,10000,10000,1.0,503,0.0503,0.0503
C1_N0_n1000,C1,1,null_simulation,simple_welch,Simple Welch,10000,10000,1.0,503,0.0503,0.0503
C1_N0_n1000,C1,1,null_simulation,expanded_welch,Expanded Welch,10000,10000,1.0,496,0.0496,0.0496
C1_N0_n1000,C1,2,null_simulation,normal_wald,Normal Wald,10000,10000,1.0,525,0.0525,0.0525
C1_N0_n1000,C1,2,null_simulation,simple_welch,Simple Welch,10000,10000,1.0,524,0.0524,0.0524
C1_N0_n1000,C1,2,null_simulation,expanded_welch,Expanded Welch,10000,10000,1.0,511,0.0511,0.0511
C1_N0_n1000,C1,3,null_simulation,normal_wald,Normal Wald,10000,10000,1.0,522,0.0522,0.0522
C1_N0_n1000,C1,3,null_simulation,simple_welch,Simple Welch,10000,10000,1.0,522,0.0522,0.0522
C1_N0_n1000,C1,3,null_simulation,expanded_welch,Expanded Welch,10000,10000,1.0,509,0.0509,0.0509
C1_N0_n1000,C1,4,null_simulation,normal_wald,Normal Wald,10000,10000,1.0,515,0.0515,0.0515
C1_N0_n1000,C1,4,null_simulation,simple_welch,Simple Welch,10000,10000,1.0,515,0.0515,0.0515
C1_N0_n1000,C1,4,null_simulation,expanded_welch,Expanded Welch,10000,10000,1.0,504,0.0504,0.0504
C1_N3_n50,C1,0,null_simulation,normal_wald,Normal Wald,10000,9999,0.9999,308,0.030803080308030802,0.0308
C1_N3_n50,C1,0,null_simulation,simple_welch,Simple Welch,10000,9999,0.9999,280,0.028002800280028002,0.028
C1_N3_n50,C1,0,null_simulation,expanded_welch,Expanded Welch,10000,9946,0.9946,175,0.017595013070581138,0.0175
C1_N3_n50,C1,1,null_simulation,normal_wald,Normal Wald,10000,10000,1.0,311,0.0311,0.0311
C1_N3_n50,C1,1,null_simulation,simple_welch,Simple Welch,10000,10000,1.0,278,0.0278,0.0278
