anchor_configuration_id,configuration_label,configuration_id,sample_scale,baseline_n_p,baseline_n_q,n_p,n_q,mi_p,mi_q,true_delta_p_minus_q,mi_difference,minimum_expected_count
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0_scale0p5,0.5,10,10,5,5,0.09999999999999987,0.09999999999999987,0.0,0.0,0.7005134345964761
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di1em05_scale0p5,0.5,10,10,5,5,0.09999999999999987,0.10000999999999949,-9.999999999621423e-06,1e-05,0.7004869366515848
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p0001_scale0p5,0.5,10,10,5,5,0.09999999999999987,0.10009999999999986,-9.999999999998899e-05,0.0001,0.7002485215357845
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p001_scale0p5,0.5,10,10,5,5,0.09999999999999987,0.1010000000000002,-0.001000000000000334,0.001,0.697870911462384
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p005_scale0p5,0.5,10,10,5,5,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,0.6874443069495659
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p01_scale0p5,0.5,10,10,5,5,0.09999999999999987,0.1100000000000001,-0.010000000000000231,0.01,0.6747194221814157
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p02_scale0p5,0.5,10,10,5,5,0.09999999999999987,0.11999999999999988,-0.020000000000000018,0.02,0.6502157875304336
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p05_scale0p5,0.5,10,10,5,5,0.09999999999999987,0.14999999999944302,-0.04999999999944316,0.05,0.5830694393529524
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p1_scale0p5,0.5,10,10,5,5,0.09999999999999987,0.19999999999999996,-0.10000000000000009,0.1,0.48706790692546176
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p2_scale0p5,0.5,10,10,5,5,0.09999999999999987,0.30000000000001115,-0.20000000000001128,0.2,0.3339650633831298
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p5_scale0p5,0.5,10,10,5,5,0.09999999999999987,0.5999999999981145,-0.4999999999981146,0.5,0.04688355470617481
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0_scale1,1.0,10,10,10,10,0.09999999999999987,0.09999999999999987,0.0,0.0,1.4010268691929522
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di1em05_scale1,1.0,10,10,10,10,0.09999999999999987,0.10000999999999949,-9.999999999621423e-06,1e-05,1.4009738733031696
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p0001_scale1,1.0,10,10,10,10,0.09999999999999987,0.10009999999999986,-9.999999999998899e-05,0.0001,1.400497043071569
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p001_scale1,1.0,10,10,10,10,0.09999999999999987,0.1010000000000002,-0.001000000000000334,0.001,1.395741822924768
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p005_scale1,1.0,10,10,10,10,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,1.3748886138991319
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p01_scale1,1.0,10,10,10,10,0.09999999999999987,0.1100000000000001,-0.010000000000000231,0.01,1.3494388443628313
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p02_scale1,1.0,10,10,10,10,0.09999999999999987,0.11999999999999988,-0.020000000000000018,0.02,1.3004315750608673
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p05_scale1,1.0,10,10,10,10,0.09999999999999987,0.14999999999944302,-0.04999999999944316,0.05,1.1661388787059048
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p1_scale1,1.0,10,10,10,10,0.09999999999999987,0.19999999999999996,-0.10000000000000009,0.1,0.9741358138509235
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p2_scale1,1.0,10,10,10,10,0.09999999999999987,0.30000000000001115,-0.20000000000001128,0.2,0.6679301267662596
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p5_scale1,1.0,10,10,10,10,0.09999999999999987,0.5999999999981145,-0.4999999999981146,0.5,0.09376710941234961
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0_scale2,2.0,10,10,20,20,0.09999999999999987,0.09999999999999987,0.0,0.0,2.8020537383859043
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di1em05_scale2,2.0,10,10,20,20,0.09999999999999987,0.10000999999999949,-9.999999999621423e-06,1e-05,2.801947746606339
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p0001_scale2,2.0,10,10,20,20,0.09999999999999987,0.10009999999999986,-9.999999999998899e-05,0.0001,2.800994086143138
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p001_scale2,2.0,10,10,20,20,0.09999999999999987,0.1010000000000002,-0.001000000000000334,0.001,2.791483645849536
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p005_scale2,2.0,10,10,20,20,0.09999999999999987,0.10499999999999998,-0.0050000000000001155,0.005,2.7497772277982637
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p01_scale2,2.0,10,10,20,20,0.09999999999999987,0.1100000000000001,-0.010000000000000231,0.01,2.6988776887256627
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p02_scale2,2.0,10,10,20,20,0.09999999999999987,0.11999999999999988,-0.020000000000000018,0.02,2.6008631501217345
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p05_scale2,2.0,10,10,20,20,0.09999999999999987,0.14999999999944302,-0.04999999999944316,0.05,2.3322777574118096
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p1_scale2,2.0,10,10,20,20,0.09999999999999987,0.19999999999999996,-0.10000000000000009,0.1,1.948271627701847
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p2_scale2,2.0,10,10,20,20,0.09999999999999987,0.30000000000001115,-0.20000000000001128,0.2,1.3358602535325192
C1_N0_n10,"Balanced, very small sample",CURVE_CURVE_C1_N0_n10_di0p5_scale2,2.0,10,10,20,20,0.09999999999999987,0.5999999999981145,-0.4999999999981146,0.5,0.18753421882469923
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0_scale0p5,0.5,50,50,25,25,0.09999999999999987,0.09999999999999987,0.0,0.0,3.502567172982381
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di1em05_scale0p5,0.5,50,50,25,25,0.09999999999999987,0.10000999999999949,-9.999999999621423e-06,1e-05,3.502434683257924
C1_N0_n50,"Balanced, moderate sample",CURVE_CURVE_C1_N0_n50_di0p0001_scale0p5,0.5,50,50,25,25,0.09999999999999987,0.10009999999999986,-9.999999999998899e-05,0.0001,3.5012426076789227
