configuration_id,experiment,population_pair_id,purpose,power_family,calibration_key,n_p,n_q,sample_size_ratio_q_over_p,u_p,v_p,u_q,v_q,association_direction_p,association_direction_q,association_delta_p,association_delta_q,true_mi_p,true_mi_q,true_delta_p_minus_q,effect_delta_i_q_minus_p,minimum_probability_p,minimum_probability_q,minimum_expected_p,minimum_expected_q,minimum_expected_either,probability_p_json,probability_q_json,expected_p_json,expected_q_json,population_variance_p,population_variance_q,replicates,mean_delta_corrected,sd_delta_corrected,mean_standard_error,rms_standard_error,sd_to_rms_se_ratio,mean_influence_variance_p,mean_influence_variance_q,mean_variance_influence_variance_p,mean_variance_influence_variance_q,any_zero_cell_rate_p,any_zero_cell_rate_q,empty_margin_rate_p,empty_margin_rate_q,mean_zero_cell_fraction_p,mean_zero_cell_fraction_q,zero_estimated_variance_rate_p,zero_estimated_variance_rate_q,mean_welch_degrees_of_freedom,median_welch_degrees_of_freedom,mean_expanded_welch_degrees_of_freedom,median_expanded_welch_degrees_of_freedom,mean_expanded_component_degrees_of_freedom_p,median_expanded_component_degrees_of_freedom_p,mean_expanded_component_degrees_of_freedom_q,median_expanded_component_degrees_of_freedom_q
C1_N0_n10,C1,N0,Identical-population control,,,10,10,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,1.4010268691929513,1.4010268691929513,1.4010268691929513,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]",0.179521513612991,0.179521513612991,10000,0.0021690665785394922,0.22539643684805546,0.16411106648349982,0.17082181199697033,1.3194827651872294,0.14649238785574448,0.14530852668353822,0.1966842422533644,0.19822397612467024,0.4304,0.4193,0.0039,0.0041,0.117525,0.115225,0.051,0.0549,14.271920333590472,15.117697596135592,8.408388903810145,4.411009956294533,10.942301914715665,2.0672389901268327,11.31431579027147,2.0672389901268327
C1_N0_n20,C1,N0,Identical-population control,,,20,20,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,2.8020537383859025,2.8020537383859025,2.8020537383859025,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[7.1979462616140975, 2.8020537383859025], [2.8020537383859025, 7.1979462616140975]]","[[7.1979462616140975, 2.8020537383859025], [2.8020537383859025, 7.1979462616140975]]",0.179521513612991,0.179521513612991,10000,-0.00249861183568634,0.15348233294121205,0.13022796653174137,0.13403683397625343,1.145075785424801,0.17787480179154472,0.1814426554560098,0.2843417745376523,0.28506335338694355,0.1004,0.0988,0.0,0.0,0.025575,0.0251,0.0068,0.0055,31.796166222003126,33.939358078516285,12.91511798536683,8.417549819311054,12.8054114328398,3.3484640906839265,12.879010509105811,3.3484640906839274
C1_N0_n30,C1,N0,Identical-population control,,,30,30,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,4.203080607578854,4.203080607578854,4.203080607578854,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[10.796919392421147, 4.203080607578854], [4.203080607578854, 10.796919392421147]]","[[10.796919392421147, 4.203080607578854], [4.203080607578854, 10.796919392421147]]",0.179521513612991,0.179521513612991,10000,0.0003547340038905597,0.1182578735516411,0.10866808197896553,0.1111618641708248,1.0638349260670161,0.1857125658237314,0.18499623555425565,0.3270067124812743,0.32842763128312724,0.0218,0.0226,0.0,0.0,0.005475,0.00565,0.0024,0.0018,50.09008498062773,53.3471344529912,15.56328856766074,11.40936200109492,13.751952798507858,4.728963322138765,15.129497876037103,4.728963322138765
C1_N0_n50,C1,N0,Identical-population control,,,50,50,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,7.0051343459647555,7.0051343459647555,7.0051343459647555,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[17.994865654035245, 7.0051343459647555], [7.0051343459647555, 17.994865654035245]]","[[17.994865654035245, 7.0051343459647555], [7.0051343459647555, 17.994865654035245]]",0.179521513612991,0.179521513612991,10000,-0.00021988890777278067,0.08926376009063677,0.08475808841979159,0.086059315203931,1.0372353054298926,0.18519101681331668,0.18511926985516078,0.37201262882996833,0.37041656327299105,0.0007,0.0016,0.0,0.0,0.000175,0.0004,0.0002,0.0,88.12930742578351,92.44604567519576,20.622606166868824,16.786366384031925,13.947958859328827,7.285166567776542,15.943478386604472,7.285166567776542
C1_N0_n100,C1,N0,Identical-population control,,,100,100,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,14.010268691929511,14.010268691929511,14.010268691929511,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[35.98973130807049, 14.010268691929511], [14.010268691929511, 35.98973130807049]]","[[35.98973130807049, 14.010268691929511], [14.010268691929511, 35.98973130807049]]",0.179521513612991,0.179521513612991,10000,0.00044977768885001766,0.060972429044349186,0.059994741526318104,0.06049541656539612,1.007885101153695,0.1833258341519298,0.18264370839015057,0.4100038951687486,0.40943273828470444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.56409722893466,192.03761858710226,34.096143689615545,30.952742490606017,17.989200028433345,14.414152674219489,17.808164282254857,14.414152674219489
C1_N0_n200,C1,N0,Identical-population control,,,200,200,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,28.020537383859022,28.020537383859022,28.020537383859022,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[71.97946261614098, 28.020537383859022], [28.020537383859022, 71.97946261614098]]","[[71.97946261614098, 28.020537383859022], [28.020537383859022, 71.97946261614098]]",0.179521513612991,0.179521513612991,10000,-0.0001784488055931787,0.0426907821417762,0.04241270889760484,0.04259198274227523,1.0023196712888152,0.1812689462540502,0.18154645252960394,0.4304312930230137,0.4306331469588707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.42534337954226,392.01961683851215,62.156579063422605,59.48800639731694,31.561396715378564,28.82805302826887,31.642056435799518,28.696614767816666
C1_N0_n500,C1,N0,Identical-population control,,,500,500,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,70.05134345964755,70.05134345964755,70.05134345964755,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[179.94865654035243, 70.05134345964755], [70.05134345964755, 179.94865654035243]]","[[179.94865654035243, 70.05134345964755], [70.05134345964755, 179.94865654035243]]",0.179521513612991,0.179521513612991,10000,-6.732106015672788e-05,0.026961603218802203,0.026822651543299957,0.026869186927712736,1.0034394896778267,0.1804411439966279,0.18053545908155658,0.4430177734800962,0.4429725912990329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,984.590782314333,991.8874946750757,147.94773383735736,145.2503062501841,74.35907099999639,71.63009559269256,74.45669243661584,71.65272274309991
C1_N0_n1000,C1,N0,Identical-population control,,,1000,1000,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,140.1026869192951,140.1026869192951,140.1026869192951,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[359.89731308070486, 140.1026869192951], [140.1026869192951, 359.89731308070486]]","[[359.89731308070486, 140.1026869192951], [140.1026869192951, 359.89731308070486]]",0.179521513612991,0.179521513612991,10000,-7.577899166507077e-05,0.018746814210386167,0.018953335087681655,0.01896983616631884,0.9882433377928349,0.17987346590952885,0.17998121826744942,0.44704478305696366,0.4470211582849949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1984.6310807538703,1991.8882160369094,290.4818292058061,288.39284571746373,145.52975105918256,143.2302208459888,145.7378365533968,143.27214550753166
C1_N1_n10,C1,N1,"Same margins, opposite association",,,10,10,1.0,0.5,0.5,0.5,0.5,1,-1,0.10989731308070487,-0.109897313080705,0.09999999999999987,0.10000000000000031,-4.440892098500626e-16,0.0,0.14010268691929512,0.140102686919295,1.4010268691929513,1.40102686919295,1.40102686919295,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.140102686919295, 0.359897313080705], [0.359897313080705, 0.140102686919295]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]","[[1.40102686919295, 3.59897313080705], [3.59897313080705, 1.40102686919295]]",0.179521513612991,0.17952151361299135,10000,0.0016650687343863645,0.22318699722635266,0.1639888481149758,0.1705945503927947,1.308289137680328,0.1456004088460354,0.14542459739116229,0.19659928161924095,0.19980355812572975,0.4233,0.4141,0.0031,0.0041,0.11515,0.11295,0.0518,0.0558,14.249311436173537,15.100628739388112,8.417810028616206,4.417857055867281,10.943626287914679,2.0672389901268327,11.30742440453757,2.067238990126833
C1_N1_n20,C1,N1,"Same margins, opposite association",,,20,20,1.0,0.5,0.5,0.5,0.5,1,-1,0.10989731308070487,-0.109897313080705,0.09999999999999987,0.10000000000000031,-4.440892098500626e-16,0.0,0.14010268691929512,0.140102686919295,2.8020537383859025,2.8020537383859,2.8020537383859,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.140102686919295, 0.359897313080705], [0.359897313080705, 0.140102686919295]]","[[7.1979462616140975, 2.8020537383859025], [2.8020537383859025, 7.1979462616140975]]","[[2.8020537383859, 7.1979462616141], [7.1979462616141, 2.8020537383859]]",0.179521513612991,0.17952151361299135,10000,0.0013930462063168612,0.15242214203517152,0.12991459451780768,0.13368085741046043,1.1401942281621287,0.1796957053337266,0.17771572742619055,0.28655012451691453,0.284999226051882,0.0967,0.0963,0.0,0.0,0.0245,0.024425,0.0071,0.0072,31.56222202732423,33.72243248019227,12.648841438659044,8.323812046459524,12.54332054003644,3.3484640906839274,12.663969666269209,3.3484640906839265
