configuration_id,experiment,population_pair_id,purpose,power_family,calibration_key,n_p,n_q,sample_size_ratio_q_over_p,u_p,v_p,u_q,v_q,association_direction_p,association_direction_q,association_delta_p,association_delta_q,true_mi_p,true_mi_q,true_delta_p_minus_q,effect_delta_i_q_minus_p,minimum_probability_p,minimum_probability_q,minimum_expected_p,minimum_expected_q,minimum_expected_either,probability_p_json,probability_q_json,expected_p_json,expected_q_json,population_variance_p,population_variance_q,method,method_label,replicates,valid_count,invalid_count,valid_rate,invalid_shared_statistic_count,invalid_reference_count,invalid_component_p_count,invalid_component_q_count,invalid_combined_df_count,mean_degrees_of_freedom,median_degrees_of_freedom,p10_degrees_of_freedom,p90_degrees_of_freedom,coverage_95_valid,false_positive_count_10,true_negative_count_10,false_positive_rate_10,true_negative_rate_10,fpr_wilson_low_10,fpr_wilson_high_10,absolute_fpr_error_10,unconditional_rejection_rate_10,false_positive_count_05,true_negative_count_05,false_positive_rate_05,true_negative_rate_05,fpr_wilson_low_05,fpr_wilson_high_05,absolute_fpr_error_05,unconditional_rejection_rate_05,false_positive_count_01,true_negative_count_01,false_positive_rate_01,true_negative_rate_01,fpr_wilson_low_01,fpr_wilson_high_01,absolute_fpr_error_01,unconditional_rejection_rate_01
C1_N0_n10,C1,N0,Identical-population control,,,10,10,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,1.4010268691929513,1.4010268691929513,1.4010268691929513,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]",0.179521513612991,0.179521513612991,normal_wald,Normal Wald,10000,9970,30,0.997,30,0,0,0,0,inf,inf,inf,inf,0.8681043129388164,1913,8057,0.19187562688064191,0.808124373119358,0.18426541299779486,0.19972319105542552,0.09187562688064191,0.1913,1315,8655,0.13189568706118354,0.8681043129388164,0.1253951853841324,0.13867974198413546,0.08189568706118354,0.1315,583,9387,0.058475426278836506,0.9415245737211635,0.05403745068575671,0.06325351124206761,0.048475426278836505,0.0583
C1_N0_n10,C1,N0,Identical-population control,,,10,10,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,1.4010268691929513,1.4010268691929513,1.4010268691929513,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]",0.179521513612991,0.179521513612991,simple_welch,Simple Welch,10000,9970,30,0.997,30,0,0,0,0,14.26697003188423,15.117697596135592,9.0,17.974024484326538,0.9019057171514544,1603,8367,0.16078234704112337,0.8392176529588766,0.15370284189385117,0.1681231538444273,0.06078234704112337,0.1603,978,8992,0.09809428284854564,0.9019057171514544,0.09240962848590947,0.10408852790772799,0.04809428284854564,0.0978,371,9599,0.037211634904714144,0.9627883650952859,0.03367092334647266,0.04110883547564945,0.027211634904714142,0.0371
C1_N0_n10,C1,N0,Identical-population control,,,10,10,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,1.4010268691929513,1.4010268691929513,1.4010268691929513,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]",0.179521513612991,0.179521513612991,expanded_welch,Expanded Welch,10000,9743,257,0.9743,30,227,117,110,227,8.018071810871477,4.401371819291309,0.7718896559392293,19.46919925193264,0.9537103561531356,1058,8685,0.10859078312634712,0.8914092168736529,0.10256649632550863,0.11492359703209706,0.008590783126347118,0.1058,451,9292,0.04628964384686442,0.9537103561531356,0.04229337975706344,0.05064354372197049,0.0037103561531355855,0.0451,0,9743,0.0,1.0,0.0,0.0003941234539336518,0.01,0.0
C1_N0_n20,C1,N0,Identical-population control,,,20,20,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,2.8020537383859025,2.8020537383859025,2.8020537383859025,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[7.1979462616140975, 2.8020537383859025], [2.8020537383859025, 7.1979462616140975]]","[[7.1979462616140975, 2.8020537383859025], [2.8020537383859025, 7.1979462616140975]]",0.179521513612991,0.179521513612991,normal_wald,Normal Wald,10000,9999,1,0.9999,1,0,0,0,0,inf,inf,inf,inf,0.916891689168917,1285,8714,0.12851285128512852,0.8714871487148715,0.12209568119389506,0.1352153508180171,0.02851285128512851,0.1285,831,9168,0.08310831083108311,0.916891689168917,0.07785641289855028,0.08868041223044582,0.03310831083108311,0.0831,342,9657,0.034203420342034205,0.9657965796579658,0.0308160594951029,0.03794854720713995,0.024203420342034203,0.0342
C1_N0_n20,C1,N0,Identical-population control,,,20,20,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,2.8020537383859025,2.8020537383859025,2.8020537383859025,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[7.1979462616140975, 2.8020537383859025], [2.8020537383859025, 7.1979462616140975]]","[[7.1979462616140975, 2.8020537383859025], [2.8020537383859025, 7.1979462616140975]]",0.179521513612991,0.179521513612991,simple_welch,Simple Welch,10000,9999,1,0.9999,1,0,0,0,0,31.795545776580784,33.939358078516285,21.593739344464304,37.871202677665075,0.9265926592659266,1193,8806,0.11931193119311931,0.8806880688068807,0.11310402453615717,0.12581223427481167,0.019311931193119303,0.1193,734,9265,0.0734073407340734,0.9265926592659266,0.06845760547251219,0.07868473052070667,0.023407340734073398,0.0734,279,9720,0.0279027902790279,0.9720972097209721,0.024851513500182096,0.03131667242315389,0.0179027902790279,0.0279
C1_N0_n20,C1,N0,Identical-population control,,,20,20,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,2.8020537383859025,2.8020537383859025,2.8020537383859025,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[7.1979462616140975, 2.8020537383859025], [2.8020537383859025, 7.1979462616140975]]","[[7.1979462616140975, 2.8020537383859025], [2.8020537383859025, 7.1979462616140975]]",0.179521513612991,0.179521513612991,expanded_welch,Expanded Welch,10000,9973,27,0.9973,1,26,13,13,26,12.86828304282049,8.417549819311054,2.0798041623659342,26.689287214475524,0.9359270029078512,1104,8869,0.1106988869948862,0.8893011130051138,0.10469026363413222,0.11700730146701185,0.010698886994886192,0.1104,639,9334,0.0640729970921488,0.9359270029078512,0.05943273027559117,0.06904896045904471,0.014072997092148792,0.0639,205,9768,0.020555499849593904,0.9794445001504061,0.017949758303264413,0.023530449689297187,0.010555499849593903,0.0205
C1_N0_n30,C1,N0,Identical-population control,,,30,30,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,4.203080607578854,4.203080607578854,4.203080607578854,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[10.796919392421147, 4.203080607578854], [4.203080607578854, 10.796919392421147]]","[[10.796919392421147, 4.203080607578854], [4.203080607578854, 10.796919392421147]]",0.179521513612991,0.179521513612991,normal_wald,Normal Wald,10000,10000,0,1.0,0,0,0,0,0,inf,inf,inf,inf,0.9475,1038,8962,0.1038,0.8962,0.097973443800082,0.10993083650884214,0.003799999999999998,0.1038,525,9475,0.0525,0.9475,0.04829793395796121,0.05704574458379433,0.0024999999999999953,0.0525,178,9822,0.0178,0.9822,0.015387513024217672,0.020582815004462834,0.0078,0.0178
C1_N0_n30,C1,N0,Identical-population control,,,30,30,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,4.203080607578854,4.203080607578854,4.203080607578854,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[10.796919392421147, 4.203080607578854], [4.203080607578854, 10.796919392421147]]","[[10.796919392421147, 4.203080607578854], [4.203080607578854, 10.796919392421147]]",0.179521513612991,0.179521513612991,simple_welch,Simple Welch,10000,10000,0,1.0,0,0,0,0,0,50.09008498062773,53.3471344529912,36.243798387658636,57.818602739409485,0.9532,953,9047,0.0953,0.9047,0.08969939098825978,0.10121141729296583,0.00470000000000001,0.0953,468,9532,0.0468,0.9532,0.042831521462622445,0.051116534660558814,0.0032000000000000015,0.0468,143,9857,0.0143,0.9857,0.012152533263456854,0.01682048275381839,0.0043,0.0143
C1_N0_n30,C1,N0,Identical-population control,,,30,30,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,4.203080607578854,4.203080607578854,4.203080607578854,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[10.796919392421147, 4.203080607578854], [4.203080607578854, 10.796919392421147]]","[[10.796919392421147, 4.203080607578854], [4.203080607578854, 10.796919392421147]]",0.179521513612991,0.179521513612991,expanded_welch,Expanded Welch,10000,9981,19,0.9981,0,19,10,9,19,15.56328856766074,11.40936200109492,3.6285880374374684,31.69040847915497,0.9563170023043783,839,9142,0.08405971345556558,0.9159402865444344,0.0787748030367219,0.0896646725179892,0.015940286544434426,0.0839,436,9545,0.04368299769562168,0.9563170023043783,0.03984572688834479,0.04787138533950818,0.006317002304378323,0.0436,137,9844,0.01372607955114718,0.9862739204488529,0.011623329817149437,0.016202996716583016,0.00372607955114718,0.0137
C1_N0_n50,C1,N0,Identical-population control,,,50,50,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,7.0051343459647555,7.0051343459647555,7.0051343459647555,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[17.994865654035245, 7.0051343459647555], [7.0051343459647555, 17.994865654035245]]","[[17.994865654035245, 7.0051343459647555], [7.0051343459647555, 17.994865654035245]]",0.179521513612991,0.179521513612991,normal_wald,Normal Wald,10000,10000,0,1.0,0,0,0,0,0,inf,inf,inf,inf,0.9484,1001,8999,0.1001,0.8999,0.09437018178714811,0.10613694010971901,9.999999999998899e-05,0.1001,516,9484,0.0516,0.9484,0.04743380442800956,0.0561105653108132,0.0015999999999999973,0.0516,109,9891,0.0109,0.9891,0.009044474829555112,0.013131152376640733,0.0008999999999999998,0.0109
