method,method_label,valid_count,valid_rate,p_value_threshold_for_five_percent,calibration_key,configuration_id,power_family,n_p,n_q,replicates
normal_wald,Normal Wald,9960,0.996,0.025718855326791194,balanced_mild_np10_nq10,PCAL_PCAL_balanced_mild_np10_nq10_balanced_mild_np10_nq10,balanced_mild,10,10,10000
simple_welch,Simple Welch,9960,0.996,0.0496633516844891,balanced_mild_np10_nq10,PCAL_PCAL_balanced_mild_np10_nq10_balanced_mild_np10_nq10,balanced_mild,10,10,10000
expanded_welch,Expanded Welch,9559,0.9559,0.07740395125055931,balanced_mild_np10_nq10,PCAL_PCAL_balanced_mild_np10_nq10_balanced_mild_np10_nq10,balanced_mild,10,10,10000
normal_wald,Normal Wald,9996,0.9996,0.04605492632157463,balanced_mild_np20_nq20,PCAL_PCAL_balanced_mild_np20_nq20_balanced_mild_np20_nq20,balanced_mild,20,20,10000
simple_welch,Simple Welch,9996,0.9996,0.056187284626358164,balanced_mild_np20_nq20,PCAL_PCAL_balanced_mild_np20_nq20_balanced_mild_np20_nq20,balanced_mild,20,20,10000
expanded_welch,Expanded Welch,9936,0.9936,0.07148876388645922,balanced_mild_np20_nq20,PCAL_PCAL_balanced_mild_np20_nq20_balanced_mild_np20_nq20,balanced_mild,20,20,10000
normal_wald,Normal Wald,9995,0.9995,0.078632061001475,balanced_mild_np30_nq30,PCAL_PCAL_balanced_mild_np30_nq30_balanced_mild_np30_nq30,balanced_mild,30,30,10000
simple_welch,Simple Welch,9995,0.9995,0.08764169009573552,balanced_mild_np30_nq30,PCAL_PCAL_balanced_mild_np30_nq30_balanced_mild_np30_nq30,balanced_mild,30,30,10000
expanded_welch,Expanded Welch,9947,0.9947,0.1030674478311355,balanced_mild_np30_nq30,PCAL_PCAL_balanced_mild_np30_nq30_balanced_mild_np30_nq30,balanced_mild,30,30,10000
normal_wald,Normal Wald,10000,1.0,0.08018666508102214,balanced_mild_np50_nq50,PCAL_PCAL_balanced_mild_np50_nq50_balanced_mild_np50_nq50,balanced_mild,50,50,10000
simple_welch,Simple Welch,10000,1.0,0.08539738889368355,balanced_mild_np50_nq50,PCAL_PCAL_balanced_mild_np50_nq50_balanced_mild_np50_nq50,balanced_mild,50,50,10000
expanded_welch,Expanded Welch,9995,0.9995,0.10287696116326418,balanced_mild_np50_nq50,PCAL_PCAL_balanced_mild_np50_nq50_balanced_mild_np50_nq50,balanced_mild,50,50,10000
normal_wald,Normal Wald,10000,1.0,0.06385892098751635,balanced_mild_np100_nq100,PCAL_PCAL_balanced_mild_np100_nq100_balanced_mild_np100_nq100,balanced_mild,100,100,10000
simple_welch,Simple Welch,10000,1.0,0.06609074012773897,balanced_mild_np100_nq100,PCAL_PCAL_balanced_mild_np100_nq100_balanced_mild_np100_nq100,balanced_mild,100,100,10000
expanded_welch,Expanded Welch,10000,1.0,0.08060172475468079,balanced_mild_np100_nq100,PCAL_PCAL_balanced_mild_np100_nq100_balanced_mild_np100_nq100,balanced_mild,100,100,10000
normal_wald,Normal Wald,10000,1.0,0.05583891577872553,balanced_mild_np200_nq200,PCAL_PCAL_balanced_mild_np200_nq200_balanced_mild_np200_nq200,balanced_mild,200,200,10000
simple_welch,Simple Welch,10000,1.0,0.05671395759456207,balanced_mild_np200_nq200,PCAL_PCAL_balanced_mild_np200_nq200_balanced_mild_np200_nq200,balanced_mild,200,200,10000
expanded_welch,Expanded Welch,10000,1.0,0.06715207194572655,balanced_mild_np200_nq200,PCAL_PCAL_balanced_mild_np200_nq200_balanced_mild_np200_nq200,balanced_mild,200,200,10000
normal_wald,Normal Wald,10000,1.0,0.04690969215924157,balanced_mild_np500_nq500,PCAL_PCAL_balanced_mild_np500_nq500_balanced_mild_np500_nq500,balanced_mild,500,500,10000
simple_welch,Simple Welch,10000,1.0,0.047211803283239144,balanced_mild_np500_nq500,PCAL_PCAL_balanced_mild_np500_nq500_balanced_mild_np500_nq500,balanced_mild,500,500,10000
expanded_welch,Expanded Welch,10000,1.0,0.0518849923987569,balanced_mild_np500_nq500,PCAL_PCAL_balanced_mild_np500_nq500_balanced_mild_np500_nq500,balanced_mild,500,500,10000
normal_wald,Normal Wald,10000,1.0,0.049482294268204434,balanced_mild_np1000_nq1000,PCAL_PCAL_balanced_mild_np1000_nq1000_balanced_mild_np1000_nq1000,balanced_mild,1000,1000,10000
simple_welch,Simple Welch,10000,1.0,0.0496342587677178,balanced_mild_np1000_nq1000,PCAL_PCAL_balanced_mild_np1000_nq1000_balanced_mild_np1000_nq1000,balanced_mild,1000,1000,10000
expanded_welch,Expanded Welch,10000,1.0,0.05204714660209084,balanced_mild_np1000_nq1000,PCAL_PCAL_balanced_mild_np1000_nq1000_balanced_mild_np1000_nq1000,balanced_mild,1000,1000,10000
normal_wald,Normal Wald,10000,1.0,0.053840841715232846,balanced_mild_np20_nq40,PCAL_PCAL_balanced_mild_np20_nq40_balanced_mild_np20_nq40,balanced_mild,20,40,10000
simple_welch,Simple Welch,10000,1.0,0.06111778858631915,balanced_mild_np20_nq40,PCAL_PCAL_balanced_mild_np20_nq40_balanced_mild_np20_nq40,balanced_mild,20,40,10000
expanded_welch,Expanded Welch,9959,0.9959,0.0817355670090342,balanced_mild_np20_nq40,PCAL_PCAL_balanced_mild_np20_nq40_balanced_mild_np20_nq40,balanced_mild,20,40,10000
normal_wald,Normal Wald,10000,1.0,0.016786911542162695,balanced_mild_np20_nq100,PCAL_PCAL_balanced_mild_np20_nq100_balanced_mild_np20_nq100,balanced_mild,20,100,10000
simple_welch,Simple Welch,10000,1.0,0.019839117792401405,balanced_mild_np20_nq100,PCAL_PCAL_balanced_mild_np20_nq100_balanced_mild_np20_nq100,balanced_mild,20,100,10000
expanded_welch,Expanded Welch,9959,0.9959,0.06242053382437225,balanced_mild_np20_nq100,PCAL_PCAL_balanced_mild_np20_nq100_balanced_mild_np20_nq100,balanced_mild,20,100,10000
normal_wald,Normal Wald,10000,1.0,0.0018154887895958983,balanced_mild_np20_nq200,PCAL_PCAL_balanced_mild_np20_nq200_balanced_mild_np20_nq200,balanced_mild,20,200,10000
simple_welch,Simple Welch,10000,1.0,0.0022086915490960005,balanced_mild_np20_nq200,PCAL_PCAL_balanced_mild_np20_nq200_balanced_mild_np20_nq200,balanced_mild,20,200,10000
expanded_welch,Expanded Welch,9956,0.9956,0.04727328447568248,balanced_mild_np20_nq200,PCAL_PCAL_balanced_mild_np20_nq200_balanced_mild_np20_nq200,balanced_mild,20,200,10000
normal_wald,Normal Wald,10000,1.0,0.05883502042294912,balanced_mild_np50_nq100,PCAL_PCAL_balanced_mild_np50_nq100_balanced_mild_np50_nq100,balanced_mild,50,100,10000
simple_welch,Simple Welch,10000,1.0,0.06175751212961873,balanced_mild_np50_nq100,PCAL_PCAL_balanced_mild_np50_nq100_balanced_mild_np50_nq100,balanced_mild,50,100,10000
expanded_welch,Expanded Welch,9994,0.9994,0.08957976125392714,balanced_mild_np50_nq100,PCAL_PCAL_balanced_mild_np50_nq100_balanced_mild_np50_nq100,balanced_mild,50,100,10000
normal_wald,Normal Wald,10000,1.0,0.013874340458425886,balanced_mild_np50_nq250,PCAL_PCAL_balanced_mild_np50_nq250_balanced_mild_np50_nq250,balanced_mild,50,250,10000
simple_welch,Simple Welch,10000,1.0,0.014711669194520723,balanced_mild_np50_nq250,PCAL_PCAL_balanced_mild_np50_nq250_balanced_mild_np50_nq250,balanced_mild,50,250,10000
expanded_welch,Expanded Welch,9988,0.9988,0.07277001934473704,balanced_mild_np50_nq250,PCAL_PCAL_balanced_mild_np50_nq250_balanced_mild_np50_nq250,balanced_mild,50,250,10000
normal_wald,Normal Wald,10000,1.0,0.0030537275259632617,balanced_mild_np50_nq500,PCAL_PCAL_balanced_mild_np50_nq500_balanced_mild_np50_nq500,balanced_mild,50,500,10000
simple_welch,Simple Welch,10000,1.0,0.0034209901043003622,balanced_mild_np50_nq500,PCAL_PCAL_balanced_mild_np50_nq500_balanced_mild_np50_nq500,balanced_mild,50,500,10000
expanded_welch,Expanded Welch,9999,0.9999,0.11603366976674333,balanced_mild_np50_nq500,PCAL_PCAL_balanced_mild_np50_nq500_balanced_mild_np50_nq500,balanced_mild,50,500,10000
