configuration_id,experiment,block,stream,method,method_label,replicates,valid_count,valid_rate,reject_count_05,rejection_rate_valid_05,unconditional_rejection_rate_05
C1_N0_n10,C1,0,null_simulation,normal_wald,Normal Wald,2000,1997,0.9985,293,0.14672008012018026,0.1465
C1_N0_n10,C1,0,null_simulation,simple_welch,Simple Welch,2000,1997,0.9985,217,0.10866299449173761,0.1085
C1_N0_n10,C1,0,null_simulation,expanded_welch,Expanded Welch,2000,1958,0.979,102,0.05209397344228805,0.051
C1_N0_n10,C1,1,null_simulation,normal_wald,Normal Wald,2000,1993,0.9965,249,0.1249372804816859,0.1245
C1_N0_n10,C1,1,null_simulation,simple_welch,Simple Welch,2000,1993,0.9965,197,0.09884596086302057,0.0985
C1_N0_n10,C1,1,null_simulation,expanded_welch,Expanded Welch,2000,1946,0.973,88,0.045220966084275435,0.044
C1_N0_n10,C1,2,null_simulation,normal_wald,Normal Wald,2000,1995,0.9975,267,0.13383458646616542,0.1335
C1_N0_n10,C1,2,null_simulation,simple_welch,Simple Welch,2000,1995,0.9975,200,0.10025062656641603,0.1
C1_N0_n10,C1,2,null_simulation,expanded_welch,Expanded Welch,2000,1948,0.974,96,0.049281314168377825,0.048
C1_N0_n10,C1,3,null_simulation,normal_wald,Normal Wald,2000,1994,0.997,254,0.12738214643931794,0.127
C1_N0_n10,C1,3,null_simulation,simple_welch,Simple Welch,2000,1994,0.997,176,0.08826479438314945,0.088
C1_N0_n10,C1,3,null_simulation,expanded_welch,Expanded Welch,2000,1943,0.9715,79,0.040658775090066906,0.0395
C1_N0_n10,C1,4,null_simulation,normal_wald,Normal Wald,2000,1991,0.9955,252,0.12656956303365144,0.126
C1_N0_n10,C1,4,null_simulation,simple_welch,Simple Welch,2000,1991,0.9955,188,0.09442491210447011,0.094
C1_N0_n10,C1,4,null_simulation,expanded_welch,Expanded Welch,2000,1948,0.974,86,0.044147843942505136,0.043
C1_N0_n20,C1,0,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,153,0.0765,0.0765
C1_N0_n20,C1,0,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,133,0.0665,0.0665
C1_N0_n20,C1,0,null_simulation,expanded_welch,Expanded Welch,2000,1996,0.998,115,0.057615230460921846,0.0575
C1_N0_n20,C1,1,null_simulation,normal_wald,Normal Wald,2000,1999,0.9995,167,0.08354177088544272,0.0835
C1_N0_n20,C1,1,null_simulation,simple_welch,Simple Welch,2000,1999,0.9995,147,0.0735367683841921,0.0735
C1_N0_n20,C1,1,null_simulation,expanded_welch,Expanded Welch,2000,1995,0.9975,131,0.06566416040100251,0.0655
C1_N0_n20,C1,2,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,190,0.095,0.095
C1_N0_n20,C1,2,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,171,0.0855,0.0855
C1_N0_n20,C1,2,null_simulation,expanded_welch,Expanded Welch,2000,1993,0.9965,151,0.07576517812343202,0.0755
C1_N0_n20,C1,3,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,163,0.0815,0.0815
C1_N0_n20,C1,3,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,144,0.072,0.072
C1_N0_n20,C1,3,null_simulation,expanded_welch,Expanded Welch,2000,1993,0.9965,125,0.06271951831409935,0.0625
C1_N0_n20,C1,4,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,158,0.079,0.079
C1_N0_n20,C1,4,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,139,0.0695,0.0695
C1_N0_n20,C1,4,null_simulation,expanded_welch,Expanded Welch,2000,1996,0.998,117,0.05861723446893788,0.0585
C1_N0_n30,C1,0,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,92,0.046,0.046
C1_N0_n30,C1,0,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,84,0.042,0.042
C1_N0_n30,C1,0,null_simulation,expanded_welch,Expanded Welch,2000,1992,0.996,80,0.040160642570281124,0.04
C1_N0_n30,C1,1,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,95,0.0475,0.0475
C1_N0_n30,C1,1,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,81,0.0405,0.0405
C1_N0_n30,C1,1,null_simulation,expanded_welch,Expanded Welch,2000,2000,1.0,74,0.037,0.037
C1_N0_n30,C1,2,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,132,0.066,0.066
C1_N0_n30,C1,2,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,124,0.062,0.062
C1_N0_n30,C1,2,null_simulation,expanded_welch,Expanded Welch,2000,1994,0.997,114,0.05717151454363089,0.057
C1_N0_n30,C1,3,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,116,0.058,0.058
C1_N0_n30,C1,3,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,104,0.052,0.052
C1_N0_n30,C1,3,null_simulation,expanded_welch,Expanded Welch,2000,1998,0.999,97,0.04854854854854855,0.0485
C1_N0_n30,C1,4,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,90,0.045,0.045
C1_N0_n30,C1,4,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,75,0.0375,0.0375
C1_N0_n30,C1,4,null_simulation,expanded_welch,Expanded Welch,2000,1997,0.9985,71,0.035553329994992486,0.0355
C1_N0_n50,C1,0,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,87,0.0435,0.0435
C1_N0_n50,C1,0,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,79,0.0395,0.0395
C1_N0_n50,C1,0,null_simulation,expanded_welch,Expanded Welch,2000,2000,1.0,67,0.0335,0.0335
C1_N0_n50,C1,1,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,99,0.0495,0.0495
C1_N0_n50,C1,1,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,93,0.0465,0.0465
C1_N0_n50,C1,1,null_simulation,expanded_welch,Expanded Welch,2000,1999,0.9995,79,0.03951975987993997,0.0395
C1_N0_n50,C1,2,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,95,0.0475,0.0475
C1_N0_n50,C1,2,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,86,0.043,0.043
C1_N0_n50,C1,2,null_simulation,expanded_welch,Expanded Welch,2000,2000,1.0,77,0.0385,0.0385
C1_N0_n50,C1,3,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,115,0.0575,0.0575
C1_N0_n50,C1,3,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,105,0.0525,0.0525
C1_N0_n50,C1,3,null_simulation,expanded_welch,Expanded Welch,2000,2000,1.0,91,0.0455,0.0455
C1_N0_n50,C1,4,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,120,0.06,0.06
C1_N0_n50,C1,4,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,107,0.0535,0.0535
C1_N0_n50,C1,4,null_simulation,expanded_welch,Expanded Welch,2000,2000,1.0,97,0.0485,0.0485
C1_N0_n100,C1,0,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,106,0.053,0.053
C1_N0_n100,C1,0,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,101,0.0505,0.0505
C1_N0_n100,C1,0,null_simulation,expanded_welch,Expanded Welch,2000,2000,1.0,92,0.046,0.046
C1_N0_n100,C1,1,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,110,0.055,0.055
C1_N0_n100,C1,1,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,105,0.0525,0.0525
C1_N0_n100,C1,1,null_simulation,expanded_welch,Expanded Welch,2000,2000,1.0,88,0.044,0.044
C1_N0_n100,C1,2,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,87,0.0435,0.0435
C1_N0_n100,C1,2,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,85,0.0425,0.0425
C1_N0_n100,C1,2,null_simulation,expanded_welch,Expanded Welch,2000,2000,1.0,71,0.0355,0.0355
C1_N0_n100,C1,3,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,112,0.056,0.056
C1_N0_n100,C1,3,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,107,0.0535,0.0535
C1_N0_n100,C1,3,null_simulation,expanded_welch,Expanded Welch,2000,2000,1.0,93,0.0465,0.0465
C1_N0_n100,C1,4,null_simulation,normal_wald,Normal Wald,2000,2000,1.0,96,0.048,0.048
C1_N0_n100,C1,4,null_simulation,simple_welch,Simple Welch,2000,2000,1.0,87,0.0435,0.0435
C1_N0_n100,C1,4,null_simulation,expanded_welch,Expanded Welch,2000,2000,1.0,72,0.036,0.036
