configuration_id,experiment,population_pair_id,purpose,power_family,calibration_key,n_p,n_q,sample_size_ratio_q_over_p,u_p,v_p,u_q,v_q,association_direction_p,association_direction_q,association_delta_p,association_delta_q,true_mi_p,true_mi_q,true_delta_p_minus_q,effect_delta_i_q_minus_p,minimum_probability_p,minimum_probability_q,minimum_expected_p,minimum_expected_q,minimum_expected_either,probability_p_json,probability_q_json,expected_p_json,expected_q_json,population_variance_p,population_variance_q,replicates,mean_delta_corrected,sd_delta_corrected,mean_standard_error,rms_standard_error,sd_to_rms_se_ratio,mean_influence_variance_p,mean_influence_variance_q,mean_variance_influence_variance_p,mean_variance_influence_variance_q,any_zero_cell_rate_p,any_zero_cell_rate_q,empty_margin_rate_p,empty_margin_rate_q,mean_zero_cell_fraction_p,mean_zero_cell_fraction_q,zero_estimated_variance_rate_p,zero_estimated_variance_rate_q,mean_welch_degrees_of_freedom,median_welch_degrees_of_freedom,mean_expanded_welch_degrees_of_freedom,median_expanded_welch_degrees_of_freedom,mean_expanded_component_degrees_of_freedom_p,median_expanded_component_degrees_of_freedom_p,mean_expanded_component_degrees_of_freedom_q,median_expanded_component_degrees_of_freedom_q
C1_N0_n10,C1,N0,Identical-population control,,,10,10,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,1.4010268691929513,1.4010268691929513,1.4010268691929513,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]",0.179521513612991,0.179521513612991,500,-0.01086175238919868,0.23611270370579548,0.16324745868321408,0.17014114442369838,1.3877460652187088,0.14273076825914024,0.14674932199891766,0.18667162000611773,0.1887561590302589,0.436,0.47,0.01,0.0,0.122,0.13,0.064,0.04,14.245939554806828,15.098268640352462,8.486029897792806,4.602010737608213,11.474206587338493,2.448177618455709,10.164402959166933,2.5218970721456446
C1_N0_n20,C1,N0,Identical-population control,,,20,20,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,2.8020537383859025,2.8020537383859025,2.8020537383859025,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[7.1979462616140975, 2.8020537383859025], [2.8020537383859025, 7.1979462616140975]]","[[7.1979462616140975, 2.8020537383859025], [2.8020537383859025, 7.1979462616140975]]",0.179521513612991,0.179521513612991,500,-0.0005254434588546575,0.15747439596059506,0.13059323052213412,0.13435624983453015,1.1720660271073111,0.17780341803663713,0.18322861935533657,0.26682209433396414,0.29094609792703374,0.13,0.12,0.0,0.0,0.0325,0.0305,0.008,0.0,31.967795284700575,34.192590596029085,13.05534393968181,8.64308504100412,15.283470276341562,3.7737428191381377,12.99566505145686,3.7737428191381377
C1_N0_n30,C1,N0,Identical-population control,,,30,30,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,4.203080607578854,4.203080607578854,4.203080607578854,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[10.796919392421147, 4.203080607578854], [4.203080607578854, 10.796919392421147]]","[[10.796919392421147, 4.203080607578854], [4.203080607578854, 10.796919392421147]]",0.179521513612991,0.179521513612991,500,-0.009583540307657144,0.11350583606387041,0.10846546835693537,0.11088393790796185,1.0236454278714817,0.179091553082723,0.18976587749657914,0.33167661876183807,0.3231346177045457,0.018,0.022,0.0,0.0,0.0045,0.0055,0.002,0.004,49.76890964616224,53.172173869675575,15.356370063342833,11.554850280095273,9.780100104280123,4.42832689728011,12.97618144705631,5.037236119064993
C1_N0_n50,C1,N0,Identical-population control,,,50,50,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,7.0051343459647555,7.0051343459647555,7.0051343459647555,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[17.994865654035245, 7.0051343459647555], [7.0051343459647555, 17.994865654035245]]","[[17.994865654035245, 7.0051343459647555], [7.0051343459647555, 17.994865654035245]]",0.179521513612991,0.179521513612991,500,-0.003435541367018423,0.08479356925037138,0.08396117493156947,0.08519140898991963,0.9953300486015517,0.1798518688718125,0.18302693941257545,0.37665144520668387,0.36801089160462597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.41285397975884,92.89728277814052,19.39905464475728,15.644997697015818,10.209491783927744,7.341360331241864,11.97619645769691,6.896282370156295
C1_N0_n100,C1,N0,Identical-population control,,,100,100,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,14.010268691929511,14.010268691929511,14.010268691929511,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[35.98973130807049, 14.010268691929511], [14.010268691929511, 35.98973130807049]]","[[35.98973130807049, 14.010268691929511], [14.010268691929511, 35.98973130807049]]",0.179521513612991,0.179521513612991,500,0.000399713590828211,0.06220807422645291,0.060058613519329895,0.06057692485028098,1.0269269095485352,0.18372737461828004,0.1832290078133789,0.40864276027734475,0.40855806473955386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.97762575084468,192.07456167801226,34.41634397560001,30.685305087068354,18.171785579646944,14.432623480610367,17.887929598065202,14.386531014716224
C1_N0_n200,C1,N0,Identical-population control,,,200,200,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,28.020537383859022,28.020537383859022,28.020537383859022,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[71.97946261614098, 28.020537383859022], [28.020537383859022, 71.97946261614098]]","[[71.97946261614098, 28.020537383859022], [28.020537383859022, 71.97946261614098]]",0.179521513612991,0.179521513612991,500,0.0008603126897341369,0.044601739613236525,0.04240391111117964,0.042574505146200675,1.0476161604245156,0.1819699992163642,0.18054769847240942,0.4307133608968593,0.42926536694614714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.63609963246364,392.0735842191509,62.17912685951089,59.53940426002352,31.732884077403735,29.140666271106156,31.632691271242784,28.514410708682377
C1_N0_n500,C1,N0,Identical-population control,,,500,500,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,70.05134345964755,70.05134345964755,70.05134345964755,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[179.94865654035243, 70.05134345964755], [70.05134345964755, 179.94865654035243]]","[[179.94865654035243, 70.05134345964755], [70.05134345964755, 179.94865654035243]]",0.179521513612991,0.179521513612991,500,-0.000354476528421523,0.028493054831380624,0.026708872140822144,0.02675701568546097,1.0648816432418122,0.17870848274933024,0.179260461446672,0.44075998408926137,0.4411921035461389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982.6828589897498,991.2259860610476,146.14653319119367,143.70310974892624,73.32959663190452,71.2351800886274,73.7495416384145,70.80433354027281
C1_N0_n1000,C1,N0,Identical-population control,,,1000,1000,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,140.1026869192951,140.1026869192951,140.1026869192951,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[359.89731308070486, 140.1026869192951], [140.1026869192951, 359.89731308070486]]","[[359.89731308070486, 140.1026869192951], [140.1026869192951, 359.89731308070486]]",0.179521513612991,0.179521513612991,500,-0.0008990316866965316,0.018502761034951944,0.018938298978795166,0.01895298503751551,0.976245219332343,0.1789282695224229,0.18028737230986394,0.4466363930995425,0.4473239339992114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1984.596698122161,1991.5167337899484,289.38075154493123,288.1771457022535,144.00425957873614,144.32655361245588,146.11987508349924,142.8605156847343
C1_N1_n10,C1,N1,"Same margins, opposite association",,,10,10,1.0,0.5,0.5,0.5,0.5,1,-1,0.10989731308070487,-0.109897313080705,0.09999999999999987,0.10000000000000031,-4.440892098500626e-16,0.0,0.14010268691929512,0.140102686919295,1.4010268691929513,1.40102686919295,1.40102686919295,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.140102686919295, 0.359897313080705], [0.359897313080705, 0.140102686919295]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]","[[1.40102686919295, 3.59897313080705], [3.59897313080705, 1.40102686919295]]",0.179521513612991,0.17952151361299135,500,0.001542013890841659,0.2243725732005847,0.16509064479666638,0.17126545767421045,1.3100865536318318,0.14796246566478283,0.14535610425878484,0.20258093142002503,0.2000438059045436,0.428,0.436,0.002,0.002,0.119,0.12,0.064,0.06,14.245304675357255,15.103202008022324,9.186596167173038,4.506185875497172,12.019867051642102,2.7067771434341608,11.397159459683154,2.067238990126833
C1_N1_n20,C1,N1,"Same margins, opposite association",,,20,20,1.0,0.5,0.5,0.5,0.5,1,-1,0.10989731308070487,-0.109897313080705,0.09999999999999987,0.10000000000000031,-4.440892098500626e-16,0.0,0.14010268691929512,0.140102686919295,2.8020537383859025,2.8020537383859,2.8020537383859,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.140102686919295, 0.359897313080705], [0.359897313080705, 0.140102686919295]]","[[7.1979462616140975, 2.8020537383859025], [2.8020537383859025, 7.1979462616140975]]","[[2.8020537383859, 7.1979462616141], [7.1979462616141, 2.8020537383859]]",0.179521513612991,0.17952151361299135,500,-0.006328213935823472,0.1518726178772022,0.1298675360218394,0.1339281540932346,1.1339857471004602,0.17580475520689764,0.18293025396952628,0.29168816291812366,0.2826161568086424,0.088,0.11,0.0,0.0,0.0235,0.028,0.01,0.01,31.74667256726468,34.33804726309317,12.764222763926762,8.305559205708537,13.940089440120559,3.348464090683926,12.430266462903738,3.544443526916739
