configuration_id,experiment,population_pair_id,purpose,power_family,calibration_key,n_p,n_q,sample_size_ratio_q_over_p,u_p,v_p,u_q,v_q,association_direction_p,association_direction_q,association_delta_p,association_delta_q,true_mi_p,true_mi_q,true_delta_p_minus_q,effect_delta_i_q_minus_p,minimum_probability_p,minimum_probability_q,minimum_expected_p,minimum_expected_q,minimum_expected_either,probability_p_json,probability_q_json,expected_p_json,expected_q_json,population_variance_p,population_variance_q,method,method_label,replicates,valid_count,invalid_count,valid_rate,invalid_shared_statistic_count,invalid_reference_count,invalid_component_p_count,invalid_component_q_count,invalid_combined_df_count,mean_degrees_of_freedom,median_degrees_of_freedom,p10_degrees_of_freedom,p90_degrees_of_freedom,coverage_95_valid,false_positive_count_10,true_negative_count_10,false_positive_rate_10,true_negative_rate_10,fpr_wilson_low_10,fpr_wilson_high_10,absolute_fpr_error_10,unconditional_rejection_rate_10,false_positive_count_05,true_negative_count_05,false_positive_rate_05,true_negative_rate_05,fpr_wilson_low_05,fpr_wilson_high_05,absolute_fpr_error_05,unconditional_rejection_rate_05,false_positive_count_01,true_negative_count_01,false_positive_rate_01,true_negative_rate_01,fpr_wilson_low_01,fpr_wilson_high_01,absolute_fpr_error_01,unconditional_rejection_rate_01
C1_N0_n10,C1,N0,Identical-population control,,,10,10,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,1.4010268691929513,1.4010268691929513,1.4010268691929513,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]",0.179521513612991,0.179521513612991,normal_wald,Normal Wald,500,500,0,1.0,0,0,0,0,0,inf,inf,inf,inf,0.846,115,385,0.23,0.77,0.1952549251744704,0.26886221867476784,0.13,0.23,77,423,0.154,0.846,0.1250106802783401,0.18826536332105404,0.104,0.154,37,463,0.074,0.926,0.054161184751011976,0.10033475332223055,0.064,0.074
C1_N0_n10,C1,N0,Identical-population control,,,10,10,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,1.4010268691929513,1.4010268691929513,1.4010268691929513,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]",0.179521513612991,0.179521513612991,simple_welch,Simple Welch,500,500,0,1.0,0,0,0,0,0,14.245939554806828,15.098268640352462,9.0,17.949561565895145,0.898,98,402,0.196,0.804,0.16357810661426447,0.2330574923863593,0.096,0.196,51,449,0.102,0.898,0.07843435210316954,0.13163462290422606,0.05199999999999999,0.102,24,476,0.048,0.952,0.03246520694135317,0.07042719683589006,0.038,0.048
C1_N0_n10,C1,N0,Identical-population control,,,10,10,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,1.4010268691929513,1.4010268691929513,1.4010268691929513,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]","[[3.5989731308070487, 1.4010268691929513], [1.4010268691929513, 3.5989731308070487]]",0.179521513612991,0.179521513612991,expanded_welch,Expanded Welch,500,487,13,0.974,0,13,9,4,13,8.486029897792806,4.602010737608213,0.6443007024282849,20.78313017101706,0.9568788501026694,60,427,0.12320328542094455,0.8767967145790554,0.0969268135634688,0.15537758451699937,0.023203285420944547,0.12,21,466,0.043121149897330596,0.9568788501026694,0.028374396922068633,0.06501921927904397,0.0068788501026694066,0.042,0,487,0.0,1.0,0.0,0.007826272112228853,0.01,0.0
C1_N0_n20,C1,N0,Identical-population control,,,20,20,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,2.8020537383859025,2.8020537383859025,2.8020537383859025,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[7.1979462616140975, 2.8020537383859025], [2.8020537383859025, 7.1979462616140975]]","[[7.1979462616140975, 2.8020537383859025], [2.8020537383859025, 7.1979462616140975]]",0.179521513612991,0.179521513612991,normal_wald,Normal Wald,500,500,0,1.0,0,0,0,0,0,inf,inf,inf,inf,0.9,72,428,0.144,0.856,0.11593807411034973,0.17749045629827542,0.043999999999999984,0.144,50,450,0.1,0.9,0.07667756273730172,0.1294219096319401,0.05,0.1,18,482,0.036,0.964,0.02289106098029272,0.056184326968027755,0.025999999999999995,0.036
C1_N0_n20,C1,N0,Identical-population control,,,20,20,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,2.8020537383859025,2.8020537383859025,2.8020537383859025,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[7.1979462616140975, 2.8020537383859025], [2.8020537383859025, 7.1979462616140975]]","[[7.1979462616140975, 2.8020537383859025], [2.8020537383859025, 7.1979462616140975]]",0.179521513612991,0.179521513612991,simple_welch,Simple Welch,500,500,0,1.0,0,0,0,0,0,31.967795284700575,34.192590596029085,22.49808076734364,37.915648218102355,0.914,66,434,0.132,0.868,0.10511672384831994,0.1644947907313825,0.032,0.132,43,457,0.086,0.914,0.06447314240360771,0.11383981149855754,0.03599999999999999,0.086,13,487,0.026,0.974,0.015256383923327248,0.04397149083422428,0.016,0.026
C1_N0_n20,C1,N0,Identical-population control,,,20,20,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,2.8020537383859025,2.8020537383859025,2.8020537383859025,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[7.1979462616140975, 2.8020537383859025], [2.8020537383859025, 7.1979462616140975]]","[[7.1979462616140975, 2.8020537383859025], [2.8020537383859025, 7.1979462616140975]]",0.179521513612991,0.179521513612991,expanded_welch,Expanded Welch,500,500,0,1.0,0,0,0,0,0,13.05534393968181,8.64308504100412,2.1673088768074784,27.18413973055207,0.922,61,439,0.122,0.878,0.0961592783150937,0.15360472307383977,0.021999999999999992,0.122,39,461,0.078,0.922,0.05758139347616159,0.10485354987338852,0.027999999999999997,0.078,13,487,0.026,0.974,0.015256383923327248,0.04397149083422428,0.016,0.026
C1_N0_n30,C1,N0,Identical-population control,,,30,30,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,4.203080607578854,4.203080607578854,4.203080607578854,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[10.796919392421147, 4.203080607578854], [4.203080607578854, 10.796919392421147]]","[[10.796919392421147, 4.203080607578854], [4.203080607578854, 10.796919392421147]]",0.179521513612991,0.179521513612991,normal_wald,Normal Wald,500,500,0,1.0,0,0,0,0,0,inf,inf,inf,inf,0.966,48,452,0.096,0.904,0.07317350466541904,0.12498696242751521,0.0040000000000000036,0.096,17,483,0.034,0.966,0.02133451980853219,0.053771365501634506,0.016,0.034,6,494,0.012,0.988,0.005510995174027703,0.025930361116447292,0.002,0.012
C1_N0_n30,C1,N0,Identical-population control,,,30,30,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,4.203080607578854,4.203080607578854,4.203080607578854,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[10.796919392421147, 4.203080607578854], [4.203080607578854, 10.796919392421147]]","[[10.796919392421147, 4.203080607578854], [4.203080607578854, 10.796919392421147]]",0.179521513612991,0.179521513612991,simple_welch,Simple Welch,500,500,0,1.0,0,0,0,0,0,49.76890964616224,53.172173869675575,35.83593224932414,57.81115418988817,0.972,44,456,0.088,0.912,0.06620598447492893,0.11607647206539012,0.01200000000000001,0.088,14,486,0.028,0.972,0.01675097472075645,0.04644640267494888,0.022000000000000002,0.028,5,495,0.01,0.99,0.004278753896590496,0.023193099755730702,0.0,0.01
C1_N0_n30,C1,N0,Identical-population control,,,30,30,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,4.203080607578854,4.203080607578854,4.203080607578854,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[10.796919392421147, 4.203080607578854], [4.203080607578854, 10.796919392421147]]","[[10.796919392421147, 4.203080607578854], [4.203080607578854, 10.796919392421147]]",0.179521513612991,0.179521513612991,expanded_welch,Expanded Welch,500,498,2,0.996,0,2,1,1,2,15.356370063342833,11.554850280095273,3.812166939129085,30.823032112189974,0.9759036144578314,35,463,0.07028112449799197,0.929718875502008,0.05096535629261162,0.0961756531294046,0.029718875502008038,0.07,12,486,0.024096385542168676,0.9759036144578314,0.013836872128755093,0.041641722418057275,0.025903614457831327,0.024,4,494,0.008032128514056224,0.9919678714859438,0.0031278437609723285,0.02046817169881261,0.001967871485943776,0.008
C1_N0_n50,C1,N0,Identical-population control,,,50,50,1.0,0.5,0.5,0.5,0.5,1,1,0.10989731308070487,0.10989731308070487,0.09999999999999987,0.09999999999999987,0.0,0.0,0.14010268691929512,0.14010268691929512,7.0051343459647555,7.0051343459647555,7.0051343459647555,"[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[0.3598973130807049, 0.14010268691929512], [0.14010268691929512, 0.3598973130807049]]","[[17.994865654035245, 7.0051343459647555], [7.0051343459647555, 17.994865654035245]]","[[17.994865654035245, 7.0051343459647555], [7.0051343459647555, 17.994865654035245]]",0.179521513612991,0.179521513612991,normal_wald,Normal Wald,500,500,0,1.0,0,0,0,0,0,inf,inf,inf,inf,0.946,48,452,0.096,0.904,0.07317350466541904,0.12498696242751521,0.0040000000000000036,0.096,27,473,0.054,0.946,0.03737435018105752,0.07742656151064709,0.003999999999999997,0.054,3,497,0.006,0.994,0.0020425962719602363,0.01749025210405338,0.004,0.006
