method,method_label,valid_count,valid_rate,p_value_threshold_for_five_percent,calibration_key,configuration_id,power_family,n_p,n_q,replicates
normal_wald,Normal Wald,499,0.998,0.02667395516359093,balanced_mild_np10_nq10,PCAL_PCAL_balanced_mild_np10_nq10_balanced_mild_np10_nq10,balanced_mild,10,10,500
simple_welch,Simple Welch,499,0.998,0.04966335168448915,balanced_mild_np10_nq10,PCAL_PCAL_balanced_mild_np10_nq10_balanced_mild_np10_nq10,balanced_mild,10,10,500
expanded_welch,Expanded Welch,482,0.964,0.07741069201265165,balanced_mild_np10_nq10,PCAL_PCAL_balanced_mild_np10_nq10_balanced_mild_np10_nq10,balanced_mild,10,10,500
normal_wald,Normal Wald,500,1.0,0.045392682755510734,balanced_mild_np20_nq20,PCAL_PCAL_balanced_mild_np20_nq20_balanced_mild_np20_nq20,balanced_mild,20,20,500
simple_welch,Simple Welch,500,1.0,0.05657822213550392,balanced_mild_np20_nq20,PCAL_PCAL_balanced_mild_np20_nq20_balanced_mild_np20_nq20,balanced_mild,20,20,500
expanded_welch,Expanded Welch,497,0.994,0.06960775304839714,balanced_mild_np20_nq20,PCAL_PCAL_balanced_mild_np20_nq20_balanced_mild_np20_nq20,balanced_mild,20,20,500
normal_wald,Normal Wald,500,1.0,0.08354141894331295,balanced_mild_np30_nq30,PCAL_PCAL_balanced_mild_np30_nq30_balanced_mild_np30_nq30,balanced_mild,30,30,500
simple_welch,Simple Welch,500,1.0,0.08985251066429595,balanced_mild_np30_nq30,PCAL_PCAL_balanced_mild_np30_nq30_balanced_mild_np30_nq30,balanced_mild,30,30,500
expanded_welch,Expanded Welch,499,0.998,0.11442084889502335,balanced_mild_np30_nq30,PCAL_PCAL_balanced_mild_np30_nq30_balanced_mild_np30_nq30,balanced_mild,30,30,500
normal_wald,Normal Wald,500,1.0,0.058195148416036055,balanced_mild_np50_nq50,PCAL_PCAL_balanced_mild_np50_nq50_balanced_mild_np50_nq50,balanced_mild,50,50,500
simple_welch,Simple Welch,500,1.0,0.06352287408437757,balanced_mild_np50_nq50,PCAL_PCAL_balanced_mild_np50_nq50_balanced_mild_np50_nq50,balanced_mild,50,50,500
expanded_welch,Expanded Welch,500,1.0,0.08161018997283842,balanced_mild_np50_nq50,PCAL_PCAL_balanced_mild_np50_nq50_balanced_mild_np50_nq50,balanced_mild,50,50,500
normal_wald,Normal Wald,500,1.0,0.07055144505548254,balanced_mild_np100_nq100,PCAL_PCAL_balanced_mild_np100_nq100_balanced_mild_np100_nq100,balanced_mild,100,100,500
simple_welch,Simple Welch,500,1.0,0.07287863567529972,balanced_mild_np100_nq100,PCAL_PCAL_balanced_mild_np100_nq100_balanced_mild_np100_nq100,balanced_mild,100,100,500
expanded_welch,Expanded Welch,500,1.0,0.09008712511054633,balanced_mild_np100_nq100,PCAL_PCAL_balanced_mild_np100_nq100_balanced_mild_np100_nq100,balanced_mild,100,100,500
normal_wald,Normal Wald,500,1.0,0.0645096703554834,balanced_mild_np200_nq200,PCAL_PCAL_balanced_mild_np200_nq200_balanced_mild_np200_nq200,balanced_mild,200,200,500
simple_welch,Simple Welch,500,1.0,0.0654920581510868,balanced_mild_np200_nq200,PCAL_PCAL_balanced_mild_np200_nq200_balanced_mild_np200_nq200,balanced_mild,200,200,500
expanded_welch,Expanded Welch,500,1.0,0.07656799669298858,balanced_mild_np200_nq200,PCAL_PCAL_balanced_mild_np200_nq200_balanced_mild_np200_nq200,balanced_mild,200,200,500
normal_wald,Normal Wald,500,1.0,0.061103342168430226,balanced_mild_np500_nq500,PCAL_PCAL_balanced_mild_np500_nq500_balanced_mild_np500_nq500,balanced_mild,500,500,500
simple_welch,Simple Welch,500,1.0,0.061422669720715056,balanced_mild_np500_nq500,PCAL_PCAL_balanced_mild_np500_nq500_balanced_mild_np500_nq500,balanced_mild,500,500,500
expanded_welch,Expanded Welch,500,1.0,0.06510599956503337,balanced_mild_np500_nq500,PCAL_PCAL_balanced_mild_np500_nq500_balanced_mild_np500_nq500,balanced_mild,500,500,500
normal_wald,Normal Wald,500,1.0,0.05319992068718966,balanced_mild_np1000_nq1000,PCAL_PCAL_balanced_mild_np1000_nq1000_balanced_mild_np1000_nq1000,balanced_mild,1000,1000,500
simple_welch,Simple Welch,500,1.0,0.053347734069389995,balanced_mild_np1000_nq1000,PCAL_PCAL_balanced_mild_np1000_nq1000_balanced_mild_np1000_nq1000,balanced_mild,1000,1000,500
expanded_welch,Expanded Welch,500,1.0,0.05507224721226605,balanced_mild_np1000_nq1000,PCAL_PCAL_balanced_mild_np1000_nq1000_balanced_mild_np1000_nq1000,balanced_mild,1000,1000,500
normal_wald,Normal Wald,500,1.0,0.054486136449212866,balanced_mild_np20_nq40,PCAL_PCAL_balanced_mild_np20_nq40_balanced_mild_np20_nq40,balanced_mild,20,40,500
simple_welch,Simple Welch,500,1.0,0.06621030844275329,balanced_mild_np20_nq40,PCAL_PCAL_balanced_mild_np20_nq40_balanced_mild_np20_nq40,balanced_mild,20,40,500
expanded_welch,Expanded Welch,500,1.0,0.08791917036215674,balanced_mild_np20_nq40,PCAL_PCAL_balanced_mild_np20_nq40_balanced_mild_np20_nq40,balanced_mild,20,40,500
normal_wald,Normal Wald,500,1.0,0.016183726219086803,balanced_mild_np20_nq100,PCAL_PCAL_balanced_mild_np20_nq100_balanced_mild_np20_nq100,balanced_mild,20,100,500
simple_welch,Simple Welch,500,1.0,0.02061424740843815,balanced_mild_np20_nq100,PCAL_PCAL_balanced_mild_np20_nq100_balanced_mild_np20_nq100,balanced_mild,20,100,500
expanded_welch,Expanded Welch,499,0.998,0.060039748596526075,balanced_mild_np20_nq100,PCAL_PCAL_balanced_mild_np20_nq100_balanced_mild_np20_nq100,balanced_mild,20,100,500
normal_wald,Normal Wald,500,1.0,0.002387523440742381,balanced_mild_np20_nq200,PCAL_PCAL_balanced_mild_np20_nq200_balanced_mild_np20_nq200,balanced_mild,20,200,500
