configuration_id,experiment,population_pair_id,purpose,power_family,calibration_key,n_p,n_q,sample_size_ratio_q_over_p,u_p,v_p,u_q,v_q,association_direction_p,association_direction_q,association_delta_p,association_delta_q,true_mi_p,true_mi_q,true_delta_p_minus_q,effect_delta_i_q_minus_p,minimum_probability_p,minimum_probability_q,minimum_expected_p,minimum_expected_q,minimum_expected_either,probability_p_json,probability_q_json,expected_p_json,expected_q_json,population_variance_p,population_variance_q,method,method_label,truth,replicates,valid_count,invalid_count,valid_rate,invalid_shared_statistic_count,invalid_reference_count,invalid_component_p_count,invalid_component_q_count,invalid_combined_df_count,reject_count_05,nonreject_count_05,false_positive_count_05,true_negative_count_05,true_positive_count_05,false_negative_count_05,false_positive_rate_05,true_negative_rate_05,true_positive_rate_05,false_negative_rate_05,nominal_rejection_rate_05,rejection_wilson_low_05,rejection_wilson_high_05,unconditional_rejection_rate_05,size_adjustment_p_threshold,size_adjusted_reject_count,size_adjusted_rejection_rate,size_adjusted_power,size_adjusted_fpr
P1_balanced_mild_dim0p04_n10,P1,balanced_mild_dim0p04,Balanced/mild power family,balanced_mild,balanced_mild_np10_nq10,10,10,1.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.031915955607220596,0.0499999999999996,0.009999999999999343,0.04000000000000026,-0.04,0.17160920081751696,0.1480840443927794,1.7160920081751696,1.4808404439277938,1.4808404439277938,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.4519159556072206, 0.24808404439277937], [0.1480840443927794, 0.1519159556072206]]","[[3.2839079918248304, 1.7160920081751696], [1.7160920081751696, 3.2839079918248304]]","[[4.519159556072206, 2.480840443927794], [1.4808404439277938, 1.519159556072206]]",0.09494241304247028,0.02004819181517319,normal_wald,Normal Wald,alternative,500,498,2,0.996,2,0,0,0,0,24,474,,,24.0,474.0,,,0.04819277108433735,0.9518072289156626,0.04819277108433735,0.03259644291632385,0.07070602026102966,0.048,0.02667395516359093,17,0.03413654618473896,0.03413654618473896,
P1_balanced_mild_dim0p04_n10,P1,balanced_mild_dim0p04,Balanced/mild power family,balanced_mild,balanced_mild_np10_nq10,10,10,1.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.031915955607220596,0.0499999999999996,0.009999999999999343,0.04000000000000026,-0.04,0.17160920081751696,0.1480840443927794,1.7160920081751696,1.4808404439277938,1.4808404439277938,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.4519159556072206, 0.24808404439277937], [0.1480840443927794, 0.1519159556072206]]","[[3.2839079918248304, 1.7160920081751696], [1.7160920081751696, 3.2839079918248304]]","[[4.519159556072206, 2.480840443927794], [1.4808404439277938, 1.519159556072206]]",0.09494241304247028,0.02004819181517319,simple_welch,Simple Welch,alternative,500,498,2,0.996,2,0,0,0,0,18,480,,,18.0,480.0,,,0.03614457831325301,0.963855421686747,0.03614457831325301,0.02298347683872157,0.05640705202336137,0.036,0.04966335168448915,18,0.03614457831325301,0.03614457831325301,
P1_balanced_mild_dim0p04_n10,P1,balanced_mild_dim0p04,Balanced/mild power family,balanced_mild,balanced_mild_np10_nq10,10,10,1.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.031915955607220596,0.0499999999999996,0.009999999999999343,0.04000000000000026,-0.04,0.17160920081751696,0.1480840443927794,1.7160920081751696,1.4808404439277938,1.4808404439277938,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.4519159556072206, 0.24808404439277937], [0.1480840443927794, 0.1519159556072206]]","[[3.2839079918248304, 1.7160920081751696], [1.7160920081751696, 3.2839079918248304]]","[[4.519159556072206, 2.480840443927794], [1.4808404439277938, 1.519159556072206]]",0.09494241304247028,0.02004819181517319,expanded_welch,Expanded Welch,alternative,500,480,20,0.96,2,18,3,15,18,12,468,,,12.0,468.0,,,0.025,0.975,0.025,0.014357806275901537,0.0431847178570125,0.024,0.07741069201265165,20,0.041666666666666664,0.041666666666666664,
P1_balanced_mild_dim0p04_n20,P1,balanced_mild_dim0p04,Balanced/mild power family,balanced_mild,balanced_mild_np20_nq20,20,20,1.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.031915955607220596,0.0499999999999996,0.009999999999999343,0.04000000000000026,-0.04,0.17160920081751696,0.1480840443927794,3.432184016350339,2.9616808878555876,2.9616808878555876,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.4519159556072206, 0.24808404439277937], [0.1480840443927794, 0.1519159556072206]]","[[6.567815983649661, 3.432184016350339], [3.432184016350339, 6.567815983649661]]","[[9.038319112144412, 4.961680887855588], [2.9616808878555876, 3.038319112144412]]",0.09494241304247028,0.02004819181517319,normal_wald,Normal Wald,alternative,500,499,1,0.998,1,0,0,0,0,27,472,,,27.0,472.0,,,0.05410821643286573,0.9458917835671343,0.05410821643286573,0.037449782640178245,0.07757943343987361,0.054,0.045392682755510734,26,0.052104208416833664,0.052104208416833664,
P1_balanced_mild_dim0p04_n20,P1,balanced_mild_dim0p04,Balanced/mild power family,balanced_mild,balanced_mild_np20_nq20,20,20,1.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.031915955607220596,0.0499999999999996,0.009999999999999343,0.04000000000000026,-0.04,0.17160920081751696,0.1480840443927794,3.432184016350339,2.9616808878555876,2.9616808878555876,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.4519159556072206, 0.24808404439277937], [0.1480840443927794, 0.1519159556072206]]","[[6.567815983649661, 3.432184016350339], [3.432184016350339, 6.567815983649661]]","[[9.038319112144412, 4.961680887855588], [2.9616808878555876, 3.038319112144412]]",0.09494241304247028,0.02004819181517319,simple_welch,Simple Welch,alternative,500,499,1,0.998,1,0,0,0,0,25,474,,,25.0,474.0,,,0.050100200400801605,0.9498997995991983,0.050100200400801605,0.03416252954775015,0.07291189296897635,0.05,0.05657822213550392,27,0.05410821643286573,0.05410821643286573,
P1_balanced_mild_dim0p04_n20,P1,balanced_mild_dim0p04,Balanced/mild power family,balanced_mild,balanced_mild_np20_nq20,20,20,1.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.031915955607220596,0.0499999999999996,0.009999999999999343,0.04000000000000026,-0.04,0.17160920081751696,0.1480840443927794,3.432184016350339,2.9616808878555876,2.9616808878555876,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.4519159556072206, 0.24808404439277937], [0.1480840443927794, 0.1519159556072206]]","[[6.567815983649661, 3.432184016350339], [3.432184016350339, 6.567815983649661]]","[[9.038319112144412, 4.961680887855588], [2.9616808878555876, 3.038319112144412]]",0.09494241304247028,0.02004819181517319,expanded_welch,Expanded Welch,alternative,500,498,2,0.996,1,1,1,0,1,20,478,,,20.0,478.0,,,0.040160642570281124,0.9598393574297188,0.040160642570281124,0.02614597572900464,0.061215197904835164,0.04,0.06960775304839714,25,0.050200803212851405,0.050200803212851405,
P1_balanced_mild_dim0p04_n30,P1,balanced_mild_dim0p04,Balanced/mild power family,balanced_mild,balanced_mild_np30_nq30,30,30,1.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.031915955607220596,0.0499999999999996,0.009999999999999343,0.04000000000000026,-0.04,0.17160920081751696,0.1480840443927794,5.148276024525509,4.442521331783381,4.442521331783381,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.4519159556072206, 0.24808404439277937], [0.1480840443927794, 0.1519159556072206]]","[[9.851723975474492, 5.148276024525509], [5.148276024525509, 9.851723975474492]]","[[13.557478668216618, 7.442521331783381], [4.442521331783381, 4.557478668216618]]",0.09494241304247028,0.02004819181517319,normal_wald,Normal Wald,alternative,500,500,0,1.0,0,0,0,0,0,13,487,,,13.0,487.0,,,0.026,0.974,0.026,0.015256383923327248,0.04397149083422428,0.026,0.08354141894331295,23,0.046,0.046,
P1_balanced_mild_dim0p04_n30,P1,balanced_mild_dim0p04,Balanced/mild power family,balanced_mild,balanced_mild_np30_nq30,30,30,1.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.031915955607220596,0.0499999999999996,0.009999999999999343,0.04000000000000026,-0.04,0.17160920081751696,0.1480840443927794,5.148276024525509,4.442521331783381,4.442521331783381,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.4519159556072206, 0.24808404439277937], [0.1480840443927794, 0.1519159556072206]]","[[9.851723975474492, 5.148276024525509], [5.148276024525509, 9.851723975474492]]","[[13.557478668216618, 7.442521331783381], [4.442521331783381, 4.557478668216618]]",0.09494241304247028,0.02004819181517319,simple_welch,Simple Welch,alternative,500,500,0,1.0,0,0,0,0,0,11,489,,,11.0,489.0,,,0.022,0.978,0.022,0.012328008269927582,0.03896086121131637,0.022,0.08985251066429595,22,0.044,0.044,
P1_balanced_mild_dim0p04_n30,P1,balanced_mild_dim0p04,Balanced/mild power family,balanced_mild,balanced_mild_np30_nq30,30,30,1.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.031915955607220596,0.0499999999999996,0.009999999999999343,0.04000000000000026,-0.04,0.17160920081751696,0.1480840443927794,5.148276024525509,4.442521331783381,4.442521331783381,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.4519159556072206, 0.24808404439277937], [0.1480840443927794, 0.1519159556072206]]","[[9.851723975474492, 5.148276024525509], [5.148276024525509, 9.851723975474492]]","[[13.557478668216618, 7.442521331783381], [4.442521331783381, 4.557478668216618]]",0.09494241304247028,0.02004819181517319,expanded_welch,Expanded Welch,alternative,500,493,7,0.986,0,7,4,3,7,10,483,,,10.0,483.0,,,0.02028397565922921,0.9797160243407708,0.02028397565922921,0.011054449849846038,0.03693159961809561,0.02,0.11442084889502335,25,0.05070993914807302,0.05070993914807302,
P1_balanced_mild_dim0p04_n50,P1,balanced_mild_dim0p04,Balanced/mild power family,balanced_mild,balanced_mild_np50_nq50,50,50,1.0,0.5,0.5,0.3,0.4,1,1,0.07839079918248305,0.031915955607220596,0.0499999999999996,0.009999999999999343,0.04000000000000026,-0.04,0.17160920081751696,0.1480840443927794,8.580460040875849,7.40420221963897,7.40420221963897,"[[0.32839079918248304, 0.17160920081751696], [0.17160920081751696, 0.32839079918248304]]","[[0.4519159556072206, 0.24808404439277937], [0.1480840443927794, 0.1519159556072206]]","[[16.41953995912415, 8.580460040875849], [8.580460040875849, 16.41953995912415]]","[[22.59579778036103, 12.404202219638968], [7.40420221963897, 7.59579778036103]]",0.09494241304247028,0.02004819181517319,normal_wald,Normal Wald,alternative,500,500,0,1.0,0,0,0,0,0,18,482,,,18.0,482.0,,,0.036,0.964,0.036,0.02289106098029272,0.056184326968027755,0.036,0.058195148416036055,21,0.042,0.042,
