configuration_id,experiment,block,stream,method,method_label,replicates,valid_count,valid_rate,reject_count_05,rejection_rate_valid_05,unconditional_rejection_rate_05
C1_N0_n10,C1,0,null_simulation,normal_wald,Normal Wald,500,500,1.0,77,0.154,0.154
C1_N0_n10,C1,0,null_simulation,simple_welch,Simple Welch,500,500,1.0,51,0.102,0.102
C1_N0_n10,C1,0,null_simulation,expanded_welch,Expanded Welch,500,487,0.974,21,0.043121149897330596,0.042
C1_N0_n20,C1,0,null_simulation,normal_wald,Normal Wald,500,500,1.0,50,0.1,0.1
C1_N0_n20,C1,0,null_simulation,simple_welch,Simple Welch,500,500,1.0,43,0.086,0.086
C1_N0_n20,C1,0,null_simulation,expanded_welch,Expanded Welch,500,500,1.0,39,0.078,0.078
C1_N0_n30,C1,0,null_simulation,normal_wald,Normal Wald,500,500,1.0,17,0.034,0.034
C1_N0_n30,C1,0,null_simulation,simple_welch,Simple Welch,500,500,1.0,14,0.028,0.028
C1_N0_n30,C1,0,null_simulation,expanded_welch,Expanded Welch,500,498,0.996,12,0.024096385542168676,0.024
C1_N0_n50,C1,0,null_simulation,normal_wald,Normal Wald,500,500,1.0,27,0.054,0.054
C1_N0_n50,C1,0,null_simulation,simple_welch,Simple Welch,500,500,1.0,23,0.046,0.046
C1_N0_n50,C1,0,null_simulation,expanded_welch,Expanded Welch,500,500,1.0,19,0.038,0.038
C1_N0_n100,C1,0,null_simulation,normal_wald,Normal Wald,500,500,1.0,26,0.052,0.052
C1_N0_n100,C1,0,null_simulation,simple_welch,Simple Welch,500,500,1.0,25,0.05,0.05
C1_N0_n100,C1,0,null_simulation,expanded_welch,Expanded Welch,500,500,1.0,23,0.046,0.046
C1_N0_n200,C1,0,null_simulation,normal_wald,Normal Wald,500,500,1.0,29,0.058,0.058
C1_N0_n200,C1,0,null_simulation,simple_welch,Simple Welch,500,500,1.0,29,0.058,0.058
C1_N0_n200,C1,0,null_simulation,expanded_welch,Expanded Welch,500,500,1.0,27,0.054,0.054
C1_N0_n500,C1,0,null_simulation,normal_wald,Normal Wald,500,500,1.0,30,0.06,0.06
C1_N0_n500,C1,0,null_simulation,simple_welch,Simple Welch,500,500,1.0,30,0.06,0.06
C1_N0_n500,C1,0,null_simulation,expanded_welch,Expanded Welch,500,500,1.0,29,0.058,0.058
C1_N0_n1000,C1,0,null_simulation,normal_wald,Normal Wald,500,500,1.0,21,0.042,0.042
C1_N0_n1000,C1,0,null_simulation,simple_welch,Simple Welch,500,500,1.0,21,0.042,0.042
C1_N0_n1000,C1,0,null_simulation,expanded_welch,Expanded Welch,500,500,1.0,21,0.042,0.042
C1_N1_n10,C1,0,null_simulation,normal_wald,Normal Wald,500,497,0.994,64,0.12877263581488935,0.128
C1_N1_n10,C1,0,null_simulation,simple_welch,Simple Welch,500,497,0.994,43,0.08651911468812877,0.086
C1_N1_n10,C1,0,null_simulation,expanded_welch,Expanded Welch,500,483,0.966,25,0.051759834368530024,0.05
C1_N1_n20,C1,0,null_simulation,normal_wald,Normal Wald,500,500,1.0,36,0.072,0.072
C1_N1_n20,C1,0,null_simulation,simple_welch,Simple Welch,500,500,1.0,32,0.064,0.064
C1_N1_n20,C1,0,null_simulation,expanded_welch,Expanded Welch,500,497,0.994,28,0.056338028169014086,0.056
C1_N1_n30,C1,0,null_simulation,normal_wald,Normal Wald,500,500,1.0,37,0.074,0.074
C1_N1_n30,C1,0,null_simulation,simple_welch,Simple Welch,500,500,1.0,33,0.066,0.066
C1_N1_n30,C1,0,null_simulation,expanded_welch,Expanded Welch,500,499,0.998,32,0.06412825651302605,0.064
C1_N1_n50,C1,0,null_simulation,normal_wald,Normal Wald,500,500,1.0,28,0.056,0.056
C1_N1_n50,C1,0,null_simulation,simple_welch,Simple Welch,500,500,1.0,24,0.048,0.048
C1_N1_n50,C1,0,null_simulation,expanded_welch,Expanded Welch,500,500,1.0,23,0.046,0.046
C1_N1_n100,C1,0,null_simulation,normal_wald,Normal Wald,500,500,1.0,26,0.052,0.052
