display_id,section,figure_key,row_key,row_label,column_key,column_label,x_kind,x_value,shape,profile,dominant_p,dominant_q,pattern,constructor,baseline_mi,mi_direction,mi_difference,target_mi_p,target_mi_q,n_p,n_q,pair_id,configuration_id
display_00000,main,main_2x2_small,uniform,uniform,2,nP=nQ=2,mi_difference,0.0,2x2,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,2,2,pair_0a0e0f72610302eb,config_f5bd1ee837e6f46b
display_00005,main,main_2x2_small,uniform,uniform,2,nP=nQ=2,mi_difference,0.02,2x2,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,2,2,pair_f92afa0319e6f637,config_0375c4a204613747
display_00018,main,main_2x2_moderate,uniform,uniform,20,nP=nQ=20,mi_difference,0.0,2x2,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,20,20,pair_0a0e0f72610302eb,config_fec72b5a5a7078d7
display_00023,main,main_2x2_moderate,uniform,uniform,20,nP=nQ=20,mi_difference,0.02,2x2,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,20,20,pair_f92afa0319e6f637,config_850e2ff6f2cd4d82
display_00024,main,main_2x2_moderate,uniform,uniform,50,nP=nQ=50,mi_difference,0.0,2x2,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,50,50,pair_0a0e0f72610302eb,config_b897bcca9c5e22aa
display_00029,main,main_2x2_moderate,uniform,uniform,50,nP=nQ=50,mi_difference,0.02,2x2,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,50,50,pair_f92afa0319e6f637,config_20eaf232d9810c72
display_00042,main,main_2x2_large,uniform,uniform,500,nP=nQ=500,mi_difference,0.0,2x2,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,500,500,pair_0a0e0f72610302eb,config_303bed946ffe6b86
display_00047,main,main_2x2_large,uniform,uniform,500,nP=nQ=500,mi_difference,0.02,2x2,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,500,500,pair_f92afa0319e6f637,config_b3536c80f352ad7e
display_00048,main,main_2x2_large,uniform,uniform,1000,nP=nQ=1000,mi_difference,0.0,2x2,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,1000,1000,pair_0a0e0f72610302eb,config_700945d218841f2e
display_00053,main,main_2x2_large,uniform,uniform,1000,nP=nQ=1000,mi_difference,0.02,2x2,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,1000,1000,pair_f92afa0319e6f637,config_2b62fe971dca8d78
display_00054,main,main_2x2_small,same_skew,same skew,2,nP=nQ=2,mi_difference,0.0,2x2,same_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,2,2,pair_cd3f51adc4b4ed85,config_ceca18acdc35d810
display_00059,main,main_2x2_small,same_skew,same skew,2,nP=nQ=2,mi_difference,0.02,2x2,same_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,2,2,pair_6efac570a6eb6806,config_1eb64ef93e640aee
display_00072,main,main_2x2_moderate,same_skew,same skew,20,nP=nQ=20,mi_difference,0.0,2x2,same_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,20,20,pair_cd3f51adc4b4ed85,config_fe2608b927842b4e
display_00077,main,main_2x2_moderate,same_skew,same skew,20,nP=nQ=20,mi_difference,0.02,2x2,same_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,20,20,pair_6efac570a6eb6806,config_3a38f3c24c868319
display_00078,main,main_2x2_moderate,same_skew,same skew,50,nP=nQ=50,mi_difference,0.0,2x2,same_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,50,50,pair_cd3f51adc4b4ed85,config_4fa1b8764eb1feab
display_00083,main,main_2x2_moderate,same_skew,same skew,50,nP=nQ=50,mi_difference,0.02,2x2,same_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,50,50,pair_6efac570a6eb6806,config_359414319f8fb7d3
display_00096,main,main_2x2_large,same_skew,same skew,500,nP=nQ=500,mi_difference,0.0,2x2,same_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,500,500,pair_cd3f51adc4b4ed85,config_895d00be250e7299
display_00101,main,main_2x2_large,same_skew,same skew,500,nP=nQ=500,mi_difference,0.02,2x2,same_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,500,500,pair_6efac570a6eb6806,config_36596abaf72a8f5b
display_00102,main,main_2x2_large,same_skew,same skew,1000,nP=nQ=1000,mi_difference,0.0,2x2,same_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,1000,1000,pair_cd3f51adc4b4ed85,config_c89d367d7c2b178b
display_00107,main,main_2x2_large,same_skew,same skew,1000,nP=nQ=1000,mi_difference,0.02,2x2,same_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,1000,1000,pair_6efac570a6eb6806,config_d88eb4d6a1db28f3
display_00108,main,main_2x2_small,different_skew,different skew,2,nP=nQ=2,mi_difference,0.0,2x2,different_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,2,2,pair_308be584e4c09575,config_edfcd95edaba3209
display_00113,main,main_2x2_small,different_skew,different skew,2,nP=nQ=2,mi_difference,0.02,2x2,different_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,2,2,pair_f79a47be5e38070d,config_a56b5a56f3ac5397
display_00126,main,main_2x2_moderate,different_skew,different skew,20,nP=nQ=20,mi_difference,0.0,2x2,different_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,20,20,pair_308be584e4c09575,config_1e065a6d4aba5a1f
display_00131,main,main_2x2_moderate,different_skew,different skew,20,nP=nQ=20,mi_difference,0.02,2x2,different_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,20,20,pair_f79a47be5e38070d,config_82d231c4cb77de36
display_00132,main,main_2x2_moderate,different_skew,different skew,50,nP=nQ=50,mi_difference,0.0,2x2,different_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,50,50,pair_308be584e4c09575,config_8be244c92203b43d
display_00137,main,main_2x2_moderate,different_skew,different skew,50,nP=nQ=50,mi_difference,0.02,2x2,different_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,50,50,pair_f79a47be5e38070d,config_871e346d0dc41b52
display_00150,main,main_2x2_large,different_skew,different skew,500,nP=nQ=500,mi_difference,0.0,2x2,different_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,500,500,pair_308be584e4c09575,config_eec415392181e974
display_00155,main,main_2x2_large,different_skew,different skew,500,nP=nQ=500,mi_difference,0.02,2x2,different_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,500,500,pair_f79a47be5e38070d,config_0de65de44170a42a
display_00156,main,main_2x2_large,different_skew,different skew,1000,nP=nQ=1000,mi_difference,0.0,2x2,different_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,1000,1000,pair_308be584e4c09575,config_b84ad3320df042e5
display_00161,main,main_2x2_large,different_skew,different skew,1000,nP=nQ=1000,mi_difference,0.02,2x2,different_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,1000,1000,pair_f79a47be5e38070d,config_9af80add2a68d651
display_00162,main,main_3x3_small,uniform,uniform,2,nP=nQ=2,mi_difference,0.0,3x3,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,2,2,pair_915fd4445dd7693e,config_8e221207ee4be0c8
display_00167,main,main_3x3_small,uniform,uniform,2,nP=nQ=2,mi_difference,0.02,3x3,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,2,2,pair_39932089e73e894c,config_b1ef74ef5949f77b
display_00180,main,main_3x3_moderate,uniform,uniform,20,nP=nQ=20,mi_difference,0.0,3x3,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,20,20,pair_915fd4445dd7693e,config_65097c528c492add
display_00185,main,main_3x3_moderate,uniform,uniform,20,nP=nQ=20,mi_difference,0.02,3x3,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,20,20,pair_39932089e73e894c,config_e0c9e25a493ee1f8
display_00186,main,main_3x3_moderate,uniform,uniform,50,nP=nQ=50,mi_difference,0.0,3x3,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,50,50,pair_915fd4445dd7693e,config_83d3ec65449a13ce
display_00191,main,main_3x3_moderate,uniform,uniform,50,nP=nQ=50,mi_difference,0.02,3x3,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,50,50,pair_39932089e73e894c,config_fbacd15c950a8923
display_00204,main,main_3x3_large,uniform,uniform,500,nP=nQ=500,mi_difference,0.0,3x3,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,500,500,pair_915fd4445dd7693e,config_0ce6433c2e25fb9b
display_00209,main,main_3x3_large,uniform,uniform,500,nP=nQ=500,mi_difference,0.02,3x3,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,500,500,pair_39932089e73e894c,config_525611f9af6f1f59
display_00210,main,main_3x3_large,uniform,uniform,1000,nP=nQ=1000,mi_difference,0.0,3x3,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,1000,1000,pair_915fd4445dd7693e,config_ce432a7704c33893
display_00215,main,main_3x3_large,uniform,uniform,1000,nP=nQ=1000,mi_difference,0.02,3x3,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,1000,1000,pair_39932089e73e894c,config_f62660bbb1182b23
display_00216,main,main_3x3_small,same_skew,same skew,2,nP=nQ=2,mi_difference,0.0,3x3,same_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,2,2,pair_40257b980c2277a5,config_7ec0d5fa228956e8
display_00221,main,main_3x3_small,same_skew,same skew,2,nP=nQ=2,mi_difference,0.02,3x3,same_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,2,2,pair_e3af9cee70530be8,config_5525d42046d49163
display_00234,main,main_3x3_moderate,same_skew,same skew,20,nP=nQ=20,mi_difference,0.0,3x3,same_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,20,20,pair_40257b980c2277a5,config_3b8e50dc0ecbd1ec
display_00239,main,main_3x3_moderate,same_skew,same skew,20,nP=nQ=20,mi_difference,0.02,3x3,same_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,20,20,pair_e3af9cee70530be8,config_b9c864f21df441aa
display_00240,main,main_3x3_moderate,same_skew,same skew,50,nP=nQ=50,mi_difference,0.0,3x3,same_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,50,50,pair_40257b980c2277a5,config_bd5f7c52a72fec37
display_00245,main,main_3x3_moderate,same_skew,same skew,50,nP=nQ=50,mi_difference,0.02,3x3,same_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,50,50,pair_e3af9cee70530be8,config_6a71e68009d0772a
display_00258,main,main_3x3_large,same_skew,same skew,500,nP=nQ=500,mi_difference,0.0,3x3,same_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,500,500,pair_40257b980c2277a5,config_a95f6c582a6f5596
display_00263,main,main_3x3_large,same_skew,same skew,500,nP=nQ=500,mi_difference,0.02,3x3,same_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,500,500,pair_e3af9cee70530be8,config_b84cfedf22a71766
display_00264,main,main_3x3_large,same_skew,same skew,1000,nP=nQ=1000,mi_difference,0.0,3x3,same_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,1000,1000,pair_40257b980c2277a5,config_4eaf58ac2172693b
display_00269,main,main_3x3_large,same_skew,same skew,1000,nP=nQ=1000,mi_difference,0.02,3x3,same_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,1000,1000,pair_e3af9cee70530be8,config_0f2ba8ba7c87d96f
display_00270,main,main_3x3_small,different_skew,different skew,2,nP=nQ=2,mi_difference,0.0,3x3,different_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,2,2,pair_fb6e4c79f03f599b,config_a19ff216adad937f
display_00275,main,main_3x3_small,different_skew,different skew,2,nP=nQ=2,mi_difference,0.02,3x3,different_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,2,2,pair_4a4e8313c00982bf,config_6e46886bb3b9cc73
display_00288,main,main_3x3_moderate,different_skew,different skew,20,nP=nQ=20,mi_difference,0.0,3x3,different_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,20,20,pair_fb6e4c79f03f599b,config_ebf13e401c84bfcd
display_00293,main,main_3x3_moderate,different_skew,different skew,20,nP=nQ=20,mi_difference,0.02,3x3,different_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,20,20,pair_4a4e8313c00982bf,config_c6d3a3e96a4abc7e
display_00294,main,main_3x3_moderate,different_skew,different skew,50,nP=nQ=50,mi_difference,0.0,3x3,different_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,50,50,pair_fb6e4c79f03f599b,config_b73990abe54408a3
