absolute_mi_difference,achieved_mi_p,achieved_mi_q,both_reject,columns,configuration_id,constructor,dominant_p,dominant_q,method_a,method_b,n_p,n_q,neither_rejects,nominal_alpha,only_method_a_rejects,only_method_b_rejects,pair_id,paired_95_high,paired_95_low,paired_standard_error,pattern,profile,rejection_rate_difference_a_minus_b,replicates,rows,shape,signed_mi_difference_q_minus_p,simulation_seed,target_mi_p,target_mi_q
1.0018028073766061e-16,0.0001000000000000523,9.999999999995212e-05,1,3,config_001f81d34c1b821e,additive,,,expanded_welch,normal_wald,1000,1000,199,0.05,0,0,pair_f7bc22e75aacc70b,0.0,0.0,0.0,rare,different_skew,0.0,200,3,3x3,-1.0018028073766061e-16,2383407784245440090,0.0001,0.0001
0.01999999999999996,0.0010000000000000668,0.021000000000000026,173,2,config_010684da9fee7a90,additive,,,expanded_welch,normal_wald,1000,1000,19,0.05,0,8,pair_06056104d4051773,-0.012773291268651135,-0.06722670873134887,0.013891177924157585,first,same_skew,-0.04,200,2,2x2,0.01999999999999996,8200041307714885991,0.001,0.021
0.01999999999999995,0.0,0.01999999999999995,0,2,config_01868a15f2608864,additive,,,expanded_welch,normal_wald,2,2,200,0.05,0,0,pair_2aa0194ab390e9b2,0.0,0.0,0.0,first,same_skew,0.0,200,2,2x2,0.01999999999999995,14684810245259009593,0.0,0.02
0.0019999999999999367,0.0001000000000000523,0.002099999999999989,2,3,config_0333fbc87b502f0b,additive,,,expanded_welch,normal_wald,1000,1000,194,0.05,0,4,pair_3d616241f2c6e275,-0.000548299734571267,-0.039451700265428734,0.009924336870116702,rare,different_skew,-0.02,200,3,3x3,0.0019999999999999367,3913771294238885401,0.0001,0.0021
0.02000000000000017,0.01999999999999985,0.04000000000000002,0,2,config_0375c4a204613747,additive,,,expanded_welch,normal_wald,2,2,200,0.05,0,0,pair_f92afa0319e6f637,0.0,0.0,0.0,first,uniform,0.0,200,2,2x2,0.02000000000000017,13034142029353117507,0.02,0.04
0.019999999999999782,9.999999999994562e-05,0.02009999999999973,2,2,config_04019316e6e03ce2,additive,,,expanded_welch,normal_wald,20,20,196,0.05,0,2,pair_d4423a2fa1922834,0.0038244267103322137,-0.023824426710332212,0.007053278933842966,first,uniform,-0.01,200,2,2x2,0.019999999999999782,18276232957914195524,0.0001,0.0201
0.02000000000000001,0.019999999999999872,0.03999999999999988,22,5,config_07d9e54989408104,additive,,,expanded_welch,normal_wald,500,500,176,0.05,0,2,pair_7ce1d258fd1cfc5a,0.0038244267103322137,-0.023824426710332212,0.007053278933842966,first,same_skew,-0.01,200,5,5x5,0.02000000000000001,11085907747945780977,0.02,0.04
1.214306433183765e-16,0.019999999999999993,0.019999999999999872,13,5,config_0bad497f06694faf,additive,,,expanded_welch,normal_wald,20,20,176,0.05,0,11,pair_8530c1b9f8c78768,-0.023324259080266647,-0.08667574091973335,0.016161092305986405,first,different_skew,-0.055,200,5,5x5,-1.214306433183765e-16,13892995187018788192,0.02,0.02
1.0408340855860843e-16,0.019999999999999817,0.019999999999999712,13,5,config_0c757d6b458b4ea9,loglinear,,,expanded_welch,normal_wald,20,20,178,0.05,0,9,pair_56cef8de2831de56,-0.0161970164861957,-0.0738029835138043,0.01469539975194097,first,different_skew,-0.045,200,5,5x5,-1.0408340855860843e-16,8614347372113581476,0.02,0.02
0.0020000000000000165,9.999999999998935e-05,0.002100000000000006,18,8,config_0ca3eae811a6f63d,additive,,,expanded_welch,normal_wald,20,20,175,0.05,0,7,pair_86dc09f24e35e3ec,-0.009465508596091417,-0.06053449140390859,0.013027801736688055,first,different_skew,-0.035,200,8,8x8,0.0020000000000000165,5047406343257828000,0.0001,0.0021
