configuration_id,rows,columns,condition,condition_label,n_p,n_q,method,method_label,population_pairs,mean_valid_rate,mean_fpr_10,configuration_mae_10,population_sd_fpr_10,mean_fpr_05,configuration_mae_05,population_sd_fpr_05,mean_fpr_01,configuration_mae_01,population_sd_fpr_01
2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,normal_wald,Normal Wald,10,1.0,0.10300000000000001,0.016000000000000004,0.02043961295567452,0.05500000000000001,0.015000000000000003,0.017795130420052187,0.011,0.006,0.00699205898780101
2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,simple_welch,Simple Welch,10,1.0,0.10049999999999999,0.017499999999999998,0.02204162728414881,0.052500000000000005,0.014500000000000002,0.016372402253657083,0.01,0.005,0.006666666666666667
2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,expanded_welch,Expanded Welch,10,1.0,0.089,0.022000000000000002,0.02294921930407801,0.047,0.014000000000000002,0.015846485765339615,0.0075,0.006500000000000001,0.007168604389202189
2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,constrained_lrt,Constrained LRT,10,1.0,0.10550000000000001,0.016499999999999997,0.02047356018543591,0.05850000000000001,0.0165,0.01972730763856707,0.014500000000000002,0.0075,0.007245688373094719
2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,normal_wald,Normal Wald,10,1.0,0.0965,0.013500000000000002,0.016507574019219175,0.0495,0.006500000000000001,0.007619419633774973,0.0115,0.0055,0.006687467549246293
2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,simple_welch,Simple Welch,10,1.0,0.0945,0.014500000000000002,0.016574746520602424,0.046,0.007000000000000001,0.008432740427115677,0.010499999999999999,0.004499999999999999,0.005986094998689323
2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,expanded_welch,Expanded Welch,10,1.0,0.08449999999999999,0.020500000000000008,0.01786523626114882,0.03849999999999999,0.011500000000000002,0.007090682462060882,0.0095,0.004499999999999999,0.005986094998689324
2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,constrained_lrt,Constrained LRT,10,1.0,0.10700000000000001,0.014000000000000002,0.019321835661585917,0.05700000000000001,0.009999999999999998,0.010852547064066471,0.015,0.006999999999999999,0.007817359599705717
2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,normal_wald,Normal Wald,10,1.0,0.1145,0.015499999999999996,0.012122064363978788,0.06599999999999999,0.016999999999999998,0.01390443574307614,0.017499999999999998,0.0075,0.008249579113843055
2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,simple_welch,Simple Welch,10,1.0,0.11099999999999999,0.015999999999999997,0.014681810363696826,0.0625,0.015499999999999996,0.015320646925708533,0.012,0.008,0.010852547064066471
2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,expanded_welch,Expanded Welch,10,0.9765,0.0942857432890701,0.012621167971775238,0.01399018977343519,0.051262676520632225,0.00781724423097883,0.010270132917977485,0.01026506229988693,0.006151869792912041,0.00876009813035618
2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,constrained_lrt,Constrained LRT,10,1.0,0.1385,0.03849999999999999,0.013343745934165397,0.08349999999999999,0.0335,0.015465014279549397,0.018500000000000003,0.0115,0.012920698295542871
2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,normal_wald,Normal Wald,10,1.0,0.176,0.076,0.022583179581272424,0.11850000000000002,0.0685,0.024726279317537625,0.067,0.05700000000000001,0.013581032524975575
2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,simple_welch,Simple Welch,10,1.0,0.172,0.072,0.022261077142751995,0.11500000000000002,0.06499999999999999,0.02592724864350674,0.066,0.05600000000000001,0.013904435743076142
2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,expanded_welch,Expanded Welch,10,0.9894999999999999,0.11114619139897819,0.021366307000314604,0.021843857754489528,0.06061980671959501,0.01634615419300265,0.015387913263017371,0.03283646350503479,0.022836463505034786,0.014545008582665117
2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,constrained_lrt,Constrained LRT,10,1.0,0.1345,0.03449999999999999,0.016406299603099615,0.07649999999999998,0.026500000000000003,0.014916433890176297,0.013500000000000002,0.0075,0.007835106182362106
3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,normal_wald,Normal Wald,10,1.0,0.0915,0.0245,0.02593260495977988,0.039999999999999994,0.013000000000000001,0.013123346456686353,0.0085,0.006500000000000001,0.008181958472422384
3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,simple_welch,Simple Welch,10,1.0,0.091,0.025,0.02633122354417533,0.03949999999999999,0.013500000000000002,0.013218253372598902,0.0075,0.006500000000000001,0.007168604389202189
3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,expanded_welch,Expanded Welch,10,1.0,0.0835,0.0245,0.0223668902124944,0.0345,0.0175,0.014230249470757706,0.006,0.006999999999999999,0.0065828058860438335
3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,constrained_lrt,Constrained LRT,10,1.0,0.0955,0.025500000000000002,0.029481632700151913,0.043,0.011000000000000001,0.012952906151816965,0.009499999999999998,0.006500000000000001,0.009264628073124864
3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,normal_wald,Normal Wald,10,1.0,0.11599999999999999,0.026000000000000002,0.035730472522297635,0.06050000000000002,0.0185,0.022906816064704894,0.0195,0.0095,0.00685160159703149
3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,simple_welch,Simple Welch,10,1.0,0.11300000000000002,0.024,0.03409138046812159,0.05500000000000001,0.016999999999999998,0.02094967514996089,0.0185,0.008500000000000002,0.0070906824620608835
3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,expanded_welch,Expanded Welch,10,1.0,0.10350000000000001,0.0235,0.03333749973961588,0.05,0.015000000000000003,0.0190029237516523,0.0115,0.0045,0.006258327785172862
3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,constrained_lrt,Constrained LRT,10,1.0,0.11600000000000002,0.027000000000000003,0.03740172307379553,0.0605,0.017499999999999998,0.019500712237705005,0.016500000000000004,0.006500000000000001,0.006687467549246293
3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,normal_wald,Normal Wald,10,1.0,0.1395,0.03949999999999999,0.01847671206922078,0.08299999999999999,0.032999999999999995,0.02474312474652751,0.014000000000000002,0.005999999999999999,0.006992058987801011
3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,simple_welch,Simple Welch,10,1.0,0.13299999999999998,0.03299999999999999,0.01766981104093143,0.0765,0.026499999999999996,0.027593276153601062,0.009500000000000001,0.0055,0.007245688373094719
3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,expanded_welch,Expanded Welch,10,0.9799999999999999,0.11485086033731265,0.02228585463960208,0.022451766486744507,0.06390196823157812,0.020320838218250863,0.022994527076498086,0.008198761597842896,0.006107129420415537,0.007399698218385386
3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,constrained_lrt,Constrained LRT,10,1.0,0.1355,0.0355,0.01950071223770501,0.0705,0.0245,0.02374049517409254,0.008500000000000002,0.0034999999999999996,0.0041163630117428225
3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,normal_wald,Normal Wald,10,1.0,0.179,0.079,0.03364850995545304,0.1345,0.08449999999999999,0.03897648863952045,0.093,0.083,0.04171330722922841
3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,simple_welch,Simple Welch,10,1.0,0.1745,0.0745,0.03303617545795653,0.1305,0.08049999999999999,0.040307843184946304,0.093,0.083,0.04171330722922841
3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,expanded_welch,Expanded Welch,10,0.9904999999999999,0.12833801555129185,0.03225761354124161,0.03330393424911003,0.09703499082595435,0.04798976469530108,0.036869620284533146,0.07180873375347924,0.06180873375347924,0.03530025598639094
3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,constrained_lrt,Constrained LRT,10,1.0,0.1355,0.03549999999999999,0.01674149867179691,0.07100000000000001,0.022,0.0186785676348292,0.01,0.006,0.007071067811865475
5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,normal_wald,Normal Wald,10,1.0,0.092,0.011999999999999999,0.014757295747452435,0.0425,0.0095,0.013591255358583408,0.0055,0.0055000000000000005,0.004972144630058766
5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,simple_welch,Simple Welch,10,1.0,0.0915,0.0115,0.014346892811104893,0.0415,0.0095,0.013133925536563697,0.0045,0.0055000000000000005,0.0036893239368631097
5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,expanded_welch,Expanded Welch,10,1.0,0.089,0.011000000000000003,0.01286683937707919,0.0405,0.0105,0.013006408676751114,0.003,0.007000000000000001,0.0025819888974716113
5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,constrained_lrt,Constrained LRT,10,1.0,0.093,0.010999999999999998,0.013374935098492585,0.0425,0.0095,0.013385315336840842,0.0055,0.0055,0.004377975178854566
5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,normal_wald,Normal Wald,10,1.0,0.0995,0.0165,0.02006240264773888,0.0485,0.014500000000000002,0.017646214576755234,0.009,0.003,0.003944053188733077
5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,simple_welch,Simple Welch,10,1.0,0.098,0.016,0.01888562063228706,0.048,0.015000000000000003,0.018287822299126937,0.009,0.003,0.003944053188733077
5x5_moderate_sparse,5,5,moderate_sparse,Moderate sparsity,200,200,expanded_welch,Expanded Welch,10,1.0,0.094,0.015000000000000003,0.018973665961010272,0.045,0.017000000000000005,0.020138409955990956,0.0075,0.0034999999999999996,0.004249182927993987
