condition,condition_label,method,method_label,population_pairs,mean_valid_rate,mean_fpr_10,configuration_mae_10,population_sd_fpr_10,mean_fpr_05,configuration_mae_05,population_sd_fpr_05,mean_fpr_01,configuration_mae_01,population_sd_fpr_01
balanced_control,Balanced control,normal_wald,Normal Wald,40,1.0,0.097375,0.018375,0.022129789065930206,0.048,0.013250000000000001,0.01655604312940034,0.008374999999999999,0.005625,0.006542513827229346
balanced_control,Balanced control,simple_welch,Simple Welch,40,1.0,0.09637500000000002,0.018625,0.02221651903311403,0.047,0.013250000000000001,0.01604480904953055,0.007375000000000001,0.005125,0.005772114663821891
balanced_control,Balanced control,expanded_welch,Expanded Welch,40,1.0,0.09062500000000001,0.019375,0.02172637237115889,0.04375,0.014250000000000002,0.016162238357292864,0.006,0.006,0.005570066518960166
balanced_control,Balanced control,constrained_lrt,Constrained LRT,40,1.0,0.09912499999999999,0.018374999999999996,0.022614027300974737,0.04975,0.013000000000000001,0.017019973183865104,0.009625,0.005875,0.007371767001062141
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,40,1.0,0.09762499999999999,0.019874999999999997,0.027174353954059566,0.04925,0.015000000000000003,0.01992131959381643,0.0115,0.00625,0.007942098153317112
moderate_sparse,Moderate sparsity,simple_welch,Simple Welch,40,1.0,0.096,0.019499999999999997,0.02597335913229909,0.046875,0.014875,0.018936042827072345,0.011,0.00575,0.007612405529707279
moderate_sparse,Moderate sparsity,expanded_welch,Expanded Welch,40,1.0,0.0895,0.021,0.025211922291666407,0.042749999999999996,0.016000000000000004,0.018220515346366567,0.008499999999999999,0.005,0.006222374845503019
moderate_sparse,Moderate sparsity,constrained_lrt,Constrained LRT,40,1.0,0.099625,0.020125,0.028383533958969944,0.051125,0.015625,0.01982252991693271,0.011375000000000001,0.006125,0.007924928212891723
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,40,1.0,0.11199999999999999,0.02475,0.02735802511990839,0.06200000000000001,0.02025,0.023391867971145168,0.015375,0.007625,0.00901476708745299
ultra_sparse,Ultra-sparsity,simple_welch,Simple Welch,40,1.0,0.10912499999999999,0.023125,0.025916223510103493,0.059125000000000004,0.018125,0.022895736362688657,0.01175,0.0072499999999999995,0.009097055032064512
ultra_sparse,Ultra-sparsity,expanded_welch,Expanded Welch,40,0.9891249999999999,0.09690915090659569,0.018851755652844332,0.023023476844794142,0.04979116118805259,0.015034520612307428,0.01945070121451901,0.010115955974432456,0.0070647498033318944,0.008497455159486423
ultra_sparse,Ultra-sparsity,constrained_lrt,Constrained LRT,40,0.99925,0.11343781407035176,0.029592336683417087,0.031191435161981286,0.058528266331658294,0.02124811557788945,0.025582018424760707,0.01113002512562814,0.00687751256281407,0.009371866183703515
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,40,1.0,0.22874999999999995,0.12874999999999998,0.0786239834225586,0.16549999999999998,0.1155,0.05956896455757426,0.09075,0.08075,0.03181577579980708
ultra_imbalanced,Ultra-sparsity with imbalance,simple_welch,Simple Welch,40,1.0,0.22562499999999996,0.12562500000000001,0.07926899594386647,0.16175,0.11175000000000002,0.059716745922645045,0.08875,0.07875000000000001,0.030982832301710207
ultra_imbalanced,Ultra-sparsity with imbalance,expanded_welch,Expanded Welch,40,0.9948750000000001,0.18926678038078362,0.09280170877860514,0.09316936821212393,0.12230126220045767,0.07397154253614628,0.06459791230297633,0.05566506815884962,0.04591506815884961,0.032514824761661565
ultra_imbalanced,Ultra-sparsity with imbalance,constrained_lrt,Constrained LRT,40,0.9981249999999999,0.15300352627551123,0.053253526275511186,0.033966067973459003,0.0830911418983027,0.033841141898302694,0.025175880905257433,0.017557539055026494,0.011057539055026492,0.013040301887376197
