scenario_id,configuration_id,rows,columns,condition,condition_label,n_p,n_q,population_replication,target_mi,simulation_seed,replicates,method,method_label,valid_replicates,valid_rate,fpr_10,fpr_05,fpr_01
config_2x2_d0_p00,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,0,0.1,2477831945,200,normal_wald,Normal Wald,200,1.0,0.09,0.06,0.02
config_2x2_d0_p00,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,0,0.1,2477831945,200,simple_welch,Simple Welch,200,1.0,0.09,0.06,0.02
config_2x2_d0_p00,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,0,0.1,2477831945,200,expanded_welch,Expanded Welch,200,1.0,0.085,0.055,0.02
config_2x2_d0_p00,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,0,0.1,2477831945,200,constrained_lrt,Constrained LRT,200,1.0,0.095,0.06,0.02
config_2x2_d0_p01,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,1,0.1,2764902787,200,normal_wald,Normal Wald,200,1.0,0.095,0.07,0.015
config_2x2_d0_p01,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,1,0.1,2764902787,200,simple_welch,Simple Welch,200,1.0,0.095,0.07,0.015
config_2x2_d0_p01,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,1,0.1,2764902787,200,expanded_welch,Expanded Welch,200,1.0,0.09,0.065,0.015
config_2x2_d0_p01,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,1,0.1,2764902787,200,constrained_lrt,Constrained LRT,200,1.0,0.105,0.075,0.015
config_2x2_d0_p02,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,2,0.1,3881087075,200,normal_wald,Normal Wald,200,1.0,0.09,0.04,0.0
config_2x2_d0_p02,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,2,0.1,3881087075,200,simple_welch,Simple Welch,200,1.0,0.085,0.04,0.0
config_2x2_d0_p02,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,2,0.1,3881087075,200,expanded_welch,Expanded Welch,200,1.0,0.075,0.035,0.0
config_2x2_d0_p02,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,2,0.1,3881087075,200,constrained_lrt,Constrained LRT,200,1.0,0.09,0.045,0.005
config_2x2_d0_p03,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,3,0.1,2198623536,200,normal_wald,Normal Wald,200,1.0,0.085,0.03,0.005
config_2x2_d0_p03,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,3,0.1,2198623536,200,simple_welch,Simple Welch,200,1.0,0.08,0.03,0.005
config_2x2_d0_p03,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,3,0.1,2198623536,200,expanded_welch,Expanded Welch,200,1.0,0.065,0.025,0.005
