scenario_id,configuration_id,rows,columns,condition,condition_label,n_p,n_q,population_replication,target_mi,simulation_seed,replicates,method,method_label,valid_replicates,valid_rate,fpr_10,fpr_05,fpr_01
config_3x3_d3_p00,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,0,0.1,101742221,200,normal_wald,Normal Wald,200,1.0,0.2,0.135,0.08
config_3x3_d3_p00,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,0,0.1,101742221,200,simple_welch,Simple Welch,200,1.0,0.2,0.12,0.08
config_3x3_d3_p00,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,0,0.1,101742221,200,expanded_welch,Expanded Welch,196,0.98,0.1326530612244898,0.08673469387755102,0.05612244897959184
config_3x3_d3_p00,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,0,0.1,101742221,200,constrained_lrt,Constrained LRT,200,1.0,0.155,0.105,0.015
config_3x3_d3_p01,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,1,0.1,2150972521,200,normal_wald,Normal Wald,200,1.0,0.165,0.1,0.07
config_3x3_d3_p01,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,1,0.1,2150972521,200,simple_welch,Simple Welch,200,1.0,0.15,0.1,0.07
config_3x3_d3_p01,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,1,0.1,2150972521,200,expanded_welch,Expanded Welch,199,0.995,0.10050251256281408,0.07537688442211055,0.06532663316582915
config_3x3_d3_p01,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,1,0.1,2150972521,200,constrained_lrt,Constrained LRT,200,1.0,0.125,0.04,0.005
config_3x3_d3_p02,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,2,0.1,1023806098,200,normal_wald,Normal Wald,200,1.0,0.13,0.09,0.03
config_3x3_d3_p02,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,2,0.1,1023806098,200,simple_welch,Simple Welch,200,1.0,0.125,0.085,0.03
config_3x3_d3_p02,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,2,0.1,1023806098,200,expanded_welch,Expanded Welch,199,0.995,0.08040201005025126,0.04522613065326633,0.02512562814070352
config_3x3_d3_p02,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,2,0.1,1023806098,200,constrained_lrt,Constrained LRT,200,1.0,0.125,0.075,0.015
config_3x3_d3_p03,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,3,0.1,856206566,200,normal_wald,Normal Wald,200,1.0,0.195,0.165,0.125
config_3x3_d3_p03,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,3,0.1,856206566,200,simple_welch,Simple Welch,200,1.0,0.195,0.165,0.125
config_3x3_d3_p03,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,3,0.1,856206566,200,expanded_welch,Expanded Welch,197,0.985,0.15736040609137056,0.1319796954314721,0.09644670050761421
config_3x3_d3_p03,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,3,0.1,856206566,200,constrained_lrt,Constrained LRT,200,1.0,0.12,0.07,0.02
config_3x3_d3_p04,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,4,0.1,2353828250,200,normal_wald,Normal Wald,200,1.0,0.16,0.11,0.06
config_3x3_d3_p04,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,4,0.1,2353828250,200,simple_welch,Simple Welch,200,1.0,0.155,0.105,0.06
config_3x3_d3_p04,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,4,0.1,2353828250,200,expanded_welch,Expanded Welch,200,1.0,0.1,0.06,0.045
config_3x3_d3_p04,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,4,0.1,2353828250,200,constrained_lrt,Constrained LRT,200,1.0,0.1,0.07,0.005
