scenario_id,configuration_id,rows,columns,condition,condition_label,n_p,n_q,population_replication,target_mi,simulation_seed,replicates,method,method_label,valid_replicates,valid_rate,fpr_10,fpr_05,fpr_01
config_3x3_d3_p05,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,5,0.1,2714987022,200,normal_wald,Normal Wald,200,1.0,0.195,0.14,0.1
config_3x3_d3_p05,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,5,0.1,2714987022,200,simple_welch,Simple Welch,200,1.0,0.185,0.135,0.1
config_3x3_d3_p05,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,5,0.1,2714987022,200,expanded_welch,Expanded Welch,200,1.0,0.15,0.115,0.07
config_3x3_d3_p05,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,5,0.1,2714987022,200,constrained_lrt,Constrained LRT,200,1.0,0.15,0.095,0.005
config_3x3_d3_p06,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,6,0.1,2899510254,200,normal_wald,Normal Wald,200,1.0,0.145,0.1,0.06
config_3x3_d3_p06,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,6,0.1,2899510254,200,simple_welch,Simple Welch,200,1.0,0.145,0.095,0.06
config_3x3_d3_p06,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,6,0.1,2899510254,200,expanded_welch,Expanded Welch,200,1.0,0.105,0.075,0.045
config_3x3_d3_p06,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,6,0.1,2899510254,200,constrained_lrt,Constrained LRT,200,1.0,0.14,0.07,0.02
config_3x3_d3_p07,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,7,0.1,1883776853,200,normal_wald,Normal Wald,200,1.0,0.17,0.155,0.12
config_3x3_d3_p07,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,7,0.1,1883776853,200,simple_welch,Simple Welch,200,1.0,0.17,0.15,0.12
config_3x3_d3_p07,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,7,0.1,1883776853,200,expanded_welch,Expanded Welch,198,0.99,0.13636363636363635,0.12121212121212122,0.08585858585858586
config_3x3_d3_p07,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,7,0.1,1883776853,200,constrained_lrt,Constrained LRT,200,1.0,0.145,0.05,0.01
config_3x3_d3_p08,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,8,0.1,340464655,200,normal_wald,Normal Wald,200,1.0,0.18,0.13,0.11
config_3x3_d3_p08,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,8,0.1,340464655,200,simple_welch,Simple Welch,200,1.0,0.18,0.13,0.11
config_3x3_d3_p08,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,8,0.1,340464655,200,expanded_welch,Expanded Welch,195,0.975,0.1282051282051282,0.09230769230769231,0.07692307692307693
config_3x3_d3_p08,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,8,0.1,340464655,200,constrained_lrt,Constrained LRT,200,1.0,0.14,0.05,0.0
config_3x3_d3_p09,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,9,0.1,3511978456,200,normal_wald,Normal Wald,200,1.0,0.25,0.22,0.175
config_3x3_d3_p09,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,9,0.1,3511978456,200,simple_welch,Simple Welch,200,1.0,0.24,0.22,0.175
config_3x3_d3_p09,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,9,0.1,3511978456,200,expanded_welch,Expanded Welch,197,0.985,0.19289340101522842,0.16751269035532995,0.15228426395939088
config_3x3_d3_p09,3x3_ultra_imbalanced,3,3,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,9,0.1,3511978456,200,constrained_lrt,Constrained LRT,200,1.0,0.15,0.07,0.005
