scenario_id,configuration_id,rows,columns,condition,condition_label,n_p,n_q,population_replication,target_mi,simulation_seed,replicates,lrt_convergence_rate,lrt_fallback_rate,lrt_median_iterations,lrt_max_constraint_residual,lrt_mean_seconds_per_fit,audited_replicates,audit_max_statistic_difference,audit_mean_statistic_difference
config_5x5_d0_p00,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,0,0.1,194631292,200,1.0,0.0,56.0,6.659373052997353e-11,0.027675913524581118,10,6.45741238258779e-10,1.1032170732505619e-10
config_5x5_d0_p01,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,1,0.1,2913224147,200,1.0,0.005,57.0,5.007022574332609e-12,0.029415907678194343,10,1.3405951904132962e-09,1.4606484910473227e-10
config_5x5_d0_p02,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,2,0.1,1513447958,200,1.0,0.0,58.0,2.440664337299836e-11,0.024781271669780836,10,9.576979209668934e-10,2.0936568034812807e-10
config_5x5_d0_p03,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,3,0.1,847804966,200,1.0,0.0,57.0,9.299039316346125e-11,0.02926438707159832,10,2.333763404749334e-09,2.534761733841151e-10
config_5x5_d0_p04,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,4,0.1,1498431838,200,1.0,0.0,57.0,8.655814953684171e-11,0.02939114854671061,10,1.0913936421275139e-10,2.6921043172478677e-11
config_5x5_d0_p05,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,5,0.1,3208255667,200,1.0,0.0,56.0,6.886637093916903e-11,0.02462926769047044,10,1.0350049706175923e-09,1.27965904539451e-10
config_5x5_d0_p06,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,6,0.1,2556580684,200,1.0,0.005,57.0,9.923563359937049e-11,0.03529488853528164,10,2.256456355098635e-09,2.786691766232252e-10
config_5x5_d0_p07,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,7,0.1,2385312116,200,1.0,0.0,57.0,9.753856056171628e-11,0.02729711711173877,10,3.5561242839321494e-10,5.5570126278325917e-11
config_5x5_d0_p08,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,8,0.1,2772416322,200,1.0,0.0,55.0,9.84571035811399e-11,0.025496630213456228,10,4.6075001591816545e-09,5.041329131927341e-10
config_5x5_d0_p09,5x5_balanced_control,5,5,balanced_control,Balanced control,375,375,9,0.1,1167221350,200,1.0,0.0,57.0,2.5546897930439627e-11,0.026762359347194432,10,2.562046574894339e-09,3.03134584100917e-10
