scenario_id,configuration_id,rows,columns,condition,condition_label,n_p,n_q,population_replication,target_mi,simulation_seed,replicates,method,method_label,valid_replicates,valid_rate,fpr_10,fpr_05,fpr_01
config_5x5_d2_p00,5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,0,0.1,1714150049,200,normal_wald,Normal Wald,200,1.0,0.11,0.055,0.04
config_5x5_d2_p00,5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,0,0.1,1714150049,200,simple_welch,Simple Welch,200,1.0,0.105,0.055,0.035
config_5x5_d2_p00,5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,0,0.1,1714150049,200,expanded_welch,Expanded Welch,200,1.0,0.095,0.055,0.03
config_5x5_d2_p00,5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,0,0.1,1714150049,200,constrained_lrt,Constrained LRT,200,1.0,0.09,0.055,0.025
config_5x5_d2_p01,5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,1,0.1,1433816043,200,normal_wald,Normal Wald,200,1.0,0.145,0.08,0.02
config_5x5_d2_p01,5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,1,0.1,1433816043,200,simple_welch,Simple Welch,200,1.0,0.14,0.075,0.015
config_5x5_d2_p01,5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,1,0.1,1433816043,200,expanded_welch,Expanded Welch,200,1.0,0.125,0.055,0.015
config_5x5_d2_p01,5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,1,0.1,1433816043,200,constrained_lrt,Constrained LRT,200,1.0,0.13,0.06,0.01
config_5x5_d2_p02,5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,2,0.1,1644620237,200,normal_wald,Normal Wald,200,1.0,0.125,0.065,0.025
config_5x5_d2_p02,5x5_ultra_sparse,5,5,ultra_sparse,Ultra-sparsity,75,75,2,0.1,1644620237,200,simple_welch,Simple Welch,200,1.0,0.125,0.065,0.02
