configuration_id,rows,columns,condition,condition_label,n_p,n_q,method,method_label,population_pairs,mean_valid_rate,mean_fpr_10,configuration_mae_10,population_sd_fpr_10,mean_fpr_05,configuration_mae_05,population_sd_fpr_05,mean_fpr_01,configuration_mae_01,population_sd_fpr_01
2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,normal_wald,Normal Wald,2,1.0,0.1,0.049999999999999996,0.07071067811865475,0.05,0.0,0.0,0.0,0.01,0.0
2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,simple_welch,Simple Welch,2,1.0,0.1,0.049999999999999996,0.07071067811865475,0.05,0.0,0.0,0.0,0.01,0.0
2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,expanded_welch,Expanded Welch,2,1.0,0.1,0.049999999999999996,0.07071067811865475,0.05,0.0,0.0,0.0,0.01,0.0
2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,constrained_lrt,Constrained LRT,2,1.0,0.1,0.049999999999999996,0.07071067811865475,0.05,0.0,0.0,0.025,0.025,0.03535533905932738
2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,normal_wald,Normal Wald,2,1.0,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.01,0.0
2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,simple_welch,Simple Welch,2,1.0,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.01,0.0
2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,expanded_welch,Expanded Welch,2,1.0,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.01,0.0
2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,constrained_lrt,Constrained LRT,2,1.0,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.01,0.0
2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,normal_wald,Normal Wald,2,1.0,0.025,0.07500000000000001,0.03535533905932738,0.025,0.025,0.03535533905932738,0.0,0.01,0.0
2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,simple_welch,Simple Welch,2,1.0,0.025,0.07500000000000001,0.03535533905932738,0.025,0.025,0.03535533905932738,0.0,0.01,0.0
2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,expanded_welch,Expanded Welch,2,0.95,0.02631578947368421,0.0736842105263158,0.03721614637823934,0.0,0.05,0.0,0.0,0.01,0.0
2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,constrained_lrt,Constrained LRT,2,1.0,0.1,0.049999999999999996,0.07071067811865475,0.05,0.0,0.0,0.025,0.025,0.03535533905932738
2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,normal_wald,Normal Wald,2,1.0,0.175,0.125,0.17677669529663687,0.175,0.125,0.17677669529663687,0.1,0.09,0.07071067811865475
