scenario_id,configuration_id,rows,columns,condition,condition_label,n_p,n_q,population_replication,target_mi,simulation_seed,replicates,lrt_convergence_rate,lrt_fallback_rate,lrt_median_iterations,lrt_max_constraint_residual,lrt_mean_seconds_per_fit,audited_replicates,audit_max_statistic_difference,audit_mean_statistic_difference
config_2x2_d0_p00,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,0,0.1,2477831945,20,1.0,0.0,12.0,7.286116154858746e-12,0.0013691852800548077,3,0.0,0.0
config_2x2_d0_p01,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,1,0.1,2764902787,20,1.0,0.0,12.0,2.6805932473727978e-11,0.0013573334435932338,3,0.0,0.0
config_2x2_d1_p00,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,0,0.1,3881087075,20,1.0,0.0,11.5,1.873226573856357e-11,0.0014366229763254524,3,4.149569576838985e-12,1.3831898589463283e-12
config_2x2_d1_p01,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,1,0.1,2198623536,20,1.0,0.0,12.0,7.489710240893288e-11,0.0013676958507858217,3,0.0,0.0
config_2x2_d2_p00,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,0,0.1,2768931447,20,1.0,0.0,12.0,8.592404565632705e-12,0.0013464853982441127,3,6.446043698815629e-11,2.148681232938543e-11
config_2x2_d2_p01,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,1,0.1,880372142,20,1.0,0.0,12.5,2.5589780294765774e-11,0.0014162707491777837,3,9.279688129026908e-12,3.0932293763423027e-12
config_2x2_d3_p00,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,0,0.1,3260596029,20,1.0,0.0,13.5,4.560365973738101e-12,0.0016766812652349472,3,0.0,0.0
config_2x2_d3_p01,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,1,0.1,3227718042,20,1.0,0.0,12.0,4.9895643172703785e-12,0.0012574707507155836,3,0.0,0.0
config_3x3_d0_p00,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,0,0.1,1814125591,20,1.0,0.0,23.0,1.908556646057491e-12,0.0023792624240741135,3,3.183231456205249e-11,1.0610771520684162e-11
config_3x3_d0_p01,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,1,0.1,3974158138,20,1.0,0.0,23.0,9.280340385053876e-12,0.00231686239130795,3,1.8189894035458565e-12,6.063298011819521e-13
config_3x3_d1_p00,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,0,0.1,3229974002,20,1.0,0.0,44.0,2.0518198251551212e-11,0.0038674936397001146,3,3.2741809263825417e-11,1.0913936421275139e-11
config_3x3_d1_p01,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,1,0.1,606157434,20,1.0,0.0,23.5,1.3662543318915255e-11,0.002605952019803226,3,2.5636381906224415e-11,8.545460635408139e-12
config_3x3_d2_p00,3x3_ultra_sparse,3,3,ultra_sparse,Ultra-sparsity,50,50,0,0.1,2674302760,20,1.0,0.1,65.0,2.623831707460056e-11,0.020835633494425566,3,0.0,0.0
