condition,condition_label,method,method_label,population_pairs,mean_valid_rate,mean_fpr_10,configuration_mae_10,population_sd_fpr_10,mean_fpr_05,configuration_mae_05,population_sd_fpr_05,mean_fpr_01,configuration_mae_01,population_sd_fpr_01
balanced_control,Balanced control,normal_wald,Normal Wald,8,1.0,0.08125000000000002,0.04375,0.053033008588991064,0.05,0.025,0.04629100498862757,0.0125,0.0175,0.02314550249431379
balanced_control,Balanced control,simple_welch,Simple Welch,8,1.0,0.08125000000000002,0.04375,0.053033008588991064,0.05,0.025,0.04629100498862757,0.0125,0.0175,0.02314550249431379
balanced_control,Balanced control,expanded_welch,Expanded Welch,8,1.0,0.08125000000000002,0.04375,0.053033008588991064,0.05,0.025,0.04629100498862757,0.00625,0.013750000000000002,0.01767766952966369
balanced_control,Balanced control,constrained_lrt,Constrained LRT,8,1.0,0.08125000000000002,0.04375,0.053033008588991064,0.05,0.025,0.04629100498862757,0.018750000000000003,0.02125,0.025877458475338285
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,8,1.0,0.1125,0.05,0.05824823725107175,0.08125,0.04375,0.045806269065645215,0.0125,0.0175,0.02314550249431379
moderate_sparse,Moderate sparsity,simple_welch,Simple Welch,8,1.0,0.1125,0.05,0.05824823725107175,0.08125,0.04375,0.045806269065645215,0.0125,0.0175,0.02314550249431379
moderate_sparse,Moderate sparsity,expanded_welch,Expanded Welch,8,1.0,0.1125,0.05,0.05824823725107175,0.075,0.0375,0.04629100498862757,0.0125,0.0175,0.02314550249431379
moderate_sparse,Moderate sparsity,constrained_lrt,Constrained LRT,8,1.0,0.1125,0.05,0.05824823725107175,0.08125,0.04375,0.045806269065645215,0.0125,0.0175,0.02314550249431379
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,8,1.0,0.13125,0.06875,0.08425090080061035,0.07500000000000001,0.037500000000000006,0.04629100498862757,0.025,0.027500000000000004,0.03779644730092273
ultra_sparse,Ultra-sparsity,simple_welch,Simple Welch,8,1.0,0.13125,0.06875,0.08425090080061035,0.07500000000000001,0.037500000000000006,0.04629100498862757,0.025,0.027500000000000004,0.03779644730092273
ultra_sparse,Ultra-sparsity,expanded_welch,Expanded Welch,8,0.9625,0.10977167182662538,0.04661377708978328,0.0628411853005643,0.051760835913312694,0.026760835913312693,0.03892679383309503,0.007352941176470588,0.01485294117647059,0.020797258270192572
ultra_sparse,Ultra-sparsity,constrained_lrt,Constrained LRT,8,1.0,0.13125,0.04375,0.05303300858899107,0.08125,0.03125,0.03720119045714224,0.018750000000000003,0.02125,0.025877458475338285
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,8,1.0,0.225,0.1375,0.12817398889233114,0.175,0.125,0.11019463300386793,0.0625,0.060000000000000005,0.05824823725107175
ultra_imbalanced,Ultra-sparsity with imbalance,simple_welch,Simple Welch,8,1.0,0.21875,0.13124999999999998,0.11933596033288303,0.16875,0.11875000000000001,0.10329396331413979,0.0625,0.060000000000000005,0.05824823725107175
ultra_imbalanced,Ultra-sparsity with imbalance,expanded_welch,Expanded Welch,8,1.0,0.20625000000000002,0.11875,0.1208230701716948,0.1375,0.1,0.09910312089651149,0.05,0.0475,0.05345224838248488
ultra_imbalanced,Ultra-sparsity with imbalance,constrained_lrt,Constrained LRT,8,1.0,0.19375,0.09375,0.07288689868556625,0.125,0.075,0.07559289460184544,0.05625,0.05375,0.05629958132298017
