scenario_id,configuration_id,rows,columns,condition,condition_label,n_p,n_q,population_replication,target_mi,simulation_seed,replicates,method,method_label,valid_replicates,valid_rate,fpr_10,fpr_05,fpr_01
config_2x2_d0_p00,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,0,0.1,2477831945,20,normal_wald,Normal Wald,20,1.0,0.05,0.05,0.0
config_2x2_d0_p00,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,0,0.1,2477831945,20,simple_welch,Simple Welch,20,1.0,0.05,0.05,0.0
config_2x2_d0_p00,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,0,0.1,2477831945,20,expanded_welch,Expanded Welch,20,1.0,0.05,0.05,0.0
config_2x2_d0_p00,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,0,0.1,2477831945,20,constrained_lrt,Constrained LRT,20,1.0,0.05,0.05,0.0
config_2x2_d0_p01,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,1,0.1,2764902787,20,normal_wald,Normal Wald,20,1.0,0.15,0.05,0.0
config_2x2_d0_p01,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,1,0.1,2764902787,20,simple_welch,Simple Welch,20,1.0,0.15,0.05,0.0
config_2x2_d0_p01,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,1,0.1,2764902787,20,expanded_welch,Expanded Welch,20,1.0,0.15,0.05,0.0
config_2x2_d0_p01,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,1,0.1,2764902787,20,constrained_lrt,Constrained LRT,20,1.0,0.15,0.05,0.05
config_2x2_d1_p00,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,0,0.1,3881087075,20,normal_wald,Normal Wald,20,1.0,0.05,0.05,0.0
config_2x2_d1_p00,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,0,0.1,3881087075,20,simple_welch,Simple Welch,20,1.0,0.05,0.05,0.0
config_2x2_d1_p00,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,0,0.1,3881087075,20,expanded_welch,Expanded Welch,20,1.0,0.05,0.05,0.0
config_2x2_d1_p00,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,0,0.1,3881087075,20,constrained_lrt,Constrained LRT,20,1.0,0.05,0.05,0.0
config_2x2_d1_p01,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,1,0.1,2198623536,20,normal_wald,Normal Wald,20,1.0,0.05,0.05,0.0
config_2x2_d1_p01,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,1,0.1,2198623536,20,simple_welch,Simple Welch,20,1.0,0.05,0.05,0.0
config_2x2_d1_p01,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,1,0.1,2198623536,20,expanded_welch,Expanded Welch,20,1.0,0.05,0.05,0.0
config_2x2_d1_p01,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,1,0.1,2198623536,20,constrained_lrt,Constrained LRT,20,1.0,0.05,0.05,0.0
config_2x2_d2_p00,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,0,0.1,2768931447,20,normal_wald,Normal Wald,20,1.0,0.0,0.0,0.0
config_2x2_d2_p00,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,0,0.1,2768931447,20,simple_welch,Simple Welch,20,1.0,0.0,0.0,0.0
config_2x2_d2_p00,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,0,0.1,2768931447,20,expanded_welch,Expanded Welch,19,0.95,0.0,0.0,0.0
config_2x2_d2_p00,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,0,0.1,2768931447,20,constrained_lrt,Constrained LRT,20,1.0,0.15,0.05,0.0
config_2x2_d2_p01,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,1,0.1,880372142,20,normal_wald,Normal Wald,20,1.0,0.05,0.05,0.0
config_2x2_d2_p01,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,1,0.1,880372142,20,simple_welch,Simple Welch,20,1.0,0.05,0.05,0.0
config_2x2_d2_p01,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,1,0.1,880372142,20,expanded_welch,Expanded Welch,19,0.95,0.05263157894736842,0.0,0.0
config_2x2_d2_p01,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,1,0.1,880372142,20,constrained_lrt,Constrained LRT,20,1.0,0.05,0.05,0.05
config_2x2_d3_p00,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,0,0.1,3260596029,20,normal_wald,Normal Wald,20,1.0,0.3,0.3,0.15
config_2x2_d3_p00,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,0,0.1,3260596029,20,simple_welch,Simple Welch,20,1.0,0.3,0.3,0.15
config_2x2_d3_p00,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,0,0.1,3260596029,20,expanded_welch,Expanded Welch,20,1.0,0.25,0.25,0.15
config_2x2_d3_p00,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,0,0.1,3260596029,20,constrained_lrt,Constrained LRT,20,1.0,0.25,0.25,0.15
config_2x2_d3_p01,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,1,0.1,3227718042,20,normal_wald,Normal Wald,20,1.0,0.05,0.05,0.05
config_2x2_d3_p01,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,1,0.1,3227718042,20,simple_welch,Simple Welch,20,1.0,0.05,0.05,0.05
config_2x2_d3_p01,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,1,0.1,3227718042,20,expanded_welch,Expanded Welch,20,1.0,0.05,0.05,0.05
config_2x2_d3_p01,2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,1,0.1,3227718042,20,constrained_lrt,Constrained LRT,20,1.0,0.1,0.05,0.0
config_3x3_d0_p00,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,0,0.1,1814125591,20,normal_wald,Normal Wald,20,1.0,0.1,0.05,0.0
config_3x3_d0_p00,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,0,0.1,1814125591,20,simple_welch,Simple Welch,20,1.0,0.1,0.05,0.0
config_3x3_d0_p00,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,0,0.1,1814125591,20,expanded_welch,Expanded Welch,20,1.0,0.1,0.05,0.0
config_3x3_d0_p00,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,0,0.1,1814125591,20,constrained_lrt,Constrained LRT,20,1.0,0.1,0.05,0.0
config_3x3_d0_p01,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,1,0.1,3974158138,20,normal_wald,Normal Wald,20,1.0,0.05,0.0,0.0
config_3x3_d0_p01,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,1,0.1,3974158138,20,simple_welch,Simple Welch,20,1.0,0.05,0.0,0.0
config_3x3_d0_p01,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,1,0.1,3974158138,20,expanded_welch,Expanded Welch,20,1.0,0.05,0.0,0.0
config_3x3_d0_p01,3x3_balanced_control,3,3,balanced_control,Balanced control,135,135,1,0.1,3974158138,20,constrained_lrt,Constrained LRT,20,1.0,0.05,0.0,0.0
config_3x3_d1_p00,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,0,0.1,3229974002,20,normal_wald,Normal Wald,20,1.0,0.1,0.1,0.0
config_3x3_d1_p00,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,0,0.1,3229974002,20,simple_welch,Simple Welch,20,1.0,0.1,0.1,0.0
config_3x3_d1_p00,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,0,0.1,3229974002,20,expanded_welch,Expanded Welch,20,1.0,0.1,0.05,0.0
config_3x3_d1_p00,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,0,0.1,3229974002,20,constrained_lrt,Constrained LRT,20,1.0,0.1,0.1,0.0
config_3x3_d1_p01,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,1,0.1,606157434,20,normal_wald,Normal Wald,20,1.0,0.15,0.1,0.0
config_3x3_d1_p01,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,1,0.1,606157434,20,simple_welch,Simple Welch,20,1.0,0.15,0.1,0.0
config_3x3_d1_p01,3x3_moderate_sparse,3,3,moderate_sparse,Moderate sparsity,72,72,1,0.1,606157434,20,expanded_welch,Expanded Welch,20,1.0,0.15,0.1,0.0
