population_id,side,max_cell_error,mi_error
2x2__balanced__equal_mi_different_shape__primary__e0,p,1.1102230246251565e-16,0.0
2x2__balanced__equal_mi_different_shape__primary__e0,q,1.1102230246251565e-16,0.0
2x2__balanced__equal_mi_different_shape__primary__e0p01,p,1.1102230246251565e-16,0.0
2x2__balanced__equal_mi_different_shape__primary__e0p01,q,8.326672684688674e-17,1.1102230246251565e-16
2x2__balanced__equal_mi_different_shape__primary__e0p025,p,1.1102230246251565e-16,0.0
2x2__balanced__equal_mi_different_shape__primary__e0p025,q,5.551115123125783e-17,0.0
2x2__balanced__equal_mi_different_shape__primary__e0p05,p,1.1102230246251565e-16,0.0
2x2__balanced__equal_mi_different_shape__primary__e0p05,q,6.286637876939949e-15,1.6431300764452317e-14
2x2__balanced__equal_mi_different_shape__primary__e0p1,p,1.1102230246251565e-16,0.0
2x2__balanced__equal_mi_different_shape__primary__e0p1,q,1.249000902703301e-16,0.0
2x2__balanced__equal_mi_different_shape__primary__e0p2,p,1.1102230246251565e-16,0.0
2x2__balanced__equal_mi_different_shape__primary__e0p2,q,6.938893903907228e-17,2.220446049250313e-16
2x2__balanced__equal_mi_different_shape__primary__e0p4,p,1.1102230246251565e-16,0.0
2x2__balanced__equal_mi_different_shape__primary__e0p4,q,3.469446951953614e-17,1.1102230246251565e-16
2x2__balanced__equal_mi_different_shape__primary__e0p6,p,1.1102230246251565e-16,0.0
2x2__balanced__equal_mi_different_shape__primary__e0p6,q,5.551115123125783e-17,1.1102230246251565e-16
2x2__balanced__identical_distribution__primary__e0,p,1.1102230246251565e-16,0.0
2x2__balanced__identical_distribution__primary__e0,q,1.1102230246251565e-16,0.0
2x2__balanced__identical_distribution__primary__e0p01,p,1.1102230246251565e-16,0.0
2x2__balanced__identical_distribution__primary__e0p01,q,5.551115123125783e-17,0.0
2x2__balanced__identical_distribution__primary__e0p025,p,1.1102230246251565e-16,0.0
2x2__balanced__identical_distribution__primary__e0p025,q,1.3877787807814457e-17,0.0
2x2__balanced__identical_distribution__primary__e0p05,p,1.1102230246251565e-16,0.0
2x2__balanced__identical_distribution__primary__e0p05,q,6.38378239159465e-15,1.6431300764452317e-14
2x2__balanced__identical_distribution__primary__e0p1,p,1.1102230246251565e-16,0.0
2x2__balanced__identical_distribution__primary__e0p1,q,5.551115123125783e-17,0.0
