configuration_id,population_id,shape,rows,columns,experiment,profile,family,constructor,relationship,n_p,n_q,relative_effect,shared_reachable_mi,achieved_mi_p,achieved_mi_q,absolute_mi_difference,target_mi_p,target_mi_q,replicates,simulation_seed,minimum_true_expected_p,minimum_true_expected_q,true_expected_below_1_p,true_expected_below_1_q,true_expected_below_5_p,true_expected_below_5_q,observed_zero_fraction_p,observed_zero_fraction_q,empty_row_p,empty_row_q,empty_column_p,empty_column_q,method,method_label,nominal_alpha,valid_replicates,valid_rate,common_valid_replicates,common_valid_rate,rejections,common_valid_rejections,unconditional_rejection_rate,conditional_rejection_rate,common_valid_rejection_rate,wilson_95_low,wilson_95_high,monte_carlo_standard_error,absolute_calibration_error,invalid_reason_counts_json,component_degrees_of_freedom_p_median,component_degrees_of_freedom_p_p05,component_degrees_of_freedom_p_p95,component_degrees_of_freedom_p_fraction_below_1,component_degrees_of_freedom_p_fraction_above_1e4,component_degrees_of_freedom_q_median,component_degrees_of_freedom_q_p05,component_degrees_of_freedom_q_p95,component_degrees_of_freedom_q_fraction_below_1,component_degrees_of_freedom_q_fraction_above_1e4,welch_degrees_of_freedom_median,welch_degrees_of_freedom_p05,welch_degrees_of_freedom_p95,welch_degrees_of_freedom_fraction_below_1,welch_degrees_of_freedom_fraction_above_1e4
2x2_uniform_common_additive_e0_np10_nq10,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,10,10,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,6262283372169011682,1.3234184191848775,1.3234184191848775,0.0,0.0,1.0,1.0,0.123475,0.1252,0.0022,0.0026,0.0027,0.0021,normal_wald,Normal Wald,0.05,9967,0.9967,9676,0.9676,1385,1195,0.1385,0.1389585632587539,0.12350144687887557,0.13186850586777127,0.14540912495422792,0.0034542401479920296,0.08850000000000001,"{""invalid_base"": 33}",,,,,,,,,,,,,,,
2x2_uniform_common_additive_e0_np10_nq10,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,10,10,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,6262283372169011682,1.3234184191848775,1.3234184191848775,0.0,0.0,1.0,1.0,0.123475,0.1252,0.0022,0.0026,0.0027,0.0021,simple_welch,Simple Welch,0.05,9967,0.9967,9676,0.9676,1038,861,0.1038,0.10414367412461122,0.08898305084745763,0.097973443800082,0.10993083650884214,0.003050009180314053,0.0538,"{""invalid_base"": 33, ""invalid_df"": 0}",,,,,,,,,,,,,,,
2x2_uniform_common_additive_e0_np10_nq10,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,10,10,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,6262283372169011682,1.3234184191848775,1.3234184191848775,0.0,0.0,1.0,1.0,0.123475,0.1252,0.0022,0.0026,0.0027,0.0021,expanded_welch,Expanded Welch,0.05,9676,0.9676,9676,0.9676,453,453,0.0453,0.04681686647374948,0.04681686647374948,0.04139568097178173,0.04955352714651155,0.0020796131851861296,0.004700000000000003,"{""invalid_base"": 33, ""invalid_combined_df"": 291, ""invalid_component_p"": 146, ""invalid_component_q"": 145}",2.521897072145644,0.05093244892813937,53.279252691088395,0.3093220338983051,0.0,2.521897072145644,0.05093244892813937,53.27925269108839,0.3129392310872261,0.0,4.641631602183588,0.4173392613029145,32.49217618810825,0.111099627945432,0.0
2x2_uniform_common_additive_e0_np50_nq50,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,50,50,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,1942778114496041163,6.617092095924387,6.617092095924387,0.0,0.0,0.0,0.0,0.000425,0.0004,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,0.05,10000,1.0,10000,1.0,506,506,0.0506,0.0506,0.0506,0.046474089659734416,0.05507104807582969,0.002191794698414977,0.0005999999999999964,"{""invalid_base"": 0}",,,,,,,,,,,,,,,
2x2_uniform_common_additive_e0_np50_nq50,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,50,50,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,1942778114496041163,6.617092095924387,6.617092095924387,0.0,0.0,0.0,0.0,0.000425,0.0004,0.0,0.0,0.0,0.0,simple_welch,Simple Welch,0.05,10000,1.0,10000,1.0,476,476,0.0476,0.0476,0.0476,0.043597783455069775,0.0519496582707184,0.002129183881208948,0.0023999999999999994,"{""invalid_base"": 0, ""invalid_df"": 0}",,,,,,,,,,,,,,,
2x2_uniform_common_additive_e0_np50_nq50,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,50,50,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,1942778114496041163,6.617092095924387,6.617092095924387,0.0,0.0,0.0,0.0,0.000425,0.0004,0.0,0.0,0.0,0.0,expanded_welch,Expanded Welch,0.05,10000,1.0,10000,1.0,426,426,0.0426,0.0426,0.0426,0.03881428812903491,0.04673699358046003,0.0020195355901790886,0.007400000000000004,"{""invalid_base"": 0, ""invalid_combined_df"": 0, ""invalid_component_p"": 0, ""invalid_component_q"": 0}",9.289055549515426,1.9284645853358229,48.11389948178503,0.0133,0.0004,9.289055549515426,1.8882122113526072,48.11389948178503,0.0165,0.0005,20.922151357302322,7.2193958469957975,59.53822483058092,0.0001,0.0
2x2_uniform_common_additive_e0_np250_nq250,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,250,250,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,12219023417405434862,33.085460479621936,33.085460479621936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,0.05,10000,1.0,10000,1.0,529,529,0.0529,0.0529,0.0529,0.04868210654613315,0.05746126479692585,0.0022383384462587425,0.0029,"{""invalid_base"": 0}",,,,,,,,,,,,,,,
2x2_uniform_common_additive_e0_np250_nq250,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,250,250,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,12219023417405434862,33.085460479621936,33.085460479621936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,simple_welch,Simple Welch,0.05,10000,1.0,10000,1.0,522,522,0.0522,0.0522,0.0522,0.04800985071545024,0.05673405822532771,0.0022243012385915716,0.0022000000000000006,"{""invalid_base"": 0, ""invalid_df"": 0}",,,,,,,,,,,,,,,
2x2_uniform_common_additive_e0_np250_nq250,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,250,250,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,12219023417405434862,33.085460479621936,33.085460479621936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expanded_welch,Expanded Welch,0.05,10000,1.0,10000,1.0,495,495,0.0495,0.0495,0.0495,0.04541893986540119,0.05392704266657841,0.0021690954335851615,0.0005000000000000004,"{""invalid_base"": 0, ""invalid_combined_df"": 0, ""invalid_component_p"": 0, ""invalid_component_q"": 0}",44.47988018768604,23.64574496848591,85.60972304967275,0.0,0.0,44.420277307069796,23.222817316483447,86.75649118973118,0.0,0.0,90.95455270385315,57.93164174467166,143.78373798252014,0.0,0.0
2x2_uniform_common_additive_e0_np1000_nq1000,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,1000,1000,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,9287185939377583127,132.34184191848775,132.34184191848775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,0.05,10000,1.0,10000,1.0,489,489,0.0489,0.0489,0.0489,0.044843646588557176,0.053302796741467234,0.00215658966889856,0.0011000000000000038,"{""invalid_base"": 0}",,,,,,,,,,,,,,,
