shape,profile,family,constructor,n_p,n_q,relative_effect,achieved_mi_p,achieved_mi_q,absolute_mi_difference,wald_rejection,wald_valid,welch_rejection,welch_valid,welch_minus_wald
2x2,uniform,common,additive,10,10,0.0,0.1152480662844828,0.1152480662844828,0.0,0.1385,0.9967,0.0453,0.9676,-0.0932
2x2,uniform,common,additive,50,50,0.0,0.1152480662844828,0.1152480662844828,0.0,0.0506,1.0,0.0426,1.0,-0.008
2x2,uniform,common,additive,250,250,0.0,0.1152480662844828,0.1152480662844828,0.0,0.0529,1.0,0.0495,1.0,-0.0034000000000000002
2x2,uniform,common,additive,1000,1000,0.0,0.1152480662844828,0.1152480662844828,0.0,0.0489,1.0,0.0482,1.0,-0.0006999999999999992
2x2,uniform,common,additive,50,500,0.0,0.1152480662844828,0.1152480662844828,0.0,0.0891,1.0,0.0284,0.9999,-0.0607
2x2,uniform,common,additive,500,50,0.0,0.1152480662844828,0.1152480662844828,0.0,0.0921,1.0,0.0304,1.0,-0.061700000000000005
2x2,uniform,common,additive,10,10,0.1,0.1152480662844828,0.1728720994267221,0.0576240331422414,0.1629,0.9976,0.0456,0.957,-0.11729999999999999
2x2,uniform,common,additive,50,50,0.1,0.1152480662844828,0.1728720994267221,0.0576240331422414,0.0956,1.0,0.0831,1.0,-0.012500000000000011
2x2,uniform,common,additive,250,250,0.1,0.1152480662844828,0.1728720994267221,0.0576240331422414,0.2629,1.0,0.2566,1.0,-0.006300000000000028
2x2,uniform,common,additive,1000,1000,0.1,0.1152480662844828,0.1728720994267221,0.0576240331422414,0.7439,1.0,0.7427,1.0,-0.0011999999999999789
2x2,uniform,common,additive,50,500,0.1,0.1152480662844828,0.1728720994267221,0.0576240331422414,0.2274,1.0,0.1413,1.0,-0.08609999999999998
2x2,uniform,common,additive,500,50,0.1,0.1152480662844828,0.1728720994267221,0.0576240331422414,0.0895,1.0,0.0772,1.0,-0.012299999999999991
2x2,uniform,common,additive,10,10,0.3,0.1152480662844828,0.2881201657112069,0.1728720994267242,0.2505,0.9975,0.0617,0.9278,-0.1888
2x2,uniform,common,additive,50,50,0.3,0.1152480662844828,0.2881201657112069,0.1728720994267242,0.3739,1.0,0.3595,1.0,-0.014400000000000024
2x2,uniform,common,additive,250,250,0.3,0.1152480662844828,0.2881201657112069,0.1728720994267242,0.9365,1.0,0.9355,1.0,-0.0010000000000000009
2x2,uniform,common,additive,1000,1000,0.3,0.1152480662844828,0.2881201657112069,0.1728720994267242,1.0,1.0,1.0,1.0,0.0
